PERIOD,Component,Component_type,AnnualCost_NPV,AnnualCost_Real
2023,EmissionsCosts,annual,0.0,0.0
2023,FuelCostsPerTP,timepoint,640237029.1980084,662645325.2199402
2023,GenVariableOMCostsInTP,timepoint,212203763.2756737,219630894.99032277
2023,StorageEnergyFixedCost,annual,0.0,0.0
2023,TotalGenFixedCosts,annual,4268421178.670166,4417815919.923632
2023,TxFixedCosts,annual,287074893.57108897,297122514.84607774
2024,EmissionsCosts,annual,0.0,0.0
2024,FuelCostsPerTP,timepoint,659626786.2219551,706608704.0706153
2024,GenVariableOMCostsInTP,timepoint,211600953.45180377,226672231.36140898
2024,StorageEnergyFixedCost,annual,0.0,0.0
2024,TotalGenFixedCosts,annual,4273297442.9695973,4577663053.345117
2024,TxFixedCosts,annual,277367046.92907715,297122514.8466013
2025,EmissionsCosts,annual,0.0,0.0
2025,FuelCostsPerTP,timepoint,688096299.7496276,762904667.2537718
2025,GenVariableOMCostsInTP,timepoint,218592527.5140215,242357442.59622544
2025,StorageEnergyFixedCost,annual,0.0,0.0
2025,TotalGenFixedCosts,annual,4141221774.6949596,4591446605.943534
2025,TxFixedCosts,annual,267987484.95603535,297122514.8470506
2026,EmissionsCosts,annual,0.0,0.0
2026,FuelCostsPerTP,timepoint,676399986.2060266,776184541.7938497
2026,GenVariableOMCostsInTP,timepoint,227099228.10012895,260601587.6690818
2026,StorageEnergyFixedCost,annual,0.0,0.0
2026,TotalGenFixedCosts,annual,4024898954.7608166,4618664125.779568
2026,TxFixedCosts,annual,258925106.23808962,297122514.8474801
2027,EmissionsCosts,annual,0.0,0.0
2027,FuelCostsPerTP,timepoint,667092879.8085754,792297077.9431832
2027,GenVariableOMCostsInTP,timepoint,225188671.56148612,267453501.40038946
2027,StorageEnergyFixedCost,annual,0.0,0.0
2027,TotalGenFixedCosts,annual,3939461568.3453627,4678844556.345957
2027,TxFixedCosts,annual,250169184.7714759,297122514.84792525
2028,EmissionsCosts,annual,0.0,0.0
2028,FuelCostsPerTP,timepoint,606016800.9590652,744949380.4331964
2028,GenVariableOMCostsInTP,timepoint,215943165.2207136,265449286.0352564
2028,StorageEnergyFixedCost,annual,0.0,0.0
2028,TotalGenFixedCosts,annual,3883261768.0364213,4773520211.9488
2028,TxFixedCosts,annual,241709357.26752043,297122514.8484095
2029,EmissionsCosts,annual,0.0,0.0
2029,FuelCostsPerTP,timepoint,535957675.9282416,681887836.8040707
2029,GenVariableOMCostsInTP,timepoint,203952452.10543153,259484475.40413383
2029,StorageEnergyFixedCost,annual,0.0,0.0
2029,TotalGenFixedCosts,annual,3831257454.6280136,4874429409.843078
2029,TxFixedCosts,annual,233535610.88698563,297122514.84903604
2030,EmissionsCosts,annual,0.0,0.0
2030,FuelCostsPerTP,timepoint,602831220.3822484,793813598.7630233
2030,GenVariableOMCostsInTP,timepoint,214558420.69059023,282532467.32196546
2030,StorageEnergyFixedCost,annual,0.0,0.0
2030,TotalGenFixedCosts,annual,3708703686.8622637,4883654530.279731
2030,TxFixedCosts,annual,237101200.1627952,312217003.0492381
2031,EmissionsCosts,annual,0.0,0.0
2031,FuelCostsPerTP,timepoint,667013671.4873476,909071167.4564235
2031,GenVariableOMCostsInTP,timepoint,224273919.04525185,305662330.67137647
2031,StorageEnergyFixedCost,annual,0.0,0.0
2031,TotalGenFixedCosts,annual,3589559380.935861,4892200979.636769
2031,TxFixedCosts,annual,235286518.8014518,320671373.73158145
2032,EmissionsCosts,annual,0.0,0.0
2032,FuelCostsPerTP,timepoint,736810891.0265354,1039344529.6941772
2032,GenVariableOMCostsInTP,timepoint,233024591.02143967,328704199.2890872
2032,StorageEnergyFixedCost,annual,0.0,0.0
2032,TotalGenFixedCosts,annual,3472874319.442447,4898832210.798447
2032,TxFixedCosts,annual,230741485.30538812,325483653.19565785
2033,EmissionsCosts,annual,0.0,0.0
2033,FuelCostsPerTP,timepoint,805631727.338594,1176197925.1644068
2033,GenVariableOMCostsInTP,timepoint,240348089.61292645,350900932.43204665
2033,StorageEnergyFixedCost,annual,0.0,0.0
2033,TotalGenFixedCosts,annual,3359107401.0527964,4904195082.503461
2033,TxFixedCosts,annual,222938633.14568713,325483653.1962193
2034,EmissionsCosts,annual,0.0,0.0
2034,FuelCostsPerTP,timepoint,883133339.9561807,1334475110.2653956
2034,GenVariableOMCostsInTP,timepoint,246692467.18344322,372769255.1643474
2034,StorageEnergyFixedCost,annual,0.0,0.0
2034,TotalGenFixedCosts,annual,3248862414.5450773,4909254166.649695
2034,TxFixedCosts,annual,215399645.5518879,325483653.19697386
2035,EmissionsCosts,annual,0.0,0.0
2035,FuelCostsPerTP,timepoint,959291060.6066428,1500289067.8786824
2035,GenVariableOMCostsInTP,timepoint,253040456.70259893,395744155.7746435
2035,StorageEnergyFixedCost,annual,0.0,0.0
2035,TotalGenFixedCosts,annual,3141573730.514945,4913283274.886158
2035,TxFixedCosts,annual,218672419.49264672,341994055.69768465
