gen_tech,gen_energy_source,period,Energy_GWh_typical_yr,VariableCost_per_yr,DispatchEmissions_tCO2_per_typical_yr,GenCapacity_MW,GenCapitalCosts,GenFixedOMCosts,LCOE_dollar_per_MWh,capacity_factor,Store_GWh_typical_yr,Discharge_GWh_typical_yr
Eolica,Wind,2023,214.27884761499428,0.0,0.0,32.0,5395834.247909282,882240.0,29.298618682089508,0.7644079894941289,0.0,0.0
Eolica,Wind,2024,214.27884723243943,0.0,0.0,32.0,5395834.247909282,882240.0,29.29861873439672,0.7644079881294213,0.0,0.0
Eolica,Wind,2025,214.27884708874495,0.0,0.0,32.0,5395834.247909282,882240.0,29.29861875404425,0.7644079876168126,0.0,0.0
Eolica,Wind,2026,214.27884691258942,0.0,0.0,32.0,5395834.247909282,882240.0,29.298618778130216,0.7644079869884038,0.0,0.0
Eolica,Wind,2027,1911.9612159301842,0.0,0.0,287.0,44823935.53766147,7912590.0,27.582424318165227,0.7604892431268929,0.0,0.0
Eolica,Wind,2028,4842.9628134891955,0.0,0.0,737.0,114402937.81369475,20319090.0,27.8181008201118,0.7501351916459413,0.0,0.0
Eolica,Wind,2029,8148.905402418965,0.0,0.0,1229.0,190475980.3021578,33883530.0,27.53247205883108,0.7569083342082106,0.0,0.0
Eolica,Wind,2030,8148.9054024295365,0.0,0.0,1229.0,190475980.3021578,33883530.0,27.53247205879536,0.7569083342091925,0.0,0.0
Eolica,Wind,2031,8148.9054024235265,0.0,0.0,1229.0,190475980.3021578,33883530.0,27.532472058815667,0.7569083342086343,0.0,0.0
Eolica,Wind,2032,8148.905402425809,0.0,0.0,1229.0,190475980.3021578,33883530.0,27.532472058807958,0.7569083342088463,0.0,0.0
Eolica,Wind,2033,8148.905402418649,0.0,0.0,1229.0,190475980.3021578,33883530.0,27.532472058832145,0.7569083342081813,0.0,0.0
Eolica,Wind,2034,8148.905402409209,0.0,0.0,1229.0,190475980.3021578,33883530.0,27.53247205886404,0.7569083342073044,0.0,0.0
Eolica,Wind,2035,8148.9054024193165,0.0,0.0,1229.0,190475980.3021578,33883530.0,27.532472058829892,0.7569083342082432,0.0,0.0
Hidro,Water,2023,61912.84132752596,86055973.5515265,0.0,12988.792,1915499513.8988552,568649313.76,41.513274889351415,0.5441365102028591,0.0,0.0
Hidro,Water,2024,61912.841327484784,86055973.55146874,0.0,12988.792,1915499513.8988552,568649313.76,41.513274889378096,0.5441365102024973,0.0,0.0
Hidro,Water,2025,61912.84132755427,86055973.55156583,0.0,12988.792,1915499513.8988552,568649313.76,41.51327488933306,0.544136510203108,0.0,0.0
Hidro,Water,2026,61912.841327281225,86055973.55118647,0.0,12988.792,1915499513.8988552,568649313.76,41.51327488951002,0.5441365102007083,0.0,0.0
Hidro,Water,2027,61912.84132685721,86055973.55059753,0.0,12988.792,1915499513.8988552,568649313.76,41.51327488978481,0.5441365101969817,0.0,0.0
Hidro,Water,2028,61912.841327155475,86055973.55101377,0.0,12988.792,1915499513.8988552,568649313.76,41.51327488959156,0.5441365101996031,0.0,0.0
Hidro,Water,2029,61912.84132697842,86055973.55076803,0.0,12988.792,1915499513.8988552,568649313.76,41.513274889706295,0.544136510198047,0.0,0.0
Hidro,Water,2030,61912.84132700465,86055973.55080393,0.0,12988.792,1915499513.8988552,568649313.76,41.513274889689285,0.5441365101982776,0.0,0.0
Hidro,Water,2031,61912.84132714356,86055973.55099708,0.0,12988.792,1915499513.8988552,568649313.76,41.513274889599266,0.5441365101994984,0.0,0.0
