PERIOD,SystemCostPerPeriod_NPV,SystemCostPerPeriod_Real,EnergyCostReal_per_MWh,SystemDemand_MWh
2023,5405186200.597796,5594367717.6187315,70.32539840625387,79549747.94883263
2024,5419174434.551822,5805155133.652788,70.71614538528281,82090944.04148526
2025,5313386119.082288,5891046167.003424,69.97621857993687,84186403.4175243
2026,5184812064.228469,5949691097.620165,68.60651036444798,86721960.72959433
2027,5079432029.505284,6032771861.907552,67.53881405056346,89323035.15710345
2028,4944565747.962649,6078133782.143751,66.07214300057949,91992381.45023452
2029,4802438788.580015,6110043281.41619,64.47808129940718,94761555.52836475
2030,4761015707.206912,6269348508.3747835,64.23140312680364,97605660.2095089
2031,4713969766.712975,6424656918.387219,63.91232782738191,100522968.52243127
2032,4671262516.073474,6589277115.709157,63.62706136459856,103560921.63287243
2033,4625825945.416378,6753565797.544251,63.322944444865875,106652744.22645424
2034,4591875124.182542,6938638578.60068,63.16511339975501,109849222.22315827
2035,4570287081.561877,7147728178.763945,63.17023485027151,113150254.95323488
