load_zone,fuel,period,fuel_cost
Caribe,GASIMPOR,2023,12.71695593
Caribe,GASNACIO,2023,7.231771971
Nordeste,GASNACIO,2023,4.615199959
Antioquia,GASNACIO,2023,7.231771971
Caribe,CARBON,2023,4.133101495
Surocciden,CARBON,2023,2.716045919
Oriental,CARBON,2023,3.876584313
Antioquia,CARBON,2023,4.036066332
Nordeste,CARBON,2023,3.716045919
Caribe,COMBUSTOLEO,2023,12.41156192
Surocciden,ACPM,2023,7.625
Caribe,ACPM,2023,7.515
Antioquia,ACPM,2023,7.2009
Oriental,ACPM,2023,7.233
Caribe,GASIMPOR,2024,11.60055475
Caribe,GASNACIO,2024,7.846505071
Nordeste,GASNACIO,2024,4.697138542
Antioquia,GASNACIO,2024,7.846505071
Caribe,CARBON,2024,4.727565946
Surocciden,CARBON,2024,2.470331948
Oriental,CARBON,2024,3.620255154
Antioquia,CARBON,2024,3.769191835
Nordeste,CARBON,2024,3.470331948
Caribe,COMBUSTOLEO,2024,12.63259284
Surocciden,ACPM,2024,7.425
Caribe,ACPM,2024,7.315
Antioquia,ACPM,2024,7.0009
Oriental,ACPM,2024,7.033
