LOAD_ZONE,timepoints,zone_demand_mw
Surocciden,192,1915.3884615384616
Oriental,192,2276.706153846154
Nordeste,192,1017.2292307692308
Caribe,192,2538.6423076923074
Antioquia,192,1154.55
Surocciden,191,2003.5923076923077
Oriental,191,2381.547692307692
Nordeste,191,1064.0723076923075
Caribe,191,2655.5446153846156
Antioquia,191,1207.7176923076922
Surocciden,190,2060.4538461538464
Oriental,190,2449.1353846153843
Nordeste,190,1094.27
Caribe,190,2730.9076923076927
Antioquia,190,1241.9915384615383
Surocciden,189,2085.8315384615385
Oriental,189,2479.2992307692307
Nordeste,189,1107.7484615384615
Antioquia,189,1257.2884615384614
Caribe,189,2764.542307692308
Antioquia,188,1239.2584615384617
Surocciden,188,2055.919230769231
Oriental,188,2443.746153846154
Nordeste,188,1091.8623076923077
Caribe,188,2724.8969230769235
Surocciden,187,1896.8546153846155
Antioquia,187,1143.3784615384616
Caribe,187,2514.076153846154
Nordeste,187,1007.3846153846154
Oriental,187,2254.6761538461537
Antioquia,186,1122.3146153846153
Caribe,186,2467.757692307692
Nordeste,186,988.8269230769231
Oriental,186,2213.136153846154
Surocciden,186,1861.9076923076923
Caribe,185,2485.1976923076923
Oriental,185,2228.7784615384617
Surocciden,185,1875.066923076923
Nordeste,185,995.8138461538462
Antioquia,185,1130.246153846154
Surocciden,184,1888.366923076923
Oriental,184,2244.587692307692
Nordeste,184,1002.8776923076923
Caribe,184,2502.825384615385
Antioquia,184,1138.2630769230768
Surocciden,183,1909.9892307692307
Oriental,183,2270.2884615384614
Nordeste,183,1014.3607692307693
Caribe,183,2531.483846153846
Antioquia,183,1151.2953846153846
Antioquia,182,1151.3423076923077
Caribe,182,2531.586153846154
Surocciden,182,1910.066923076923
Oriental,182,2270.38
Nordeste,182,1014.4038461538462
Oriental,181,2238.3553846153845
Nordeste,181,1000.0938461538461
Surocciden,181,1883.1253846153847
Caribe,181,2495.8784615384616
Antioquia,181,1135.1015384615384
Surocciden,180,1827.0984615384614
Oriental,180,2171.7607692307693
Nordeste,180,970.3376923076922
Antioquia,180,1101.3323076923077
Caribe,180,2421.6215384615384
Surocciden,179,1758.5892307692307
Oriental,179,2090.326923076923
Nordeste,179,933.9553846153847
Caribe,179,2330.8184615384616
Antioquia,179,1060.0353846153846
Antioquia,178,1014.1376923076924
Caribe,178,2229.900769230769
Nordeste,178,893.5176923076923
Oriental,178,1999.82
Surocciden,178,1682.4453846153847
Caribe,177,2119.223076923077
Antioquia,177,963.8023076923077
Nordeste,177,849.1692307692308
Oriental,177,1900.5623076923077
Surocciden,177,1598.9392307692308
Nordeste,176,815.9338461538462
Surocciden,176,1536.3623076923077
Oriental,176,1826.1784615384615
Caribe,176,2036.28
Antioquia,176,926.0823076923077
Nordeste,175,833.4715384615386
Antioquia,175,945.9869230769231
Caribe,175,2080.046923076923
Oriental,175,1865.4315384615386
Surocciden,175,1569.383846153846
Surocciden,174,1593.6684615384615
Antioquia,174,960.6253846153847
Oriental,174,1894.2992307692307
Caribe,174,2112.2361538461537
Nordeste,174,846.3684615384616
Oriental,173,1917.8053846153848
Nordeste,173,856.8723076923077
Caribe,173,2138.449230769231
Antioquia,173,972.5461538461539
Surocciden,173,1613.4461538461537
Caribe,172,2199.9069230769232
Antioquia,172,1000.4976923076922
Nordeste,172,881.4992307692307
Oriental,172,1972.923076923077
Surocciden,172,1659.8176923076924
Surocciden,171,1712.809230769231
Oriental,171,2035.9115384615384
Nordeste,171,909.6430769230769
Caribe,171,2270.143846153846
Antioquia,171,1032.4392307692308
Nordeste,170,943.2099999999999
Surocciden,170,1776.0115384615385
Oriental,170,2111.0376923076924
Caribe,170,2353.912307692308
Antioquia,170,1070.5361538461539
Caribe,169,2404.106923076923
Oriental,169,2156.0538461538463
Antioquia,169,1093.3653846153845
Surocciden,169,1813.883846153846
Nordeste,169,963.3223076923077
Nordeste,168,1101.9756410256412
Surocciden,168,2074.962435897436
Oriental,168,2466.380641025641
Antioquia,168,1250.7371794871794
Caribe,168,2750.1383333333333
Nordeste,167,1171.3764102564103
Surocciden,167,2205.639230769231
Oriental,167,2621.7085897435895
Caribe,167,2923.336153846154
Antioquia,167,1329.5065384615384
Antioquia,166,1387.1978205128205
Caribe,166,3050.189358974359
Nordeste,166,1222.2055128205127
Oriental,166,2735.473846153846
Surocciden,166,2301.349230769231
Nordeste,165,1248.7198717948718
Caribe,165,3116.3592307692306
Antioquia,165,1417.291153846154
Surocciden,165,2351.273717948718
Oriental,165,2794.8155128205126
Oriental,164,2799.4021794871796
Nordeste,164,1250.7696153846155
Caribe,164,3121.4726923076923
Antioquia,164,1419.617435897436
Surocciden,164,2355.132051282051
Caribe,163,2974.853717948718
Nordeste,163,1192.0188461538462
Surocciden,163,2244.5084615384617
Oriental,163,2667.9100000000003
Antioquia,163,1352.9360256410255
Antioquia,162,1367.7284615384617
Caribe,162,3007.3799999999997
Nordeste,162,1205.0515384615385
Oriental,162,2697.0811538461535
Surocciden,162,2269.0502564102567
Caribe,161,3047.705512820513
Nordeste,161,1221.2098717948718
Antioquia,161,1386.0682051282051
Oriental,161,2733.245512820513
Surocciden,161,2299.4753846153844
Surocciden,160,2304.324358974359
Oriental,160,2739.009358974359
Nordeste,160,1223.7855128205128
Caribe,160,3054.1324358974357
Antioquia,160,1388.9915384615383
Antioquia,159,1373.8526923076922
Surocciden,159,2279.2091025641025
Oriental,159,2709.1576923076923
Nordeste,159,1210.448076923077
Caribe,159,3020.8451282051283
Antioquia,158,1365.8976923076923
Surocciden,158,2266.0126923076923
Oriental,158,2693.4707692307693
Nordeste,158,1203.439358974359
Caribe,158,3003.354743589744
Oriental,157,2704.6784615384618
Antioquia,157,1371.581794871795
Caribe,157,3015.8516666666665
Nordeste,157,1208.446923076923
Surocciden,157,2275.441282051282
Oriental,156,2638.205769230769
Surocciden,156,2219.517820512821
Nordeste,156,1178.7464102564102
Caribe,156,2941.731153846154
Antioquia,156,1337.871794871795
Caribe,155,2840.6488461538465
Surocciden,155,2143.2528205128206
Oriental,155,2547.5529487179488
Nordeste,155,1138.243205128205
Antioquia,155,1291.9011538461539
Surocciden,154,2070.762948717949
Oriental,154,2461.389102564103
Nordeste,154,1099.7457692307692
Caribe,154,2744.5717948717947
Antioquia,154,1248.2066666666667
Surocciden,153,1959.460512820513
Oriental,153,2329.091538461538
Nordeste,153,1040.635
Caribe,153,2597.0526923076923
Antioquia,153,1181.1158974358973
Nordeste,152,980.030641025641
Antioquia,152,1112.329230769231
Caribe,152,2445.805512820513
Oriental,152,2193.4484615384617
