TRANS_TIMEPOINTS_1,TRANS_TIMEPOINTS_2,TRANS_TIMEPOINTS_3,DispatchTx
Antioquia,Caribe,1,1100.8082260183564
Antioquia,Caribe,2,1100.8082257476838
Antioquia,Caribe,3,1100.8082257390079
Antioquia,Caribe,4,1100.808225734758
Antioquia,Caribe,5,1100.8082257334202
Antioquia,Caribe,6,1100.8082257320843
Antioquia,Caribe,7,1100.8082257403232
Antioquia,Caribe,8,1100.808225738777
Antioquia,Caribe,9,1100.8082257498836
Antioquia,Caribe,10,1100.8082259872451
Antioquia,Caribe,11,1100.808226018799
Antioquia,Caribe,12,1100.8082260258052
Antioquia,Caribe,13,1100.8082260228528
Antioquia,Caribe,14,1100.8082260253552
Antioquia,Caribe,15,1100.808226023028
Antioquia,Caribe,16,1100.8082260216675
Antioquia,Caribe,17,1100.808226021261
Antioquia,Caribe,18,1100.808226022667
Antioquia,Caribe,19,1100.8082260212661
Antioquia,Caribe,20,1100.8082260364724
Antioquia,Caribe,21,1100.8082260332687
Antioquia,Caribe,22,1100.8082260346785
Antioquia,Caribe,23,1100.8082260247322
Antioquia,Caribe,24,1100.808226022521
Antioquia,Caribe,25,1100.8082250821562
Antioquia,Caribe,26,1100.808225061373
Antioquia,Caribe,27,1100.80822503738
Antioquia,Caribe,28,1100.80822499694
Antioquia,Caribe,29,1100.8082249867916
Antioquia,Caribe,30,1100.808224979277
Antioquia,Caribe,31,1100.8082249604836
Antioquia,Caribe,32,1100.8082248632186
Antioquia,Caribe,33,1100.8082248616022
Antioquia,Caribe,34,1100.808224886183
Antioquia,Caribe,35,1100.80822495918
Antioquia,Caribe,36,1100.8082249859965
Antioquia,Caribe,37,1100.8082250274717
Antioquia,Caribe,38,1100.8082250442
Antioquia,Caribe,39,1100.8082250583493
Antioquia,Caribe,40,1100.8082250719367
Antioquia,Caribe,41,1100.808225089561
Antioquia,Caribe,42,1100.8082250935884
Antioquia,Caribe,43,1100.8082250761797
Antioquia,Caribe,44,1100.8082256785817
Antioquia,Caribe,45,1100.808225681144
Antioquia,Caribe,46,1100.8082256807113
Antioquia,Caribe,47,1100.8082256757461
Antioquia,Caribe,48,1100.808225697576
Antioquia,Caribe,49,1100.8082259791822
Antioquia,Caribe,50,1100.8082257345227
Antioquia,Caribe,51,1100.808225730844
Antioquia,Caribe,52,1100.808225727554
Antioquia,Caribe,53,1100.8082257241572
Antioquia,Caribe,54,1100.8082257257347
Antioquia,Caribe,55,1100.808225729953
Antioquia,Caribe,56,1100.8082257333629
Antioquia,Caribe,57,1100.8082257397577
Antioquia,Caribe,58,1100.808225983383
Antioquia,Caribe,59,1100.8082259739472
Antioquia,Caribe,60,1100.80822597826
Antioquia,Caribe,61,1100.808225981965
Antioquia,Caribe,62,1100.8082259801051
Antioquia,Caribe,63,1100.8082259809848
Antioquia,Caribe,64,1100.808225981136
Antioquia,Caribe,65,1100.8082259817904
Antioquia,Caribe,66,1100.80822598274
Antioquia,Caribe,67,1100.8082259804949
Antioquia,Caribe,68,1100.8082260039985
Antioquia,Caribe,69,1100.8082260078097
Antioquia,Caribe,70,1100.808226002923
Antioquia,Caribe,71,1100.8082259805547
Antioquia,Caribe,72,1100.8082259771888
Antioquia,Caribe,73,1100.8082242488774
Antioquia,Caribe,74,1100.8082242425664
Antioquia,Caribe,75,1100.8082241972243
Antioquia,Caribe,76,1100.8082240546712
Antioquia,Caribe,77,1100.8082240474362
Antioquia,Caribe,78,1100.8082240299452
Antioquia,Caribe,79,1100.8082240132394
Antioquia,Caribe,80,1100.8082239299918
Antioquia,Caribe,81,1100.8082239607254
Antioquia,Caribe,82,1100.8082240603947
Antioquia,Caribe,83,1100.8082240361668
Antioquia,Caribe,84,1100.808224173571
Antioquia,Caribe,85,1100.8082242008902
Antioquia,Caribe,86,1100.8082242296382
Antioquia,Caribe,87,1100.8082242481921
Antioquia,Caribe,88,1100.8082242541727
Antioquia,Caribe,89,1100.808224252699
Antioquia,Caribe,90,1100.8082242239725
Antioquia,Caribe,91,1100.808224200708
Antioquia,Caribe,92,1100.8082255882196
