GEN_TP_FUELS_1,GEN_TP_FUELS_2,GEN_TP_FUELS_3,GenFuelUseRate
BARRANQUILL3,1,GASIMPOR,1.1504590689546313e-07
BARRANQUILL3,2,GASIMPOR,1.0685188684816792e-07
BARRANQUILL3,3,GASIMPOR,1.0670143858991286e-07
BARRANQUILL3,4,GASIMPOR,1.0666333748801912e-07
BARRANQUILL3,5,GASIMPOR,1.0665634074871568e-07
BARRANQUILL3,6,GASIMPOR,1.0666576660118864e-07
BARRANQUILL3,7,GASIMPOR,1.0671813881157414e-07
BARRANQUILL3,8,GASIMPOR,1.0671611518871593e-07
BARRANQUILL3,9,GASIMPOR,1.0685751004824279e-07
BARRANQUILL3,10,GASIMPOR,1.1015416916839067e-07
BARRANQUILL3,11,GASIMPOR,1.139846250793943e-07
BARRANQUILL3,12,GASIMPOR,1.1520203790022523e-07
BARRANQUILL3,13,GASIMPOR,1.1439431625166959e-07
BARRANQUILL3,14,GASIMPOR,1.1449052786313955e-07
BARRANQUILL3,15,GASIMPOR,1.149603921839103e-07
BARRANQUILL3,16,GASIMPOR,1.1421604581096717e-07
BARRANQUILL3,17,GASIMPOR,1.1422469901851527e-07
BARRANQUILL3,18,GASIMPOR,1.1424343076113139e-07
BARRANQUILL3,19,GASIMPOR,1.1411869290643099e-07
BARRANQUILL3,20,GASIMPOR,1.1594454703011575e-07
BARRANQUILL3,21,GASIMPOR,1.1609486050324296e-07
BARRANQUILL3,22,GASIMPOR,1.1587238359610704e-07
BARRANQUILL3,23,GASIMPOR,1.1416744627331958e-07
BARRANQUILL3,24,GASIMPOR,1.1448637294212219e-07
BARRANQUILL3,25,GASIMPOR,5.668164705095277e-07
BARRANQUILL3,26,GASIMPOR,5.658074561630539e-07
BARRANQUILL3,27,GASIMPOR,5.647578297001111e-07
BARRANQUILL3,28,GASIMPOR,5.634734134073962e-07
BARRANQUILL3,29,GASIMPOR,5.630841691762727e-07
BARRANQUILL3,30,GASIMPOR,5.627244147125835e-07
BARRANQUILL3,31,GASIMPOR,5.622240742071848e-07
BARRANQUILL3,32,GASIMPOR,5.599651158564985e-07
BARRANQUILL3,33,GASIMPOR,5.599513193697077e-07
BARRANQUILL3,34,GASIMPOR,5.605236766760547e-07
BARRANQUILL3,35,GASIMPOR,5.622652192950099e-07
BARRANQUILL3,36,GASIMPOR,5.630401505139163e-07
BARRANQUILL3,37,GASIMPOR,5.643423064245576e-07
BARRANQUILL3,38,GASIMPOR,5.650169143882319e-07
BARRANQUILL3,39,GASIMPOR,5.65624121097909e-07
BARRANQUILL3,40,GASIMPOR,5.662525481691611e-07
BARRANQUILL3,41,GASIMPOR,5.672034869618188e-07
BARRANQUILL3,42,GASIMPOR,5.680295067546514e-07
BARRANQUILL3,43,GASIMPOR,5.682880511047316e-07
BARRANQUILL3,44,GASIMPOR,6.08375500539744e-07
BARRANQUILL3,45,GASIMPOR,6.089353297636039e-07
BARRANQUILL3,46,GASIMPOR,6.086960531897712e-07
BARRANQUILL3,47,GASIMPOR,6.079158137166009e-07
BARRANQUILL3,48,GASIMPOR,6.128962616795017e-07
BARRANQUILL3,49,GASIMPOR,1.1567799421661215e-07
BARRANQUILL3,50,GASIMPOR,1.1009826864807329e-07
BARRANQUILL3,51,GASIMPOR,1.1005081891522286e-07
BARRANQUILL3,52,GASIMPOR,1.1002945907651554e-07
BARRANQUILL3,53,GASIMPOR,1.1002031400865465e-07
BARRANQUILL3,54,GASIMPOR,1.1002687200409442e-07
BARRANQUILL3,55,GASIMPOR,1.1007242069779855e-07
BARRANQUILL3,56,GASIMPOR,1.1007085625516914e-07
BARRANQUILL3,57,GASIMPOR,1.101563231566816e-07
BARRANQUILL3,58,GASIMPOR,1.1597793127308653e-07
BARRANQUILL3,59,GASIMPOR,1.1452725750028381e-07
BARRANQUILL3,60,GASIMPOR,1.1495094460183948e-07
BARRANQUILL3,61,GASIMPOR,1.1470218613765531e-07
BARRANQUILL3,62,GASIMPOR,1.1471503621558054e-07
BARRANQUILL3,63,GASIMPOR,1.1479291503291005e-07
BARRANQUILL3,64,GASIMPOR,1.1412367230511667e-07
BARRANQUILL3,65,GASIMPOR,1.142235509810419e-07
BARRANQUILL3,66,GASIMPOR,1.1420663934947695e-07
BARRANQUILL3,67,GASIMPOR,1.1416461791744611e-07
BARRANQUILL3,68,GASIMPOR,1.1601816914541327e-07
BARRANQUILL3,69,GASIMPOR,1.1626631095946483e-07
BARRANQUILL3,70,GASIMPOR,1.1599624694488731e-07
BARRANQUILL3,71,GASIMPOR,1.1412482994165467e-07
BARRANQUILL3,72,GASIMPOR,1.1455784534946187e-07
BARRANQUILL3,73,GASIMPOR,5.668756008372376e-07
BARRANQUILL3,74,GASIMPOR,5.666301736480531e-07
BARRANQUILL3,75,GASIMPOR,5.652613510684586e-07
BARRANQUILL3,76,GASIMPOR,5.637787203240138e-07
BARRANQUILL3,77,GASIMPOR,5.634375299297799e-07
BARRANQUILL3,78,GASIMPOR,5.630829800057376e-07
BARRANQUILL3,79,GASIMPOR,5.626974747075391e-07
BARRANQUILL3,80,GASIMPOR,5.616895050663649e-07
BARRANQUILL3,81,GASIMPOR,5.620384900864045e-07
BARRANQUILL3,82,GASIMPOR,5.630165758605738e-07
BARRANQUILL3,83,GASIMPOR,5.632419032032448e-07
BARRANQUILL3,84,GASIMPOR,5.645613568590588e-07
BARRANQUILL3,85,GASIMPOR,5.653283886889592e-07
BARRANQUILL3,86,GASIMPOR,5.661112469789624e-07
BARRANQUILL3,87,GASIMPOR,5.668199031814703e-07
BARRANQUILL3,88,GASIMPOR,5.671811670292007e-07
BARRANQUILL3,89,GASIMPOR,5.677499451996091e-07
BARRANQUILL3,90,GASIMPOR,5.68164506629313e-07
BARRANQUILL3,91,GASIMPOR,5.682549110869426e-07
BARRANQUILL3,92,GASIMPOR,6.083768672499137e-07
BARRANQUILL3,93,GASIMPOR,6.09081007192102e-07
BARRANQUILL3,94,GASIMPOR,6.088504819609608e-07
BARRANQUILL3,95,GASIMPOR,6.080433042951948e-07
BARRANQUILL3,96,GASIMPOR,6.099704567993603e-07
BARRANQUILL3,97,GASIMPOR,1.1510877393687066e-07
BARRANQUILL3,98,GASIMPOR,1.1055019426205174e-07
BARRANQUILL3,99,GASIMPOR,1.1045756694546815e-07
BARRANQUILL3,100,GASIMPOR,1.1042559909685545e-07
BARRANQUILL3,101,GASIMPOR,1.1041445257901694e-07
BARRANQUILL3,102,GASIMPOR,1.1040983375340424e-07
BARRANQUILL3,103,GASIMPOR,1.1044676103197685e-07
BARRANQUILL3,104,GASIMPOR,1.1045790259595836e-07
BARRANQUILL3,105,GASIMPOR,1.148851082616866e-07
BARRANQUILL3,106,GASIMPOR,1.1510713921401369e-07
BARRANQUILL3,107,GASIMPOR,1.1516334459306151e-07
BARRANQUILL3,108,GASIMPOR,1.1530789523858794e-07
BARRANQUILL3,109,GASIMPOR,1.1477288836758761e-07
BARRANQUILL3,110,GASIMPOR,1.1502464577306648e-07
BARRANQUILL3,111,GASIMPOR,1.1466014942690128e-07
BARRANQUILL3,112,GASIMPOR,1.1450343272795582e-07
BARRANQUILL3,113,GASIMPOR,1.1466126735378378e-07
BARRANQUILL3,114,GASIMPOR,1.1457770680653534e-07
BARRANQUILL3,115,GASIMPOR,1.152202633003411e-07
BARRANQUILL3,116,GASIMPOR,1.1491565773297407e-07
BARRANQUILL3,117,GASIMPOR,1.1404533625953226e-07
BARRANQUILL3,118,GASIMPOR,1.145233265327543e-07
BARRANQUILL3,119,GASIMPOR,1.1464815568278662e-07
BARRANQUILL3,120,GASIMPOR,1.148934481685193e-07
BARRANQUILL3,121,GASIMPOR,5.64616924895882e-07
BARRANQUILL3,122,GASIMPOR,5.643510152400117e-07
BARRANQUILL3,123,GASIMPOR,5.636744852663944e-07
BARRANQUILL3,124,GASIMPOR,5.632551448961344e-07
BARRANQUILL3,125,GASIMPOR,5.629555255274529e-07
BARRANQUILL3,126,GASIMPOR,5.62664714108174e-07
BARRANQUILL3,127,GASIMPOR,5.621318217774059e-07
BARRANQUILL3,128,GASIMPOR,5.602856750253486e-07
BARRANQUILL3,129,GASIMPOR,5.616779235055948e-07
BARRANQUILL3,130,GASIMPOR,5.623302932768817e-07
BARRANQUILL3,131,GASIMPOR,5.628208328196996e-07
BARRANQUILL3,132,GASIMPOR,5.631677457826817e-07
BARRANQUILL3,133,GASIMPOR,5.635622841594686e-07
BARRANQUILL3,134,GASIMPOR,5.639811523402762e-07
BARRANQUILL3,135,GASIMPOR,5.64324784361206e-07
BARRANQUILL3,136,GASIMPOR,5.644663185797088e-07
BARRANQUILL3,137,GASIMPOR,5.646038371529917e-07
BARRANQUILL3,138,GASIMPOR,5.646241221698008e-07
BARRANQUILL3,139,GASIMPOR,5.655697808722958e-07
BARRANQUILL3,140,GASIMPOR,5.68330692538998e-07
BARRANQUILL3,141,GASIMPOR,6.123990952617039e-07
BARRANQUILL3,142,GASIMPOR,6.021410183363709e-07
BARRANQUILL3,143,GASIMPOR,5.687645322745043e-07
BARRANQUILL3,144,GASIMPOR,5.666156033326881e-07
BARRANQUILL3,145,GASIMPOR,1.1453842521246441e-07
BARRANQUILL3,146,GASIMPOR,1.1453161451403996e-07
BARRANQUILL3,147,GASIMPOR,1.1461454013487634e-07
BARRANQUILL3,148,GASIMPOR,1.1457487947148045e-07
BARRANQUILL3,149,GASIMPOR,1.1455953999806621e-07
BARRANQUILL3,150,GASIMPOR,1.1456725622130035e-07
BARRANQUILL3,151,GASIMPOR,1.1461753111576826e-07
BARRANQUILL3,152,GASIMPOR,1.1461984341328098e-07
BARRANQUILL3,153,GASIMPOR,1.145473477220317e-07
BARRANQUILL3,154,GASIMPOR,1.146075124615637e-07
BARRANQUILL3,155,GASIMPOR,1.1440499600453508e-07
