generation_project,timestamp,gen_dbid,gen_tech,gen_load_zone,gen_energy_source,tp_weight_in_year_hrs,period,DispatchGen_MW,Energy_GWh_typical_yr,VariableCost_per_yr,DispatchEmissions_tCO2_per_typical_yr,GenCapacity_MW,GenCapitalCosts,GenFixedOMCosts,ChargeStorage_MW,Store_GWh_typical_yr,Discharge_GWh_typical_yr,is_storage
AMOYA,2023_Q1_labor_0h,AMOYA,RunOfRiver,Surocciden,Water,78.21428571428572,2023,34.938136854946336,2.732661418297589,3798.399371433648,0.0,80.0,8978400.293696908,3502400.0,,,,False
AMOYA,2023_Q1_labor_1h,AMOYA,RunOfRiver,Surocciden,Water,78.21428571428572,2023,34.53787107833553,2.7013549164841004,3754.883333912899,0.0,80.0,8978400.293696908,3502400.0,,,,False
AMOYA,2023_Q1_labor_2h,AMOYA,RunOfRiver,Surocciden,Water,78.21428571428572,2023,34.30479244740216,2.683124837850383,3729.5435246120323,0.0,80.0,8978400.293696908,3502400.0,,,,False
AMOYA,2023_Q1_labor_3h,AMOYA,RunOfRiver,Surocciden,Water,78.21428571428572,2023,34.13802473383937,2.6700812202538655,3711.4128961528727,0.0,80.0,8978400.293696908,3502400.0,,,,False
AMOYA,2023_Q1_labor_4h,AMOYA,RunOfRiver,Surocciden,Water,78.21428571428572,2023,34.054719228864975,2.6635655396862252,3702.3561001638527,0.0,80.0,8978400.293696908,3502400.0,,,,False
AMOYA,2023_Q1_labor_5h,AMOYA,RunOfRiver,Surocciden,Water,78.21428571428572,2023,34.12801779635817,2.669298534786586,3710.3249633533537,0.0,80.0,8978400.293696908,3502400.0,,,,False
AMOYA,2023_Q1_labor_6h,AMOYA,RunOfRiver,Surocciden,Water,78.21428571428572,2023,34.35819376252192,2.6873015835686793,3735.3492011604635,0.0,80.0,8978400.293696908,3502400.0,,,,False
AMOYA,2023_Q1_labor_7h,AMOYA,RunOfRiver,Surocciden,Water,78.21428571428572,2023,34.414103919966415,2.6916745565973734,3741.4276336703488,0.0,80.0,8978400.293696908,3502400.0,,,,False
AMOYA,2023_Q1_labor_8h,AMOYA,RunOfRiver,Surocciden,Water,78.21428571428572,2023,34.70760421437842,2.714630472481741,3773.3363567496194,0.0,80.0,8978400.293696908,3502400.0,,,,False
AMOYA,2023_Q1_labor_9h,AMOYA,RunOfRiver,Surocciden,Water,78.21428571428572,2023,35.0432786831089,2.740885011286018,3809.8301656875647,0.0,80.0,8978400.293696908,3502400.0,,,,False
AMOYA,2023_Q1_labor_10h,AMOYA,RunOfRiver,Surocciden,Water,78.21428571428572,2023,35.241049475524186,2.7563535125499277,3831.331382444399,0.0,80.0,8978400.293696908,3502400.0,,,,False
AMOYA,2023_Q1_labor_11h,AMOYA,RunOfRiver,Surocciden,Water,78.21428571428572,2023,35.479603354673614,2.775011833811972,3857.266448998641,0.0,80.0,8978400.293696908,3502400.0,,,,False
AMOYA,2023_Q1_labor_12h,AMOYA,RunOfRiver,Surocciden,Water,78.21428571428572,2023,35.71946308495508,2.793772291287558,3883.343484889706,0.0,80.0,8978400.293696908,3502400.0,,,,False
AMOYA,2023_Q1_labor_13h,AMOYA,RunOfRiver,Surocciden,Water,78.21428571428572,2023,35.73250456933846,2.7947923216732584,3884.7613271258288,0.0,80.0,8978400.293696908,3502400.0,,,,False
AMOYA,2023_Q1_labor_14h,AMOYA,RunOfRiver,Surocciden,Water,78.21428571428572,2023,35.847857509614435,2.8038145695019865,3897.302251607761,0.0,80.0,8978400.293696908,3502400.0,,,,False
AMOYA,2023_Q1_labor_15h,AMOYA,RunOfRiver,Surocciden,Water,78.21428571428572,2023,36.06780597857997,2.8210176818960764,3921.2145778355457,0.0,80.0,8978400.293696908,3502400.0,,,,False
AMOYA,2023_Q1_labor_16h,AMOYA,RunOfRiver,Surocciden,Water,78.21428571428572,2023,36.157970634339215,2.8280698460429603,3931.0170859997143,0.0,80.0,8978400.293696908,3502400.0,,,,False
AMOYA,2023_Q1_labor_17h,AMOYA,RunOfRiver,Surocciden,Water,78.21428571428572,2023,36.10251030378758,2.823732055903386,3924.9875577057064,0.0,80.0,8978400.293696908,3502400.0,,,,False
AMOYA,2023_Q1_labor_18h,AMOYA,RunOfRiver,Surocciden,Water,78.21428571428572,2023,35.95671405344,2.812328706322629,3909.136901788454,0.0,80.0,8978400.293696908,3502400.0,,,,False
AMOYA,2023_Q1_labor_19h,AMOYA,RunOfRiver,Surocciden,Water,78.21428571428572,2023,36.45823407667474,2.8515547367113463,3963.661084028771,0.0,80.0,8978400.293696908,3502400.0,,,,False
AMOYA,2023_Q1_labor_20h,AMOYA,RunOfRiver,Surocciden,Water,78.21428571428572,2023,36.57479564350191,2.860671516402471,3976.333407799434,0.0,80.0,8978400.293696908,3502400.0,,,,False
AMOYA,2023_Q1_labor_21h,AMOYA,RunOfRiver,Surocciden,Water,78.21428571428572,2023,36.33128566496473,2.8416255573668847,3949.8595247399694,0.0,80.0,8978400.293696908,3502400.0,,,,False
AMOYA,2023_Q1_labor_22h,AMOYA,RunOfRiver,Surocciden,Water,78.21428571428572,2023,35.920259349375186,2.809477427683274,3905.1736244797503,0.0,80.0,8978400.293696908,3502400.0,,,,False
