gen_tech,gen_energy_source,period,Energy_GWh_typical_yr,VariableCost_per_yr,DispatchEmissions_tCO2_per_typical_yr,GenCapacity_MW,GenCapitalCosts,GenFixedOMCosts,LCOE_dollar_per_MWh,capacity_factor,Store_GWh_typical_yr,Discharge_GWh_typical_yr
Eolica,Wind,2023,214.27884525942096,0.0,0.0,32.0,5395834.247909282,882240.0,29.298619004170043,0.7644079810909707,0.0,0.0
Eolica,Wind,2024,214.27884524692837,0.0,0.0,32.0,5395834.247909282,882240.0,29.29861900587817,0.7644079810464053,0.0,0.0
Hidro,Water,2023,60090.93671920569,83523737.61555085,0.0,12391.502,1821177345.413436,542499957.56,40.72496077111136,0.5535806694387866,0.0,0.0
Hidro,Water,2024,60090.93671921597,83523737.61560564,0.0,12391.502,1821177345.413436,542499957.56,40.7249607711053,0.5535806694388814,0.0,0.0
RunOfRiver,Water,2023,3840.927490145864,5338889.211302751,0.0,782.05,116267831.30329473,34238149.0,40.57480124642474,0.5606573010090071,0.0,0.0
RunOfRiver,Water,2024,3840.9274901550175,5338889.211315474,0.0,782.05,116267831.30329473,34238149.0,40.57480124633136,0.5606573010103433,0.0,0.0
Thermal,ACPM,2023,2.8656399327722973e-06,0.026650451374782363,0.0015351494525796985,1041.0,202347726.61909693,149092020.0,122639185274.66747,3.1424384842159766e-10,0.0,0.0
Thermal,ACPM,2024,767.1682782075919,7134664.987330606,380130.6993173418,1041.0,202347726.61909693,149092020.0,467.3999457383705,0.0841270772974256,0.0,0.0
Thermal,CARBON,2023,11630.573009870963,97593394.54173778,10837639.089749102,1627.5,255374468.35368097,233090550.0,50.389470269265864,0.8157855501456108,0.0,0.0
Thermal,CARBON,2024,12054.298509698801,101148920.98458776,11535336.378280398,1627.5,255374468.35368097,233090550.0,48.91316893006005,0.8455062818494063,0.0,0.0
Thermal,COMBUSTOLEO,2023,1.5466766988847058e-07,0.0014384093299627766,0.00016086585854073454,178.0,20395980.66718305,25493160.0,296695105717.38556,9.919172303144434e-11,0.0,0.0
Thermal,COMBUSTOLEO,2024,1.6349568215756968e-07,0.001520509844065398,0.00016999925756063598,178.0,20395980.66718305,25493160.0,280674939320.2794,1.0485331829919555e-10,0.0,0.0
Thermal,GASIMPOR,2023,3.9648534142393556e-07,0.0028071162172814638,0.00018912616442076207,835.0,95661453.12922928,119588700.0,542895614649.93384,5.4204651166698866e-11,0.0,0.0
Thermal,GASIMPOR,2024,6.915260040305389e-07,0.005049550149441672,0.0003276086782011822,887.0,101778213.32931766,127036140.0,330883223480.7216,8.899811123001174e-11,0.0,0.0
Thermal,GASNACIO,2023,3740.203430491394,26480640.28783773,1763440.4445827045,2140.0,387975882.69127166,306490800.0,192.75617927669515,0.19951582333095386,0.0,0.0
Thermal,GASNACIO,2024,2969.418113472029,21023480.24333555,1475936.9932485162,2140.0,387975882.69127166,306490800.0,240.95298660989565,0.15839937873255813,0.0,0.0
pv_solar,Solar,2023,1398.2708580427948,1398270.8580427947,0.0,752.17,89831666.0385282,12012154.9,73.83554566894306,0.21221261279204087,0.0,0.0
pv_solar,Solar,2024,3485.475319245211,3313764.0913189864,0.0,1832.0700000000002,218880924.2599225,29245829.9,72.13952050180967,0.21717800652601693,0.0,0.0
