gen_tech,gen_load_zone,gen_energy_source,period,Energy_GWh_typical_yr,VariableCost_per_yr,DispatchEmissions_tCO2_per_typical_yr,GenCapacity_MW,GenCapitalCosts,GenFixedOMCosts,LCOE_dollar_per_MWh,capacity_factor,Store_GWh_typical_yr,Discharge_GWh_typical_yr
Eolica,Caribe,Wind,2023,214.27884525942096,0.0,0.0,32.0,5395834.247909282,882240.0,29.298619004170043,0.7644079810909707,0.0,0.0
Eolica,Caribe,Wind,2024,214.27884524692837,0.0,0.0,32.0,5395834.247909282,882240.0,29.29861900587817,0.7644079810464053,0.0,0.0
Hidro,Antioquia,Water,2023,33086.90477895854,45988133.21860731,0.0,5684.46,919639495.2827839,248865658.8,36.706162012281744,0.6644507876805615,0.0,0.0
Hidro,Antioquia,Water,2024,33086.90477893809,45988133.2186194,0.0,5684.46,919639495.2827839,248865658.8,36.70616201230478,0.6644507876801511,0.0,0.0
Hidro,Caribe,Water,2023,1279.3932126352,1778356.5655629276,0.0,342.9,94389474.08762093,15012162.0,86.90056470143648,0.42592433215855613,0.0,0.0
Hidro,Caribe,Water,2024,1279.3932126410677,1778356.5655710837,0.0,342.9,94389474.08762093,15012162.0,86.90056470104427,0.4259243321605097,0.0,0.0
Hidro,Nordeste,Water,2023,5171.332648567153,7188152.381508342,0.0,882.2,119845587.9203285,38622716.0,32.03361059121503,0.6691620689568047,0.0,0.0
Hidro,Nordeste,Water,2024,5171.332648575479,7188152.381519915,0.0,882.2,119845587.9203285,38622716.0,32.0336105911657,0.6691620689578821,0.0,0.0
Hidro,Oriental,Water,2023,9028.219644499737,12549225.305854632,0.0,2415.0,306395515.0226557,105728700.0,47.038448005331176,0.42675721775526504,0.0,0.0
Hidro,Oriental,Water,2024,9028.2196445076,12549225.305865563,0.0,2415.0,306395515.0226557,105728700.0,47.03844800529141,0.42675721775563685,0.0,0.0
Hidro,Surocciden,Water,2023,11525.08643454506,16019870.144017631,0.0,3066.942,380907273.1000469,134270720.76,46.090575287302215,0.42897750800751727,0.0,0.0
Hidro,Surocciden,Water,2024,11525.086434553728,16019870.14402968,0.0,3066.942,380907273.1000469,134270720.76,46.09057528726859,0.4289775080078399,0.0,0.0
RunOfRiver,Antioquia,Water,2023,1373.5327584490847,1909210.5342442275,0.0,246.35,44830139.96646096,10785203.0,41.88072919764844,0.6364764643470859,0.0,0.0
RunOfRiver,Antioquia,Water,2024,1373.53275845272,1909210.5342492806,0.0,246.35,44830139.96646096,10785203.0,41.88072919754128,0.6364764643487705,0.0,0.0
RunOfRiver,Oriental,Water,2023,1030.5152330919332,1432416.1739977868,0.0,185.0,21808800.713398505,8099300.0,30.412473179424,0.6358850012908386,0.0,0.0
RunOfRiver,Oriental,Water,2024,1030.5152330928372,1432416.1739990434,0.0,185.0,21808800.713398505,8099300.0,30.412473179398543,0.6358850012913964,0.0,0.0
RunOfRiver,Surocciden,Water,2023,1436.8794986048463,1997262.5030607362,0.0,350.7,49628890.623435274,15353646.0,46.614764280185476,0.4677141146945659,0.0,0.0
RunOfRiver,Surocciden,Water,2024,1436.8794986094604,1997262.50306715,0.0,350.7,49628890.623435274,15353646.0,46.61476428004025,0.4677141146960679,0.0,0.0
Thermal,Antioquia,ACPM,2023,1.2265332009408719e-06,0.011406758768750108,0.0005997335237445348,433.0,54791821.79232248,62014260.0,95232710956.4808,3.2336075193269627e-10,0.0,0.0
Thermal,Antioquia,ACPM,2024,588.462751423947,5472703.588242708,287738.51309786225,433.0,54791821.79232248,62014260.0,207.79358605906344,0.1551411389751724,0.0,0.0
Thermal,Antioquia,CARBON,2023,56.940000066605194,477789.6916162714,0.0,6.5,1799460.058863031,930930.0,56.34316379920188,1.0000000011697432,0.0,0.0
