GENERATION_PROJECT,PERIOD,gen_tech,gen_load_zone,gen_energy_source,BuildGen,BuildStorageEnergy,GenCapitalOutlay
AMOYA,2023,RunOfRiver,Surocciden,Water,0,0,0
AMOYA,2024,RunOfRiver,Surocciden,Water,0,0,0
BARRANQUILL3,2023,Thermal,Caribe,GASIMPOR,0,0,0
BARRANQUILL3,2024,Thermal,Caribe,GASIMPOR,0,0,0
BARRANQUILL4,2023,Thermal,Caribe,GASIMPOR,0,0,0
BARRANQUILL4,2024,Thermal,Caribe,GASIMPOR,0,0,0
BETANIA,2023,Hidro,Surocciden,Water,0,0,0
BETANIA,2024,Hidro,Surocciden,Water,0,0,0
C_LLERAS_R,2023,RunOfRiver,Antioquia,Water,0,0,0
C_LLERAS_R,2024,RunOfRiver,Antioquia,Water,0,0,0
CALDERAS,2023,Hidro,Antioquia,Water,0,0,0
CALDERAS,2024,Hidro,Antioquia,Water,0,0,0
CALIMA,2023,Hidro,Surocciden,Water,0,0,0
CALIMA,2024,Hidro,Surocciden,Water,0,0,0
CANDELARIA,2023,Thermal,Caribe,GASIMPOR,0,0,0
CANDELARIA,2024,Thermal,Caribe,GASIMPOR,0,0,0
CARTAGENA1,2023,Thermal,Caribe,COMBUSTOLEO,0,0,0
CARTAGENA1,2024,Thermal,Caribe,COMBUSTOLEO,0,0,0
CARTAGENA2,2023,Thermal,Caribe,COMBUSTOLEO,0,0,0
CARTAGENA2,2024,Thermal,Caribe,COMBUSTOLEO,0,0,0
CARTAGENA3,2023,Thermal,Caribe,COMBUSTOLEO,0,0,0
CARTAGENA3,2024,Thermal,Caribe,COMBUSTOLEO,0,0,0
CHARQUITO,2023,Hidro,Oriental,Water,0,0,0
CHARQUITO,2024,Hidro,Oriental,Water,0,0,0
CHIVOR,2023,Hidro,Oriental,Water,0,0,0
CHIVOR,2024,Hidro,Oriental,Water,0,0,0
CUCUANA,2023,RunOfRiver,Surocciden,Water,0,0,0
CUCUANA,2024,RunOfRiver,Surocciden,Water,0,0,0
DARIO VALENC,2023,RunOfRiver,Oriental,Water,0,0,0
DARIO VALENC,2024,RunOfRiver,Oriental,Water,0,0,0
EL QUIMBO,2023,Hidro,Surocciden,Water,0,0,0
EL QUIMBO,2024,Hidro,Surocciden,Water,0,0,0
ELTESORITO,2023,Thermal,Caribe,GASNACIO,0,0,0
ELTESORITO,2024,Thermal,Caribe,GASNACIO,0,0,0
ESCUELAMINAS,2023,RunOfRiver,Antioquia,Water,0,0,0
ESCUELAMINAS,2024,RunOfRiver,Antioquia,Water,0,0,0
ESMERALDA,2023,RunOfRiver,Surocciden,Water,0,0,0
ESMERALDA,2024,RunOfRiver,Surocciden,Water,0,0,0
FLORES 1,2023,Thermal,Caribe,GASIMPOR,0,0,0
FLORES 1,2024,Thermal,Caribe,GASIMPOR,0,0,0
FLORES4,2023,Thermal,Caribe,GASNACIO,0,0,0
FLORES4,2024,Thermal,Caribe,GASNACIO,0,0,0
GUAJIRA1,2023,Thermal,Caribe,CARBON,0,0,0
GUAJIRA1,2024,Thermal,Caribe,CARBON,0,0,0
GUAJIRA2,2023,Thermal,Caribe,CARBON,0,0,0
GUAJIRA2,2024,Thermal,Caribe,CARBON,0,0,0
GUATAPE,2023,Hidro,Antioquia,Water,0,0,0
GUATAPE,2024,Hidro,Antioquia,Water,0,0,0
GUAVIO,2023,Hidro,Oriental,Water,0,0,0
GUAVIO,2024,Hidro,Oriental,Water,0,0,0
H_AguaFresca,2023,Hidro,Antioquia,Water,0,0,0
H_AguaFresca,2024,Hidro,Antioquia,Water,0,0,0
H_Alejandria,2023,Hidro,Antioquia,Water,0,0,0
H_Alejandria,2024,Hidro,Antioquia,Water,0,0,0
H_Amaime,2023,Hidro,Surocciden,Water,0,0,0
H_Amaime,2024,Hidro,Surocciden,Water,0,0,0
H_Amalfi,2023,Hidro,Antioquia,Water,0,0,0
H_Amalfi,2024,Hidro,Antioquia,Water,0,0,0
H_America,2023,Hidro,Antioquia,Water,0,0,0
H_America,2024,Hidro,Antioquia,Water,0,0,0
H_Asnazu,2023,Hidro,Surocciden,Water,0,0,0
H_Asnazu,2024,Hidro,Surocciden,Water,0,0,0
H_AuresBajo,2023,Hidro,Antioquia,Water,0,0,0
H_AuresBajo,2024,Hidro,Antioquia,Water,0,0,0
H_AutCemNare,2023,Hidro,Antioquia,Water,0,0,0
H_AutCemNare,2024,Hidro,Antioquia,Water,0,0,0
H_Ayura,2023,Hidro,Antioquia,Water,0,0,0
H_Ayura,2024,Hidro,Antioquia,Water,0,0,0
H_Barrancas,2023,Hidro,Antioquia,Water,0,0,0
H_Barrancas,2024,Hidro,Antioquia,Water,0,0,0
H_Barroso,2023,Hidro,Antioquia,Water,0,0,0
H_Barroso,2024,Hidro,Antioquia,Water,0,0,0
H_Bayona,2023,Hidro,Surocciden,Water,0,0,0
H_Bayona,2024,Hidro,Surocciden,Water,0,0,0
H_Belmonte,2023,Hidro,Surocciden,Water,0,0,0
H_Belmonte,2024,Hidro,Surocciden,Water,0,0,0
H_CampestreC,2023,Hidro,Surocciden,Water,0,0,0
H_CampestreC,2024,Hidro,Surocciden,Water,0,0,0
H_Cantayus,2023,Hidro,Antioquia,Water,0,0,0
H_Cantayus,2024,Hidro,Antioquia,Water,0,0,0
H_Caracoli,2023,RunOfRiver,Antioquia,Water,3.75,0,1.15612e+07
H_Caracoli,2024,RunOfRiver,Antioquia,Water,0,0,0
H_Caruquia,2023,Hidro,Antioquia,Water,0,0,0
H_Caruquia,2024,Hidro,Antioquia,Water,0,0,0
H_Cascada,2023,Hidro,Nordeste,Water,0,0,0
H_Cascada,2024,Hidro,Nordeste,Water,0,0,0
H_CascadaAbe,2023,Hidro,Antioquia,Water,0,0,0
H_CascadaAbe,2024,Hidro,Antioquia,Water,0,0,0
H_CascadaAnt,2023,Hidro,Antioquia,Water,0,0,0
H_CascadaAnt,2024,Hidro,Antioquia,Water,0,0,0
H_CascadaGra,2023,Hidro,Antioquia,Water,2.09,0,6.44347e+06
H_CascadaGra,2024,Hidro,Antioquia,Water,0,0,0
H_Bello,2023,Hidro,Antioquia,Water,0,0,0
H_Bello,2024,Hidro,Antioquia,Water,0,0,0
H_Cauya,2023,Hidro,Surocciden,Water,0,0,0
H_Cauya,2024,Hidro,Surocciden,Water,0,0,0
H_Chorrera,2023,Hidro,Antioquia,Water,0,0,0
H_Chorrera,2024,Hidro,Antioquia,Water,0,0,0
H_PalmasSanGil,2023,Hidro,Nordeste,Water,0,0,0
