TRANS_BLD_YRS_1,TRANS_BLD_YRS_2,BuildTx
Antioquia-Caribe,2023,167.02702678708516
Antioquia-Caribe,2024,2.143653549093351e-08
Antioquia-Caribe,2025,8.590612305034777e-09
Antioquia-Caribe,2026,5.452681208333695e-09
Antioquia-Caribe,2027,4.58248638468473e-09
Antioquia-Caribe,2028,4.117621187869728e-09
Antioquia-Caribe,2029,3.7826346924252425e-09
Antioquia-Caribe,2030,3.823119993068255e-09
Antioquia-Caribe,2031,4.041412793232943e-09
Antioquia-Caribe,2032,4.383395705246686e-09
Antioquia-Caribe,2033,4.865070758075886e-09
Antioquia-Caribe,2034,5.354007525389179e-09
Antioquia-Caribe,2035,6.639115585266831e-09
Antioquia-Nordeste,2023,1.621583958141555e-08
Antioquia-Nordeste,2024,4.175035029451495e-09
Antioquia-Nordeste,2025,3.932571670267685e-09
Antioquia-Nordeste,2026,3.908408172840185e-09
Antioquia-Nordeste,2027,3.9655605916385965e-09
Antioquia-Nordeste,2028,4.062485298709877e-09
Antioquia-Nordeste,2029,4.1542165732364024e-09
Antioquia-Nordeste,2030,4.270469927329299e-09
Antioquia-Nordeste,2031,4.4494719010259485e-09
Antioquia-Nordeste,2032,4.710481162818743e-09
Antioquia-Nordeste,2033,5.124680749570807e-09
Antioquia-Nordeste,2034,5.885138100285582e-09
Antioquia-Nordeste,2035,7.890517260849318e-09
Antioquia-Oriental,2023,1.093298018764297e-08
Antioquia-Oriental,2024,5.595188250355619e-09
Antioquia-Oriental,2025,5.719522228808586e-09
Antioquia-Oriental,2026,6.088017494625639e-09
Antioquia-Oriental,2027,6.721944561306015e-09
Antioquia-Oriental,2028,7.783728826518201e-09
Antioquia-Oriental,2029,1.1038374744128383e-08
Antioquia-Oriental,2030,3.6178854729905346e-08
Antioquia-Oriental,2031,5.269012739879507e-08
Antioquia-Oriental,2032,4.141203973698696e-08
Antioquia-Oriental,2033,7.1431519445396e-09
Antioquia-Oriental,2034,8.606841980692185e-09
Antioquia-Oriental,2035,1.7940833339206385e-06
Antioquia-Surocciden,2023,2.5869008997627372e-08
Antioquia-Surocciden,2024,4.0511867457351545e-09
Antioquia-Surocciden,2025,3.838827588810673e-09
Antioquia-Surocciden,2026,3.859603556864455e-09
Antioquia-Surocciden,2027,3.969409992162767e-09
Antioquia-Surocciden,2028,4.114936038470575e-09
Antioquia-Surocciden,2029,4.43924302820496e-09
Antioquia-Surocciden,2030,4.904844566414365e-09
Antioquia-Surocciden,2031,5.479380720743468e-09
Antioquia-Surocciden,2032,5.705887869125054e-09
Antioquia-Surocciden,2033,4.182983551470501e-09
Antioquia-Surocciden,2034,4.913571886607195e-09
Antioquia-Surocciden,2035,1.0636164406601324e-08
Caribe-Nordeste,2023,1.4392818161902975e-08
Caribe-Nordeste,2024,7.059886742558737e-09
Caribe-Nordeste,2025,6.109098565539321e-09
Caribe-Nordeste,2026,4.9990633095252e-09
Caribe-Nordeste,2027,4.513726410286363e-09
Caribe-Nordeste,2028,4.291620817245837e-09
Caribe-Nordeste,2029,4.247606868300345e-09
Caribe-Nordeste,2030,4.441721091906252e-09
Caribe-Nordeste,2031,4.6632646231755925e-09
Caribe-Nordeste,2032,4.930989607825571e-09
Caribe-Nordeste,2033,5.2674505944657264e-09
Caribe-Nordeste,2034,5.782822445733403e-09
Caribe-Nordeste,2035,7.784397500464485e-09
Nordeste-Oriental,2023,1.7549561608845066e-08
Nordeste-Oriental,2024,4.894501993820897e-09
Nordeste-Oriental,2025,4.9095218672243194e-09
Nordeste-Oriental,2026,5.178186261579592e-09
Nordeste-Oriental,2027,5.687553672954512e-09
Nordeste-Oriental,2028,6.635679511843171e-09
Nordeste-Oriental,2029,9.79232371824925e-09
Nordeste-Oriental,2030,2.0134888087222037e-07
Nordeste-Oriental,2031,187.43908906372852
Nordeste-Oriental,2032,98.44718227246622
Nordeste-Oriental,2033,6.014882737903981e-09
Nordeste-Oriental,2034,7.804161571005272e-09
Nordeste-Oriental,2035,241.6289912902555
Oriental-Surocciden,2023,1.589899415733403e-08
Oriental-Surocciden,2024,4.148442474830849e-09
Oriental-Surocciden,2025,3.957349022865965e-09
Oriental-Surocciden,2026,3.906698250138463e-09
Oriental-Surocciden,2027,3.914055689256402e-09
Oriental-Surocciden,2028,3.962635762104114e-09
Oriental-Surocciden,2029,4.079306794821829e-09
Oriental-Surocciden,2030,4.1624429134977985e-09
Oriental-Surocciden,2031,4.1317048258221745e-09
Oriental-Surocciden,2032,4.336740682711905e-09
Oriental-Surocciden,2033,4.722981473702112e-09
Oriental-Surocciden,2034,5.602709741530428e-09
Oriental-Surocciden,2035,8.039800538277964e-09
