PERIOD,Component,Component_type,AnnualCost_NPV,AnnualCost_Real
2023,EmissionsCosts,annual,0.0,0.0
2023,FuelCostsPerTP,timepoint,637835396.516212,660159635.3942809
2023,GenVariableOMCostsInTP,timepoint,211854731.83510205,219269647.4493311
2023,StorageEnergyFixedCost,annual,0.0,0.0
2023,TotalGenFixedCosts,annual,4268421178.670166,4417815919.923632
2023,TxFixedCosts,annual,287074893.5763129,297122514.85148454
2024,EmissionsCosts,annual,0.0,0.0
2024,FuelCostsPerTP,timepoint,657286723.393131,704101970.2668083
2024,GenVariableOMCostsInTP,timepoint,211223221.2538357,226267595.18764064
2024,StorageEnergyFixedCost,annual,0.0,0.0
2024,TotalGenFixedCosts,annual,4273297442.9695973,4577663053.345117
2024,TxFixedCosts,annual,277367046.9352658,297122514.8532307
2025,EmissionsCosts,annual,0.0,0.0
2025,FuelCostsPerTP,timepoint,685932328.6045253,760505433.7642126
2025,GenVariableOMCostsInTP,timepoint,218244530.81985724,241971612.44096464
2025,StorageEnergyFixedCost,annual,0.0,0.0
2025,TotalGenFixedCosts,annual,4141221774.6949596,4591446605.943534
2025,TxFixedCosts,annual,267987484.9629408,297122514.8547068
2026,EmissionsCosts,annual,0.0,0.0
2026,FuelCostsPerTP,timepoint,674233089.2288144,773697977.672514
2026,GenVariableOMCostsInTP,timepoint,226754913.9932414,260206479.3119887
2026,StorageEnergyFixedCost,annual,0.0,0.0
2026,TotalGenFixedCosts,annual,4024898954.7608166,4618664125.779568
2026,TxFixedCosts,annual,258925106.2456002,297122514.85609865
2027,EmissionsCosts,annual,0.0,0.0
2027,FuelCostsPerTP,timepoint,664935617.2941103,789734926.7970676
2027,GenVariableOMCostsInTP,timepoint,224865659.08624834,267069863.90699646
2027,StorageEnergyFixedCost,annual,0.0,0.0
2027,TotalGenFixedCosts,annual,3939461568.3453627,4678844556.345957
2027,TxFixedCosts,annual,250169184.77955803,297122514.8575243
2028,EmissionsCosts,annual,0.0,0.0
2028,FuelCostsPerTP,timepoint,603999310.309486,742469369.306351
2028,GenVariableOMCostsInTP,timepoint,215595312.3405764,265021686.02956352
2028,StorageEnergyFixedCost,annual,0.0,0.0
2028,TotalGenFixedCosts,annual,3883261768.0364213,4773520211.9488
2028,TxFixedCosts,annual,241709357.27616557,297122514.85903656
2029,EmissionsCosts,annual,0.0,0.0
2029,FuelCostsPerTP,timepoint,534043237.4730224,679452136.4576524
2029,GenVariableOMCostsInTP,timepoint,203602485.58253974,259039220.25439608
2029,StorageEnergyFixedCost,annual,0.0,0.0
2029,TotalGenFixedCosts,annual,3831257454.6280136,4874429409.843078
2029,TxFixedCosts,annual,233535610.89643085,297122514.861053
2030,EmissionsCosts,annual,0.0,0.0
2030,FuelCostsPerTP,timepoint,600946277.0446564,791331488.3419181
2030,GenVariableOMCostsInTP,timepoint,214207502.73706925,282070375.3895363
2030,StorageEnergyFixedCost,annual,0.0,0.0
2030,TotalGenFixedCosts,annual,3708703686.8622637,4883654530.279731
2030,TxFixedCosts,annual,237158240.5629169,312292114.36359036
2031,EmissionsCosts,annual,0.0,0.0
2031,FuelCostsPerTP,timepoint,665100312.8572354,906463456.0436119
2031,GenVariableOMCostsInTP,timepoint,223968442.57962117,305245997.60488605
2031,StorageEnergyFixedCost,annual,0.0,0.0
2031,TotalGenFixedCosts,annual,3589559380.935861,4892200979.636769
2031,TxFixedCosts,annual,235341630.34026352,320746485.10196185
2032,EmissionsCosts,annual,0.0,0.0
2032,FuelCostsPerTP,timepoint,734838628.1022737,1036562458.0575947
2032,GenVariableOMCostsInTP,timepoint,232752498.02314538,328320385.24291956
2032,StorageEnergyFixedCost,annual,0.0,0.0
2032,TotalGenFixedCosts,annual,3472874319.442447,4898832210.798447
2032,TxFixedCosts,annual,230797070.50560802,325562061.61019695
2033,EmissionsCosts,annual,0.0,0.0
2033,FuelCostsPerTP,timepoint,803656349.4713961,1173313933.298186
2033,GenVariableOMCostsInTP,timepoint,240069856.23836446,350494720.13085985
2033,StorageEnergyFixedCost,annual,0.0,0.0
2033,TotalGenFixedCosts,annual,3359107401.0527964,4904195082.503461
2033,TxFixedCosts,annual,222992338.65381396,325562061.6117336
2034,EmissionsCosts,annual,0.0,0.0
2034,FuelCostsPerTP,timepoint,881104347.3997889,1331409163.207443
2034,GenVariableOMCostsInTP,timepoint,246456827.3052067,372413187.1299233
2034,StorageEnergyFixedCost,annual,0.0,0.0
2034,TotalGenFixedCosts,annual,3248862414.5450773,4909254166.649695
2034,TxFixedCosts,annual,215451534.93246916,325562061.6136193
2035,EmissionsCosts,annual,0.0,0.0
2035,FuelCostsPerTP,timepoint,957145623.2064449,1496933698.0545337
2035,GenVariableOMCostsInTP,timepoint,252821779.20455202,395402153.7763101
2035,StorageEnergyFixedCost,annual,0.0,0.0
2035,TotalGenFixedCosts,annual,3141573730.514945,4913283274.886158
2035,TxFixedCosts,annual,218745948.63593483,342109052.04694265
