generation_project,gen_dbid,gen_tech,gen_load_zone,gen_energy_source,period,Energy_GWh_typical_yr,VariableCost_per_yr,DispatchEmissions_tCO2_per_typical_yr,GenCapacity_MW,GenCapitalCosts,GenFixedOMCosts,LCOE_dollar_per_MWh,capacity_factor,Store_GWh_typical_yr,Discharge_GWh_typical_yr
AMOYA,AMOYA,RunOfRiver,Surocciden,Water,2023,422.16737966242476,586812.6577307704,0.0,80.0,8978400.293696908,3502400.0,30.953630197285392,0.6024077906141905,,
AMOYA,AMOYA,RunOfRiver,Surocciden,Water,2024,422.16737966247115,586812.657730835,0.0,80.0,8978400.293696908,3502400.0,30.953630197282145,0.6024077906142566,,
AMOYA,AMOYA,RunOfRiver,Surocciden,Water,2025,422.16737966419987,586812.6577332378,0.0,80.0,8978400.293696908,3502400.0,30.953630197161083,0.6024077906167234,,
AMOYA,AMOYA,RunOfRiver,Surocciden,Water,2026,422.16737966211997,586812.6577303468,0.0,80.0,8978400.293696908,3502400.0,30.953630197306737,0.6024077906137555,,
AMOYA,AMOYA,RunOfRiver,Surocciden,Water,2027,422.16737966153016,586812.6577295269,0.0,80.0,8978400.293696908,3502400.0,30.953630197348044,0.6024077906129139,,
AMOYA,AMOYA,RunOfRiver,Surocciden,Water,2028,422.16737965916093,586812.6577262336,0.0,80.0,8978400.293696908,3502400.0,30.953630197513956,0.6024077906095331,,
AMOYA,AMOYA,RunOfRiver,Surocciden,Water,2029,422.1673796591251,586812.6577261838,0.0,80.0,8978400.293696908,3502400.0,30.95363019751646,0.602407790609482,,
AMOYA,AMOYA,RunOfRiver,Surocciden,Water,2030,422.1673796604005,586812.6577279565,0.0,80.0,8978400.293696908,3502400.0,30.95363019742715,0.6024077906113019,,
AMOYA,AMOYA,RunOfRiver,Surocciden,Water,2031,422.1673796615976,586812.6577296206,0.0,80.0,8978400.293696908,3502400.0,30.953630197343315,0.6024077906130102,,
AMOYA,AMOYA,RunOfRiver,Surocciden,Water,2032,422.1673796613297,586812.6577292483,0.0,80.0,8978400.293696908,3502400.0,30.95363019736208,0.6024077906126278,,
AMOYA,AMOYA,RunOfRiver,Surocciden,Water,2033,422.1673796604208,586812.6577279847,0.0,80.0,8978400.293696908,3502400.0,30.953630197425724,0.602407790611331,,
AMOYA,AMOYA,RunOfRiver,Surocciden,Water,2034,422.1673796564928,586812.657722525,0.0,80.0,8978400.293696908,3502400.0,30.9536301977008,0.6024077906057259,,
AMOYA,AMOYA,RunOfRiver,Surocciden,Water,2035,422.16737966013255,586812.6577275842,0.0,80.0,8978400.293696908,3502400.0,30.95363019744591,0.6024077906109196,,
BARRANQUILL3,BARRANQUILL3,Thermal,Caribe,GASIMPOR,2023,2.5986801942663226e-07,0.0018398655775405562,0.00016110629607602416,60.0,6771600.221509176,8593200.0,59125398566.740295,4.944216503550841e-10,,
BARRANQUILL3,BARRANQUILL3,Thermal,Caribe,GASIMPOR,2024,3.3246969890533166e-07,0.002353885468249748,0.00020611601945606561,60.0,6771600.221509176,8593200.0,46214137030.99024,6.325526995915746e-10,,
BARRANQUILL3,BARRANQUILL3,Thermal,Caribe,GASIMPOR,2025,3.5168752098576863e-07,0.0024899476485792417,0.0002180301908914675,60.0,6771600.221509176,8593200.0,43688784239.293144,6.691162880246739e-10,,
BARRANQUILL3,BARRANQUILL3,Thermal,Caribe,GASIMPOR,2026,3.65619533232542e-07,0.002588586295286397,0.0002266674017915073,60.0,6771600.221509176,8593200.0,42024013564.73866,6.956231606403005e-10,,
BARRANQUILL3,BARRANQUILL3,Thermal,Caribe,GASIMPOR,2027,3.813209778140792e-07,0.0026997525229236806,0.00023640157987604298,60.0,6771600.221509176,8593200.0,40293613827.09018,7.254965331318096e-10,,
BARRANQUILL3,BARRANQUILL3,Thermal,Caribe,GASIMPOR,2028,3.7968953031142783e-07,0.0026882018746049088,0.00023539015698155003,60.0,6771600.221509176,8593200.0,40466747164.70298,7.223925614753193e-10,,
BARRANQUILL3,BARRANQUILL3,Thermal,Caribe,GASIMPOR,2029,3.9255497521316113e-07,0.0027792892245091802,0.0002433661448697926,60.0,6771600.221509176,8593200.0,39140505647.50895,7.46870196372072e-10,,
BARRANQUILL3,BARRANQUILL3,Thermal,Caribe,GASIMPOR,2030,4.2937629740961276e-07,0.0030399841856600584,0.00026619368189716825,60.0,6771600.221509176,8593200.0,35783997200.69219,8.169259844170713e-10,,
BARRANQUILL3,BARRANQUILL3,Thermal,Caribe,GASIMPOR,2031,4.528492134594954e-07,0.003206172431293227,0.00028074581713583203,60.0,6771600.221509176,8593200.0,33929175027.90283,8.615852615287201e-10,,
BARRANQUILL3,BARRANQUILL3,Thermal,Caribe,GASIMPOR,2032,4.909412804138739e-07,0.0034758642653302265,0.0003043611578400868,60.0,6771600.221509176,8593200.0,31296614967.9493,9.340587526900186e-10,,
BARRANQUILL3,BARRANQUILL3,Thermal,Caribe,GASIMPOR,2033,4.944588475944935e-07,0.0035007686409690136,0.00030654188873925083,60.0,6771600.221509176,8593200.0,31073971675.82012,9.407512321052003e-10,,
BARRANQUILL3,BARRANQUILL3,Thermal,Caribe,GASIMPOR,2034,4.950792693640712e-07,0.003505161227097624,0.0003069265218831142,60.0,6771600.221509176,8593200.0,31035030500.772957,9.41931638820531e-10,,
