gen_tech,gen_load_zone,gen_energy_source,period,Energy_GWh_typical_yr,VariableCost_per_yr,DispatchEmissions_tCO2_per_typical_yr,GenCapacity_MW,GenCapitalCosts,GenFixedOMCosts,LCOE_dollar_per_MWh,capacity_factor,Store_GWh_typical_yr,Discharge_GWh_typical_yr
Eolica,Caribe,Wind,2023,214.2788473422048,0.0,0.0,32.0,5395834.247909282,882240.0,29.29861871938836,0.764407988520993,0.0,0.0
Eolica,Caribe,Wind,2024,214.27884694719802,0.0,0.0,32.0,5395834.247909282,882240.0,29.298618773398136,0.764407987111865,0.0,0.0
Eolica,Caribe,Wind,2025,214.27884680183033,0.0,0.0,32.0,5395834.247909282,882240.0,29.29861879327445,0.7644079865932872,0.0,0.0
Eolica,Caribe,Wind,2026,214.2788468494189,0.0,0.0,32.0,5395834.247909282,882240.0,29.2986187867676,0.7644079867630524,0.0,0.0
Eolica,Caribe,Wind,2027,1911.9612154966817,0.0,0.0,287.0,44823935.53766147,7912590.0,27.582424324419044,0.7604892429544657,0.0,0.0
Eolica,Caribe,Wind,2028,4842.962812884585,0.0,0.0,737.0,114402937.81369475,20319090.0,27.8181008235847,0.750135191552292,0.0,0.0
Eolica,Caribe,Wind,2029,8148.9054017512135,0.0,0.0,1229.0,190475980.3021578,33883530.0,27.532472061087187,0.7569083341461867,0.0,0.0
Eolica,Caribe,Wind,2030,8148.905401807225,0.0,0.0,1229.0,190475980.3021578,33883530.0,27.532472060897952,0.7569083341513893,0.0,0.0
Eolica,Caribe,Wind,2031,8148.905401777426,0.0,0.0,1229.0,190475980.3021578,33883530.0,27.53247206099863,0.7569083341486214,0.0,0.0
Eolica,Caribe,Wind,2032,8148.905401798814,0.0,0.0,1229.0,190475980.3021578,33883530.0,27.532472060926363,0.7569083341506081,0.0,0.0
Eolica,Caribe,Wind,2033,8148.905401797354,0.0,0.0,1229.0,190475980.3021578,33883530.0,27.532472060931298,0.7569083341504724,0.0,0.0
Eolica,Caribe,Wind,2034,8148.905401676524,0.0,0.0,1229.0,190475980.3021578,33883530.0,27.532472061339544,0.7569083341392492,0.0,0.0
Eolica,Caribe,Wind,2035,8148.905401765109,0.0,0.0,1229.0,190475980.3021578,33883530.0,27.53247206104025,0.7569083341474773,0.0,0.0
