PERIOD,SystemCostPerPeriod_NPV,SystemCostPerPeriod_Real,EnergyCostReal_per_MWh,SystemDemand_MWh
2023,5368241889.248971,5556130355.372697,69.84472608192885,79549747.94883263
2024,5382540896.670223,5765912372.035572,70.2381053033295,82090944.04148526
2025,5278828152.626203,5852731131.869911,69.52109716391095,84186403.4175243
2026,5150116952.132313,5909877658.480563,68.14741743337666,86721960.72959433
2027,5045480526.081163,5992448126.2346,67.08737690893443,89323035.15710345
2028,4913019834.811408,6039355800.378186,65.65060829135422,91992381.45023452
2029,4772814134.711862,6072352448.6331005,64.08033737706509,94761555.52836475
2030,4726277550.817718,6223604990.114043,63.762746717302875,97605660.2095089
2031,4679578814.432549,6377785580.548237,63.44605291998576,100522968.52243127
2032,4635375850.333355,6538655429.49332,63.13825066826957,103560921.63287243
2033,4590338144.531193,6701754682.920336,62.83715183821802,106652744.22645424
2034,4556958260.720446,6885876800.610265,62.684802507036714,109849222.22315827
2035,4535332980.143899,7093061500.017088,62.687101349870204,113150254.95323488
