PERIOD,AnnualEmissions_tCO2_per_yr,carbon_cap_tco2_per_yr,carbon_cap_dual_future_dollar_per_tco2,carbon_cost_dollar_per_tco2,carbon_cost_annual_total
2023,1.24555e+07,inf,.,0,0
2024,1.31834e+07,inf,.,0,0
2025,1.47951e+07,inf,.,0,0
2026,1.62264e+07,inf,.,0,0
2027,1.65887e+07,inf,.,0,0
2028,1.62297e+07,inf,.,0,0
2029,1.5704e+07,inf,.,0,0
2030,1.72498e+07,inf,.,0,0
2031,1.86466e+07,inf,.,0,0
2032,2.02158e+07,inf,.,0,0
2033,2.15709e+07,inf,.,0,0
2034,2.29735e+07,inf,.,0,0
2035,2.44743e+07,inf,.,0,0
