hydro_project,timeseries,hydro_avg_flow_mw,hydro_min_flow_mw
AMOYA,2023_Q1_holidays,35.503285299999995,0.53926
AMOYA,2023_Q1_labor,33.8673716,0.005849999999999999
AMOYA,2023_Q2_holidays,49.183004,0.02993
AMOYA,2023_Q2_labor,46.84284160000001,0.0030299999999999997
AMOYA,2023_Q3_holidays,59.213658800000005,1.4005999999999998
AMOYA,2023_Q3_labor,60.100366199999996,0.03678
AMOYA,2023_Q4_holidays,47.94226999999999,0.007809999999999999
AMOYA,2023_Q4_labor,52.1146252,0.00135
BETANIA,2023_Q1_holidays,60.552313500000004,59.84668
BETANIA,2023_Q1_labor,60.601974999999996,59.29976
BETANIA,2023_Q2_holidays,119.50980129999999,0.00064
BETANIA,2023_Q2_labor,243.9099155,0.23228000000000001
BETANIA,2023_Q3_holidays,60.525431499999996,59.88416
BETANIA,2023_Q3_labor,192.03020800000013,0.04942
BETANIA,2023_Q4_holidays,60.4920375,59.42281
BETANIA,2023_Q4_labor,60.882754500000004,59.164809999999996
CALIMA,2023_Q1_holidays,97.10592000000001,0.03599
CALIMA,2023_Q1_labor,98.4950121,0.006
CALIMA,2023_Q2_holidays,15.84816,0.17637
CALIMA,2023_Q2_labor,63.7281657,0.00034
CALIMA,2023_Q3_holidays,46.501184,2.70181
CALIMA,2023_Q3_labor,101.2145562,0.012
CALIMA,2023_Q4_holidays,65.95976999999999,0.01688
CALIMA,2023_Q4_labor,92.0166168,0.00349
CHIVOR,2023_Q1_holidays,292.9011855,0.88719
CHIVOR,2023_Q1_labor,339.5659212,0.22623
CHIVOR,2023_Q2_holidays,311.9002623,1.0424200000000001
CHIVOR,2023_Q2_labor,420.2929372,0.18027
CHIVOR,2023_Q3_holidays,740.025054,1.30438
CHIVOR,2023_Q3_labor,815.8789283,1.02402
CHIVOR,2023_Q4_holidays,263.9845784,0.12028
CHIVOR,2023_Q4_labor,479.8296434,0.00483
CUCUANA,2023_Q1_holidays,15.571353199999999,1.3145
CUCUANA,2023_Q1_labor,14.603628800000001,0.01231
CUCUANA,2023_Q2_holidays,27.901021000000004,3.90522
CUCUANA,2023_Q2_labor,26.401846000000003,0.01567
CUCUANA,2023_Q3_holidays,22.2712842,0.03008
CUCUANA,2023_Q3_labor,22.3928653,0.014410000000000001
CUCUANA,2023_Q4_holidays,22.1832575,0.06929
CUCUANA,2023_Q4_labor,22.297338,0.01745
C_LLERAS_R,2023_Q1_holidays,43.5891765,15.555040000000002
C_LLERAS_R,2023_Q1_labor,53.4646583,0.00875
C_LLERAS_R,2023_Q2_holidays,50.392251200000004,8.9424
C_LLERAS_R,2023_Q2_labor,50.9128176,0.028489999999999998
C_LLERAS_R,2023_Q3_holidays,52.4507084,15.613040000000002
C_LLERAS_R,2023_Q3_labor,54.08101800000001,0.08511
C_LLERAS_R,2023_Q4_holidays,51.4385689,3.96478
C_LLERAS_R,2023_Q4_labor,51.426349099999996,0.09328
DARIO VALENC,2023_Q1_holidays,63.9811178,0.03696
DARIO VALENC,2023_Q1_labor,62.4303028,0.49721
DARIO VALENC,2023_Q2_holidays,100.4991906,0.2733
DARIO VALENC,2023_Q2_labor,99.40640679999998,0.0675
DARIO VALENC,2023_Q3_holidays,99.7089116,0.2335
DARIO VALENC,2023_Q3_labor,90.50224970000002,0.00464
DARIO VALENC,2023_Q4_holidays,88.38312520000001,0.32172
DARIO VALENC,2023_Q4_labor,99.10557000000001,0.060200000000000004
EL QUIMBO,2023_Q1_holidays,100.04779599999999,29.54363
EL QUIMBO,2023_Q1_labor,145.94562820000002,35.24369
EL QUIMBO,2023_Q2_holidays,86.316619,76.52663000000001
EL QUIMBO,2023_Q2_labor,87.2880456,40.95992
EL QUIMBO,2023_Q3_holidays,100.22770200000001,77.38903
