TRANS_BLD_YRS_1,TRANS_BLD_YRS_2,BuildTx
Antioquia-Caribe,2023,13.149350064100483
Antioquia-Caribe,2024,1.0756625655535116e-08
Antioquia-Caribe,2025,89.42510915256706
Antioquia-Caribe,2026,44.1793080876287
Antioquia-Caribe,2027,5.40771138435234e-10
Antioquia-Caribe,2028,3.270137436642778e-10
Antioquia-Caribe,2029,2.4323557053576865e-10
Antioquia-Caribe,2030,3.6223207930493937e-10
Antioquia-Caribe,2031,5.402514470484562e-10
Antioquia-Caribe,2032,5.332744071902791e-10
Antioquia-Caribe,2033,4.868280590005684e-10
Antioquia-Caribe,2034,6.495365108809927e-10
Antioquia-Caribe,2035,1.6839821285240569e-09
Antioquia-Nordeste,2023,1.7355520394645303e-09
Antioquia-Nordeste,2024,4.961910371233262e-10
Antioquia-Nordeste,2025,5.894524228249336e-10
Antioquia-Nordeste,2026,8.030081253542695e-10
Antioquia-Nordeste,2027,6.681130201664701e-10
Antioquia-Nordeste,2028,5.813520100148754e-10
Antioquia-Nordeste,2029,5.847872979951083e-10
Antioquia-Nordeste,2030,6.196504202617035e-10
Antioquia-Nordeste,2031,7.35536684961136e-10
Antioquia-Nordeste,2032,9.295389053511278e-10
Antioquia-Nordeste,2033,1.3661054326862947e-09
Antioquia-Nordeste,2034,3.507368753178819e-09
Antioquia-Nordeste,2035,6.664137550498628e-09
Antioquia-Oriental,2023,1.0927866431700858e-09
Antioquia-Oriental,2024,5.803927292813008e-10
Antioquia-Oriental,2025,1.0108084887583986e-09
Antioquia-Oriental,2026,5.465313520104251e-09
Antioquia-Oriental,2027,1.5659466594205531e-09
Antioquia-Oriental,2028,9.759827989498643e-10
Antioquia-Oriental,2029,2.468707895503648e-09
Antioquia-Oriental,2030,1.412778003610335e-07
Antioquia-Oriental,2031,71.2296343525849
Antioquia-Oriental,2032,2.3521132130031864e-09
Antioquia-Oriental,2033,1.3431128888064724e-09
Antioquia-Oriental,2034,1.412694826047002e-09
Antioquia-Oriental,2035,8.821978255170916e-09
Antioquia-Surocciden,2023,2.6927739058906245e-09
Antioquia-Surocciden,2024,4.35082653761712e-10
Antioquia-Surocciden,2025,5.518983359168737e-10
Antioquia-Surocciden,2026,7.108013316940972e-10
Antioquia-Surocciden,2027,6.081346401586569e-10
Antioquia-Surocciden,2028,4.4317833193455823e-10
Antioquia-Surocciden,2029,4.5063709387722416e-10
Antioquia-Surocciden,2030,1.1260970390700018e-09
Antioquia-Surocciden,2031,1.7697282851178025e-09
Antioquia-Surocciden,2032,1.0997063575309807e-09
Antioquia-Surocciden,2033,6.074084109308266e-10
Antioquia-Surocciden,2034,9.462236742356992e-10
Antioquia-Surocciden,2035,4.287446142264741e-09
Caribe-Nordeste,2023,9.583901652341914e-10
Caribe-Nordeste,2024,5.268398811034212e-10
Caribe-Nordeste,2025,5.387660129367815e-10
Caribe-Nordeste,2026,5.506473789557675e-10
Caribe-Nordeste,2027,4.2504048466368413e-10
Caribe-Nordeste,2028,3.9057442477833647e-10
Caribe-Nordeste,2029,4.1485008490562286e-10
Caribe-Nordeste,2030,4.743379826710844e-10
Caribe-Nordeste,2031,5.362185347302771e-10
Caribe-Nordeste,2032,6.190416563228499e-10
Caribe-Nordeste,2033,7.80771411425727e-10
Caribe-Nordeste,2034,1.2013888436363688e-09
Caribe-Nordeste,2035,2.2526552844868535e-09
Nordeste-Oriental,2023,1.4152985217438128e-09
Nordeste-Oriental,2024,4.3602475260097134e-10
Nordeste-Oriental,2025,4.525483917329293e-10
Nordeste-Oriental,2026,5.002812998015694e-10
Nordeste-Oriental,2027,6.236615998395991e-10
Nordeste-Oriental,2028,8.645047341224673e-10
Nordeste-Oriental,2029,1.559592196761326e-09
Nordeste-Oriental,2030,34.15152205829569
Nordeste-Oriental,2031,6.56910201822843e-09
Nordeste-Oriental,2032,1.1514735819412754e-09
Nordeste-Oriental,2033,6.757719760646371e-10
Nordeste-Oriental,2034,9.539038431811891e-10
Nordeste-Oriental,2035,2.5182781836211476e-09
Oriental-Surocciden,2023,1.2200875212761097e-09
Oriental-Surocciden,2024,3.4043530066603675e-10
Oriental-Surocciden,2025,3.005269090173604e-10
Oriental-Surocciden,2026,2.8553980689902625e-10
Oriental-Surocciden,2027,3.5333727542606233e-10
Oriental-Surocciden,2028,4.1711019864908676e-10
Oriental-Surocciden,2029,3.900101363605591e-10
Oriental-Surocciden,2030,4.162427067171285e-10
Oriental-Surocciden,2031,5.873499657006656e-10
Oriental-Surocciden,2032,6.597534788902977e-10
Oriental-Surocciden,2033,5.996302537865586e-10
Oriental-Surocciden,2034,6.095008382124269e-10
Oriental-Surocciden,2035,1.0820039853552867e-09
