PERIOD,AnnualEmissions_tCO2_per_yr,carbon_cap_tco2_per_yr,carbon_cap_dual_future_dollar_per_tco2,carbon_cost_dollar_per_tco2,carbon_cost_annual_total
2023,1.32187e+07,inf,.,0,0
2024,6.67002e+06,inf,.,0,0
2025,8.34712e+06,inf,.,0,0
2026,2.60632e+06,inf,.,0,0
2027,2.86963e+06,inf,.,0,0
2028,2.76158e+06,inf,.,0,0
2029,1.86102e+06,inf,.,0,0
2030,2.94676e+06,inf,.,0,0
2031,3.72804e+06,inf,.,0,0
2032,3.34005e+06,inf,.,0,0
2033,3.04471e+06,inf,.,0,0
2034,4.36999e+06,inf,.,0,0
2035,3.2266e+06,inf,.,0,0
