generation_project,gen_dbid,gen_tech,gen_load_zone,gen_energy_source,period,Energy_GWh_typical_yr,VariableCost_per_yr,DispatchEmissions_tCO2_per_typical_yr,GenCapacity_MW,GenCapitalCosts,GenFixedOMCosts,LCOE_dollar_per_MWh,capacity_factor,Store_GWh_typical_yr,Discharge_GWh_typical_yr
AMOYA,AMOYA,Hidro,Surocciden,Water,2023,422.1673786614638,586812.6563394347,0.0,80.0,8978400.293696908,3502400.0,30.95363026738091,0.6024077891858786,,
AMOYA,AMOYA,Hidro,Surocciden,Water,2024,422.16737866129256,586812.6563391965,0.0,80.0,8978400.293696908,3502400.0,30.9536302673929,0.6024077891856342,,
AMOYA,AMOYA,Hidro,Surocciden,Water,2025,422.16737866116614,586812.6563390208,0.0,80.0,8978400.293696908,3502400.0,30.953630267401756,0.6024077891854538,,
AMOYA,AMOYA,Hidro,Surocciden,Water,2026,422.1673782176682,586812.6557225587,0.0,80.0,8978400.293696908,3502400.0,30.953630298459125,0.6024077885526087,,
AMOYA,AMOYA,Hidro,Surocciden,Water,2027,422.1673782114943,586812.655713977,0.0,80.0,8978400.293696908,3502400.0,30.953630298891472,0.6024077885437988,,
AMOYA,AMOYA,Hidro,Surocciden,Water,2028,422.1673772850877,586812.6544262718,0.0,80.0,8978400.293696908,3502400.0,30.953630363766074,0.6024077872218716,,
AMOYA,AMOYA,Hidro,Surocciden,Water,2029,422.1673784054389,586812.65598356,0.0,80.0,8978400.293696908,3502400.0,30.95363028530987,0.6024077888205464,,
AMOYA,AMOYA,Hidro,Surocciden,Water,2030,422.16737841515857,586812.6559970704,0.0,80.0,8978400.293696908,3502400.0,30.953630284629224,0.6024077888344156,,
AMOYA,AMOYA,Hidro,Surocciden,Water,2031,422.16737862913226,586812.6562944937,0.0,80.0,8978400.293696908,3502400.0,30.95363026964503,0.6024077891397434,,
AMOYA,AMOYA,Hidro,Surocciden,Water,2032,422.1673783953004,586812.6559694675,0.0,80.0,8978400.293696908,3502400.0,30.95363028601986,0.6024077888060791,,
AMOYA,AMOYA,Hidro,Surocciden,Water,2033,422.16737864225877,586812.6563127396,0.0,80.0,8978400.293696908,3502400.0,30.953630268725803,0.6024077891584741,,
AMOYA,AMOYA,Hidro,Surocciden,Water,2034,422.16737814155704,586812.6556167642,0.0,80.0,8978400.293696908,3502400.0,30.95363030378905,0.6024077884440026,,
AMOYA,AMOYA,Hidro,Surocciden,Water,2035,422.1673786505666,586812.6563242875,0.0,80.0,8978400.293696908,3502400.0,30.953630268144014,0.602407789170329,,
BARRANQUILL3,BARRANQUILL3,Thermal,Caribe,GASIMPOR,2023,5.8495769413420786e-08,0.00041415004744701914,3.626470377965869e-05,60.0,6771600.221509176,8593200.0,262665152984.51913,1.112933208017899e-10,,
BARRANQUILL3,BARRANQUILL3,Thermal,Caribe,GASIMPOR,2024,6.854037580986553e-08,0.00048526586073384793,4.249190070694212e-05,60.0,6771600.221509176,8593200.0,224171519931.8016,1.3040406356519316e-10,,
BARRANQUILL3,BARRANQUILL3,Thermal,Caribe,GASIMPOR,2025,7.307608869082726e-08,0.0005173787079310569,4.530383541105972e-05,60.0,6771600.221509176,8593200.0,210257561635.9609,1.3903365428239583e-10,,
BARRANQUILL3,BARRANQUILL3,Thermal,Caribe,GASIMPOR,2026,6.372218359555069e-08,0.0004511530598564988,3.9504841725451106e-05,60.0,6771600.221509176,8593200.0,241121684082.2943,1.212370311939701e-10,,
BARRANQUILL3,BARRANQUILL3,Thermal,Caribe,GASIMPOR,2027,6.807506460878362e-08,0.000481971457430188,4.2203429026993215e-05,60.0,6771600.221509176,8593200.0,225703791987.42108,1.2951876828155175e-10,,
BARRANQUILL3,BARRANQUILL3,Thermal,Caribe,GASIMPOR,2028,6.117060012553845e-08,0.0004330878488888123,3.79229765814081e-05,60.0,6771600.221509176,8593200.0,251179491298.26385,1.1638242033017207e-10,,
BARRANQUILL3,BARRANQUILL3,Thermal,Caribe,GASIMPOR,2029,6.42008188587235e-08,0.00045454179751976234,3.9801573714986726e-05,60.0,6771600.221509176,8593200.0,239324053728.576,1.2214767667184834e-10,,
BARRANQUILL3,BARRANQUILL3,Thermal,Caribe,GASIMPOR,2030,7.371856845564821e-08,0.0005219274646659893,4.570214350392346e-05,60.0,6771600.221509176,8593200.0,208425102981.68814,1.4025602826417085e-10,,
BARRANQUILL3,BARRANQUILL3,Thermal,Caribe,GASIMPOR,2031,7.773472353842823e-08,0.0005503618426520719,4.8191976116959796e-05,60.0,6771600.221509176,8593200.0,197656845263.802,1.4789711479914046e-10,,
BARRANQUILL3,BARRANQUILL3,Thermal,Caribe,GASIMPOR,2032,7.828876317740891e-08,0.000554284443296055,4.85354553735163e-05,60.0,6771600.221509176,8593200.0,196258052860.607,1.4895122370131069e-10,,
BARRANQUILL3,BARRANQUILL3,Thermal,Caribe,GASIMPOR,2033,7.655814320875592e-08,0.0005420316539179919,4.7462550082284025e-05,60.0,6771600.221509176,8593200.0,200694525468.76743,1.4565856774877456e-10,,
BARRANQUILL3,BARRANQUILL3,Thermal,Caribe,GASIMPOR,2034,7.220227457272682e-08,0.0005111921039749058,4.476211059114265e-05,60.0,6771600.221509176,8593200.0,212802163269.02478,1.3737114644734932e-10,,
BARRANQUILL3,BARRANQUILL3,Thermal,Caribe,GASIMPOR,2035,7.793031580941874e-08,0.0005517466359306847,4.831323438640713e-05,60.0,6771600.221509176,8593200.0,197160759102.2224,1.4826924621274492e-10,,
BARRANQUILL4,BARRANQUILL4,Thermal,Caribe,GASIMPOR,2023,5.004302675251091e-08,0.00035430462940777725,3.4454944194474985e-05,60.0,6782400.22186246,8593200.0,307247607109.3221,9.521123811360521e-11,,
BARRANQUILL4,BARRANQUILL4,Thermal,Caribe,GASIMPOR,2024,5.829729448193004e-08,0.0004127448449320647,4.013806035349352e-05,60.0,6782400.22186246,8593200.0,263744661890.63132,1.109157048742961e-10,,
BARRANQUILL4,BARRANQUILL4,Thermal,Caribe,GASIMPOR,2025,6.191799981606027e-08,0.00043837943869770666,4.2630939148556317e-05,60.0,6782400.22186246,8593200.0,248321978551.9092,1.178044136530827e-10,,
BARRANQUILL4,BARRANQUILL4,Thermal,Caribe,GASIMPOR,2026,5.529000695233128e-08,0.0003914532492225055,3.8067523642724586e-05,60.0,6782400.22186246,8593200.0,278090039589.0727,1.0519407715435936e-10,,
BARRANQUILL4,BARRANQUILL4,Thermal,Caribe,GASIMPOR,2027,5.897747636131505e-08,0.00041756053263811046,4.060636993061412e-05,60.0,6782400.22186246,8593200.0,260702918654.64252,1.1220981042868158e-10,,
BARRANQUILL4,BARRANQUILL4,Thermal,Caribe,GASIMPOR,2028,5.4031568189407034e-08,0.0003825435027810018,3.7201080500443156e-05,60.0,6782400.22186246,8593200.0,284566980701.8374,1.027997872705613e-10,,
BARRANQUILL4,BARRANQUILL4,Thermal,Caribe,GASIMPOR,2029,5.672756581706896e-08,0.0004016311659848482,3.905729212147321e-05,60.0,6782400.22186246,8593200.0,271042834304.68774,1.0792915870827425e-10,,
BARRANQUILL4,BARRANQUILL4,Thermal,Caribe,GASIMPOR,2030,6.433362799079299e-08,0.0004554820861748144,4.4294114606880125e-05,60.0,6782400.22186246,8593200.0,238997872535.93716,1.224003576689364e-10,,
BARRANQUILL4,BARRANQUILL4,Thermal,Caribe,GASIMPOR,2031,6.760062758671617e-08,0.00047861244331395044,4.654346473747064e-05,60.0,6782400.22186246,8593200.0,227447595846.91263,1.2861611032480245e-10,,
BARRANQUILL4,BARRANQUILL4,Thermal,Caribe,GASIMPOR,2032,6.828520436906622e-08,0.0004834592469329888,4.701480023341006e-05,60.0,6782400.22186246,8593200.0,225167375047.22464,1.2991857756671654e-10,,
BARRANQUILL4,BARRANQUILL4,Thermal,Caribe,GASIMPOR,2033,6.722088368891723e-08,0.00047592385651753404,4.628200863347512e-05,60.0,6782400.22186246,8593200.0,228732491728.21234,1.2789361432442392e-10,,
BARRANQUILL4,BARRANQUILL4,Thermal,Caribe,GASIMPOR,2034,6.402433160722686e-08,0.00045329226777916613,4.408116206729798e-05,60.0,6782400.22186246,8593200.0,240152451987.17862,1.2181189422988366e-10,,
BARRANQUILL4,BARRANQUILL4,Thermal,Caribe,GASIMPOR,2035,6.88433465365552e-08,0.0004874108934788108,4.739908468783609e-05,60.0,6782400.22186246,8593200.0,223341847772.98068,1.309804918884231e-10,,
BETANIA,BETANIA,Hidro,Surocciden,Water,2023,1140.5609800628024,1585379.762287295,0.0,540.0,61187402.001531474,23641200.0,75.76445562696752,0.24111300948393416,,
BETANIA,BETANIA,Hidro,Surocciden,Water,2024,1140.5609800626073,1585379.762287024,0.0,540.0,61187402.001531474,23641200.0,75.76445562698025,0.2411130094838929,,
BETANIA,BETANIA,Hidro,Surocciden,Water,2025,1140.5609800624854,1585379.7622868547,0.0,540.0,61187402.001531474,23641200.0,75.7644556269882,0.24111300948386716,,
BETANIA,BETANIA,Hidro,Surocciden,Water,2026,1140.5609796611006,1585379.7617289296,0.0,540.0,61187402.001531474,23641200.0,75.76445565316196,0.24111300939901495,,
BETANIA,BETANIA,Hidro,Surocciden,Water,2027,1140.560979652285,1585379.761716676,0.0,540.0,61187402.001531474,23641200.0,75.76445565373682,0.24111300939715133,,
BETANIA,BETANIA,Hidro,Surocciden,Water,2028,1140.5609788717256,1585379.7606316984,0.0,540.0,61187402.001531474,23641200.0,75.76445570463603,0.24111300923214218,,
BETANIA,BETANIA,Hidro,Surocciden,Water,2029,1140.5609798268215,1585379.7619592815,0.0,540.0,61187402.001531474,23641200.0,75.76445564235551,0.24111300943404812,,
