load_zone,timestamp,ZoneTotalCentralDispatch,ZoneTotalDistributedDispatch,TXPowerNet,zone_demand_mw,StorageNetCharge
Antioquia,2023_Q1_labor_0h,3860.63,0,-2766.85,1093.78,0
Antioquia,2023_Q1_labor_1h,3758.25,0,-2725.7,1032.55,0
Antioquia,2023_Q1_labor_2h,3695.46,0,-2698.19,997.272,0
Antioquia,2023_Q1_labor_3h,3649.07,0,-2676.81,972.263,0
Antioquia,2023_Q1_labor_4h,3626.2,0,-2665.95,960.252,0
Antioquia,2023_Q1_labor_5h,3654.54,0,-2679.49,975.055,0
Antioquia,2023_Q1_labor_6h,3724.26,0,-2709.08,1015.18,0
Antioquia,2023_Q1_labor_7h,3757.74,0,-2718.91,1038.83,0
Antioquia,2023_Q1_labor_8h,3856.46,0,-2754.92,1101.54,0
Antioquia,2023_Q1_labor_9h,3960.4,0,-2790.56,1169.83,0
Antioquia,2023_Q1_labor_10h,4023.38,0,-2811.01,1212.36,0
Antioquia,2023_Q1_labor_11h,4087.7,0,-2833.26,1254.44,0
Antioquia,2023_Q1_labor_12h,4141.59,0,-2853.7,1287.89,0
Antioquia,2023_Q1_labor_13h,4135.71,0,-2853.43,1282.28,0
Antioquia,2023_Q1_labor_14h,4145.39,0,-2860.31,1285.08,0
Antioquia,2023_Q1_labor_15h,4173.2,0,-2875.38,1297.82,0
Antioquia,2023_Q1_labor_16h,4175.98,0,-2881.06,1294.92,0
Antioquia,2023_Q1_labor_17h,4145.89,0,-2872.76,1273.13,0
Antioquia,2023_Q1_labor_18h,4106.9,0,-2858.47,1248.43,0
Antioquia,2023_Q1_labor_19h,4216.66,0,-2903.13,1313.53,0
Antioquia,2023_Q1_labor_20h,4241.6,0,-2913.7,1327.9,0
Antioquia,2023_Q1_labor_21h,4183.52,0,-2889.05,1294.47,0
Antioquia,2023_Q1_labor_22h,4090.08,0,-2851.92,1238.16,0
Antioquia,2023_Q1_labor_23h,3971.54,0,-2808.05,1163.49,0
Antioquia,2023_Q1_holidays_0h,3816.29,0,-2789.71,1026.58,0
Antioquia,2023_Q1_holidays_1h,3768.87,0,-2765.82,1003.05,0
Antioquia,2023_Q1_holidays_2h,3700.76,0,-2731.06,969.7,0
Antioquia,2023_Q1_holidays_3h,3643.23,0,-2700.95,942.278,0
Antioquia,2023_Q1_holidays_4h,3599.92,0,-2678.39,921.532,0
Antioquia,2023_Q1_holidays_5h,3576.37,0,-2666.02,910.347,0
Antioquia,2023_Q1_holidays_6h,3552.01,0,-2650.53,901.478,0
Antioquia,2023_Q1_holidays_7h,3478.03,0,-2604.31,873.72,0
Antioquia,2023_Q1_holidays_8h,3524.77,0,-2622.42,902.352,0
Antioquia,2023_Q1_holidays_9h,3621.66,0,-2667.5,954.16,0
Antioquia,2023_Q1_holidays_10h,3711.74,0,-2709.8,1001.94,0
Antioquia,2023_Q1_holidays_11h,3785.31,0,-2744.85,1040.45,0
Antioquia,2023_Q1_holidays_12h,3851.4,0,-2778.49,1072.92,0
Antioquia,2023_Q1_holidays_13h,3885.49,0,-2798.56,1086.92,0
Antioquia,2023_Q1_holidays_14h,3891.04,0,-2806.18,1084.86,0
Antioquia,2023_Q1_holidays_15h,3881.95,0,-2807.98,1073.97,0
Antioquia,2023_Q1_holidays_16h,3876.13,0,-2811.57,1064.56,0
Antioquia,2023_Q1_holidays_17h,3870.59,0,-2814.48,1056.11,0
Antioquia,2023_Q1_holidays_18h,3887.37,0,-2825.43,1061.94,0
Antioquia,2023_Q1_holidays_19h,4066.31,0,-2913.42,1152.89,0
Antioquia,2023_Q1_holidays_20h,4126.66,0,-2942.99,1183.66,0
Antioquia,2023_Q1_holidays_21h,4096.35,0,-2927.43,1168.93,0
Antioquia,2023_Q1_holidays_22h,4027.56,0,-2893.74,1133.82,0
Antioquia,2023_Q1_holidays_23h,3927.78,0,-2844.59,1083.19,0
Antioquia,2023_Q2_labor_0h,3670.92,0,-2585.29,1085.63,0
Antioquia,2023_Q2_labor_1h,3536.96,0,-2515.02,1021.94,0
Antioquia,2023_Q2_labor_2h,3448.01,0,-2460.26,987.747,0
Antioquia,2023_Q2_labor_3h,3381.43,0,-2418.04,963.386,0
Antioquia,2023_Q2_labor_4h,3350.5,0,-2398.13,952.367,0
Antioquia,2023_Q2_labor_5h,3407.26,0,-2434.83,972.424,0
Antioquia,2023_Q2_labor_6h,3523.41,0,-2502.86,1020.55,0
Antioquia,2023_Q2_labor_7h,3551.37,0,-2510.28,1041.08,0
Antioquia,2023_Q2_labor_8h,3676.21,0,-2573.63,1102.58,0
