timepoint_id,timestamp,timeseries
1,2023_Q1_labor_0h,2023_Q1_labor
2,2023_Q1_labor_1h,2023_Q1_labor
3,2023_Q1_labor_2h,2023_Q1_labor
4,2023_Q1_labor_3h,2023_Q1_labor
5,2023_Q1_labor_4h,2023_Q1_labor
6,2023_Q1_labor_5h,2023_Q1_labor
7,2023_Q1_labor_6h,2023_Q1_labor
8,2023_Q1_labor_7h,2023_Q1_labor
9,2023_Q1_labor_8h,2023_Q1_labor
10,2023_Q1_labor_9h,2023_Q1_labor
11,2023_Q1_labor_10h,2023_Q1_labor
12,2023_Q1_labor_11h,2023_Q1_labor
13,2023_Q1_labor_12h,2023_Q1_labor
14,2023_Q1_labor_13h,2023_Q1_labor
15,2023_Q1_labor_14h,2023_Q1_labor
16,2023_Q1_labor_15h,2023_Q1_labor
17,2023_Q1_labor_16h,2023_Q1_labor
18,2023_Q1_labor_17h,2023_Q1_labor
19,2023_Q1_labor_18h,2023_Q1_labor
20,2023_Q1_labor_19h,2023_Q1_labor
21,2023_Q1_labor_20h,2023_Q1_labor
22,2023_Q1_labor_21h,2023_Q1_labor
23,2023_Q1_labor_22h,2023_Q1_labor
24,2023_Q1_labor_23h,2023_Q1_labor
25,2023_Q1_holidays_0h,2023_Q1_holidays
26,2023_Q1_holidays_1h,2023_Q1_holidays
27,2023_Q1_holidays_2h,2023_Q1_holidays
28,2023_Q1_holidays_3h,2023_Q1_holidays
29,2023_Q1_holidays_4h,2023_Q1_holidays
30,2023_Q1_holidays_5h,2023_Q1_holidays
31,2023_Q1_holidays_6h,2023_Q1_holidays
32,2023_Q1_holidays_7h,2023_Q1_holidays
33,2023_Q1_holidays_8h,2023_Q1_holidays
34,2023_Q1_holidays_9h,2023_Q1_holidays
35,2023_Q1_holidays_10h,2023_Q1_holidays
36,2023_Q1_holidays_11h,2023_Q1_holidays
37,2023_Q1_holidays_12h,2023_Q1_holidays
38,2023_Q1_holidays_13h,2023_Q1_holidays
39,2023_Q1_holidays_14h,2023_Q1_holidays
40,2023_Q1_holidays_15h,2023_Q1_holidays
41,2023_Q1_holidays_16h,2023_Q1_holidays
42,2023_Q1_holidays_17h,2023_Q1_holidays
43,2023_Q1_holidays_18h,2023_Q1_holidays
44,2023_Q1_holidays_19h,2023_Q1_holidays
45,2023_Q1_holidays_20h,2023_Q1_holidays
46,2023_Q1_holidays_21h,2023_Q1_holidays
47,2023_Q1_holidays_22h,2023_Q1_holidays
48,2023_Q1_holidays_23h,2023_Q1_holidays
49,2023_Q2_labor_0h,2023_Q2_labor
50,2023_Q2_labor_1h,2023_Q2_labor
51,2023_Q2_labor_2h,2023_Q2_labor
52,2023_Q2_labor_3h,2023_Q2_labor
53,2023_Q2_labor_4h,2023_Q2_labor
54,2023_Q2_labor_5h,2023_Q2_labor
55,2023_Q2_labor_6h,2023_Q2_labor
56,2023_Q2_labor_7h,2023_Q2_labor
57,2023_Q2_labor_8h,2023_Q2_labor
58,2023_Q2_labor_9h,2023_Q2_labor
59,2023_Q2_labor_10h,2023_Q2_labor
60,2023_Q2_labor_11h,2023_Q2_labor
61,2023_Q2_labor_12h,2023_Q2_labor
62,2023_Q2_labor_13h,2023_Q2_labor
63,2023_Q2_labor_14h,2023_Q2_labor
64,2023_Q2_labor_15h,2023_Q2_labor
65,2023_Q2_labor_16h,2023_Q2_labor
66,2023_Q2_labor_17h,2023_Q2_labor
67,2023_Q2_labor_18h,2023_Q2_labor
68,2023_Q2_labor_19h,2023_Q2_labor
69,2023_Q2_labor_20h,2023_Q2_labor
70,2023_Q2_labor_21h,2023_Q2_labor
71,2023_Q2_labor_22h,2023_Q2_labor
72,2023_Q2_labor_23h,2023_Q2_labor
73,2023_Q2_holidays_0h,2023_Q2_holidays
74,2023_Q2_holidays_1h,2023_Q2_holidays
75,2023_Q2_holidays_2h,2023_Q2_holidays
76,2023_Q2_holidays_3h,2023_Q2_holidays
77,2023_Q2_holidays_4h,2023_Q2_holidays
78,2023_Q2_holidays_5h,2023_Q2_holidays
79,2023_Q2_holidays_6h,2023_Q2_holidays
80,2023_Q2_holidays_7h,2023_Q2_holidays
81,2023_Q2_holidays_8h,2023_Q2_holidays
82,2023_Q2_holidays_9h,2023_Q2_holidays
83,2023_Q2_holidays_10h,2023_Q2_holidays
84,2023_Q2_holidays_11h,2023_Q2_holidays
85,2023_Q2_holidays_12h,2023_Q2_holidays
86,2023_Q2_holidays_13h,2023_Q2_holidays
87,2023_Q2_holidays_14h,2023_Q2_holidays
88,2023_Q2_holidays_15h,2023_Q2_holidays
89,2023_Q2_holidays_16h,2023_Q2_holidays
90,2023_Q2_holidays_17h,2023_Q2_holidays
91,2023_Q2_holidays_18h,2023_Q2_holidays
92,2023_Q2_holidays_19h,2023_Q2_holidays
93,2023_Q2_holidays_20h,2023_Q2_holidays
94,2023_Q2_holidays_21h,2023_Q2_holidays
95,2023_Q2_holidays_22h,2023_Q2_holidays
96,2023_Q2_holidays_23h,2023_Q2_holidays
97,2023_Q3_labor_0h,2023_Q3_labor
98,2023_Q3_labor_1h,2023_Q3_labor
99,2023_Q3_labor_2h,2023_Q3_labor
100,2023_Q3_labor_3h,2023_Q3_labor
101,2023_Q3_labor_4h,2023_Q3_labor
102,2023_Q3_labor_5h,2023_Q3_labor
103,2023_Q3_labor_6h,2023_Q3_labor
104,2023_Q3_labor_7h,2023_Q3_labor
105,2023_Q3_labor_8h,2023_Q3_labor
106,2023_Q3_labor_9h,2023_Q3_labor
107,2023_Q3_labor_10h,2023_Q3_labor
108,2023_Q3_labor_11h,2023_Q3_labor
109,2023_Q3_labor_12h,2023_Q3_labor
110,2023_Q3_labor_13h,2023_Q3_labor
111,2023_Q3_labor_14h,2023_Q3_labor
112,2023_Q3_labor_15h,2023_Q3_labor
113,2023_Q3_labor_16h,2023_Q3_labor
114,2023_Q3_labor_17h,2023_Q3_labor
115,2023_Q3_labor_18h,2023_Q3_labor
116,2023_Q3_labor_19h,2023_Q3_labor
117,2023_Q3_labor_20h,2023_Q3_labor
118,2023_Q3_labor_21h,2023_Q3_labor
119,2023_Q3_labor_22h,2023_Q3_labor
120,2023_Q3_labor_23h,2023_Q3_labor
121,2023_Q3_holidays_0h,2023_Q3_holidays
122,2023_Q3_holidays_1h,2023_Q3_holidays
123,2023_Q3_holidays_2h,2023_Q3_holidays
124,2023_Q3_holidays_3h,2023_Q3_holidays
125,2023_Q3_holidays_4h,2023_Q3_holidays
126,2023_Q3_holidays_5h,2023_Q3_holidays
127,2023_Q3_holidays_6h,2023_Q3_holidays
128,2023_Q3_holidays_7h,2023_Q3_holidays
129,2023_Q3_holidays_8h,2023_Q3_holidays
130,2023_Q3_holidays_9h,2023_Q3_holidays
131,2023_Q3_holidays_10h,2023_Q3_holidays
132,2023_Q3_holidays_11h,2023_Q3_holidays
133,2023_Q3_holidays_12h,2023_Q3_holidays
134,2023_Q3_holidays_13h,2023_Q3_holidays
135,2023_Q3_holidays_14h,2023_Q3_holidays
136,2023_Q3_holidays_15h,2023_Q3_holidays
137,2023_Q3_holidays_16h,2023_Q3_holidays
138,2023_Q3_holidays_17h,2023_Q3_holidays
139,2023_Q3_holidays_18h,2023_Q3_holidays
140,2023_Q3_holidays_19h,2023_Q3_holidays
141,2023_Q3_holidays_20h,2023_Q3_holidays
142,2023_Q3_holidays_21h,2023_Q3_holidays
143,2023_Q3_holidays_22h,2023_Q3_holidays
144,2023_Q3_holidays_23h,2023_Q3_holidays
145,2023_Q4_labor_0h,2023_Q4_labor
146,2023_Q4_labor_1h,2023_Q4_labor
147,2023_Q4_labor_2h,2023_Q4_labor
148,2023_Q4_labor_3h,2023_Q4_labor
149,2023_Q4_labor_4h,2023_Q4_labor
150,2023_Q4_labor_5h,2023_Q4_labor
151,2023_Q4_labor_6h,2023_Q4_labor
152,2023_Q4_labor_7h,2023_Q4_labor
153,2023_Q4_labor_8h,2023_Q4_labor
154,2023_Q4_labor_9h,2023_Q4_labor
155,2023_Q4_labor_10h,2023_Q4_labor
156,2023_Q4_labor_11h,2023_Q4_labor
157,2023_Q4_labor_12h,2023_Q4_labor
158,2023_Q4_labor_13h,2023_Q4_labor
159,2023_Q4_labor_14h,2023_Q4_labor
160,2023_Q4_labor_15h,2023_Q4_labor
161,2023_Q4_labor_16h,2023_Q4_labor
162,2023_Q4_labor_17h,2023_Q4_labor
163,2023_Q4_labor_18h,2023_Q4_labor
164,2023_Q4_labor_19h,2023_Q4_labor
165,2023_Q4_labor_20h,2023_Q4_labor
166,2023_Q4_labor_21h,2023_Q4_labor
167,2023_Q4_labor_22h,2023_Q4_labor
168,2023_Q4_labor_23h,2023_Q4_labor
169,2023_Q4_holidays_0h,2023_Q4_holidays
170,2023_Q4_holidays_1h,2023_Q4_holidays
171,2023_Q4_holidays_2h,2023_Q4_holidays
172,2023_Q4_holidays_3h,2023_Q4_holidays
173,2023_Q4_holidays_4h,2023_Q4_holidays
174,2023_Q4_holidays_5h,2023_Q4_holidays
175,2023_Q4_holidays_6h,2023_Q4_holidays
176,2023_Q4_holidays_7h,2023_Q4_holidays
177,2023_Q4_holidays_8h,2023_Q4_holidays
178,2023_Q4_holidays_9h,2023_Q4_holidays
179,2023_Q4_holidays_10h,2023_Q4_holidays
180,2023_Q4_holidays_11h,2023_Q4_holidays
181,2023_Q4_holidays_12h,2023_Q4_holidays
182,2023_Q4_holidays_13h,2023_Q4_holidays
183,2023_Q4_holidays_14h,2023_Q4_holidays
184,2023_Q4_holidays_15h,2023_Q4_holidays
185,2023_Q4_holidays_16h,2023_Q4_holidays
186,2023_Q4_holidays_17h,2023_Q4_holidays
187,2023_Q4_holidays_18h,2023_Q4_holidays
188,2023_Q4_holidays_19h,2023_Q4_holidays
189,2023_Q4_holidays_20h,2023_Q4_holidays
190,2023_Q4_holidays_21h,2023_Q4_holidays
191,2023_Q4_holidays_22h,2023_Q4_holidays
192,2023_Q4_holidays_23h,2023_Q4_holidays
193,2024_Q1_labor_0h,2024_Q1_labor
194,2024_Q1_labor_1h,2024_Q1_labor
195,2024_Q1_labor_2h,2024_Q1_labor
196,2024_Q1_labor_3h,2024_Q1_labor
197,2024_Q1_labor_4h,2024_Q1_labor
198,2024_Q1_labor_5h,2024_Q1_labor
199,2024_Q1_labor_6h,2024_Q1_labor
200,2024_Q1_labor_7h,2024_Q1_labor
201,2024_Q1_labor_8h,2024_Q1_labor
202,2024_Q1_labor_9h,2024_Q1_labor
203,2024_Q1_labor_10h,2024_Q1_labor
204,2024_Q1_labor_11h,2024_Q1_labor
205,2024_Q1_labor_12h,2024_Q1_labor
206,2024_Q1_labor_13h,2024_Q1_labor
207,2024_Q1_labor_14h,2024_Q1_labor
208,2024_Q1_labor_15h,2024_Q1_labor
209,2024_Q1_labor_16h,2024_Q1_labor
210,2024_Q1_labor_17h,2024_Q1_labor
211,2024_Q1_labor_18h,2024_Q1_labor
212,2024_Q1_labor_19h,2024_Q1_labor
213,2024_Q1_labor_20h,2024_Q1_labor
214,2024_Q1_labor_21h,2024_Q1_labor
215,2024_Q1_labor_22h,2024_Q1_labor
216,2024_Q1_labor_23h,2024_Q1_labor
217,2024_Q1_holidays_0h,2024_Q1_holidays
218,2024_Q1_holidays_1h,2024_Q1_holidays
219,2024_Q1_holidays_2h,2024_Q1_holidays
220,2024_Q1_holidays_3h,2024_Q1_holidays
221,2024_Q1_holidays_4h,2024_Q1_holidays
222,2024_Q1_holidays_5h,2024_Q1_holidays
223,2024_Q1_holidays_6h,2024_Q1_holidays
224,2024_Q1_holidays_7h,2024_Q1_holidays
225,2024_Q1_holidays_8h,2024_Q1_holidays
226,2024_Q1_holidays_9h,2024_Q1_holidays
227,2024_Q1_holidays_10h,2024_Q1_holidays
228,2024_Q1_holidays_11h,2024_Q1_holidays
229,2024_Q1_holidays_12h,2024_Q1_holidays
230,2024_Q1_holidays_13h,2024_Q1_holidays
231,2024_Q1_holidays_14h,2024_Q1_holidays
232,2024_Q1_holidays_15h,2024_Q1_holidays
233,2024_Q1_holidays_16h,2024_Q1_holidays
234,2024_Q1_holidays_17h,2024_Q1_holidays
235,2024_Q1_holidays_18h,2024_Q1_holidays
236,2024_Q1_holidays_19h,2024_Q1_holidays
237,2024_Q1_holidays_20h,2024_Q1_holidays
238,2024_Q1_holidays_21h,2024_Q1_holidays
239,2024_Q1_holidays_22h,2024_Q1_holidays
240,2024_Q1_holidays_23h,2024_Q1_holidays
241,2024_Q2_labor_0h,2024_Q2_labor
242,2024_Q2_labor_1h,2024_Q2_labor
243,2024_Q2_labor_2h,2024_Q2_labor
244,2024_Q2_labor_3h,2024_Q2_labor
245,2024_Q2_labor_4h,2024_Q2_labor
246,2024_Q2_labor_5h,2024_Q2_labor
247,2024_Q2_labor_6h,2024_Q2_labor
248,2024_Q2_labor_7h,2024_Q2_labor
249,2024_Q2_labor_8h,2024_Q2_labor
250,2024_Q2_labor_9h,2024_Q2_labor
251,2024_Q2_labor_10h,2024_Q2_labor
252,2024_Q2_labor_11h,2024_Q2_labor
253,2024_Q2_labor_12h,2024_Q2_labor
254,2024_Q2_labor_13h,2024_Q2_labor
255,2024_Q2_labor_14h,2024_Q2_labor
256,2024_Q2_labor_15h,2024_Q2_labor
257,2024_Q2_labor_16h,2024_Q2_labor
258,2024_Q2_labor_17h,2024_Q2_labor
259,2024_Q2_labor_18h,2024_Q2_labor
260,2024_Q2_labor_19h,2024_Q2_labor
261,2024_Q2_labor_20h,2024_Q2_labor
262,2024_Q2_labor_21h,2024_Q2_labor
263,2024_Q2_labor_22h,2024_Q2_labor
264,2024_Q2_labor_23h,2024_Q2_labor
265,2024_Q2_holidays_0h,2024_Q2_holidays
266,2024_Q2_holidays_1h,2024_Q2_holidays
267,2024_Q2_holidays_2h,2024_Q2_holidays
268,2024_Q2_holidays_3h,2024_Q2_holidays
269,2024_Q2_holidays_4h,2024_Q2_holidays
270,2024_Q2_holidays_5h,2024_Q2_holidays
271,2024_Q2_holidays_6h,2024_Q2_holidays
272,2024_Q2_holidays_7h,2024_Q2_holidays
273,2024_Q2_holidays_8h,2024_Q2_holidays
274,2024_Q2_holidays_9h,2024_Q2_holidays
275,2024_Q2_holidays_10h,2024_Q2_holidays
276,2024_Q2_holidays_11h,2024_Q2_holidays
277,2024_Q2_holidays_12h,2024_Q2_holidays
278,2024_Q2_holidays_13h,2024_Q2_holidays
279,2024_Q2_holidays_14h,2024_Q2_holidays
280,2024_Q2_holidays_15h,2024_Q2_holidays
281,2024_Q2_holidays_16h,2024_Q2_holidays
282,2024_Q2_holidays_17h,2024_Q2_holidays
283,2024_Q2_holidays_18h,2024_Q2_holidays
284,2024_Q2_holidays_19h,2024_Q2_holidays
285,2024_Q2_holidays_20h,2024_Q2_holidays
286,2024_Q2_holidays_21h,2024_Q2_holidays
287,2024_Q2_holidays_22h,2024_Q2_holidays
288,2024_Q2_holidays_23h,2024_Q2_holidays
289,2024_Q3_labor_0h,2024_Q3_labor
290,2024_Q3_labor_1h,2024_Q3_labor
291,2024_Q3_labor_2h,2024_Q3_labor
292,2024_Q3_labor_3h,2024_Q3_labor
293,2024_Q3_labor_4h,2024_Q3_labor
294,2024_Q3_labor_5h,2024_Q3_labor
295,2024_Q3_labor_6h,2024_Q3_labor
296,2024_Q3_labor_7h,2024_Q3_labor
297,2024_Q3_labor_8h,2024_Q3_labor
298,2024_Q3_labor_9h,2024_Q3_labor
299,2024_Q3_labor_10h,2024_Q3_labor
300,2024_Q3_labor_11h,2024_Q3_labor
301,2024_Q3_labor_12h,2024_Q3_labor
302,2024_Q3_labor_13h,2024_Q3_labor
303,2024_Q3_labor_14h,2024_Q3_labor
304,2024_Q3_labor_15h,2024_Q3_labor
305,2024_Q3_labor_16h,2024_Q3_labor
306,2024_Q3_labor_17h,2024_Q3_labor
307,2024_Q3_labor_18h,2024_Q3_labor
308,2024_Q3_labor_19h,2024_Q3_labor
309,2024_Q3_labor_20h,2024_Q3_labor
310,2024_Q3_labor_21h,2024_Q3_labor
311,2024_Q3_labor_22h,2024_Q3_labor
312,2024_Q3_labor_23h,2024_Q3_labor
313,2024_Q3_holidays_0h,2024_Q3_holidays
314,2024_Q3_holidays_1h,2024_Q3_holidays
315,2024_Q3_holidays_2h,2024_Q3_holidays
316,2024_Q3_holidays_3h,2024_Q3_holidays
317,2024_Q3_holidays_4h,2024_Q3_holidays
318,2024_Q3_holidays_5h,2024_Q3_holidays
319,2024_Q3_holidays_6h,2024_Q3_holidays
320,2024_Q3_holidays_7h,2024_Q3_holidays
321,2024_Q3_holidays_8h,2024_Q3_holidays
322,2024_Q3_holidays_9h,2024_Q3_holidays
323,2024_Q3_holidays_10h,2024_Q3_holidays
324,2024_Q3_holidays_11h,2024_Q3_holidays
325,2024_Q3_holidays_12h,2024_Q3_holidays
326,2024_Q3_holidays_13h,2024_Q3_holidays
327,2024_Q3_holidays_14h,2024_Q3_holidays
328,2024_Q3_holidays_15h,2024_Q3_holidays
329,2024_Q3_holidays_16h,2024_Q3_holidays
330,2024_Q3_holidays_17h,2024_Q3_holidays
331,2024_Q3_holidays_18h,2024_Q3_holidays
332,2024_Q3_holidays_19h,2024_Q3_holidays
333,2024_Q3_holidays_20h,2024_Q3_holidays
334,2024_Q3_holidays_21h,2024_Q3_holidays
335,2024_Q3_holidays_22h,2024_Q3_holidays
336,2024_Q3_holidays_23h,2024_Q3_holidays
337,2024_Q4_labor_0h,2024_Q4_labor
338,2024_Q4_labor_1h,2024_Q4_labor
339,2024_Q4_labor_2h,2024_Q4_labor
340,2024_Q4_labor_3h,2024_Q4_labor
341,2024_Q4_labor_4h,2024_Q4_labor
342,2024_Q4_labor_5h,2024_Q4_labor
343,2024_Q4_labor_6h,2024_Q4_labor
344,2024_Q4_labor_7h,2024_Q4_labor
345,2024_Q4_labor_8h,2024_Q4_labor
346,2024_Q4_labor_9h,2024_Q4_labor
347,2024_Q4_labor_10h,2024_Q4_labor
348,2024_Q4_labor_11h,2024_Q4_labor
349,2024_Q4_labor_12h,2024_Q4_labor
350,2024_Q4_labor_13h,2024_Q4_labor
351,2024_Q4_labor_14h,2024_Q4_labor
352,2024_Q4_labor_15h,2024_Q4_labor
353,2024_Q4_labor_16h,2024_Q4_labor
354,2024_Q4_labor_17h,2024_Q4_labor
355,2024_Q4_labor_18h,2024_Q4_labor
356,2024_Q4_labor_19h,2024_Q4_labor
357,2024_Q4_labor_20h,2024_Q4_labor
358,2024_Q4_labor_21h,2024_Q4_labor
359,2024_Q4_labor_22h,2024_Q4_labor
360,2024_Q4_labor_23h,2024_Q4_labor
361,2024_Q4_holidays_0h,2024_Q4_holidays
362,2024_Q4_holidays_1h,2024_Q4_holidays
363,2024_Q4_holidays_2h,2024_Q4_holidays
364,2024_Q4_holidays_3h,2024_Q4_holidays
365,2024_Q4_holidays_4h,2024_Q4_holidays
366,2024_Q4_holidays_5h,2024_Q4_holidays
367,2024_Q4_holidays_6h,2024_Q4_holidays
368,2024_Q4_holidays_7h,2024_Q4_holidays
369,2024_Q4_holidays_8h,2024_Q4_holidays
370,2024_Q4_holidays_9h,2024_Q4_holidays
371,2024_Q4_holidays_10h,2024_Q4_holidays
372,2024_Q4_holidays_11h,2024_Q4_holidays
373,2024_Q4_holidays_12h,2024_Q4_holidays
374,2024_Q4_holidays_13h,2024_Q4_holidays
375,2024_Q4_holidays_14h,2024_Q4_holidays
376,2024_Q4_holidays_15h,2024_Q4_holidays
377,2024_Q4_holidays_16h,2024_Q4_holidays
378,2024_Q4_holidays_17h,2024_Q4_holidays
379,2024_Q4_holidays_18h,2024_Q4_holidays
380,2024_Q4_holidays_19h,2024_Q4_holidays
381,2024_Q4_holidays_20h,2024_Q4_holidays
382,2024_Q4_holidays_21h,2024_Q4_holidays
383,2024_Q4_holidays_22h,2024_Q4_holidays
384,2024_Q4_holidays_23h,2024_Q4_holidays
385,2025_Q1_labor_0h,2025_Q1_labor
386,2025_Q1_labor_1h,2025_Q1_labor
387,2025_Q1_labor_2h,2025_Q1_labor
388,2025_Q1_labor_3h,2025_Q1_labor
389,2025_Q1_labor_4h,2025_Q1_labor
390,2025_Q1_labor_5h,2025_Q1_labor
391,2025_Q1_labor_6h,2025_Q1_labor
392,2025_Q1_labor_7h,2025_Q1_labor
393,2025_Q1_labor_8h,2025_Q1_labor
394,2025_Q1_labor_9h,2025_Q1_labor
395,2025_Q1_labor_10h,2025_Q1_labor
396,2025_Q1_labor_11h,2025_Q1_labor
397,2025_Q1_labor_12h,2025_Q1_labor
398,2025_Q1_labor_13h,2025_Q1_labor
399,2025_Q1_labor_14h,2025_Q1_labor
400,2025_Q1_labor_15h,2025_Q1_labor
401,2025_Q1_labor_16h,2025_Q1_labor
402,2025_Q1_labor_17h,2025_Q1_labor
403,2025_Q1_labor_18h,2025_Q1_labor
404,2025_Q1_labor_19h,2025_Q1_labor
405,2025_Q1_labor_20h,2025_Q1_labor
406,2025_Q1_labor_21h,2025_Q1_labor
407,2025_Q1_labor_22h,2025_Q1_labor
408,2025_Q1_labor_23h,2025_Q1_labor
409,2025_Q1_holidays_0h,2025_Q1_holidays
410,2025_Q1_holidays_1h,2025_Q1_holidays
411,2025_Q1_holidays_2h,2025_Q1_holidays
412,2025_Q1_holidays_3h,2025_Q1_holidays
413,2025_Q1_holidays_4h,2025_Q1_holidays
414,2025_Q1_holidays_5h,2025_Q1_holidays
415,2025_Q1_holidays_6h,2025_Q1_holidays
416,2025_Q1_holidays_7h,2025_Q1_holidays
417,2025_Q1_holidays_8h,2025_Q1_holidays
418,2025_Q1_holidays_9h,2025_Q1_holidays
419,2025_Q1_holidays_10h,2025_Q1_holidays
420,2025_Q1_holidays_11h,2025_Q1_holidays
421,2025_Q1_holidays_12h,2025_Q1_holidays
422,2025_Q1_holidays_13h,2025_Q1_holidays
