gen_tech,gen_energy_source,period,Energy_GWh_typical_yr,VariableCost_per_yr,DispatchEmissions_tCO2_per_typical_yr,GenCapacity_MW,GenCapitalCosts,GenFixedOMCosts,LCOE_dollar_per_MWh,capacity_factor,Store_GWh_typical_yr,Discharge_GWh_typical_yr
Biomass,Biomass,2024,2.9036472055730415e-07,0.0,0.0,3.004139625085637e-08,0.008673736062623191,0.004360809079774311,44.890250845143925,1.1033660792953615,0.0,0.0
Biomass,Biomass,2025,3.656421470280552e-07,0.0,0.0,5.240540466292267e-08,0.014750101978932936,0.007415754992870978,60.621723047981,0.7964821832862505,0.0,0.0
Biomass,Biomass,2026,2.4120994941944103e-07,0.0,0.0,5.600307754006913e-08,0.01567016453872673,0.007878325783050085,97.62652982787309,0.4916762357232319,0.0,0.0
Biomass,Biomass,2027,3.2378856594737713e-07,0.0,0.0,7.807110245944937e-08,0.02098201091438198,0.010548909886693804,97.38120525911424,0.4734423352313277,0.0,0.0
Biomass,Biomass,2028,3.9942075987687086e-07,0.0,0.0,1.0146908165570748e-07,0.026268905454271175,0.013206943721367922,98.8327426641727,0.4493583307435917,0.0,0.0
Biomass,Biomass,2029,4.908181055576161e-07,0.0,0.0,1.2753646366699538e-07,0.03178908251228457,0.01598225968196371,97.33003255854933,0.4393211360403301,0.0,0.0
Biomass,Biomass,2030,8.037458214137656e-07,0.0,0.0,1.8004414393901062e-07,0.04222526627397385,0.021229142140825105,78.9483524818636,0.5096072779159229,0.0,0.0
Biomass,Biomass,2031,121.88503316081429,0.0,0.0,13.913816693349114,2592648.79758834,1303474.1798285784,31.96555702024875,0.999999991197246,0.0,0.0
Biomass,Biomass,2032,547.8175443456868,0.0,0.0,62.536249493403915,11073461.324373007,5567272.556930984,30.37641647855525,0.9999999977793124,0.0,0.0
Biomass,Biomass,2033,547.8175436541728,0.0,0.0,62.53624949576937,11073461.324757848,5567272.557124467,30.376416517955303,0.99999999647918,0.0,0.0
Biomass,Biomass,2034,615.5474804384579,0.0,0.0,70.26797759450548,12239933.03210878,6153724.133413601,29.881784509004046,0.9999999946561228,0.0,0.0
Biomass,Biomass,2035,875.9999997839672,0.0,0.0,100.0000001584247,16420238.891407246,8255421.344411923,28.16856191998231,0.99999999816914,0.0,0.0
Eolica,Wind,2023,214.2788452296099,0.0,0.0,32.0,5395834.247909282,882240.0,29.298619008246142,0.7644079809846243,0.0,0.0
Eolica,Wind,2024,214.27884522373233,0.0,0.0,32.0,5395834.247909282,882240.0,29.298619009049794,0.7644079809636568,0.0,0.0
Eolica,Wind,2025,214.27884521532755,0.0,0.0,32.0,5395834.247909282,882240.0,29.29861901019899,0.764407980933674,0.0,0.0
Eolica,Wind,2026,214.2788451359812,0.0,0.0,32.0,5395834.247909282,882240.0,29.29861902104812,0.7644079806506177,0.0,0.0
Eolica,Wind,2027,2638.9983321301156,0.0,0.0,396.20444737248465,63225581.15420026,10801156.837449592,28.05107418612797,0.7603536996222342,0.0,0.0
Eolica,Wind,2028,5569.999929063535,0.0,0.0,846.2044473740734,132804583.43049443,23207656.837490547,28.00937921990509,0.7514079401660194,0.0,0.0
Eolica,Wind,2029,8875.94251944875,0.0,0.0,1338.204447375847,208877625.91924104,36772096.83753505,27.675902837193277,0.7571604244871261,0.0,0.0
Eolica,Wind,2030,9914.404600689104,0.0,0.0,1494.1864116500947,233163962.39767668,40584452.02636194,27.611180443958443,0.7574565919527759,0.0,0.0
Eolica,Wind,2031,13226.229459188602,0.0,0.0,1991.6383225938034,308630125.89484394,52430771.83357543,27.298853300747858,0.7580912299393472,0.0,0.0
Eolica,Wind,2032,15084.545690784296,0.0,0.0,2270.7662958661294,349941005.8823348,58915472.90863811,27.104328308724497,0.7583255506401184,0.0,0.0
Eolica,Wind,2033,18651.23533260252,0.0,0.0,2806.5001146471664,427285714.1452188,71056808.44367275,26.719008886118363,0.7586447056892828,0.0,0.0
Eolica,Wind,2034,20565.035269350985,0.0,0.0,3093.9620059927847,467804630.4018591,77417190.2515859,26.512078073895356,0.7587703925777043,0.0,0.0
Eolica,Wind,2035,21592.731750249186,0.0,0.0,3248.3269250106528,489062028.05172384,80754096.70599516,26.389255947253787,0.7588287055724191,0.0,0.0
Geothermal,Geothermal,2024,2.9043918424731377e-07,0.0,0.0,3.005063680596682e-08,0.008676404052334153,0.004362150438754144,44.8925461792571,1.1033096647228615,0.0,0.0
Geothermal,Geothermal,2025,3.6573911570088743e-07,0.0,0.0,5.2417417981904325e-08,0.014753523336625635,0.007417475114168382,60.61970814444177,0.7965108204974446,0.0,0.0
Geothermal,Geothermal,2026,2.411871182281173e-07,0.0,0.0,5.5999531861151773e-08,0.01566960686555041,0.007878045406192623,97.63229663647053,0.49166082533875954,0.0,0.0
Geothermal,Geothermal,2027,3.237865918422178e-07,0.0,0.0,7.807086903216547e-08,0.020982250511097224,0.010549030345280017,97.38291100004082,0.47344086425869397,0.0,0.0
Geothermal,Geothermal,2028,3.9939211524558325e-07,0.0,0.0,1.0146525378314536e-07,0.02626833286746596,0.013206655847376085,98.83767657899097,0.44934305606979075,0.0,0.0
Geothermal,Geothermal,2029,4.906985914720973e-07,0.0,0.0,1.2752065856763772e-07,0.03178597355981952,0.015980696628566635,97.34421703776648,0.439268598307875,0.0,0.0
Geothermal,Geothermal,2030,8.036486081367817e-07,0.0,0.0,1.8003241991797422e-07,0.042222968457767074,0.021227986893260362,78.95360572842307,0.5095788232653431,0.0,0.0
Geothermal,Geothermal,2031,122.13126714117162,0.0,0.0,13.941925595218267,2597886.505687654,1306107.4779734274,31.96555701946867,0.9999999912148588,0.0,0.0
Geothermal,Geothermal,2032,558.5960759812665,0.0,0.0,63.766675479203755,11288409.349282201,5675339.444799883,30.3685427153824,0.999999997822114,0.0,0.0
Geothermal,Geothermal,2033,558.5960752908081,0.0,0.0,63.76667548169187,11288409.349686999,5675339.445003399,30.36854275400875,0.9999999965470349,0.0,0.0
Geothermal,Geothermal,2034,638.885343545888,0.0,0.0,72.93211721868363,12671182.817021158,6370538.200754224,29.804598290033727,0.9999999948507493,0.0,0.0
Geothermal,Geothermal,2035,1313.9999997623017,0.0,0.0,150.00000015595631,23506884.354439262,11818312.709824156,26.883711621502,0.9999999987793945,0.0,0.0
Hidro,Water,2023,62988.03260754362,87550700.9003965,0.0,12391.502,1821177345.413436,542499957.56,38.91577340010881,0.5802698237248752,0.0,0.0
Hidro,Water,2024,62988.0326089501,87550700.90262285,0.0,12391.50200016191,1821177345.4632869,542499957.5676196,38.915773400187604,0.5802698237302503,0.0,0.0
Hidro,Water,2025,62988.03260880621,87550700.90240242,0.0,12391.50200016262,1821177345.4635048,542499957.567653,38.91577340027698,0.5802698237288916,0.0,0.0
Hidro,Water,2026,73500.0326056688,102162380.89839904,0.0,13591.50200016299,2154141356.35537,595035957.5676703,38.793720135051004,0.6173279951628453,0.0,0.0
Hidro,Water,2027,73500.03260685323,102162380.89984262,0.0,13591.502000163744,2154141356.3556023,595035957.5677059,38.79372013444915,0.6173279951727588,0.0,0.0
Hidro,Water,2028,73452.82799755181,102096766.49390738,0.0,13591.502000164763,2154141356.355916,595035957.5677538,38.81775771128391,0.6169315228748181,0.0,0.0
Hidro,Water,2029,73500.03260618735,102162380.89898051,0.0,13591.502000166882,2154141356.3565683,595035957.5678535,38.79372013480402,0.6173279951670237,0.0,0.0
Hidro,Water,2030,73500.03260631225,102162380.89911133,0.0,13591.502000181767,2154141356.361151,595035957.5685539,38.793720134811764,0.6173279951673967,0.0,0.0
Hidro,Water,2031,73500.03260610595,102162380.89885885,0.0,13591.502000193987,2154141356.3649135,595035957.569129,38.793720134976226,0.617327995165109,0.0,0.0
Hidro,Water,2032,73500.03260594355,102162380.89866045,0.0,13591.502000205388,2154141356.368424,595035957.5696656,38.793720135114306,0.617327995163227,0.0,0.0
Hidro,Water,2033,73500.03257572642,102162380.85726932,0.0,13591.502000218377,2154141356.372423,595035957.5702769,38.793720150562656,0.6173279949088428,0.0,0.0
Hidro,Water,2034,73169.03357724991,101702292.25152518,0.0,13591.50200023123,2154141356.3763804,595035957.5708817,38.96292552762646,0.6145479288200485,0.0,0.0
Hidro,Water,2035,73500.03260469102,102162380.8971921,0.0,13591.502000241968,2154141356.3796864,595035957.571387,38.79372013593206,0.6173279951510455,0.0,0.0
