PERIOD,SystemCostPerPeriod_NPV,SystemCostPerPeriod_Real,EnergyCostReal_per_MWh,SystemDemand_MWh
2023,5405075798.486507,5594253451.433548,70.3239619945979,79549747.94883263
2024,5336271955.498712,5716347925.5291195,69.63433046451897,82090944.04148526
2025,5228824454.377269,5797291137.805212,68.8625585898167,84186403.4175243
2026,5103076983.401841,5855898212.413666,67.52497479470975,86721960.72959433
2027,4948766788.253619,5877582544.248903,65.80141991269412,89323035.15710345
2028,4835036420.9762745,5943494273.55482,64.60854888043197,91992381.45023452
2029,4721460325.52254,6007016062.137456,63.390855380580895,94761555.52836475
2030,4635243294.553271,6103730258.791779,62.53459323660354,97605660.2095089
2031,4543137905.305352,6191830626.622784,61.596177646117795,100522968.52243127
2032,4449847674.853933,6276949615.10175,60.61117954660335,103560921.63287243
2033,4352840598.778333,6355015458.201659,59.58604726295787,106652744.22645424
2034,4271490858.015972,6454515955.689462,58.75795772661128,109849222.22315827
2035,4181386738.017714,6539505129.604498,57.79487754850647,113150254.95323488
