PERIOD,AnnualEmissions_tCO2_per_yr,carbon_cap_tco2_per_yr,carbon_cap_dual_future_dollar_per_tco2,carbon_cost_dollar_per_tco2,carbon_cost_annual_total
2023,1.04601e+07,inf,.,0,0
2024,8.52497e+06,inf,.,0,0
2025,1.03435e+07,inf,.,0,0
2026,4.14224e+06,inf,.,0,0
2027,3.84958e+06,inf,.,0,0
2028,3.53276e+06,inf,.,0,0
2029,2.73051e+06,inf,.,0,0
2030,3.91754e+06,inf,.,0,0
2031,3.36931e+06,inf,.,0,0
2032,3.52767e+06,inf,.,0,0
2033,3.0904e+06,inf,.,0,0
2034,3.81743e+06,inf,.,0,0
2035,3.78107e+06,inf,.,0,0
