GENERATION_PROJECT,PERIOD,gen_tech,gen_load_zone,gen_energy_source,GenCapacity,GenStorageCapacity,GenCapitalRecovery,GenFixedOMCosts
AMOYA,2023,RunOfRiver,Surocciden,Water,80,0,8.9784e+06,3.5024e+06
AMOYA,2024,RunOfRiver,Surocciden,Water,80,0,8.9784e+06,3.5024e+06
AMOYA,2025,RunOfRiver,Surocciden,Water,80,0,8.9784e+06,3.5024e+06
AMOYA,2026,RunOfRiver,Surocciden,Water,80,0,8.9784e+06,3.5024e+06
AMOYA,2027,RunOfRiver,Surocciden,Water,80,0,8.9784e+06,3.5024e+06
AMOYA,2028,RunOfRiver,Surocciden,Water,80,0,8.9784e+06,3.5024e+06
AMOYA,2029,RunOfRiver,Surocciden,Water,80,0,8.9784e+06,3.5024e+06
AMOYA,2030,RunOfRiver,Surocciden,Water,80,0,8.9784e+06,3.5024e+06
AMOYA,2031,RunOfRiver,Surocciden,Water,80,0,8.9784e+06,3.5024e+06
AMOYA,2032,RunOfRiver,Surocciden,Water,80,0,8.9784e+06,3.5024e+06
AMOYA,2033,RunOfRiver,Surocciden,Water,80,0,8.9784e+06,3.5024e+06
AMOYA,2034,RunOfRiver,Surocciden,Water,80,0,8.9784e+06,3.5024e+06
AMOYA,2035,RunOfRiver,Surocciden,Water,80,0,8.9784e+06,3.5024e+06
BARRANQUILL3,2023,Thermal,Caribe,GASIMPOR,60,0,6.7716e+06,8.5932e+06
BARRANQUILL3,2024,Thermal,Caribe,GASIMPOR,60,0,6.7716e+06,8.5932e+06
BARRANQUILL3,2025,Thermal,Caribe,GASIMPOR,60,0,6.7716e+06,8.5932e+06
BARRANQUILL3,2026,Thermal,Caribe,GASIMPOR,60,0,6.7716e+06,8.5932e+06
BARRANQUILL3,2027,Thermal,Caribe,GASIMPOR,60,0,6.7716e+06,8.5932e+06
BARRANQUILL3,2028,Thermal,Caribe,GASIMPOR,60,0,6.7716e+06,8.5932e+06
BARRANQUILL3,2029,Thermal,Caribe,GASIMPOR,60,0,6.7716e+06,8.5932e+06
BARRANQUILL3,2030,Thermal,Caribe,GASIMPOR,60,0,6.7716e+06,8.5932e+06
BARRANQUILL3,2031,Thermal,Caribe,GASIMPOR,60,0,6.7716e+06,8.5932e+06
BARRANQUILL3,2032,Thermal,Caribe,GASIMPOR,60,0,6.7716e+06,8.5932e+06
BARRANQUILL3,2033,Thermal,Caribe,GASIMPOR,60,0,6.7716e+06,8.5932e+06
BARRANQUILL3,2034,Thermal,Caribe,GASIMPOR,60,0,6.7716e+06,8.5932e+06
BARRANQUILL3,2035,Thermal,Caribe,GASIMPOR,60,0,6.7716e+06,8.5932e+06
BARRANQUILL4,2023,Thermal,Caribe,GASIMPOR,60,0,6.7824e+06,8.5932e+06
BARRANQUILL4,2024,Thermal,Caribe,GASIMPOR,60,0,6.7824e+06,8.5932e+06
BARRANQUILL4,2025,Thermal,Caribe,GASIMPOR,60,0,6.7824e+06,8.5932e+06
BARRANQUILL4,2026,Thermal,Caribe,GASIMPOR,60,0,6.7824e+06,8.5932e+06
BARRANQUILL4,2027,Thermal,Caribe,GASIMPOR,60,0,6.7824e+06,8.5932e+06
BARRANQUILL4,2028,Thermal,Caribe,GASIMPOR,60,0,6.7824e+06,8.5932e+06
BARRANQUILL4,2029,Thermal,Caribe,GASIMPOR,60,0,6.7824e+06,8.5932e+06
BARRANQUILL4,2030,Thermal,Caribe,GASIMPOR,60,0,6.7824e+06,8.5932e+06
BARRANQUILL4,2031,Thermal,Caribe,GASIMPOR,60,0,6.7824e+06,8.5932e+06
BARRANQUILL4,2032,Thermal,Caribe,GASIMPOR,60,0,6.7824e+06,8.5932e+06
BARRANQUILL4,2033,Thermal,Caribe,GASIMPOR,60,0,6.7824e+06,8.5932e+06
BARRANQUILL4,2034,Thermal,Caribe,GASIMPOR,60,0,6.7824e+06,8.5932e+06
BARRANQUILL4,2035,Thermal,Caribe,GASIMPOR,60,0,6.7824e+06,8.5932e+06
BETANIA,2023,Hidro,Surocciden,Water,540,0,6.11874e+07,2.36412e+07
BETANIA,2024,Hidro,Surocciden,Water,540,0,6.11874e+07,2.36412e+07
BETANIA,2025,Hidro,Surocciden,Water,540,0,6.11874e+07,2.36412e+07
BETANIA,2026,Hidro,Surocciden,Water,540,0,6.11874e+07,2.36412e+07
BETANIA,2027,Hidro,Surocciden,Water,540,0,6.11874e+07,2.36412e+07
BETANIA,2028,Hidro,Surocciden,Water,540,0,6.11874e+07,2.36412e+07
BETANIA,2029,Hidro,Surocciden,Water,540,0,6.11874e+07,2.36412e+07
BETANIA,2030,Hidro,Surocciden,Water,540,0,6.11874e+07,2.36412e+07
BETANIA,2031,Hidro,Surocciden,Water,540,0,6.11874e+07,2.36412e+07
BETANIA,2032,Hidro,Surocciden,Water,540,0,6.11874e+07,2.36412e+07
BETANIA,2033,Hidro,Surocciden,Water,540,0,6.11874e+07,2.36412e+07
BETANIA,2034,Hidro,Surocciden,Water,540,0,6.11874e+07,2.36412e+07
BETANIA,2035,Hidro,Surocciden,Water,540,0,6.11874e+07,2.36412e+07
C_LLERAS_R,2023,RunOfRiver,Antioquia,Water,78,0,8.85924e+06,3.41484e+06
C_LLERAS_R,2024,RunOfRiver,Antioquia,Water,78,0,8.85924e+06,3.41484e+06
C_LLERAS_R,2025,RunOfRiver,Antioquia,Water,78,0,8.85924e+06,3.41484e+06
C_LLERAS_R,2026,RunOfRiver,Antioquia,Water,78,0,8.85924e+06,3.41484e+06
C_LLERAS_R,2027,RunOfRiver,Antioquia,Water,78,0,8.85924e+06,3.41484e+06
C_LLERAS_R,2028,RunOfRiver,Antioquia,Water,78,0,8.85924e+06,3.41484e+06
C_LLERAS_R,2029,RunOfRiver,Antioquia,Water,78,0,8.85924e+06,3.41484e+06
C_LLERAS_R,2030,RunOfRiver,Antioquia,Water,78,0,8.85924e+06,3.41484e+06
C_LLERAS_R,2031,RunOfRiver,Antioquia,Water,78,0,8.85924e+06,3.41484e+06
C_LLERAS_R,2032,RunOfRiver,Antioquia,Water,78,0,8.85924e+06,3.41484e+06
C_LLERAS_R,2033,RunOfRiver,Antioquia,Water,78,0,8.85924e+06,3.41484e+06
C_LLERAS_R,2034,RunOfRiver,Antioquia,Water,78,0,8.85924e+06,3.41484e+06
C_LLERAS_R,2035,RunOfRiver,Antioquia,Water,78,0,8.85924e+06,3.41484e+06
CALDERAS,2023,Hidro,Antioquia,Water,19.9,0,2.26203e+06,871222
CALDERAS,2024,Hidro,Antioquia,Water,19.9,0,2.26203e+06,871222
CALDERAS,2025,Hidro,Antioquia,Water,19.9,0,2.26203e+06,871222
CALDERAS,2026,Hidro,Antioquia,Water,19.9,0,2.26203e+06,871222
CALDERAS,2027,Hidro,Antioquia,Water,19.9,0,2.26203e+06,871222
CALDERAS,2028,Hidro,Antioquia,Water,19.9,0,2.26203e+06,871222
CALDERAS,2029,Hidro,Antioquia,Water,19.9,0,2.26203e+06,871222
CALDERAS,2030,Hidro,Antioquia,Water,19.9,0,2.26203e+06,871222
CALDERAS,2031,Hidro,Antioquia,Water,19.9,0,2.26203e+06,871222
CALDERAS,2032,Hidro,Antioquia,Water,19.9,0,2.26203e+06,871222
CALDERAS,2033,Hidro,Antioquia,Water,19.9,0,2.26203e+06,871222
CALDERAS,2034,Hidro,Antioquia,Water,19.9,0,2.26203e+06,871222
CALDERAS,2035,Hidro,Antioquia,Water,19.9,0,2.26203e+06,871222
CALIMA,2023,Hidro,Surocciden,Water,132,0,1.50163e+07,5.77896e+06
CALIMA,2024,Hidro,Surocciden,Water,132,0,1.50163e+07,5.77896e+06
CALIMA,2025,Hidro,Surocciden,Water,132,0,1.50163e+07,5.77896e+06
CALIMA,2026,Hidro,Surocciden,Water,132,0,1.50163e+07,5.77896e+06
CALIMA,2027,Hidro,Surocciden,Water,132,0,1.50163e+07,5.77896e+06
CALIMA,2028,Hidro,Surocciden,Water,132,0,1.50163e+07,5.77896e+06
CALIMA,2029,Hidro,Surocciden,Water,132,0,1.50163e+07,5.77896e+06
CALIMA,2030,Hidro,Surocciden,Water,132,0,1.50163e+07,5.77896e+06
CALIMA,2031,Hidro,Surocciden,Water,132,0,1.50163e+07,5.77896e+06
CALIMA,2032,Hidro,Surocciden,Water,132,0,1.50163e+07,5.77896e+06
CALIMA,2033,Hidro,Surocciden,Water,132,0,1.50163e+07,5.77896e+06
CALIMA,2034,Hidro,Surocciden,Water,132,0,1.50163e+07,5.77896e+06
CALIMA,2035,Hidro,Surocciden,Water,132,0,1.50163e+07,5.77896e+06
CANDELARIA,2023,Thermal,Caribe,GASIMPOR,555,0,6.32867e+07,7.94871e+07
CANDELARIA,2024,Thermal,Caribe,GASIMPOR,555,0,6.32867e+07,7.94871e+07
CANDELARIA,2025,Thermal,Caribe,GASIMPOR,555,0,6.32867e+07,7.94871e+07
CANDELARIA,2026,Thermal,Caribe,GASIMPOR,555,0,6.32867e+07,7.94871e+07
CANDELARIA,2027,Thermal,Caribe,GASIMPOR,555,0,6.32867e+07,7.94871e+07
CANDELARIA,2028,Thermal,Caribe,GASIMPOR,555,0,6.32867e+07,7.94871e+07
CANDELARIA,2029,Thermal,Caribe,GASIMPOR,555,0,6.32867e+07,7.94871e+07
CANDELARIA,2030,Thermal,Caribe,GASIMPOR,555,0,6.32867e+07,7.94871e+07
CANDELARIA,2031,Thermal,Caribe,GASIMPOR,555,0,6.32867e+07,7.94871e+07
CANDELARIA,2032,Thermal,Caribe,GASIMPOR,555,0,6.32867e+07,7.94871e+07
CANDELARIA,2033,Thermal,Caribe,GASIMPOR,555,0,6.32867e+07,7.94871e+07
CANDELARIA,2034,Thermal,Caribe,GASIMPOR,555,0,6.32867e+07,7.94871e+07
CANDELARIA,2035,Thermal,Caribe,GASIMPOR,555,0,6.32867e+07,7.94871e+07
CARTAGENA1,2023,Thermal,Caribe,COMBUSTOLEO,52,0,5.94828e+06,7.44744e+06
CARTAGENA1,2024,Thermal,Caribe,COMBUSTOLEO,52,0,5.94828e+06,7.44744e+06
CARTAGENA1,2025,Thermal,Caribe,COMBUSTOLEO,52,0,5.94828e+06,7.44744e+06
CARTAGENA1,2026,Thermal,Caribe,COMBUSTOLEO,52,0,5.94828e+06,7.44744e+06
CARTAGENA1,2027,Thermal,Caribe,COMBUSTOLEO,52,0,5.94828e+06,7.44744e+06
CARTAGENA1,2028,Thermal,Caribe,COMBUSTOLEO,52,0,5.94828e+06,7.44744e+06
CARTAGENA1,2029,Thermal,Caribe,COMBUSTOLEO,52,0,5.94828e+06,7.44744e+06
CARTAGENA1,2030,Thermal,Caribe,COMBUSTOLEO,52,0,5.94828e+06,7.44744e+06
CARTAGENA1,2031,Thermal,Caribe,COMBUSTOLEO,52,0,5.94828e+06,7.44744e+06
CARTAGENA1,2032,Thermal,Caribe,COMBUSTOLEO,52,0,5.94828e+06,7.44744e+06
CARTAGENA1,2033,Thermal,Caribe,COMBUSTOLEO,52,0,5.94828e+06,7.44744e+06
CARTAGENA1,2034,Thermal,Caribe,COMBUSTOLEO,52,0,5.94828e+06,7.44744e+06
CARTAGENA1,2035,Thermal,Caribe,COMBUSTOLEO,52,0,5.94828e+06,7.44744e+06
CARTAGENA2,2023,Thermal,Caribe,COMBUSTOLEO,60,0,6.8742e+06,8.5932e+06
CARTAGENA2,2024,Thermal,Caribe,COMBUSTOLEO,60,0,6.8742e+06,8.5932e+06
CARTAGENA2,2025,Thermal,Caribe,COMBUSTOLEO,60,0,6.8742e+06,8.5932e+06
CARTAGENA2,2026,Thermal,Caribe,COMBUSTOLEO,60,0,6.8742e+06,8.5932e+06
