load_zone,timestamp,ZoneTotalCentralDispatch,ZoneTotalDistributedDispatch,TXPowerNet,zone_demand_mw,StorageNetCharge
Antioquia,2023_Q1_labor_0h,3874.93,0,-2781.15,1093.78,0
Antioquia,2023_Q1_labor_1h,3772.36,0,-2739.81,1032.55,0
Antioquia,2023_Q1_labor_2h,3709.72,0,-2712.45,997.272,0
Antioquia,2023_Q1_labor_3h,3663.32,0,-2691.06,972.263,0
Antioquia,2023_Q1_labor_4h,3640.01,0,-2679.76,960.252,0
Antioquia,2023_Q1_labor_5h,3668.35,0,-2693.3,975.055,0
Antioquia,2023_Q1_labor_6h,3737.3,0,-2722.12,1015.18,0
Antioquia,2023_Q1_labor_7h,3770.46,0,-2731.63,1038.83,0
Antioquia,2023_Q1_labor_8h,3869.3,0,-2767.76,1101.54,0
Antioquia,2023_Q1_labor_9h,3974.02,0,-2804.19,1169.83,0
Antioquia,2023_Q1_labor_10h,4037.46,0,-2825.09,1212.36,0
Antioquia,2023_Q1_labor_11h,4102.65,0,-2848.21,1254.44,0
Antioquia,2023_Q1_labor_12h,4157.38,0,-2869.49,1287.89,0
Antioquia,2023_Q1_labor_13h,4151.43,0,-2869.15,1282.28,0
Antioquia,2023_Q1_labor_14h,4160.51,0,-2875.43,1285.08,0
Antioquia,2023_Q1_labor_15h,4188.13,0,-2890.31,1297.82,0
Antioquia,2023_Q1_labor_16h,4188.28,0,-2893.36,1294.92,0
Antioquia,2023_Q1_labor_17h,4157.29,0,-2884.16,1273.13,0
Antioquia,2023_Q1_labor_18h,4117.54,0,-2869.11,1248.43,0
Antioquia,2023_Q1_labor_19h,4228.13,0,-2914.6,1313.53,0
Antioquia,2023_Q1_labor_20h,4253.89,0,-2925.99,1327.9,0
Antioquia,2023_Q1_labor_21h,4196.22,0,-2901.75,1294.47,0
Antioquia,2023_Q1_labor_22h,4103.33,0,-2865.16,1238.16,0
Antioquia,2023_Q1_labor_23h,3984.45,0,-2820.96,1163.49,0
Antioquia,2023_Q1_holidays_0h,3831.21,0,-2804.63,1026.58,0
Antioquia,2023_Q1_holidays_1h,3784.29,0,-2781.24,1003.05,0
Antioquia,2023_Q1_holidays_2h,3715.94,0,-2746.24,969.7,0
Antioquia,2023_Q1_holidays_3h,3658.54,0,-2716.26,942.278,0
Antioquia,2023_Q1_holidays_4h,3615.07,0,-2693.54,921.532,0
Antioquia,2023_Q1_holidays_5h,3591.19,0,-2680.85,910.347,0
Antioquia,2023_Q1_holidays_6h,3565.43,0,-2663.95,901.478,0
Antioquia,2023_Q1_holidays_7h,3490.29,0,-2616.57,873.72,0
Antioquia,2023_Q1_holidays_8h,3535.59,0,-2633.23,902.352,0
Antioquia,2023_Q1_holidays_9h,3632.3,0,-2678.14,954.16,0
Antioquia,2023_Q1_holidays_10h,3721.98,0,-2720.04,1001.94,0
Antioquia,2023_Q1_holidays_11h,3796.2,0,-2755.75,1040.45,0
Antioquia,2023_Q1_holidays_12h,3862.54,0,-2789.62,1072.92,0
Antioquia,2023_Q1_holidays_13h,3897.06,0,-2810.13,1086.92,0
Antioquia,2023_Q1_holidays_14h,3901.73,0,-2816.87,1084.86,0
Antioquia,2023_Q1_holidays_15h,3891.91,0,-2817.94,1073.97,0
Antioquia,2023_Q1_holidays_16h,3882.58,0,-2818.03,1064.56,0
Antioquia,2023_Q1_holidays_17h,3878.55,0,-2822.44,1056.11,0
Antioquia,2023_Q1_holidays_18h,3894.91,0,-2832.97,1061.94,0
Antioquia,2023_Q1_holidays_19h,4075.64,0,-2922.75,1152.89,0
Antioquia,2023_Q1_holidays_20h,4136.84,0,-2953.18,1183.66,0
Antioquia,2023_Q1_holidays_21h,4107.73,0,-2938.8,1168.93,0
Antioquia,2023_Q1_holidays_22h,4039.62,0,-2905.8,1133.82,0
Antioquia,2023_Q1_holidays_23h,3941.74,0,-2858.55,1083.19,0
Antioquia,2023_Q2_labor_0h,3679.64,0,-2594.02,1085.63,0
Antioquia,2023_Q2_labor_1h,3538.97,0,-2517.03,1021.94,0
