TRANSMISSION_LINE,PERIOD,trans_lz1,trans_lz2,trans_dbid,trans_length_km,trans_efficiency,trans_derating_factor,TxCapacityNameplate,TxCapacityNameplateAvailable,TotalAnnualCost
Antioquia-Caribe,2023,Antioquia,Caribe,Antioquia-Caribe,331.18,0.96,1,1338.8377884238844,1338.8377884238844,53248046.54224011
Antioquia-Caribe,2024,Antioquia,Caribe,Antioquia-Caribe,331.18,0.96,1,1554.651655711856,1554.651655711856,61831361.82447384
Antioquia-Caribe,2025,Antioquia,Caribe,Antioquia-Caribe,331.18,0.96,1,1599.2417628700273,1599.2417628700273,63604792.57300158
Antioquia-Caribe,2026,Antioquia,Caribe,Antioquia-Caribe,331.18,0.96,1,1599.2417628741619,1599.2417628741619,63604792.57316602
Antioquia-Caribe,2027,Antioquia,Caribe,Antioquia-Caribe,331.18,0.96,1,1599.2417628744874,1599.2417628744874,63604792.57317897
Antioquia-Caribe,2028,Antioquia,Caribe,Antioquia-Caribe,331.18,0.96,1,1599.241762874743,1599.241762874743,63604792.57318913
Antioquia-Caribe,2029,Antioquia,Caribe,Antioquia-Caribe,331.18,0.96,1,1599.2417628749854,1599.2417628749854,63604792.57319877
Antioquia-Caribe,2030,Antioquia,Caribe,Antioquia-Caribe,331.18,0.96,1,1599.2417628752496,1599.2417628752496,63604792.57320928
Antioquia-Caribe,2031,Antioquia,Caribe,Antioquia-Caribe,331.18,0.96,1,1599.2417628755597,1599.2417628755597,63604792.57322162
Antioquia-Caribe,2032,Antioquia,Caribe,Antioquia-Caribe,331.18,0.96,1,1599.2417628759613,1599.2417628759613,63604792.57323758
Antioquia-Caribe,2033,Antioquia,Caribe,Antioquia-Caribe,331.18,0.96,1,1599.2417628764929,1599.2417628764929,63604792.57325873
Antioquia-Caribe,2034,Antioquia,Caribe,Antioquia-Caribe,331.18,0.96,1,1599.2417628772614,1599.2417628772614,63604792.57328929
Antioquia-Caribe,2035,Antioquia,Caribe,Antioquia-Caribe,331.18,0.96,1,1599.2417628787853,1599.2417628787853,63604792.5733499
Antioquia-Nordeste,2023,Antioquia,Nordeste,Antioquia-Nordeste,329.95,0.96,1,845.0000000003314,845.0000000003314,33482390.560135424
Antioquia-Nordeste,2024,Antioquia,Nordeste,Antioquia-Nordeste,329.95,0.96,1,845.0000000004942,845.0000000004942,33482390.560141873
Antioquia-Nordeste,2025,Antioquia,Nordeste,Antioquia-Nordeste,329.95,0.96,1,845.0000000006811,845.0000000006811,33482390.56014928
Antioquia-Nordeste,2026,Antioquia,Nordeste,Antioquia-Nordeste,329.95,0.96,1,845.0000000008962,845.0000000008962,33482390.560157802
Antioquia-Nordeste,2027,Antioquia,Nordeste,Antioquia-Nordeste,329.95,0.96,1,845.0000000011282,845.0000000011282,33482390.560166996
Antioquia-Nordeste,2028,Antioquia,Nordeste,Antioquia-Nordeste,329.95,0.96,1,845.0000000013894,845.0000000013894,33482390.560177345
Antioquia-Nordeste,2029,Antioquia,Nordeste,Antioquia-Nordeste,329.95,0.96,1,845.0000000016923,845.0000000016923,33482390.56018935
Antioquia-Nordeste,2030,Antioquia,Nordeste,Antioquia-Nordeste,329.95,0.96,1,845.0000000020584,845.0000000020584,33482390.560203854
Antioquia-Nordeste,2031,Antioquia,Nordeste,Antioquia-Nordeste,329.95,0.96,1,845.0000000025241,845.0000000025241,33482390.560222305
Antioquia-Nordeste,2032,Antioquia,Nordeste,Antioquia-Nordeste,329.95,0.96,1,845.0000000031541,845.0000000031541,33482390.560247272
Antioquia-Nordeste,2033,Antioquia,Nordeste,Antioquia-Nordeste,329.95,0.96,1,845.0000000041367,845.0000000041367,33482390.560286205
Antioquia-Nordeste,2034,Antioquia,Nordeste,Antioquia-Nordeste,329.95,0.96,1,845.0000000061324,845.0000000061324,33482390.560365282
Antioquia-Nordeste,2035,Antioquia,Nordeste,Antioquia-Nordeste,329.95,0.96,1,845.0000000557542,845.0000000557542,33482390.562331505
Antioquia-Oriental,2023,Antioquia,Oriental,Antioquia-Oriental,568.98,0.96,1,480.0000000001998,480.0000000001998,32798188.28147722
Antioquia-Oriental,2024,Antioquia,Oriental,Antioquia-Oriental,568.98,0.96,1,480.00000000035084,480.00000000035084,32798188.28148754
Antioquia-Oriental,2025,Antioquia,Oriental,Antioquia-Oriental,568.98,0.96,1,480.0000000005853,480.0000000005853,32798188.281503562
Antioquia-Oriental,2026,Antioquia,Oriental,Antioquia-Oriental,568.98,0.96,1,480.000000001116,480.000000001116,32798188.281539824
Antioquia-Oriental,2027,Antioquia,Oriental,Antioquia-Oriental,568.98,0.96,1,480.0000000013636,480.0000000013636,32798188.281556744
Antioquia-Oriental,2028,Antioquia,Oriental,Antioquia-Oriental,568.98,0.96,1,480.00000000166165,480.00000000166165,32798188.281577107
Antioquia-Oriental,2029,Antioquia,Oriental,Antioquia-Oriental,568.98,0.96,1,480.00000000237367,480.00000000237367,32798188.28162576
Antioquia-Oriental,2030,Antioquia,Oriental,Antioquia-Oriental,568.98,0.96,1,480.0000000034119,480.0000000034119,32798188.281696703
Antioquia-Oriental,2031,Antioquia,Oriental,Antioquia-Oriental,568.98,0.96,1,480.0000000065468,480.0000000065468,32798188.28191091
Antioquia-Oriental,2032,Antioquia,Oriental,Antioquia-Oriental,568.98,0.96,1,480.0000000080819,480.0000000080819,32798188.2820158
Antioquia-Oriental,2033,Antioquia,Oriental,Antioquia-Oriental,568.98,0.96,1,480.0000000087801,480.0000000087801,32798188.282063507
Antioquia-Oriental,2034,Antioquia,Oriental,Antioquia-Oriental,568.98,0.96,1,480.000000010027,480.000000010027,32798188.28214871
Antioquia-Oriental,2035,Antioquia,Oriental,Antioquia-Oriental,568.98,0.96,1,480.0000000215255,480.0000000215255,32798188.282934397
Antioquia-Surocciden,2023,Antioquia,Surocciden,Antioquia-Surocciden,552.69,0.96,1,1420.0000000004204,1420.0000000004204,94250045.28362231
Antioquia-Surocciden,2024,Antioquia,Surocciden,Antioquia-Surocciden,552.69,0.96,1,1420.0000000005457,1420.0000000005457,94250045.28363062
Antioquia-Surocciden,2025,Antioquia,Surocciden,Antioquia-Surocciden,552.69,0.96,1,1420.0000000006917,1420.0000000006917,94250045.28364031
Antioquia-Surocciden,2026,Antioquia,Surocciden,Antioquia-Surocciden,552.69,0.96,1,1420.000000000856,1420.000000000856,94250045.28365122
Antioquia-Surocciden,2027,Antioquia,Surocciden,Antioquia-Surocciden,552.69,0.96,1,1420.0000000010418,1420.0000000010418,94250045.28366356
Antioquia-Surocciden,2028,Antioquia,Surocciden,Antioquia-Surocciden,552.69,0.96,1,1420.000000001253,1420.000000001253,94250045.28367758
Antioquia-Surocciden,2029,Antioquia,Surocciden,Antioquia-Surocciden,552.69,0.96,1,1420.0000000015125,1420.0000000015125,94250045.28369479
Antioquia-Surocciden,2030,Antioquia,Surocciden,Antioquia-Surocciden,552.69,0.96,1,1420.0000000019206,1420.0000000019206,94250045.28372188
Antioquia-Surocciden,2031,Antioquia,Surocciden,Antioquia-Surocciden,552.69,0.96,1,1420.0000000027103,1420.0000000027103,94250045.2837743
Antioquia-Surocciden,2032,Antioquia,Surocciden,Antioquia-Surocciden,552.69,0.96,1,1420.0000000033426,1420.0000000033426,94250045.28381626
Antioquia-Surocciden,2033,Antioquia,Surocciden,Antioquia-Surocciden,552.69,0.96,1,1420.0000000038242,1420.0000000038242,94250045.28384823
Antioquia-Surocciden,2034,Antioquia,Surocciden,Antioquia-Surocciden,552.69,0.96,1,1420.0000000046489,1420.0000000046489,94250045.28390297
Antioquia-Surocciden,2035,Antioquia,Surocciden,Antioquia-Surocciden,552.69,0.96,1,1420.0000000080472,1420.0000000080472,94250045.28412852
Caribe-Nordeste,2023,Caribe,Nordeste,Caribe-Nordeste,358.09,0.96,1,500.00000000051494,500.00000000051494,21501750.284356408
Caribe-Nordeste,2024,Caribe,Nordeste,Caribe-Nordeste,358.09,0.96,1,500.0000000010457,500.0000000010457,21501750.284379233
