TRANS_BLD_YRS_1,TRANS_BLD_YRS_2,BuildTx
Antioquia-Caribe,2023,78.7004569203929
Antioquia-Caribe,2024,309.128832527229
Antioquia-Caribe,2025,3.220717624021274e-08
Antioquia-Caribe,2026,5.847245417504399e-09
Antioquia-Caribe,2027,1.6619704203885702e-09
Antioquia-Caribe,2028,1.3749184507289986e-09
Antioquia-Caribe,2029,1.2338404556673333e-09
Antioquia-Caribe,2030,1.1854762507948002e-09
Antioquia-Caribe,2031,1.4709820206182655e-09
Antioquia-Caribe,2032,2.014432855757654e-09
Antioquia-Caribe,2033,2.0395954314708533e-09
Antioquia-Caribe,2034,1.6585871632372684e-09
Antioquia-Caribe,2035,3.15739685152432e-09
Antioquia-Nordeste,2023,6.219073882480442e-09
Antioquia-Nordeste,2024,1.4820359969284341e-09
Antioquia-Nordeste,2025,1.7060434851706423e-09
Antioquia-Nordeste,2026,1.96522596388228e-09
Antioquia-Nordeste,2027,1.920767705488406e-09
Antioquia-Nordeste,2028,1.9532665571007073e-09
Antioquia-Nordeste,2029,2.065743774308116e-09
Antioquia-Nordeste,2030,2.3234402039028156e-09
Antioquia-Nordeste,2031,2.7086452703490077e-09
Antioquia-Nordeste,2032,3.2038474503927717e-09
Antioquia-Nordeste,2033,3.923194560200431e-09
Antioquia-Nordeste,2034,5.298509184907968e-09
Antioquia-Nordeste,2035,2.4830756160042208e-08
Antioquia-Oriental,2023,3.335062185149382e-09
Antioquia-Oriental,2024,1.3978404772176238e-09
Antioquia-Oriental,2025,2.277442584712982e-09
Antioquia-Oriental,2026,7.885355132437706e-09
Antioquia-Oriental,2027,8.379160723058043e-10
Antioquia-Oriental,2028,2.9593317383766835e-09
Antioquia-Oriental,2029,7.510371650059424e-09
Antioquia-Oriental,2030,1.479390116228693e-08
Antioquia-Oriental,2031,30.183700162888247
Antioquia-Oriental,2032,34.67777945894
Antioquia-Oriental,2033,3.783393713358045e-09
Antioquia-Oriental,2034,4.393459861637882e-09
Antioquia-Oriental,2035,3.006072790913313e-08
Antioquia-Surocciden,2023,9.271713153934957e-09
Antioquia-Surocciden,2024,1.2379573341968942e-09
Antioquia-Surocciden,2025,1.4219782553703565e-09
Antioquia-Surocciden,2026,1.4608568428760586e-09
Antioquia-Surocciden,2027,1.4357234783316318e-09
Antioquia-Surocciden,2028,1.2889275204224917e-09
Antioquia-Surocciden,2029,1.1958706702791946e-09
Antioquia-Surocciden,2030,1.9103487411201865e-09
Antioquia-Surocciden,2031,3.023868040335992e-09
Antioquia-Surocciden,2032,2.826790710409571e-09
Antioquia-Surocciden,2033,1.695673555229554e-09
Antioquia-Surocciden,2034,1.7910065418404195e-09
Antioquia-Surocciden,2035,1.068881237892287e-08
Caribe-Nordeste,2023,4.930491359569722e-09
Caribe-Nordeste,2024,3.0416777264269075e-09
Caribe-Nordeste,2025,3.160206675012049e-09
Caribe-Nordeste,2026,3.0855520750577093e-09
Caribe-Nordeste,2027,1.7565612894943862e-09
Caribe-Nordeste,2028,1.6128942398079645e-09
Caribe-Nordeste,2029,1.6606949690348703e-09
Caribe-Nordeste,2030,1.8601611516442366e-09
Caribe-Nordeste,2031,2.081576662841964e-09
Caribe-Nordeste,2032,2.3414883966681213e-09
Caribe-Nordeste,2033,2.7871827431620924e-09
Caribe-Nordeste,2034,3.665909380992946e-09
Caribe-Nordeste,2035,8.47689042654739e-09
Nordeste-Oriental,2023,5.900071710689406e-09
Nordeste-Oriental,2024,1.6833457408832327e-09
Nordeste-Oriental,2025,1.694772050231774e-09
Nordeste-Oriental,2026,1.7586406444626011e-09
Nordeste-Oriental,2027,1.9505048737835988e-09
Nordeste-Oriental,2028,2.2904147745547e-09
Nordeste-Oriental,2029,2.958055122622423e-09
Nordeste-Oriental,2030,4.5025039180412704e-09
Nordeste-Oriental,2031,31.703768362851545
Nordeste-Oriental,2032,1.202503176228317e-08
Nordeste-Oriental,2033,2.6068739352705455e-09
Nordeste-Oriental,2034,3.5463981733043127e-09
Nordeste-Oriental,2035,5.622352863633909e-09
Oriental-Surocciden,2023,5.972252783973351e-09
Oriental-Surocciden,2024,1.642498522311123e-09
Oriental-Surocciden,2025,1.5498503118903742e-09
Oriental-Surocciden,2026,1.5133630341288456e-09
Oriental-Surocciden,2027,1.6048598836823914e-09
Oriental-Surocciden,2028,1.8223921725074891e-09
Oriental-Surocciden,2029,1.9238817086002588e-09
Oriental-Surocciden,2030,2.0707199423596926e-09
Oriental-Surocciden,2031,2.6023031314731513e-09
Oriental-Surocciden,2032,3.232385139847652e-09
Oriental-Surocciden,2033,2.6006261340874616e-09
Oriental-Surocciden,2034,2.695986902633272e-09
Oriental-Surocciden,2035,5.009062818557988e-09
