HYDRO_GEN_TS_1,HYDRO_GEN_TS_2,Relax_Enforce_Hydro_Avg_Flow_down
AMOYA,2023_Q1_labor,0.0
AMOYA,2023_Q1_holidays,0.0
AMOYA,2023_Q2_labor,0.0
AMOYA,2023_Q2_holidays,0.0
AMOYA,2023_Q3_labor,0.0
AMOYA,2023_Q3_holidays,0.0
AMOYA,2023_Q4_labor,0.0
AMOYA,2023_Q4_holidays,0.0
AMOYA,2024_Q1_labor,0.0
AMOYA,2024_Q1_holidays,0.0
AMOYA,2024_Q2_labor,0.0
AMOYA,2024_Q2_holidays,0.0
AMOYA,2024_Q3_labor,0.0
AMOYA,2024_Q3_holidays,0.0
AMOYA,2024_Q4_labor,0.0
AMOYA,2024_Q4_holidays,0.0
BETANIA,2023_Q1_labor,0.0
BETANIA,2023_Q1_holidays,0.0
BETANIA,2023_Q2_labor,0.0
BETANIA,2023_Q2_holidays,0.0
BETANIA,2023_Q3_labor,0.0
BETANIA,2023_Q3_holidays,0.0
BETANIA,2023_Q4_labor,0.0
BETANIA,2023_Q4_holidays,0.0
BETANIA,2024_Q1_labor,0.0
BETANIA,2024_Q1_holidays,0.0
BETANIA,2024_Q2_labor,0.0
BETANIA,2024_Q2_holidays,0.0
BETANIA,2024_Q3_labor,0.0
BETANIA,2024_Q3_holidays,0.0
BETANIA,2024_Q4_labor,0.0
BETANIA,2024_Q4_holidays,0.0
CALDERAS,2023_Q1_labor,0.0
CALDERAS,2023_Q1_holidays,0.0
CALDERAS,2023_Q2_labor,0.0
CALDERAS,2023_Q2_holidays,0.0
CALDERAS,2023_Q3_labor,0.0
CALDERAS,2023_Q3_holidays,0.0
CALDERAS,2023_Q4_labor,0.0
CALDERAS,2023_Q4_holidays,0.0
CALDERAS,2024_Q1_labor,0.0
CALDERAS,2024_Q1_holidays,0.0
CALDERAS,2024_Q2_labor,0.0
CALDERAS,2024_Q2_holidays,0.0
CALDERAS,2024_Q3_labor,0.0
CALDERAS,2024_Q3_holidays,0.0
CALDERAS,2024_Q4_labor,0.0
CALDERAS,2024_Q4_holidays,0.0
CALIMA,2023_Q1_labor,0.0
CALIMA,2023_Q1_holidays,0.0
CALIMA,2023_Q2_labor,0.0
CALIMA,2023_Q2_holidays,0.0
CALIMA,2023_Q3_labor,0.0
CALIMA,2023_Q3_holidays,0.0
CALIMA,2023_Q4_labor,0.0
CALIMA,2023_Q4_holidays,0.0
CALIMA,2024_Q1_labor,0.0
CALIMA,2024_Q1_holidays,0.0
CALIMA,2024_Q2_labor,0.0
CALIMA,2024_Q2_holidays,0.0
CALIMA,2024_Q3_labor,0.0
CALIMA,2024_Q3_holidays,0.0
CALIMA,2024_Q4_labor,0.0
CALIMA,2024_Q4_holidays,0.0
CHARQUITO,2023_Q1_labor,0.0
CHARQUITO,2023_Q1_holidays,0.0
CHARQUITO,2023_Q2_labor,0.0
CHARQUITO,2023_Q2_holidays,0.0
CHARQUITO,2023_Q3_labor,0.0
CHARQUITO,2023_Q3_holidays,0.0
CHARQUITO,2023_Q4_labor,0.0
CHARQUITO,2023_Q4_holidays,0.0
CHARQUITO,2024_Q1_labor,0.0
CHARQUITO,2024_Q1_holidays,0.0
CHARQUITO,2024_Q2_labor,0.0
CHARQUITO,2024_Q2_holidays,0.0
CHARQUITO,2024_Q3_labor,0.0
CHARQUITO,2024_Q3_holidays,0.0
CHARQUITO,2024_Q4_labor,0.0
CHARQUITO,2024_Q4_holidays,0.0
CHIVOR,2023_Q1_labor,0.0
CHIVOR,2023_Q1_holidays,0.0
CHIVOR,2023_Q2_labor,0.0
CHIVOR,2023_Q2_holidays,0.0
CHIVOR,2023_Q3_labor,0.0
CHIVOR,2023_Q3_holidays,0.0
CHIVOR,2023_Q4_labor,0.0
CHIVOR,2023_Q4_holidays,0.0
CHIVOR,2024_Q1_labor,0.0
CHIVOR,2024_Q1_holidays,0.0
CHIVOR,2024_Q2_labor,0.0
CHIVOR,2024_Q2_holidays,0.0
CHIVOR,2024_Q3_labor,0.0
CHIVOR,2024_Q3_holidays,0.0
CHIVOR,2024_Q4_labor,0.0
CHIVOR,2024_Q4_holidays,0.0
CUCUANA,2023_Q1_labor,0.0
CUCUANA,2023_Q1_holidays,0.0
CUCUANA,2023_Q2_labor,0.0
CUCUANA,2023_Q2_holidays,0.0
