HYDRO_GEN_TS_1,HYDRO_GEN_TS_2,Relax_Enforce_Hydro_Avg_Flow_up
AMOYA,2023_Q1_labor,1.0723433138633849e-17
AMOYA,2023_Q1_holidays,1.0723433130678071e-17
AMOYA,2023_Q2_labor,1.0723433096540038e-17
AMOYA,2023_Q2_holidays,1.072343308937061e-17
AMOYA,2023_Q3_labor,1.072343307746904e-17
AMOYA,2023_Q3_holidays,1.072343307568972e-17
AMOYA,2023_Q4_labor,1.0723433092347508e-17
AMOYA,2023_Q4_holidays,1.0723433097382557e-17
AMOYA,2024_Q1_labor,1.072343313956463e-17
AMOYA,2024_Q1_holidays,1.0723433141662902e-17
AMOYA,2024_Q2_labor,1.0723433096415666e-17
AMOYA,2024_Q2_holidays,1.0723433098854957e-17
AMOYA,2024_Q3_labor,1.0723433077300536e-17
AMOYA,2024_Q3_holidays,1.0723433081468994e-17
AMOYA,2024_Q4_labor,1.0723433091972387e-17
AMOYA,2024_Q4_holidays,1.0723433112710368e-17
BETANIA,2023_Q1_labor,1.0723434143709823e-17
BETANIA,2023_Q1_holidays,1.0723434768168205e-17
BETANIA,2023_Q2_labor,1.0723433076855204e-17
BETANIA,2023_Q2_holidays,1.072343309149496e-17
BETANIA,2023_Q3_labor,1.0723433086925301e-17
BETANIA,2023_Q3_holidays,1.0723434880297338e-17
BETANIA,2023_Q4_labor,1.0723433443298431e-17
BETANIA,2023_Q4_holidays,1.0723434374557781e-17
BETANIA,2024_Q1_labor,1.0723434146026748e-17
BETANIA,2024_Q1_holidays,1.0723434809281084e-17
BETANIA,2024_Q2_labor,1.0723433076684694e-17
BETANIA,2024_Q2_holidays,1.072343310442962e-17
BETANIA,2024_Q3_labor,1.0723433086457904e-17
BETANIA,2024_Q3_holidays,1.072343493497877e-17
BETANIA,2024_Q4_labor,1.072343344254217e-17
BETANIA,2024_Q4_holidays,1.0723434434958308e-17
CALDERAS,2023_Q1_labor,1.0723433326613683e-17
CALDERAS,2023_Q1_holidays,1.0723433369513904e-17
CALDERAS,2023_Q2_labor,1.0723433268834995e-17
CALDERAS,2023_Q2_holidays,1.072343328678063e-17
CALDERAS,2023_Q3_labor,1.0723433325959728e-17
CALDERAS,2023_Q3_holidays,1.0723433331273611e-17
CALDERAS,2023_Q4_labor,1.072343325586824e-17
CALDERAS,2023_Q4_holidays,1.072343324230771e-17
CALDERAS,2024_Q1_labor,1.0723433327016888e-17
CALDERAS,2024_Q1_holidays,1.0723433378615106e-17
CALDERAS,2024_Q2_labor,1.072343326848194e-17
CALDERAS,2024_Q2_holidays,1.0723433296246923e-17
CALDERAS,2024_Q3_labor,1.072343332549835e-17
CALDERAS,2024_Q3_holidays,1.0723433343500154e-17
CALDERAS,2024_Q4_labor,1.072343325535671e-17
CALDERAS,2024_Q4_holidays,1.0723433256415876e-17
CALIMA,2023_Q1_labor,1.0723433071110033e-17
CALIMA,2023_Q1_holidays,1.072343307150722e-17
CALIMA,2023_Q2_labor,1.0723433099089658e-17
CALIMA,2023_Q2_holidays,1.072343327738856e-17
CALIMA,2023_Q3_labor,1.0723433071505214e-17
CALIMA,2023_Q3_holidays,1.0723433077314577e-17
CALIMA,2023_Q4_labor,1.0723433074305584e-17
CALIMA,2023_Q4_holidays,1.0723433098281242e-17
CALIMA,2024_Q1_labor,1.0723433071184255e-17
CALIMA,2024_Q1_holidays,1.0723433072062882e-17
CALIMA,2024_Q2_labor,1.0723433098945227e-17
CALIMA,2024_Q2_holidays,1.0723433291759511e-17
CALIMA,2024_Q3_labor,1.072343307158746e-17
CALIMA,2024_Q3_holidays,1.0723433085505058e-17
CALIMA,2024_Q4_labor,1.0723433074175194e-17
CALIMA,2024_Q4_holidays,1.0723433115183761e-17
CHARQUITO,2023_Q1_labor,1.0723433182440779e-17
CHARQUITO,2023_Q1_holidays,1.0723433135368088e-17
CHARQUITO,2023_Q2_labor,1.0723433091898165e-17
CHARQUITO,2023_Q2_holidays,1.0723433096201025e-17
CHARQUITO,2023_Q3_labor,1.072343308431149e-17
CHARQUITO,2023_Q3_holidays,1.0723433089599293e-17
CHARQUITO,2023_Q4_labor,1.0723433085727723e-17
CHARQUITO,2023_Q4_holidays,1.0723433085551195e-17
CHARQUITO,2024_Q1_labor,1.0723433183030542e-17
CHARQUITO,2024_Q1_holidays,1.0723433142527486e-17
CHARQUITO,2024_Q2_labor,1.0723433091769781e-17
CHARQUITO,2024_Q2_holidays,1.072343310134841e-17
CHARQUITO,2024_Q3_labor,1.07234330841811e-17
CHARQUITO,2024_Q3_holidays,1.0723433094889103e-17
CHARQUITO,2024_Q4_labor,1.0723433085537153e-17
CHARQUITO,2024_Q4_holidays,1.072343309047792e-17
CHIVOR,2023_Q1_labor,1.0723433089332497e-17
CHIVOR,2023_Q1_holidays,1.0723433085625417e-17
CHIVOR,2023_Q2_labor,1.0723433087364615e-17
CHIVOR,2023_Q2_holidays,1.0723433085162032e-17
CHIVOR,2023_Q3_labor,1.0723433075878284e-17
CHIVOR,2023_Q3_holidays,1.0723433075107982e-17
CHIVOR,2023_Q4_labor,1.072343309206065e-17
CHIVOR,2023_Q4_holidays,1.0723433091462863e-17
CHIVOR,2024_Q1_labor,1.072343308994633e-17
CHIVOR,2024_Q1_holidays,1.0723433095472848e-17
CHIVOR,2024_Q2_labor,1.0723433087023596e-17
CHIVOR,2024_Q2_holidays,1.0723433096441745e-17
CHIVOR,2024_Q3_labor,1.0723433075661637e-17
CHIVOR,2024_Q3_holidays,1.0723433086716679e-17
CHIVOR,2024_Q4_labor,1.0723433091476906e-17
CHIVOR,2024_Q4_holidays,1.0723433107873913e-17
CUCUANA,2023_Q1_labor,1.0723433251994662e-17
CUCUANA,2023_Q1_holidays,1.0723433241168304e-17
CUCUANA,2023_Q2_labor,1.0723433127811503e-17
CUCUANA,2023_Q2_holidays,1.0723433127865665e-17
CUCUANA,2023_Q3_labor,1.0723433166589403e-17
CUCUANA,2023_Q3_holidays,1.0723433162505196e-17
CUCUANA,2023_Q4_labor,1.0723433168928393e-17
CUCUANA,2023_Q4_holidays,1.072343316824836e-17
CUCUANA,2024_Q1_labor,1.0723433253031761e-17
CUCUANA,2024_Q1_holidays,1.0723433253475087e-17
CUCUANA,2024_Q2_labor,1.0723433127669077e-17
CUCUANA,2024_Q2_holidays,1.072343313930385e-17
CUCUANA,2024_Q3_labor,1.0723433166174162e-17
CUCUANA,2024_Q3_holidays,1.07234331764589e-17
CUCUANA,2024_Q4_labor,1.0723433168402822e-17
CUCUANA,2024_Q4_holidays,1.0723433186504925e-17
C_LLERAS_R,2023_Q1_labor,1.0723433072748932e-17
C_LLERAS_R,2023_Q1_holidays,1.0723433090142919e-17
C_LLERAS_R,2023_Q2_labor,1.0723433074349715e-17
C_LLERAS_R,2023_Q2_holidays,1.0723433076865234e-17
C_LLERAS_R,2023_Q3_labor,1.0723433072351745e-17
C_LLERAS_R,2023_Q3_holidays,1.0723433076690713e-17
C_LLERAS_R,2023_Q4_labor,1.072343307525442e-17
C_LLERAS_R,2023_Q4_holidays,1.0723433075745888e-17
C_LLERAS_R,2024_Q1_labor,1.0723433072833183e-17
C_LLERAS_R,2024_Q1_holidays,1.0723433094859014e-17
C_LLERAS_R,2024_Q2_labor,1.072343307426747e-17
C_LLERAS_R,2024_Q2_holidays,1.07234330795974e-17
C_LLERAS_R,2024_Q3_labor,1.0723433072261474e-17
C_LLERAS_R,2024_Q3_holidays,1.0723433079900306e-17
C_LLERAS_R,2024_Q4_labor,1.072343307512403e-17
C_LLERAS_R,2024_Q4_holidays,1.0723433079645544e-17
DARIO VALENC,2023_Q1_labor,1.0723433119087429e-17
DARIO VALENC,2023_Q1_holidays,1.0723433108874905e-17
DARIO VALENC,2023_Q2_labor,1.072343308326436e-17
DARIO VALENC,2023_Q2_holidays,1.0723433077830119e-17
DARIO VALENC,2023_Q3_labor,1.0723433087135932e-17
DARIO VALENC,2023_Q3_holidays,1.0723433076267447e-17
DARIO VALENC,2023_Q4_labor,1.0723433087819976e-17
DARIO VALENC,2023_Q4_holidays,1.0723433089119862e-17
DARIO VALENC,2024_Q1_labor,1.0723433119731353e-17
DARIO VALENC,2024_Q1_holidays,1.0723433118443504e-17
DARIO VALENC,2024_Q2_labor,1.0723433083087832e-17
DARIO VALENC,2024_Q2_holidays,1.07234330853185e-17
DARIO VALENC,2024_Q3_labor,1.0723433086863116e-17
DARIO VALENC,2024_Q3_holidays,1.0723433085214188e-17
DARIO VALENC,2024_Q4_labor,1.0723433087418777e-17
DARIO VALENC,2024_Q4_holidays,1.0723433103571052e-17
EL QUIMBO,2023_Q1_labor,1.072343309134451e-17
EL QUIMBO,2023_Q1_holidays,1.0723433109183829e-17
EL QUIMBO,2023_Q2_labor,1.0723433108150741e-17
EL QUIMBO,2023_Q2_holidays,1.0723433248369827e-17
EL QUIMBO,2023_Q3_labor,1.0723433157767034e-17
EL QUIMBO,2023_Q3_holidays,1.0723433163783015e-17
EL QUIMBO,2023_Q4_labor,1.0723433092740682e-17
EL QUIMBO,2023_Q4_holidays,1.07234331021147e-17
EL QUIMBO,2024_Q1_labor,1.0723433092255232e-17
EL QUIMBO,2024_Q1_holidays,1.0723433120439468e-17
EL QUIMBO,2024_Q2_labor,1.072343310796619e-17
EL QUIMBO,2024_Q2_holidays,1.0723433262798953e-17
EL QUIMBO,2024_Q3_labor,1.0723433157311673e-17
EL QUIMBO,2024_Q3_holidays,1.0723433178557172e-17
EL QUIMBO,2024_Q4_labor,1.0723433092189034e-17
EL QUIMBO,2024_Q4_holidays,1.0723433120451505e-17
ESCUELAMINAS,2023_Q1_labor,1.0723433209660133e-17
ESCUELAMINAS,2023_Q1_holidays,1.0723433313346029e-17
ESCUELAMINAS,2023_Q2_labor,1.0723433096281266e-17
ESCUELAMINAS,2023_Q2_holidays,1.0723433101924131e-17
ESCUELAMINAS,2023_Q3_labor,1.0723433092391639e-17
ESCUELAMINAS,2023_Q3_holidays,1.0723433086606349e-17
