PERIOD,Component,Component_type,AnnualCost_NPV,AnnualCost_Real
2023,EmissionsCosts,annual,0.0,0.0
2023,FuelCostsPerTP,timepoint,602131233.2412318,623205826.4046763
2023,GenVariableOMCostsInTP,timepoint,207086892.0507823,214334933.27256015
2023,StorageEnergyFixedCost,annual,0.0,0.0
2023,TotalGenFixedCosts,annual,4268421178.670166,4417815919.923632
2023,TxFixedCosts,annual,290099108.2853254,300252577.0753125
2024,EmissionsCosts,annual,0.0,0.0
2024,FuelCostsPerTP,timepoint,431502378.6080447,462236135.5244037
2024,GenVariableOMCostsInTP,timepoint,199829215.20147735,214062051.05420303
2024,StorageEnergyFixedCost,annual,0.0,0.0
2024,TotalGenFixedCosts,annual,4376769391.569583,4688504791.484137
2024,TxFixedCosts,annual,291766156.05529314,312547200.5203321
2025,EmissionsCosts,annual,0.0,0.0
2025,FuelCostsPerTP,timepoint,462299846.28511864,512560103.1860645
2025,GenVariableOMCostsInTP,timepoint,208101972.2747802,230726376.48380372
2025,StorageEnergyFixedCost,annual,0.0,0.0
2025,TotalGenFixedCosts,annual,4241194672.1815176,4702288344.402424
2025,TxFixedCosts,annual,281899667.68795955,312547200.52220136
2026,EmissionsCosts,annual,0.0,0.0
2026,FuelCostsPerTP,timepoint,190168209.57337388,218222394.4731223
2026,GenVariableOMCostsInTP,timepoint,158170069.03436214,181503792.227375
2026,StorageEnergyFixedCost,annual,0.0,0.0
2026,TotalGenFixedCosts,annual,4457432114.865835,5115005875.533093
2026,TxFixedCosts,annual,272366828.68507785,312547200.5234165
2027,EmissionsCosts,annual,0.0,0.0
2027,FuelCostsPerTP,timepoint,106836824.75846022,126888633.70441845
2027,GenVariableOMCostsInTP,timepoint,138972387.47324026,165055601.46501908
2027,StorageEnergyFixedCost,annual,0.0,0.0
2027,TotalGenFixedCosts,annual,4421612189.383502,5251488246.212092
2027,TxFixedCosts,annual,263156356.2179032,312547200.5239351
2028,EmissionsCosts,annual,0.0,0.0
2028,FuelCostsPerTP,timepoint,85297555.59914921,104852474.54442182
2028,GenVariableOMCostsInTP,timepoint,131114760.7988436,161173518.07436588
2028,StorageEnergyFixedCost,annual,0.0,0.0
2028,TotalGenFixedCosts,annual,4349107779.206618,5346163902.436112
2028,TxFixedCosts,annual,254257349.00334275,312547200.52459604
2029,EmissionsCosts,annual,0.0,0.0
2029,FuelCostsPerTP,timepoint,58799840.48305585,74809817.70057458
2029,GenVariableOMCostsInTP,timepoint,121130537.76638722,154111871.28793803
2029,StorageEnergyFixedCost,annual,0.0,0.0
2029,TotalGenFixedCosts,annual,4281350219.5505395,5447073100.975279
2029,TxFixedCosts,annual,245659274.40015087,312547200.52559596
2030,EmissionsCosts,annual,0.0,0.0
2030,FuelCostsPerTP,timepoint,93586993.23579636,123236198.43512979
2030,GenVariableOMCostsInTP,timepoint,127711730.33138321,168171960.62659892
2030,StorageEnergyFixedCost,annual,0.0,0.0
2030,TotalGenFixedCosts,annual,4161975560.0414653,5480527029.083434
2030,TxFixedCosts,annual,237351955.94341713,312547200.5272319
2031,EmissionsCosts,annual,0.0,0.0
2031,FuelCostsPerTP,timepoint,76779872.75891957,104643085.36655031
2031,GenVariableOMCostsInTP,timepoint,118294671.43014687,161223494.5965684
2031,StorageEnergyFixedCost,annual,0.0,0.0
2031,TotalGenFixedCosts,annual,4098011921.910314,5585169601.987711
2031,TxFixedCosts,annual,231866730.2105944,316010552.9124029
2032,EmissionsCosts,annual,0.0,0.0
2032,FuelCostsPerTP,timepoint,70372103.06114018,99266801.36034636
2032,GenVariableOMCostsInTP,timepoint,112098160.26027413,158125525.93105087
2032,StorageEnergyFixedCost,annual,0.0,0.0
2032,TotalGenFixedCosts,annual,4026135363.45254,5679261553.779033
2032,TxFixedCosts,annual,225705621.7376145,318380070.2882993
2033,EmissionsCosts,annual,0.0,0.0
2033,FuelCostsPerTP,timepoint,65310878.679566875,95351905.07869022
2033,GenVariableOMCostsInTP,timepoint,107924047.65933849,157565841.34490973
2033,StorageEnergyFixedCost,annual,0.0,0.0
2033,TotalGenFixedCosts,annual,3946895028.161499,5762347218.252208
2033,TxFixedCosts,annual,218073064.48143303,318380070.2892425
2034,EmissionsCosts,annual,0.0,0.0
2034,FuelCostsPerTP,timepoint,93807171.3820913,141749076.50979692
2034,GenVariableOMCostsInTP,timepoint,116239555.27961724,175645948.72690964
2034,StorageEnergyFixedCost,annual,0.0,0.0
2034,TotalGenFixedCosts,annual,3835308836.43772,5795414973.98459
2034,TxFixedCosts,annual,210698613.0262762,318380070.2903562
2035,EmissionsCosts,annual,0.0,0.0
2035,FuelCostsPerTP,timepoint,74041406.02227618,115797505.66563192
2035,GenVariableOMCostsInTP,timepoint,105972598.53855337,165736487.71577752
2035,StorageEnergyFixedCost,annual,0.0,0.0
2035,TotalGenFixedCosts,annual,3779353609.149034,5910742981.247452
2035,TxFixedCosts,annual,203573539.1588147,318380070.29503596
