generation_project,gen_dbid,gen_tech,gen_load_zone,gen_energy_source,period,Energy_GWh_typical_yr,VariableCost_per_yr,DispatchEmissions_tCO2_per_typical_yr,GenCapacity_MW,GenCapitalCosts,GenFixedOMCosts,LCOE_dollar_per_MWh,capacity_factor,Store_GWh_typical_yr,Discharge_GWh_typical_yr
AMOYA,AMOYA,RunOfRiver,Surocciden,Water,2023,410.584126348145,570711.9356239215,0.0,80.0,8978400.293696908,3502400.0,31.787668815657305,0.5858791757250927,,
AMOYA,AMOYA,RunOfRiver,Surocciden,Water,2024,410.5841263483899,570711.935624262,0.0,80.0,8978400.293696908,3502400.0,31.78766881563918,0.5858791757254421,,
AMOYA,AMOYA,RunOfRiver,Surocciden,Water,2025,410.58412634796275,570711.9356236683,0.0,80.0,8978400.293696908,3502400.0,31.787668815670802,0.5858791757248326,,
AMOYA,AMOYA,RunOfRiver,Surocciden,Water,2026,410.5841263261359,570711.9355933288,0.0,80.0,8978400.293696908,3502400.0,31.787668817286757,0.585879175693687,,
AMOYA,AMOYA,RunOfRiver,Surocciden,Water,2027,410.5841263252281,570711.9355920672,0.0,80.0,8978400.293696908,3502400.0,31.787668817353964,0.5858791756923917,,
AMOYA,AMOYA,RunOfRiver,Surocciden,Water,2028,410.5841249210657,570711.9336402813,0.0,80.0,8978400.293696908,3502400.0,31.78766892131138,0.5858791736887352,,
AMOYA,AMOYA,RunOfRiver,Surocciden,Water,2029,410.5841263206952,570711.9355857663,0.0,80.0,8978400.293696908,3502400.0,31.78766881768956,0.5858791756859234,,
AMOYA,AMOYA,RunOfRiver,Surocciden,Water,2030,410.5841263234963,570711.9355896597,0.0,80.0,8978400.293696908,3502400.0,31.787668817482178,0.5858791756899204,,
AMOYA,AMOYA,RunOfRiver,Surocciden,Water,2031,410.5841263217252,570711.9355871979,0.0,80.0,8978400.293696908,3502400.0,31.787668817613305,0.5858791756873931,,
AMOYA,AMOYA,RunOfRiver,Surocciden,Water,2032,410.5841262145557,570711.9354382323,0.0,80.0,8978400.293696908,3502400.0,31.78766882554762,0.5858791755344687,,
AMOYA,AMOYA,RunOfRiver,Surocciden,Water,2033,410.5841263158302,570711.9355790039,0.0,80.0,8978400.293696908,3502400.0,31.78766881804974,0.5858791756789813,,
AMOYA,AMOYA,RunOfRiver,Surocciden,Water,2034,410.5841255485309,570711.9345124578,0.0,80.0,8978400.293696908,3502400.0,31.78766887485688,0.5858791745840908,,
AMOYA,AMOYA,RunOfRiver,Surocciden,Water,2035,410.58412631252554,570711.9355744105,0.0,80.0,8978400.293696908,3502400.0,31.787668818294403,0.5858791756742658,,
BARRANQUILL3,BARRANQUILL3,Thermal,Caribe,GASIMPOR,2023,1.7939307550048123e-07,0.0012701029745434073,0.00011121550854674798,60.0,6771600.221509176,8593200.0,85648792072.45691,3.41311026446882e-10,,
BARRANQUILL3,BARRANQUILL3,Thermal,Caribe,GASIMPOR,2024,2.2098479243249447e-07,0.001564572330422061,0.0001370004723031324,60.0,6771600.221509176,8593200.0,69528767359.7147,4.2044290797658753e-10,,
BARRANQUILL3,BARRANQUILL3,Thermal,Caribe,GASIMPOR,2025,2.3692598675413894e-07,0.0016774359862193038,0.00014688328426997146,60.0,6771600.221509176,8593200.0,64850633033.89704,4.5077242533131446e-10,,
BARRANQUILL3,BARRANQUILL3,Thermal,Caribe,GASIMPOR,2026,2.2838128400168177e-07,0.0016169394907319071,0.00014158595905636385,60.0,6771600.221509176,8593200.0,67276967507.6044,4.3451538052070343e-10,,
BARRANQUILL3,BARRANQUILL3,Thermal,Caribe,GASIMPOR,2027,2.189871293995503e-07,0.0015504288761488162,0.00013576201251590763,60.0,6771600.221509176,8593200.0,70163028599.84956,4.1664217922288864e-10,,
