GENERATION_PROJECT,gen_tech,gen_energy_source,gen_load_zone,gen_max_age,gen_is_variable,gen_full_load_heat_rate,gen_variable_om,gen_connect_cost_per_mw,gen_scheduled_outage_rate,gen_forced_outage_rate,gen_capacity_limit_mw,gen_storage_efficiency
AMOYA,RunOfRiver,Water,Surocciden,200,0,.,1.39,0,0,0,.,.
BARRANQUILL3,Thermal,GASIMPOR,Caribe,200,0,10.5077,7.08,0,0,0,.,.
BARRANQUILL4,Thermal,GASIMPOR,Caribe,200,0,11.6696,7.08,0,0,0,.,.
BETANIA,Hidro,Water,Surocciden,200,0,.,1.39,0,0,0,.,.
C_LLERAS_R,RunOfRiver,Water,Antioquia,200,0,.,1.39,0,0,0,.,.
CALDERAS,Hidro,Water,Antioquia,200,1,.,1.39,0,0,0,.,.
CALIMA,Hidro,Water,Surocciden,200,0,.,1.39,0,0,0,.,.
CANDELARIA,Thermal,GASIMPOR,Caribe,200,0,6.488,7.08,0,0,0,.,.
CARTAGENA1,Thermal,COMBUSTOLEO,Caribe,200,0,13.665,9.3,0,0,0,.,.
CARTAGENA2,Thermal,COMBUSTOLEO,Caribe,200,0,11.8104,9.3,0,0,0,.,.
CARTAGENA3,Thermal,COMBUSTOLEO,Caribe,200,0,11.522,9.3,0,0,0,.,.
CHARQUITO,Hidro,Water,Oriental,200,1,.,1.39,0,0,0,.,.
CHIVOR,Hidro,Water,Oriental,200,0,.,1.39,0,0,0,.,.
CUCUANA,RunOfRiver,Water,Surocciden,200,0,.,1.39,0,0,0,.,.
DARIO VALENC,RunOfRiver,Water,Oriental,200,0,.,1.39,0,0,0,.,.
EL QUIMBO,Hidro,Water,Surocciden,200,0,.,1.39,0,0,0,.,.
ELTESORITO,Thermal,GASNACIO,Caribe,200,0,7.5166,7.08,0,0,0,.,.
ESCUELAMINAS,RunOfRiver,Water,Antioquia,200,0,.,1.39,0,0,0,.,.
ESMERALDA,RunOfRiver,Water,Surocciden,200,0,.,1.39,0,0,0,.,.
FLORES 1,Thermal,GASIMPOR,Caribe,200,0,7.267,7.08,0,0,0,.,.
FLORES4,Thermal,GASNACIO,Caribe,200,0,7.0066,7.08,0,0,0,.,.
GUAJIRA1,Thermal,CARBON,Caribe,200,0,10.1549,8.391108027,0,0,0,.,.
GUAJIRA2,Thermal,CARBON,Caribe,200,0,10.216,8.391108027,0,0,0,.,.
GUATAPE,Hidro,Water,Antioquia,200,0,.,1.39,0,0,0,.,.
GUAVIO,Hidro,Water,Oriental,200,0,.,1.39,0,0,0,.,.
H_AguaFresca,Hidro,Water,Antioquia,200,1,.,1.39,0,0,0,.,.
H_Alejandria,Hidro,Water,Antioquia,200,1,.,1.39,0,0,0,.,.
H_Amaime,Hidro,Water,Surocciden,200,1,.,1.39,0,0,0,.,.
H_Amalfi,Hidro,Water,Antioquia,200,1,.,1.39,0,0,0,.,.
H_America,Hidro,Water,Antioquia,200,1,.,1.39,0,0,0,.,.
H_Asnazu,Hidro,Water,Surocciden,200,1,.,1.39,0,0,0,.,.
H_AuresBajo,Hidro,Water,Antioquia,200,1,.,1.39,0,0,0,.,.
H_AutCemNare,Hidro,Water,Antioquia,200,1,.,1.39,0,0,0,.,.
