hydro_project,timeseries,hydro_avg_flow_mw,hydro_min_flow_mw
AMOYA,2023_Q1_labor,34.7158344,0.0058499999999999
BETANIA,2023_Q1_labor,60.7725388,59.29976
CALIMA,2023_Q1_labor,99.6001992,0.006
CHIVOR,2023_Q1_labor,363.904152,0.22623
CUCUANA,2023_Q1_labor,14.9556976,0.01231
C_LLERAS_R,2023_Q1_labor,54.067682000000005,0.00875
DARIO VALENC,2023_Q1_labor,63.106956,0.49721
EL QUIMBO,2023_Q1_labor,162.11506719999997,35.24369
ESCUELAMINAS,2023_Q1_labor,17.596486,0.79247
ESMERALDA,2023_Q1_labor,28.9320372,0.00013
GUATAPE,2023_Q1_labor,532.1702708,0.672
GUAVIO,2023_Q1_labor,722.234368,0.01912
H_ALBAN,2023_Q1_labor,230.0686,0.08
H_GUATRON,2023_Q1_labor,455.9584264,0.05814
H_PAGUA,2023_Q1_labor,399.33411,1e-05
ITUANGO,2023_Q1_labor,270.3585588,0.0001
JAGUAS,2023_Q1_labor,98.9407772,0.0542999999999999
LA TASAJERA,2023_Q1_labor,302.90329,0.03667
MIEL I,2023_Q1_labor,276.7559724,0.09197
PLAYAS,2023_Q1_labor,204.97,0.01
PORCE II,2023_Q1_labor,268.87004,0.23
PORCE III,2023_Q1_labor,601.4559288,0.26943
PRADO,2023_Q1_labor,50.8990132,6e-05
SALTO II,2023_Q1_labor,34.978568,2e-05
SALVAJINA,2023_Q1_labor,154.70644,2e-05
SAN CARLOS,2023_Q1_labor,928.908982,0.04445
SANFRANCISCO,2023_Q1_labor,26.366201999999998,1e-05
SNMIGUEL,2023_Q1_labor,25.631944,0.00281
SOGAMOSO,2023_Q1_labor,510.196704,116.44197
URRA,2023_Q1_labor,79.44100399999999,72.20884
AMOYA,2023_Q1_holidays,36.4566984,0.53926
BETANIA,2023_Q1_holidays,60.579406,59.84668
CALIMA,2023_Q1_holidays,99.6720828,0.03599
CHIVOR,2023_Q1_holidays,305.31278,0.88719
CUCUANA,2023_Q1_holidays,16.0772552,1.3145
C_LLERAS_R,2023_Q1_holidays,47.4790684,15.555040000000002
DARIO VALENC,2023_Q1_holidays,68.4905544,0.03696
EL QUIMBO,2023_Q1_holidays,100.2500876,29.54363
ESCUELAMINAS,2023_Q1_holidays,17.746769999999998,10.28117
ESMERALDA,2023_Q1_holidays,28.233364,6e-05
GUATAPE,2023_Q1_holidays,534.2688028,1.392
GUAVIO,2023_Q1_holidays,590.8617448,0.00148
H_ALBAN,2023_Q1_holidays,50.43028000000005,0.567
H_GUATRON,2023_Q1_holidays,506.14,2.24973
H_PAGUA,2023_Q1_holidays,400.404564,1e-05
ITUANGO,2023_Q1_holidays,271.92371,1.10715
JAGUAS,2023_Q1_holidays,97.7405556,0.28169
LA TASAJERA,2023_Q1_holidays,302.9032852,0.55
MIEL I,2023_Q1_holidays,284.85836,31.81752
PLAYAS,2023_Q1_holidays,204.96,16.31
PORCE II,2023_Q1_holidays,267.99604,0.322
PORCE III,2023_Q1_holidays,572.884018,6.86746
PRADO,2023_Q1_holidays,50.997702,8.999999999999999e-05
SALTO II,2023_Q1_holidays,34.9358084,0.03408
SALVAJINA,2023_Q1_holidays,113.4376288,0.04491
SAN CARLOS,2023_Q1_holidays,784.3612248,0.00061
SANFRANCISCO,2023_Q1_holidays,18.65388400000001,1e-05
SNMIGUEL,2023_Q1_holidays,25.6043172,0.0043
SOGAMOSO,2023_Q1_holidays,490.114288,117.64746
URRA,2023_Q1_holidays,79.25469,72.32888
AMOYA,2023_Q2_labor,48.8131144,0.0030299999999999
BETANIA,2023_Q2_labor,305.5048732,0.23228
CALIMA,2023_Q2_labor,63.81131679999999,0.00034
CHIVOR,2023_Q2_labor,465.1469144,0.18027
CUCUANA,2023_Q2_labor,27.3866412,0.01567
C_LLERAS_R,2023_Q2_labor,52.22787999999999,0.0284899999999999
DARIO VALENC,2023_Q2_labor,99.7934856,0.0675
EL QUIMBO,2023_Q2_labor,142.7640048,40.95992
ESCUELAMINAS,2023_Q2_labor,34.0919888,0.05854
ESMERALDA,2023_Q2_labor,30.0698544,1e-05
GUATAPE,2023_Q2_labor,415.4400008,0.144
GUAVIO,2023_Q2_labor,545.5747044,0.0098599999999999
H_ALBAN,2023_Q2_labor,228.29231999999996,0.078
H_GUATRON,2023_Q2_labor,434.51005,0.09
H_PAGUA,2023_Q2_labor,400.928546,1e-05
ITUANGO,2023_Q2_labor,526.6008007999999,0.00076
JAGUAS,2023_Q2_labor,87.01783,0.00202
LA TASAJERA,2023_Q2_labor,203.68329,0.0733299999999999
