LOAD_ZONE,timepoints,zone_demand_mw
Nordeste,1,963.6863636363636
Oriental,1,2156.8706493506493
Caribe,1,2405.0177922077924
Surocciden,1,1814.571038961039
Antioquia,1,1093.7797402597405
Surocciden,2,1712.9877922077922
Caribe,2,2270.3794805194807
Nordeste,2,909.737922077922
Oriental,2,2036.123896103896
Antioquia,2,1032.5477922077923
Oriental,3,1966.5618181818184
Caribe,3,2192.8136363636363
Surocciden,3,1654.4644155844155
Antioquia,3,997.2715584415585
Nordeste,3,878.6564935064936
Antioquia,4,972.2632467532468
Caribe,4,2137.8255844155847
Surocciden,4,1612.9764935064936
Nordeste,4,856.6228571428572
Oriental,4,1917.2472727272727
Surocciden,5,1593.0489610389611
Caribe,5,2111.4135064935062
Antioquia,5,960.2516883116884
Nordeste,5,846.0405194805195
Oriental,5,1893.55987012987
Antioquia,6,975.0553246753246
Caribe,6,2143.9653246753246
Oriental,6,1922.753246753247
Nordeste,6,859.0824675324676
Surocciden,6,1617.608831168831
Surocciden,7,1684.1725974025974
Antioquia,7,1015.1792207792208
Oriental,7,2001.8742857142856
Nordeste,7,894.4348051948051
Caribe,7,2232.190389610389
Surocciden,8,1723.40974025974
Nordeste,8,915.2724675324674
Oriental,8,2048.512337662338
Antioquia,8,1038.83012987013
Caribe,8,2284.193116883117
Caribe,9,2422.0762337662336
Oriental,9,2172.1687012987013
Surocciden,9,1827.442077922078
Antioquia,9,1101.5377922077923
Nordeste,9,970.521818181818
Surocciden,10,1940.74025974026
Caribe,10,2572.241948051948
Nordeste,10,1030.6937662337662
Oriental,10,2306.84
Antioquia,10,1169.8323376623375
Oriental,11,2390.7055844155843
Surocciden,11,2011.296363636364
Caribe,11,2665.7553246753246
Antioquia,11,1212.3615584415584
Nordeste,11,1068.164025974026
Antioquia,12,1254.4385714285715
Nordeste,12,1105.2374025974025
Oriental,12,2473.681168831169
Surocciden,12,2081.102987012987
Caribe,12,2758.277532467532
Caribe,13,2831.824155844156
Surocciden,13,2136.5945454545454
Oriental,13,2539.6396103896104
Nordeste,13,1134.707012987013
Antioquia,13,1287.8875324675323
Antioquia,14,1282.277012987013
Surocciden,14,2127.2846753246754
Caribe,14,2819.486883116883
Nordeste,14,1129.7638961038965
Oriental,14,2528.575064935065
Caribe,15,2825.6433766233768
Oriental,15,2534.0954545454547
Antioquia,15,1285.0764935064935
Nordeste,15,1132.23012987013
Surocciden,15,2131.93025974026
Nordeste,16,1143.4574025974025
Antioquia,16,1297.818961038961
Surocciden,16,2153.071038961039
Caribe,16,2853.662727272728
Oriental,16,2559.223896103896
Caribe,17,2847.291818181818
Antioquia,17,1294.922857142857
Nordeste,17,1140.904935064935
Oriental,17,2553.510909090909
Surocciden,17,2148.264025974026
Oriental,18,2510.539090909091
Surocciden,18,2112.1123376623377
Caribe,18,2799.376363636364
Nordeste,18,1121.704935064935
Antioquia,18,1273.1306493506493
Nordeste,19,1099.9411688311689
Caribe,19,2745.06
Antioquia,19,1248.427922077922
Surocciden,19,2071.1307792207795
Oriental,19,2461.826753246753
Surocciden,20,2179.1259740259743
Antioquia,20,1313.5250649350648
Oriental,20,2590.194025974026
Nordeste,20,1157.2953246753248
Caribe,20,2888.1954545454546
Oriental,21,2618.546103896104
Surocciden,21,2202.978311688312
Nordeste,21,1169.962987012987
Caribe,21,2919.808831168831
Antioquia,21,1327.901948051948
Surocciden,22,2147.5238961038963
Nordeste,22,1140.5122077922078
Caribe,22,2846.3109090909093
Oriental,22,2552.6305194805195
Antioquia,22,1294.474935064935
Oriental,23,2441.581818181818
Surocciden,23,2054.0993506493505
Nordeste,23,1090.8957142857143
Caribe,23,2722.486233766234
Antioquia,23,1238.1615584415586
Caribe,24,2558.2906493506493
Nordeste,24,1025.1025974025974
Oriental,24,2294.3281818181817
Surocciden,24,1930.2146753246752
Antioquia,24,1163.4871428571428
Surocciden,25,1703.0830769230768
Oriental,25,2024.352307692308
Caribe,25,2257.253846153846
Nordeste,25,904.4769230769232
Antioquia,25,1026.579230769231
Nordeste,26,883.7469230769232
Antioquia,26,1003.0469230769232
Surocciden,26,1664.0484615384617
Caribe,26,2205.514615384616
Oriental,26,1977.9515384615383
Surocciden,27,1608.720769230769
Caribe,27,2132.1876923076925
Oriental,27,1912.190769230769
Antioquia,27,969.7
Nordeste,27,854.3630769230768
Antioquia,28,942.2784615384616
Oriental,28,1858.1215384615384
Nordeste,28,830.2046153846154
Surocciden,28,1563.233846153846
Caribe,28,2071.896923076923
Caribe,29,2026.2692307692307
Oriental,29,1817.2
Nordeste,29,811.9230769230769
Antioquia,29,921.5315384615384
Surocciden,29,1528.8076923076924
Antioquia,30,910.3469230769232
Oriental,30,1795.1515384615386
Caribe,30,2001.6838461538464
Surocciden,30,1510.26
