GENERATION_PROJECT,timepoint_id,gen_max_capacity_factor
E_GuajiraI,1,0.842105415701181
E_Jepirachi,1,0.842105415701181
S_BSLlanos4,1,0.0
S_BSLlanos5,1,0.0
S_Belmonte,1,0.0
S_Cabelleros,1,0.0
S_Carmelo,1,0.0
S_Cerrito,1,0.0
S_Dulima,1,0.0
S_El_Paso,1,0.0
S_Espinal,1,0.0
S_Flandes,1,0.0
S_Fundacion,1,0.0
S_Girasoles,1,0.0
S_Harinas,1,0.0
S_Lanceros,1,0.0
S_Medin,1,0.0
S_Paila,1,0.0
S_PetaCesaII,1,0.0
S_PortonSol,1,0.0
S_SanFelipe,1,0.0
S_Sierpe,1,0.0
S_Since,1,0.0
S_SolBolivar,1,0.0
S_TierraLind,1,0.0
S_Tolua,1,0.0
S_Tucanes,1,0.0
S_Yuma,1,0.0
S_Yumbo,1,0.0
E_Wesp01,1,0.8243657044348142
S_AutJeans,1,0.0
S_AutPintuco,1,0.0
S_SalvadorI,1,0.0
S_SalvadorII,1,0.0
S_Montelibano,1,0.0
S_Cienaguero,1,0.0
S_Aurora,1,0.0
S_BayuncaI,1,0.0
S_AutEncanto,1,0.0
S_Uruaco,1,0.0
S_HeliosI,1,0.0
S_Ferch2,1,0.0
S_Termotasajero,1,0.0
S_BSLI,1,0.0
S_BSLII,1,0.0
S_BSLIII,1,0.0
S_Cauca,1,0.0
S_Salado,1,0.0
S_Palmira3,1,0.0
S_Victoria_I,1,0.0
S_Victoria_II,1,0.0
S_Palmira3_Franca,1,0.0
S_AutSolla,1,0.0
S_AutLevapan,1,0.0
S_AutGragas,1,0.0
CALDERAS,1,0.4263948312993539
CHARQUITO,1,0.5572788603149428
H_AguaFresca,1,0.9242113729891508
H_Alejandria,1,0.6379881185185184
H_Amaime,1,0.3952071273151085
H_Amalfi,1,0.5523359865713666
H_America,1,0.041889244302279
H_Asnazu,1,1.0
H_AuresBajo,1,0.6675008964589871
H_AutCemNare,1,0.6690864357864359
H_AutGold,1,0.0982558823529411
H_Ayura,1,0.6986270316509838
H_Barrancas,1,0.5135274001037883
H_Barroso,1,0.8101609690242256
H_Bayona,1,0.616745503875969
H_Bello,1,0.6668433179723502
H_Belmonte,1,0.619176301405518
H_CampestreC,1,0.9384824949698192
H_Cantayus,1,0.526321654040404
H_Caracoli,1,0.0
H_Caruquia,1,0.4990548253376805
H_Cascada,1,0.5935128472222223
H_CascadaAbe,1,0.6811794594594595
H_CascadaAnt,1,0.6877103591682421
H_CascadaGra,1,0.0
H_Cauya,1,0.2912534928434095
H_Chorrera,1,0.5162273777777778
H_Coconuco,1,0.6919745120772948
H_Cocuyo,1,0.5563542857142857
H_Coello,1,0.7563038600288601
H_Currucucue,1,0.3617004057971014
H_ElBosque,1,0.764606648199446
H_ElEden,1,0.4550123303743387
H_ElLimonar,1,0.6175893518518518
H_ElMolino,1,0.5753458134829995
H_ElPopal,1,0.8618387674302247
H_Florida,1,0.3145894272246187
H_Frisolera,1,0.5972318360914105
H_Guacaica,1,0.9380561005180206
H_Guanaquita,1,0.6609565778081568
H_Guaviomeno,1,0.6831877485970819
H_Herradura,1,0.6393049543049543
H_Inza,1,0.4073109677419355
H_IquiraI,1,0.4494426490514905
H_IquiraII,1,0.8323948106591866
H_JuanGarcia,1,0.510107477234834
H_LAGUNETA,1,0.654107806712963
H_LaPita,1,0.6829464361929152
H_LaRebusca,1,0.9277996289424862
H_La_Vuelta,1,0.5875368815592203
H_LasPalmas,1,0.6562631313131314
H_Libertad,1,0.4520373820754716
H_LuzMaI,1,0.7528725373266189
H_LuzMaII,1,0.7314475660394029
H_Magallo,1,0.5026356155876416
H_Mirolindo,1,0.6286827012987014
H_Mondomo,1,0.547479595959596
H_Montanitas,1,0.7403692183863039
H_MorroAzul,1,0.6257073245012944
H_Municipal,1,0.6365968930172966
H_Naveta,1,0.6336951938943896
H_Nima,1,0.3558920979517994
H_Niquia,1,0.6698055137844612
H_Nuevoliba,1,0.5302737436696534
H_Oibita,1,0.0
H_Ovejas,1,0.8281991234756098
H_Pajarito,1,0.51852886002886
H_PalmasSanGil,1,0.4376487860262009
H_Pastales,1,0.7484803339517626
H_PaticoCab,1,0.5117391174360202
H_Pocune,1,0.6841234615384615
H_Porce3Meno,1,0.8386886779184247
H_ProvidencI,1,0.5429537782680639
H_Puente_Gui,1,0.480928983714698
H_Remedios,1,0.7106321739130435
H_RioBobo,1,0.649718695652174
H_RioCali,1,0.6761935064935065
H_RioFrioI,1,0.5440204007569277
H_RioFrioII,1,0.5568307826086957
H_RioFrioTam,1,0.5257290909090909
H_RioGrande,1,1.0
H_RioMayo,1,0.6891657658839477
H_RioMulato2,1,0.5112468358163181
H_RioNegro,1,0.8401178698752229
H_RioPalo,1,0.547922588985089
H_RioPiedras,1,0.7717385977506581
H_RioSapuye,1,0.8196334811529935
H_Rio_Recio,1,0.5255606588533418
H_Rumor,1,0.5714674666666666
H_SBartolome,1,0.0
H_SFrancisPu,1,0.6261017748517748
H_Sajandi,1,0.7982226910828025
H_SanAndres2,1,0.736995668820292
H_SanCancio,1,0.5078934112149532
H_SanJosMoII,1,0.6328768472906404
H_SanJose,1,0.7345179366326263
H_SanMatias,1,0.5424290304335531
H_SantaAna,1,0.5707532142857142
H_SantaRita,1,0.5510501177394035
H_Santiago,1,0.3877647031539889
H_Silvia,1,0.7976481744902796
H_Suba,1,0.6767966593406594
H_Sueva2,1,0.3089103260869565
H_TuluaAlto,1,0.445520085208652
H_TuluaBajo,1,0.497303353022422
H_Tunjita,1,0.1647470389170897
H_Union,1,0.6180924558587481
H_Urrao,1,0.750876160596939
H_Usaquen,1,0.3766432054356514
H_VentanaA,1,0.8798257575757576
H_VentanaB,1,0.5300122424242424
H_Violetas,1,0.4160348598769652
H_Zeus,1,0.4516919060737243
INSULA,1,0.7177457347915243
PRADO4,1,1.0
RIOGRANDE 1,1,0.2972444999999999
TEQUEND1-4,1,0.1458352131208302
E_GuajiraI,2,0.8351466502619348
E_Jepirachi,2,0.8351466502619348
S_BSLlanos4,2,0.0
S_BSLlanos5,2,0.0
S_Belmonte,2,0.0
S_Cabelleros,2,0.0
S_Carmelo,2,0.0
S_Cerrito,2,0.0
S_Dulima,2,0.0
S_El_Paso,2,0.0
S_Espinal,2,0.0
S_Flandes,2,0.0
S_Fundacion,2,0.0
S_Girasoles,2,0.0
S_Harinas,2,0.0
S_Lanceros,2,0.0
S_Medin,2,0.0
S_Paila,2,0.0
S_PetaCesaII,2,0.0
S_PortonSol,2,0.0
S_SanFelipe,2,0.0
S_Sierpe,2,0.0
S_Since,2,0.0
S_SolBolivar,2,0.0
S_TierraLind,2,0.0
S_Tolua,2,0.0
S_Tucanes,2,0.0
S_Yuma,2,0.0
S_Yumbo,2,0.0
E_Wesp01,2,0.8187613923031832
S_AutJeans,2,0.0
S_AutPintuco,2,0.0
S_SalvadorI,2,0.0
S_SalvadorII,2,0.0
S_Montelibano,2,0.0
S_Cienaguero,2,0.0
S_Aurora,2,0.0
S_BayuncaI,2,0.0
S_AutEncanto,2,0.0
S_Uruaco,2,0.0
S_HeliosI,2,0.0
S_Ferch2,2,0.0
S_Termotasajero,2,0.0
S_BSLI,2,0.0
S_BSLII,2,0.0
S_BSLIII,2,0.0
S_Cauca,2,0.0
S_Salado,2,0.0
S_Palmira3,2,0.0
S_Victoria_I,2,0.0
S_Victoria_II,2,0.0
S_Palmira3_Franca,2,0.0
S_AutSolla,2,0.0
