TRANS_BLD_YRS_1,TRANS_BLD_YRS_2,BuildTx
Antioquia-Caribe,2023,3.11289211365687e-08
Antioquia-Caribe,2025,8.691130675020697e-09
Antioquia-Caribe,2030,8.185066969908592e-09
Antioquia-Caribe,2035,9.688039687253418e-09
Antioquia-Caribe,2040,1.4469527404442676e-08
Antioquia-Caribe,2045,2.442852937453144e-08
Antioquia-Caribe,2050,8.770979753562605e-08
Antioquia-Nordeste,2023,1.0198673873626851e-08
Antioquia-Nordeste,2025,1.1308156061462517e-08
Antioquia-Nordeste,2030,2.908630812509151e-08
Antioquia-Nordeste,2035,2.3180424565334387e-07
Antioquia-Nordeste,2040,12.01752656585359
Antioquia-Nordeste,2045,9.456080743515784e-08
Antioquia-Nordeste,2050,5.547510399531467e-08
Antioquia-Oriental,2023,1.0332058808704875e-08
Antioquia-Oriental,2025,1.3084094215841695e-08
Antioquia-Oriental,2030,104.17568408350579
Antioquia-Oriental,2035,5.772247314122825e-07
Antioquia-Oriental,2040,1.593693041024795e-07
Antioquia-Oriental,2045,100.87646124097783
Antioquia-Oriental,2050,885.5860605462602
Antioquia-Surocciden,2023,6.447506547797788e-09
Antioquia-Surocciden,2025,5.1340944541410665e-09
Antioquia-Surocciden,2030,8.525514128924673e-09
Antioquia-Surocciden,2035,8.831765786550267e-09
Antioquia-Surocciden,2040,9.436332795996373e-09
Antioquia-Surocciden,2045,1.857499546053567e-08
Antioquia-Surocciden,2050,1.21695523789523e-07
Caribe-Nordeste,2023,1.2722793974691843e-08
Caribe-Nordeste,2025,1.3605360447842165e-08
Caribe-Nordeste,2030,1.4354988953002274e-08
Caribe-Nordeste,2035,4.506276122065749e-08
Caribe-Nordeste,2040,2.238932478828902e-07
Caribe-Nordeste,2045,478.64798214463065
Caribe-Nordeste,2050,778.1157618167935
Nordeste-Oriental,2023,7.189174035480743e-09
Nordeste-Oriental,2025,7.459329007728462e-09
Nordeste-Oriental,2030,1.261268936248437e-08
Nordeste-Oriental,2035,1.1868963821437352e-08
Nordeste-Oriental,2040,1.552833360430294e-08
Nordeste-Oriental,2045,3.6054038381411934e-08
Nordeste-Oriental,2050,603.0303074959261
Oriental-Surocciden,2023,7.4342181152806925e-09
Oriental-Surocciden,2025,7.5074640640303e-09
Oriental-Surocciden,2030,1.1708228169027284e-08
Oriental-Surocciden,2035,2.4010658056782537e-08
Oriental-Surocciden,2040,1.6860060917641074e-06
Oriental-Surocciden,2045,7.630741253911566e-08
Oriental-Surocciden,2050,3.994964918877106e-08
