GEN_TPS_1,GEN_TPS_2,DispatchGen
AMOYA,1,80.0
AMOYA,2,80.0
AMOYA,3,0.00585
AMOYA,4,0.00585
AMOYA,5,80.0
AMOYA,6,80.0
AMOYA,7,0.00585
AMOYA,8,0.00585
AMOYA,9,80.0
AMOYA,10,0.00585
AMOYA,11,0.00585
AMOYA,12,80.0
AMOYA,13,80.0
AMOYA,14,0.00585
AMOYA,15,0.00585
AMOYA,16,0.00585
AMOYA,17,80.0
AMOYA,18,80.0
AMOYA,19,0.00585
AMOYA,20,0.00585
AMOYA,21,0.00585
AMOYA,22,0.00585
AMOYA,23,80.0
AMOYA,24,12.740868
AMOYA,25,0.53926
AMOYA,26,80.0
AMOYA,27,80.0
AMOYA,28,80.0
AMOYA,29,0.53926
AMOYA,30,80.0
AMOYA,31,0.53926
AMOYA,32,0.53926
AMOYA,33,0.53926
AMOYA,34,80.0
AMOYA,35,80.0
AMOYA,36,0.53926
AMOYA,37,0.53926
AMOYA,38,0.53926
AMOYA,39,80.0
AMOYA,40,0.53926
AMOYA,41,80.0
AMOYA,42,63.668687
AMOYA,43,0.53926
AMOYA,44,80.0
AMOYA,45,61.399781
AMOYA,46,0.53926
AMOYA,47,0.53926
AMOYA,48,0.53926
AMOYA,49,80.0
AMOYA,50,0.00303
AMOYA,51,0.00303
AMOYA,52,0.00303
AMOYA,53,80.0
AMOYA,54,80.0
AMOYA,55,80.0
AMOYA,56,80.0
AMOYA,57,0.00303
AMOYA,58,0.00303
AMOYA,59,80.0
AMOYA,60,0.00303
AMOYA,61,80.0
AMOYA,62,0.00303
AMOYA,63,80.0
AMOYA,64,0.00303
AMOYA,65,80.0
AMOYA,66,0.00303
AMOYA,67,80.0
AMOYA,68,80.0
AMOYA,69,4.2009284
AMOYA,70,80.0
AMOYA,71,80.0
AMOYA,72,80.0
AMOYA,73,80.0
AMOYA,74,80.0
AMOYA,75,80.0
AMOYA,76,80.0
AMOYA,77,80.0
AMOYA,78,80.0
AMOYA,79,60.122726
AMOYA,80,0.02993
AMOYA,81,0.02993
AMOYA,82,80.0
AMOYA,83,80.0
AMOYA,84,0.02993
AMOYA,85,80.0
AMOYA,86,0.02993
AMOYA,87,80.0
AMOYA,88,0.02993
AMOYA,89,80.0
AMOYA,90,0.02993
AMOYA,91,80.0
AMOYA,92,80.0
AMOYA,93,0.02993
AMOYA,94,80.0
AMOYA,95,0.02993
AMOYA,96,0.02993
AMOYA,97,80.0
AMOYA,98,80.0
AMOYA,99,80.0
AMOYA,100,80.0
AMOYA,101,80.0
AMOYA,102,2.2248888
AMOYA,103,80.0
AMOYA,104,0.03678
AMOYA,105,80.0
AMOYA,106,80.0
AMOYA,107,80.0
AMOYA,108,80.0
AMOYA,109,80.0
AMOYA,110,0.03678
AMOYA,111,0.03678
AMOYA,112,0.03678
AMOYA,113,80.0
AMOYA,114,80.0
AMOYA,115,80.0
AMOYA,116,80.0
AMOYA,117,80.0
AMOYA,118,0.03678
AMOYA,119,80.0
AMOYA,120,80.0
AMOYA,121,80.0
AMOYA,122,80.0
AMOYA,123,80.0
AMOYA,124,1.4006
AMOYA,125,1.4006
AMOYA,126,80.0
AMOYA,127,1.4006
AMOYA,128,1.4006
AMOYA,129,1.4006
AMOYA,130,80.0
AMOYA,131,1.4006
AMOYA,132,80.0
AMOYA,133,52.724211
AMOYA,134,80.0
AMOYA,135,80.0
AMOYA,136,80.0
AMOYA,137,80.0
AMOYA,138,80.0
AMOYA,139,80.0
AMOYA,140,80.0
AMOYA,141,80.0
AMOYA,142,80.0
AMOYA,143,80.0
AMOYA,144,80.0
AMOYA,145,80.0
AMOYA,146,80.0
AMOYA,147,0.00135
AMOYA,148,80.0
AMOYA,149,80.0
AMOYA,150,0.00135
AMOYA,151,0.00135
AMOYA,152,80.0
AMOYA,153,0.00135
AMOYA,154,80.0
AMOYA,155,0.00135
AMOYA,156,80.0
AMOYA,157,80.0
AMOYA,158,80.0
AMOYA,159,80.0
AMOYA,160,0.00135
AMOYA,161,80.0
AMOYA,162,80.0
AMOYA,163,80.0
AMOYA,164,80.0
AMOYA,165,0.00135
AMOYA,166,80.0
AMOYA,167,50.740205
AMOYA,168,0.00135
AMOYA,169,0.00781
AMOYA,170,80.0
AMOYA,171,80.0
AMOYA,172,80.0
AMOYA,173,80.0
AMOYA,174,0.00781
AMOYA,175,80.0
AMOYA,176,80.0
AMOYA,177,80.0
AMOYA,178,80.0
AMOYA,179,0.00781
AMOYA,180,0.00781
AMOYA,181,80.0
AMOYA,182,0.00781
AMOYA,183,80.0
AMOYA,184,0.00781
AMOYA,185,0.00781
AMOYA,186,0.00781
AMOYA,187,80.0
AMOYA,188,30.54419
AMOYA,189,80.0
AMOYA,190,80.0
AMOYA,191,0.00781
AMOYA,192,80.0
AMOYA,385,80.0
AMOYA,386,80.0
AMOYA,387,0.00585
AMOYA,388,80.0
AMOYA,389,80.0
AMOYA,390,0.00585
AMOYA,391,80.0
AMOYA,392,0.00585
AMOYA,393,80.0
AMOYA,394,0.00585
AMOYA,395,0.00585
AMOYA,396,0.00585
AMOYA,397,0.00585
AMOYA,398,80.0
AMOYA,399,0.00585
AMOYA,400,0.00585
AMOYA,401,80.0
AMOYA,402,12.740868
AMOYA,403,80.0
AMOYA,404,0.00585
AMOYA,405,0.00585
AMOYA,406,0.00585
AMOYA,407,0.00585
AMOYA,408,80.0
AMOYA,409,80.0
AMOYA,410,80.0
AMOYA,411,80.0
AMOYA,412,0.53926
AMOYA,413,33.700326
AMOYA,414,0.53926
AMOYA,415,0.53926
AMOYA,416,0.53926
AMOYA,417,80.0
AMOYA,418,80.0
AMOYA,419,0.53926
AMOYA,420,0.53926
AMOYA,421,80.0
AMOYA,422,0.53926
AMOYA,423,0.53926
AMOYA,424,0.53926
AMOYA,425,0.53926
AMOYA,426,11.907401
AMOYA,427,0.53926
AMOYA,428,0.53926
AMOYA,429,80.0
AMOYA,430,80.0
AMOYA,431,80.0
AMOYA,432,80.0
AMOYA,433,0.00303
AMOYA,434,0.00303
AMOYA,435,80.0
AMOYA,436,80.0
AMOYA,437,0.00303
AMOYA,438,0.00303
AMOYA,439,80.0
AMOYA,440,80.0
AMOYA,441,80.0
AMOYA,442,80.0
AMOYA,443,0.00303
AMOYA,444,0.00303
AMOYA,445,0.00303
AMOYA,446,80.0
AMOYA,447,80.0
AMOYA,448,80.0
AMOYA,449,80.0
AMOYA,450,0.00303
AMOYA,451,80.0
AMOYA,452,0.00303
AMOYA,453,80.0
