GEN_TP_FUELS_1,GEN_TP_FUELS_2,GEN_TP_FUELS_3,GenFuelUseRate
BARRANQUILL3,1,GASIMPOR,2.2440592963514026e-06
BARRANQUILL3,2,GASIMPOR,2.0711405963596593e-06
BARRANQUILL3,3,GASIMPOR,2.0701530127702125e-06
BARRANQUILL3,4,GASIMPOR,2.0699197059580803e-06
BARRANQUILL3,5,GASIMPOR,2.069844132149453e-06
BARRANQUILL3,6,GASIMPOR,2.069926223328033e-06
BARRANQUILL3,7,GASIMPOR,2.0702556706303414e-06
BARRANQUILL3,8,GASIMPOR,2.0702487131120333e-06
BARRANQUILL3,9,GASIMPOR,2.071508801164684e-06
BARRANQUILL3,10,GASIMPOR,2.243902878960569e-06
BARRANQUILL3,11,GASIMPOR,2.2441064661905966e-06
BARRANQUILL3,12,GASIMPOR,2.2442613715466924e-06
BARRANQUILL3,13,GASIMPOR,2.244380382289662e-06
BARRANQUILL3,14,GASIMPOR,2.244399307348515e-06
BARRANQUILL3,15,GASIMPOR,2.2444830943616934e-06
BARRANQUILL3,16,GASIMPOR,2.2447896664010473e-06
BARRANQUILL3,17,GASIMPOR,2.280401116095342e-06
BARRANQUILL3,18,GASIMPOR,2.2804256943260387e-06
BARRANQUILL3,19,GASIMPOR,2.2451747705199726e-06
BARRANQUILL3,20,GASIMPOR,2.280692581106093e-06
BARRANQUILL3,21,GASIMPOR,2.2807266703599335e-06
BARRANQUILL3,22,GASIMPOR,2.280631660184759e-06
BARRANQUILL3,23,GASIMPOR,2.244757097876242e-06
BARRANQUILL3,24,GASIMPOR,2.2443654380536848e-06
BARRANQUILL3,25,GASIMPOR,1.2418218614521544e-05
BARRANQUILL3,26,GASIMPOR,1.2411356219440772e-05
BARRANQUILL3,27,GASIMPOR,1.2406875086666054e-05
BARRANQUILL3,28,GASIMPOR,1.2404201440628172e-05
BARRANQUILL3,29,GASIMPOR,1.2387291579691403e-05
BARRANQUILL3,30,GASIMPOR,1.2385405668497544e-05
BARRANQUILL3,31,GASIMPOR,1.238356911457486e-05
BARRANQUILL3,32,GASIMPOR,1.2347669940634471e-05
BARRANQUILL3,33,GASIMPOR,1.2347561772530421e-05
BARRANQUILL3,34,GASIMPOR,1.2351922005475514e-05
BARRANQUILL3,35,GASIMPOR,1.2383799439214714e-05
BARRANQUILL3,36,GASIMPOR,1.2387603348673242e-05
BARRANQUILL3,37,GASIMPOR,1.2405706312156935e-05
BARRANQUILL3,38,GASIMPOR,1.2408378363979893e-05
BARRANQUILL3,39,GASIMPOR,1.2411028706095632e-05
BARRANQUILL3,40,GASIMPOR,1.2414512347601062e-05
BARRANQUILL3,41,GASIMPOR,1.2424830546447101e-05
BARRANQUILL3,42,GASIMPOR,1.3416922404234438e-05
BARRANQUILL3,43,GASIMPOR,1.3435055950402103e-05
BARRANQUILL3,44,GASIMPOR,1.34472927373361e-05
BARRANQUILL3,45,GASIMPOR,1.3448675262547061e-05
BARRANQUILL3,46,GASIMPOR,1.34480343979942e-05
BARRANQUILL3,47,GASIMPOR,1.344637404523e-05
BARRANQUILL3,48,GASIMPOR,1.3442151516543797e-05
BARRANQUILL3,49,GASIMPOR,2.244103849640903e-06
BARRANQUILL3,50,GASIMPOR,2.1239632741002246e-06
BARRANQUILL3,51,GASIMPOR,2.1235490719186927e-06
BARRANQUILL3,52,GASIMPOR,2.123431068441621e-06
BARRANQUILL3,53,GASIMPOR,2.1233913901807934e-06
BARRANQUILL3,54,GASIMPOR,2.123456870911534e-06
BARRANQUILL3,55,GASIMPOR,2.1237491417175347e-06
BARRANQUILL3,56,GASIMPOR,2.1237360541176146e-06
BARRANQUILL3,57,GASIMPOR,2.242481617965582e-06
BARRANQUILL3,58,GASIMPOR,2.2441022929749782e-06
BARRANQUILL3,59,GASIMPOR,2.244230499001448e-06
BARRANQUILL3,60,GASIMPOR,2.244354571166395e-06
BARRANQUILL3,61,GASIMPOR,2.2444575709004264e-06
BARRANQUILL3,62,GASIMPOR,2.244459370190745e-06
BARRANQUILL3,63,GASIMPOR,2.244551612248373e-06
BARRANQUILL3,64,GASIMPOR,2.245144854495258e-06
BARRANQUILL3,65,GASIMPOR,2.280484298574031e-06
BARRANQUILL3,66,GASIMPOR,2.2804673795645775e-06
BARRANQUILL3,67,GASIMPOR,2.244885554836179e-06
BARRANQUILL3,68,GASIMPOR,2.2806896574086706e-06
BARRANQUILL3,69,GASIMPOR,2.2807550189881896e-06
BARRANQUILL3,70,GASIMPOR,2.280677505960251e-06
BARRANQUILL3,71,GASIMPOR,2.244843644364682e-06
BARRANQUILL3,72,GASIMPOR,2.2443949401424903e-06
BARRANQUILL3,73,GASIMPOR,1.241633242409982e-05
BARRANQUILL3,74,GASIMPOR,1.2414527957984636e-05
BARRANQUILL3,75,GASIMPOR,1.2407904576695695e-05
BARRANQUILL3,76,GASIMPOR,1.240484970691446e-05
BARRANQUILL3,77,GASIMPOR,1.2387952078847162e-05
BARRANQUILL3,78,GASIMPOR,1.238609375739414e-05
BARRANQUILL3,79,GASIMPOR,1.2383836480020502e-05
BARRANQUILL3,80,GASIMPOR,1.2349293634908719e-05
BARRANQUILL3,81,GASIMPOR,1.2351927912734264e-05
BARRANQUILL3,82,GASIMPOR,1.2383837670230757e-05
BARRANQUILL3,83,GASIMPOR,1.2387067992192814e-05
BARRANQUILL3,84,GASIMPOR,1.2405325883972237e-05
BARRANQUILL3,85,GASIMPOR,1.2408624238325024e-05
BARRANQUILL3,86,GASIMPOR,1.2412113989625175e-05
BARRANQUILL3,87,GASIMPOR,1.2416673485325461e-05
BARRANQUILL3,88,GASIMPOR,1.2420356568358159e-05
BARRANQUILL3,89,GASIMPOR,1.243306969368951e-05
BARRANQUILL3,90,GASIMPOR,1.341888534809367e-05
BARRANQUILL3,91,GASIMPOR,1.3433753502986238e-05
BARRANQUILL3,92,GASIMPOR,1.3447098801317862e-05
BARRANQUILL3,93,GASIMPOR,1.3448834786102403e-05
BARRANQUILL3,94,GASIMPOR,1.3448198407374603e-05
BARRANQUILL3,95,GASIMPOR,1.3446432021091117e-05
BARRANQUILL3,96,GASIMPOR,1.3441571892367527e-05
BARRANQUILL3,97,GASIMPOR,2.2437122981887326e-06
BARRANQUILL3,98,GASIMPOR,2.243101073446325e-06
BARRANQUILL3,99,GASIMPOR,2.1383022254478715e-06
BARRANQUILL3,100,GASIMPOR,2.13805756987535e-06
BARRANQUILL3,101,GASIMPOR,2.137992697505578e-06
BARRANQUILL3,102,GASIMPOR,2.138062294924645e-06
BARRANQUILL3,103,GASIMPOR,2.1383504457802205e-06
BARRANQUILL3,104,GASIMPOR,2.138482023144384e-06
BARRANQUILL3,105,GASIMPOR,2.2434217606627035e-06
BARRANQUILL3,106,GASIMPOR,2.2437155880247274e-06
BARRANQUILL3,107,GASIMPOR,2.243893228106204e-06
BARRANQUILL3,108,GASIMPOR,2.2441850168809828e-06
BARRANQUILL3,109,GASIMPOR,2.244323067965741e-06
BARRANQUILL3,110,GASIMPOR,2.24432833259754e-06
BARRANQUILL3,111,GASIMPOR,2.244391540996459e-06
BARRANQUILL3,112,GASIMPOR,2.244482226029689e-06
BARRANQUILL3,113,GASIMPOR,2.244532648218423e-06
BARRANQUILL3,114,GASIMPOR,2.244521271023967e-06
BARRANQUILL3,115,GASIMPOR,2.244436342854745e-06
BARRANQUILL3,116,GASIMPOR,2.2446092491937703e-06
BARRANQUILL3,117,GASIMPOR,2.2450493612536473e-06
BARRANQUILL3,118,GASIMPOR,2.2446794313067897e-06
BARRANQUILL3,119,GASIMPOR,2.2444641954708543e-06
BARRANQUILL3,120,GASIMPOR,2.244223818730885e-06
BARRANQUILL3,121,GASIMPOR,1.2407232896301652e-05
BARRANQUILL3,122,GASIMPOR,1.2406275602036553e-05
BARRANQUILL3,123,GASIMPOR,1.2403693382172511e-05
BARRANQUILL3,124,GASIMPOR,1.2401894693852788e-05
BARRANQUILL3,125,GASIMPOR,1.2400433014392448e-05
BARRANQUILL3,126,GASIMPOR,1.2399246235138148e-05
BARRANQUILL3,127,GASIMPOR,1.2382725423158427e-05
BARRANQUILL3,128,GASIMPOR,1.2377804096212195e-05
BARRANQUILL3,129,GASIMPOR,1.2380934074366715e-05
BARRANQUILL3,130,GASIMPOR,1.2383469029876585e-05
BARRANQUILL3,131,GASIMPOR,1.2400234762347449e-05
BARRANQUILL3,132,GASIMPOR,1.2401987169372019e-05
BARRANQUILL3,133,GASIMPOR,1.24036872164061e-05
BARRANQUILL3,134,GASIMPOR,1.2405339185487928e-05
BARRANQUILL3,135,GASIMPOR,1.2406600404922488e-05
BARRANQUILL3,136,GASIMPOR,1.2407098866103894e-05
BARRANQUILL3,137,GASIMPOR,1.240774347573842e-05
BARRANQUILL3,138,GASIMPOR,1.2408372753760796e-05
BARRANQUILL3,139,GASIMPOR,1.2408992308719368e-05
BARRANQUILL3,140,GASIMPOR,1.24266957931717e-05
BARRANQUILL3,141,GASIMPOR,1.3444041966201556e-05
BARRANQUILL3,142,GASIMPOR,1.3442326351539477e-05
BARRANQUILL3,143,GASIMPOR,1.2437823505649385e-05
BARRANQUILL3,144,GASIMPOR,1.2412983409918596e-05
BARRANQUILL3,145,GASIMPOR,2.2444714901639856e-06
BARRANQUILL3,146,GASIMPOR,2.2442880943651416e-06
BARRANQUILL3,147,GASIMPOR,2.2441320935720883e-06
BARRANQUILL3,148,GASIMPOR,2.243980390946228e-06
BARRANQUILL3,149,GASIMPOR,2.2439076763329213e-06
BARRANQUILL3,150,GASIMPOR,2.243992072822693e-06
BARRANQUILL3,151,GASIMPOR,2.2441713042816797e-06
BARRANQUILL3,152,GASIMPOR,2.244210198848696e-06
BARRANQUILL3,153,GASIMPOR,2.2443656119698446e-06
BARRANQUILL3,154,GASIMPOR,2.2444995746513076e-06
BARRANQUILL3,155,GASIMPOR,2.2446317547471507e-06
BARRANQUILL3,156,GASIMPOR,2.2798827166997635e-06
BARRANQUILL3,157,GASIMPOR,2.280466667911491e-06
BARRANQUILL3,158,GASIMPOR,2.280482807852139e-06
BARRANQUILL3,159,GASIMPOR,2.2805765383837504e-06
BARRANQUILL3,160,GASIMPOR,2.280688796869519e-06
BARRANQUILL3,161,GASIMPOR,2.280739999099085e-06
BARRANQUILL3,162,GASIMPOR,2.2807282177828607e-06
BARRANQUILL3,163,GASIMPOR,2.2806944813279917e-06
BARRANQUILL3,164,GASIMPOR,2.2808543665654926e-06
BARRANQUILL3,165,GASIMPOR,2.2808514522471868e-06
BARRANQUILL3,166,GASIMPOR,2.280801999630522e-06
BARRANQUILL3,167,GASIMPOR,2.2806267732075936e-06
BARRANQUILL3,168,GASIMPOR,2.2470102452206225e-06
BARRANQUILL3,169,GASIMPOR,1.3438684564605817e-05
BARRANQUILL3,170,GASIMPOR,1.3435243688975328e-05
BARRANQUILL3,171,GASIMPOR,1.2738425738590744e-05
BARRANQUILL3,172,GASIMPOR,1.2732280693519078e-05
BARRANQUILL3,173,GASIMPOR,1.2729955460966726e-05
BARRANQUILL3,174,GASIMPOR,1.2729111858521894e-05
BARRANQUILL3,175,GASIMPOR,1.2727963942332964e-05
BARRANQUILL3,176,GASIMPOR,1.2726056340944534e-05
BARRANQUILL3,177,GASIMPOR,1.2727090030233423e-05
BARRANQUILL3,178,GASIMPOR,1.2728941290962844e-05
BARRANQUILL3,179,GASIMPOR,1.2731111573154906e-05
BARRANQUILL3,180,GASIMPOR,1.2734871636296406e-05
BARRANQUILL3,181,GASIMPOR,1.3423316272006616e-05
BARRANQUILL3,182,GASIMPOR,1.3436939520279327e-05
BARRANQUILL3,183,GASIMPOR,1.3438860748045092e-05
BARRANQUILL3,184,GASIMPOR,1.3439381733338447e-05
BARRANQUILL3,185,GASIMPOR,1.3440225759636796e-05
BARRANQUILL3,186,GASIMPOR,1.3440698260201612e-05
BARRANQUILL3,187,GASIMPOR,1.3442494117427644e-05
BARRANQUILL3,188,GASIMPOR,1.3449156280060517e-05
