PERIOD,Component,Component_type,AnnualCost_NPV,AnnualCost_Real
2023,EmissionsCosts,annual,0.0,0.0
2023,FuelCostsPerTP,timepoint,1254101499.9726899,660159645.8517183
2023,GenVariableOMCostsInTP,timepoint,416545294.5339146,219269647.73321542
2023,StorageEnergyFixedCost,annual,0.0,0.0
2023,TotalGenFixedCosts,annual,8392499612.167917,4417815919.923632
2023,TxFixedCosts,annual,564441940.5032017,297122514.84793276
2025,EmissionsCosts,annual,0.0,0.0
2025,FuelCostsPerTP,timepoint,1158544151.35565,274871996.01013786
2025,GenVariableOMCostsInTP,timepoint,723270024.3130342,171600430.5961016
2025,StorageEnergyFixedCost,annual,0.0,0.0
2025,TotalGenFixedCosts,annual,20666718514.47144,4903310903.089246
2025,TxFixedCosts,annual,1252326744.1336772,297122514.85116637
2030,EmissionsCosts,annual,0.0,0.0
2030,FuelCostsPerTP,timepoint,289859395.2857336,81678365.4036015
2030,GenVariableOMCostsInTP,timepoint,502333818.5078692,141550716.8302286
2030,StorageEnergyFixedCost,annual,0.0,0.0
2030,TotalGenFixedCosts,annual,19805865822.467426,5581018839.108224
2030,TxFixedCosts,annual,1079686792.9464016,304240793.39842343
2035,EmissionsCosts,annual,0.0,0.0
2035,FuelCostsPerTP,timepoint,267215418.44543552,89429935.6893932
2035,GenVariableOMCostsInTP,timepoint,431252135.3072083,144328687.8833766
2035,StorageEnergyFixedCost,annual,0.0,0.0
2035,TotalGenFixedCosts,annual,17880958295.57245,5984283989.826342
2035,TxFixedCosts,annual,909067308.4307361,304240793.4514125
2040,EmissionsCosts,annual,0.0,0.0
2040,FuelCostsPerTP,timepoint,219339155.29605556,87184507.88615292
2040,GenVariableOMCostsInTP,timepoint,367669728.7401339,146144013.00842598
2040,StorageEnergyFixedCost,annual,0.0,0.0
2040,TotalGenFixedCosts,annual,16153909508.161612,6420972347.62098
2040,TxFixedCosts,annual,766608266.6306973,304716977.5840565
2045,EmissionsCosts,annual,0.0,0.0
2045,FuelCostsPerTP,timepoint,249612679.75922036,117839677.59278123
2045,GenVariableOMCostsInTP,timepoint,340678121.9935107,160830772.2883079
2045,StorageEnergyFixedCost,annual,0.0,0.0
2045,TotalGenFixedCosts,annual,14683839443.273857,6932095386.695351
2045,TxFixedCosts,annual,703665154.2055573,332193360.46887904
2050,EmissionsCosts,annual,0.0,0.0
2050,FuelCostsPerTP,timepoint,49514323.27577751,27762431.477931526
2050,GenVariableOMCostsInTP,timepoint,224760552.24446806,126022108.71135268
2050,StorageEnergyFixedCost,annual,0.0,0.0
2050,TotalGenFixedCosts,annual,14040835023.420088,7872625423.143688
2050,TxFixedCosts,annual,807592831.0414644,452813229.5978617
