gen_tech,gen_energy_source,period,Energy_GWh_typical_yr,VariableCost_per_yr,DispatchEmissions_tCO2_per_typical_yr,GenCapacity_MW,GenCapitalCosts,GenFixedOMCosts,LCOE_dollar_per_MWh,capacity_factor,Store_GWh_typical_yr,Discharge_GWh_typical_yr
Biogas,Biogas,2040,10034.51188691692,0.0,0.0,1145.492237142841,161055572.33499938,80972555.25915314,24.119571566775537,0.999999988992552,0.0,0.0
Biogas,Biogas,2045,11580.615930158248,0.0,0.0,1322.000007390482,185872466.79926413,93449536.5224184,24.11978818797297,0.9999910079354484,0.0,0.0
Biogas,Biogas,2050,10919.85870437572,0.0,0.0,1322.0000121981893,185872467.4752251,93449536.8622656,25.57926910039257,0.9429343429093696,0.0,0.0
Biomass,Biomass,2025,4.738912420500111e-06,0.0,0.0,5.874726961961067e-09,0.0015961803457391894,0.0008024935777308437,0.5061654891729133,92.08457533478773,0.0,0.0
Biomass,Biomass,2030,7.691467980768027e-06,0.0,0.0,1.207993814063579e-06,0.24052381210236382,0.12092544547544712,46.99353341671438,0.726842678141042,0.0,0.0
Biomass,Biomass,2035,876.0000082105643,0.0,0.0,100.00000247648887,14059944.878795331,7068800.210592823,24.1195717937818,0.9999999846079017,0.0,0.0
Biomass,Biomass,2040,7304.738717189313,0.0,0.0,833.8742923648199,117242262.44274032,58944906.014219165,24.119571592938787,0.9999999885106761,0.0,0.0
Biomass,Biomass,2045,9443.279857405796,0.0,0.0,1078.0000049550429,151566202.04531404,76201664.38579684,24.119571787601554,0.9999999803034135,0.0,0.0
Biomass,Biomass,2050,9443.279819323407,0.0,0.0,1078.0000063903844,151566202.24712226,76201664.48725826,24.11957191698463,0.9999999749391776,0.0,0.0
Eolica,Wind,2023,214.2788522755313,0.0,0.0,32.0,5395834.247909282,882240.0,29.29861804484838,0.7644080061199032,0.0,0.0
Eolica,Wind,2025,8464.204930740761,0.0,0.0,1271.1782975417623,226432993.9487309,35579232.331169344,30.95532639200522,0.7601085083428548,0.0,0.0
