timestamp,AMOYA,BARRANQUILL3,BARRANQUILL4,BETANIA,C_LLERAS_R,CALDERAS,CALIMA,CANDELARIA,CARTAGENA1,CARTAGENA2,CARTAGENA3,CHARQUITO,CHIVOR,CUCUANA,DARIO VALENC,EL QUIMBO,ELTESORITO,ESCUELAMINAS,ESMERALDA,FLORES 1,FLORES4,GUAJIRA1,GUAJIRA2,GUATAPE,GUAVIO,H_AguaFresca,H_Alejandria,H_Amaime,H_Amalfi,H_America,H_Asnazu,H_AuresBajo,H_AutCemNare,H_Ayura,H_Barrancas,H_Barroso,H_Bayona,H_Belmonte,H_CampestreC,H_Cantayus,H_Caracoli,H_Caruquia,H_Cascada,H_CascadaAbe,H_CascadaAnt,H_CascadaGra,H_Bello,H_Cauya,H_Chorrera,H_PalmasSanGil,H_Coconuco,H_Cocuyo,H_Coello,H_Currucucue,H_ElBosque,H_ElEden,H_ElLimonar,H_LAGUNETA,H_ElMolino,H_ElPopal,H_Florida,H_Frisolera,H_Guacaica,H_Guanaquita,H_Guaviomeno,H_Herradura,H_Inza,H_IquiraI,H_IquiraII,H_JuanGarcia,H_La_Vuelta,H_LaPita,H_LaRebusca,H_LasPalmas,H_Libertad,H_LuzMaI,H_LuzMaII,H_Magallo,H_Mirolindo,H_Mondomo,H_Montanitas,H_MorroAzul,H_Municipal,H_Naveta,H_Nima,H_Niquia,H_Nuevoliba,H_Oibita,H_Ovejas,H_Pajarito,H_Pastales,H_PaticoCab,H_Pocune,H_Porce3Meno,H_ProvidencI,H_Puente_Gui,H_Remedios,H_Rio_Recio,H_RioBobo,H_RioCali,H_RioFrioI,H_RioFrioII,H_RioFrioTam,H_RioGrande,H_RioMayo,H_RioMulato2,H_RioNegro,H_RioPalo,H_RioPiedras,H_RioSapuye,H_Rumor,H_Sajandi,H_SanAndres2,H_SanCancio,H_SanJose,H_SanJosMoII,H_SanMatias,H_SantaAna,H_SantaRita,H_Santiago,H_SBartolome,H_SFrancisPu,H_Silvia,H_Suba,H_Sueva2,H_TuluaAlto,H_TuluaBajo,H_Tunjita,H_Union,H_Urrao,H_Usaquen,H_AutGold,H_VentanaA,H_VentanaB,H_Violetas,H_Zeus,INSULA,ITUANGO,H_PAGUA,H_GUATRON,H_ALBAN,S_Dulima,S_Cauca,S_Ferch2,S_Salado,S_AutJeans,S_AutPintuco,S_Palmira3,S_Belmonte,S_Termotasajero,S_Victoria_I,S_Victoria_II,S_Flandes,S_BSLI,S_BSLII,S_BSLIII,S_Espinal,JAGUAS,LA TASAJERA,MERILECTRICA,MIEL I,PAIPA 1,PAIPA 2,PAIPA 3,PAIPA 4,PLAYAS,PORCE II,PORCE III,PRADO,PRADO4,PROELECTRIC1,PROELECTRIC2,RIOGRANDE 1,SALTO II,SALVAJINA,SAN CARLOS,SANFRANCISCO,SNMIGUEL,SOGAMOSO,T_AutArCairo,T_TermYopal1,TASAJERO 1,TASAJERO 2,TC_GECELCA3,TC_GECELCA32,TEBSAB,TEQUEND1-4,TERMO YOPAL2,TERMOCENTRO,TERMODORADA1,TERMOEMCALI,TERMONORTE,TERMOSIERRA,TERMOVALLE,TERMOYOPALG3,TERMOYOPALG4,TERMOYOPALG5,URRA,ZIPAEMG2,ZIPAEMG3,ZIPAEMG4,ZIPAEMG5,E_Jepirachi,E_Wesp01,E_GuajiraI,S_Cabelleros,S_Montelibano,S_Lanceros,S_SanFelipe,S_Cienaguero,S_Yuma,S_Tucanes,S_Paila,S_Aurora,S_Cerrito,S_Fundacion,S_Girasoles,S_Medin,S_PetaCesaII,S_BayuncaI,S_Palmira3_Franca,S_SalvadorI,S_SalvadorII,S_AutSolla,S_AutEncanto,S_Uruaco,S_Harinas,S_AutLevapan,S_AutGragas,S_Carmelo,S_PortonSol,S_Sierpe,S_Since,S_HeliosI,S_SolBolivar,S_Yumbo,S_TierraLind,S_Tolua,S_BSLlanos4,S_BSLlanos5,S_LaLoma,S_ParqueUrra,S_CaracoliI,S_Tepuy,S_El_Paso,TERMO_JAGUEY,TERMORUBIALE,S_LaMata,S_Escobal6,S_Union,S_Nabusimake,S_Guayepo,S_Sunnorte,E_Windpeshi,E_ParqueAlph,E_ParqueBeta,E_Camelia,E_CasaElec,E_Apoto,TermoCaribe3,DST_Surocciden,DST_Caribe,DST_Oriental,DST_Antioquia,DST_Nordeste,ITUANGO2,H_Antioquia,T_Surocciden,T_Caribe,T_Oriental,T_Antioquia,T_Nordeste,PV_Surocciden,PV_Caribe,PV_Oriental,PV_Antioquia,PV_Nordeste,E_Caribe,Bio_Surocciden,GEO_Surocciden,E_Caribe_UPME4,Bio_Surocciden_UPME4,Biogas_Antioquia_UPME4,Biogas_Caribe_UPME4,Biogas_Nordeste_UPME4,Biogas_Oriental_UPME4,Biogas_Surocciden_UPME4,PV_Antioquia_UPME4,PV_Caribe_UPME4,PV_Nordeste_UPME4,PV_Oriental_UPME4,PV_Surocciden_UPME4
2023_Q1_labor_0h,80,0,0,59.2998,78,8.48526,132,0,0,0,0,10.8112,1000,0.01231,150,35.2437,0,55,30,0,101.614,145,130,560,0.01912,6.7375,9.56982,7.57612,0.447392,0.0171746,0.45,12.9495,6.02178,11.6671,2.41358,16.1222,0.370047,2.1052,0.656938,2.27371,0,4.74102,1.78054,2.04354,1.58173,0,0.233395,0.439793,7.74341,6.56473,3.11389,0.389448,0.907565,0.452126,1.7433,9.05475,11.1166,11.7739,11.4494,17.1506,6.26033,0.280699,0.806728,6.27909,6.76356,12.6582,0.305483,1.94159,1.1487,2.30569,6.81543,0.969784,0.64946,1.83754,0.542445,14.7563,14.3364,2.86502,2.35756,0.41061,14.7333,12.4516,0.891236,3.04174,2.38448,12.7263,2.7044,0,0.679123,6.84458,0.523936,0.757374,0.684123,1.50964,2.66047,2.0199,0.532974,0.517152,2.59887,1.21715,0.908514,5.56831,0.525729,0.31,13.6455,3.75255,8.5692,0.789009,15.3576,1.3524,1.42867,2.55431,14.6662,1.01579,0.279117,0.696165,10.7943,4.56603,0.716365,1.08574,0,0.293016,0.303106,1.75967,1.85346,8.86585,9.89634,3.24552,0.432665,0.773402,0.677958,0.0982559,2.19956,1.32503,0.395233,4.47175,13.6372,0.0001,600,512,427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,170,306,0,396,0,72,0,165,207,405,700,51,5,0,0,5.64765,35,2e-05,327.554,1e-05,0.00281,116.442,6.5,0,165,170,164,270,0,8.28344,0,0,0,0,0,0,0,50,50,50,72.2088,0,0,0,0,0,9.89239,16.8421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023_Q1_labor_1h,80,0,0,59.2998,78,8.44223,132,0,0,0,0,10.8757,0.22623,0.01231,150,400,0,55,30,0,0,145,130,560,147.58,6.73771,9.73383,7.75343,0.448007,0.0270636,0.45,13.051,6.01814,11.5456,2.42179,16.0903,0.372367,2.11811,0.657825,2.26841,0,4.7562,1.75803,2.04546,1.58907,0,0.234087,0.432747,7.70637,6.54187,3.10379,0.387323,0.893818,0.448456,1.74311,8.9968,11.2021,11.6114,11.5214,17.184,6.11191,0.279626,0.806902,6.29201,7.13531,12.6363,0.303508,1.94453,1.161,2.28201,6.77825,0.969929,0.649882,1.83786,0.537765,14.7231,14.3207,2.85764,2.36166,0.410097,14.4675,12.4133,0.887758,3.0302,2.38089,12.5876,2.69701,0,0.674077,6.82317,0.525438,0.748701,0.687458,1.50346,2.72062,1.99735,0.531906,0.521087,2.59984,1.20954,0.896753,5.52822,0.524352,0.31,13.1011,3.75064,8.36824,0.789053,15.3779,1.35158,1.39621,2.5481,14.5675,1.0237,0.276868,0.716611,10.8336,4.51894,0.706497,1.08769,0,0.292679,0.303191,1.75848,1.85206,8.92141,10.1091,2.99553,0.437746,0.773311,0.635322,0.129865,2.19583,1.3498,0.402663,4.49613,13.7658,0.0001,1e-05,512,427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,170,306,94.6124,396,0,72,0,165,207,405,700,51,5,0,0,5.33726,35,2e-05,932.742,60.6156,50,116.442,6.5,0,165,170,164,237.122,0,8.16542,0,0,0,0,0,0,0,50,50,50,72.2088,0,0,0,0,0,9.82514,16.7029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023_Q1_labor_2h,0.00585,0,0,59.2998,78,8.31046,75.0289,0,0,0,0,10.8987,0.22623,0.01231,0.49721,35.2437,0,0.79247,30,0,0,145,130,560,1250,6.8253,9.68775,7.75654,0.447686,0.03976,0.45,13.1694,5.99756,11.514,2.41678,15.9574,0.372014,2.0855,0.662728,2.25258,0,4.77098,1.73813,2.07222,1.59164,0,0.224773,0.432273,7.66904,6.39632,3.0733,0.380299,0.906411,0.431273,1.74354,8.98655,11.2175,11.6376,11.712,17.2062,6.13596,0.282318,0.805714,6.31681,7.36424,12.5798,0.302148,1.92937,1.14142,2.27656,6.74267,0.968021,0.648999,1.8394,0.538745,14.646,14.2498,2.88762,2.36459,0.409376,14.2529,12.4465,0.882353,2.93654,2.38861,12.4608,2.68437,0,0.669913,6.78783,0.5226,0.76452,0.693788,1.50435,2.61847,2.00622,0.527904,0.504076,2.59801,1.20914,0.885847,5.45362,0.524346,0.31,12.9144,3.78742,8.0523,0.777511,15.5647,1.34688,1.35461,2.56194,14.613,1.02402,0.275228,0.717723,11.024,4.50661,0.706258,1.0804,0,0.28952,0.302515,1.74308,1.82527,9.20451,10.7022,2.64428,0.444211,0.771711,0.613864,0.135785,2.17352,1.33211,0.395759,4.48524,13.8224,0.0001,600,512,427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0543,306,0,396,0,72,0,165,207,405,229.307,51,5,0,0,5.32693,34.2877,2e-05,449.802,1e-05,50,116.442,6.5,0,165,170,164,159.87,0,8.26578,0,0,0,0,0,0,0,50,50,50,72.2088,0,0,0,0,0,9.76271,16.5536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023_Q1_labor_3h,0.00585,0,0,59.2998,0.00875,8.29849,132,0,0,0,0,10.8677,107.395,0.01231,0.49721,35.2437,0,0.79247,30,0,0,145,130,560,1250,6.84503,9.67511,7.76185,0.446368,0.0437057,0.45,13.3785,6.00232,11.3789,2.42996,15.8146,0.371839,2.09473,0.666573,2.2302,0,4.78486,1.73738,2.12895,1.60013,0,0.218918,0.427558,7.64246,6.34058,3.00362,0.374569,0.897993,0.412289,1.73836,8.84098,11.2325,11.6328,11.8695,17.2726,6.15286,0.281733,0.811084,6.32685,7.46787,12.5575,0.305488,1.92245,1.14794,2.29282,6.69882,0.980031,0.6492,1.83897,0.54005,14.6065,14.22,2.88622,2.37326,0.405925,14.1168,12.3297,0.878611,2.83389,2.39076,12.3139,2.70339,0,0.662549,6.74838,0.515431,0.752772,0.694274,1.5078,2.55731,2.0113,0.524672,0.508652,2.59598,1.20216,0.876984,5.38903,0.524575,0.31,12.8965,3.83924,7.90635,0.770711,15.6066,1.34199,1.31122,2.55115,14.5122,1.01928,0.27358,0.720199,11.1718,4.4448,0.690806,1.07484,0,0.288425,0.302603,1.73363,1.83056,9.35643,11.1928,2.68476,0.435326,0.767224,0.602065,0.128118,2.18859,1.29827,0.401166,4.46832,13.8496,0.0001,600,512,164.895,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0543,306,0,396,0,72,0,165,207,405,700,51,5,0,0,5.32706,35,2e-05,59.329,1e-05,0.00281,116.442,6.5,0,165,170,164,105.017,0,8.22471,0,0,0,0,0,0,0,50,50,50,72.2088,0,0,0,0,0,9.75032,16.4925,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023_Q1_labor_4h,80,0,0,59.2998,53.4499,8.44956,0.006,0,0,0,0,10.9103,486.493,56,0.49721,400,0,0.79247,30,0,0,145,130,560,0.01912,6.81116,9.63335,7.59314,0.445616,0.0353326,0.45,13.4018,6.01243,11.2689,2.40335,15.8742,0.373554,2.07114,0.673057,2.21012,0,4.7847,1.73327,2.16302,1.59931,0,0.215831,0.413362,7.623,6.25906,2.98096,0.372971,0.890328,0.399827,1.73318,9.00296,11.1983,11.5897,11.8586,17.3436,6.69716,0.274995,0.813524,6.34527,7.48656,12.6027,0.306972,1.92477,1.16547,2.29201,6.79964,0.971602,0.648157,1.84707,0.540177,14.5526,14.1825,2.86656,2.38609,0.408544,14.0842,12.3038,0.869861,2.77938,2.39361,12.2052,2.61578,0,0.653811,6.71628,0.512198,0.755188,0.701015,1.48858,2.63456,2.00763,0.524453,0.510151,2.6007,1.19831,0.871929,5.28828,0.526044,0.31,13.2481,3.87745,7.81253,0.773728,15.561,1.33551,1.27473,2.58054,14.4925,1.01773,0.271508,0.711477,11.1907,4.4414,0.708622,1.07236,0,0.28491,0.30159,1.74533,1.82424,9.4915,11.5811,2.76738,0.443009,0.76742,0.622566,0.149697,2.16175,1.27598,0.398571,4.4514,13.8797,0.0001,295.294,512,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0543,306,0,0.09197,0,72,0,165,207,0.23,700,46.0558,5,0,0,5.32748,35,2e-05,1240,1e-05,50,613.5,6.5,0,165,170,164,78.6544,0,8.18551,0,0,0,0,0,0,0,50,50,50,72.2088,0,0,0,0,0,9.71555,16.4002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023_Q1_labor_5h,80,0,0,59.2998,0.00875,9.21821,132,0,0,0,0,11.0249,0.22623,0.01231,150,35.2437,0,0.79247,30,0,0,145,130,560,835.229,6.79287,9.53516,7.47642,0.444852,0.0119018,0.45,13.3621,6.06044,11.0888,2.43602,15.7093,0.36838,2.04145,0.669905,2.22124,0,4.80761,1.73224,2.12684,1.61613,0,0.221685,0.415985,7.59796,6.22278,3.01609,0.373012,0.902568,0.387435,1.72758,8.985,11.175,11.6364,11.749,17.3863,7.31947,0.27175,0.815083,6.34545,7.3439,12.798,0.308462,1.89036,1.14577,2.28336,7.28541,0.990626,0.650974,1.83138,0.539805,14.6307,14.238,2.69225,2.34171,0.40408,13.9525,12.1457,0.864119,2.78229,2.39303,12.1195,2.47499,0,0.649617,6.68848,0.509715,0.753569,0.709515,1.48035,2.7337,2.01312,0.521436,0.496456,2.5974,1.20159,0.864102,5.18961,0.525129,0.31,13.809,3.91192,7.56789,0.768697,15.4374,1.32997,1.24359,2.58093,14.4986,1.01865,0.270888,0.726884,11.1474,4.42953,0.713049,1.06854,0,0.285138,0.302733,1.74644,1.80883,9.53542,12.0332,2.80112,0.447138,0.765426,0.736343,0.158174,2.13329,1.27839,0.405062,4.40974,13.8213,0.0001,600,209.795,427,0.00237379,3.25176e-05,3.46259e-06,1.08392e-05,7.53325e-05,7.64164e-05,0.000802101,0.000548464,0.00138504,0.00237379,0.00237379,0.00237379,0.00393058,0.00393058,0.00393058,0.00107308,0.0543,306,164,396,0,72,0,165,207,0.23,0.26943,51,5,0,0,5.3545,35,2e-05,939.666,54.3681,0.00281,462.566,6.5,0,165,170,164,111.153,0,8.21002,0,0,0,0,0,0,0,50,50,50,72.2088,0,0,0,0,0,9.70636,16.3625,0.00124651,1.34302e-05,0.000986368,0.000986368,1.22093e-05,0.000986368,1.34302e-05,0.00107308,1.34302e-05,0.00124651,0.000135658,0.00328946,0.00124651,0.00342797,4.06975e-06,0.000314337,5.4196e-07,0,0.000693709,1.34302e-06,1.35658e-06,0.000265561,0.000540877,0.000433568,0.00107308,0,2.6996e-05,2.50968e-05,2.17054e-05,1.09341e-05,0.00106224,1.34302e-05,2.6996e-05,0.00854274,0.00768418,0,0,0,0,9.22478e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023_Q1_labor_6h,0.00585,0,0,59.2998,0.00875,9.47775,0.006,0,0,0,0,11.0689,0.22623,14.2778,0.49721,35.2437,0,0.79247,16.0884,0,0,145,130,560,1250,6.7658,9.31053,7.80055,0.444424,0.00923033,0.45,13.4117,5.934,11.1148,2.46441,16.0177,0.362532,1.98496,0.65995,2.19311,0,4.76511,1.7346,2.01386,1.63465,0,0.224294,0.407403,7.57726,6.18216,2.99214,0.371377,0.888078,0.364796,1.7303,8.93078,11.244,11.8366,11.7247,17.4237,8.27238,0.269223,0.817284,6.3276,7.11835,12.775,0.315704,1.71625,1.10575,2.27189,7.26347,1.04863,0.649902,1.81844,0.539757,14.6303,14.215,2.44394,2.33754,0.40171,13.936,12.172,0.860235,2.6945,2.38163,12.1637,2.81659,0,0.645774,6.62782,0.514284,0.747985,0.710019,1.51541,2.89917,2.04506,0.523032,0.510082,2.60106,1.21109,0.878579,5.18055,0.523151,0.31,14.4944,4.00146,7.37115,0.763673,15.4343,1.31307,1.32848,2.58216,14.4764,1.00681,0.275562,0.468247,11.1531,4.48553,0.723608,1.0632,0,0.288119,0.302474,1.74133,1.78972,9.75576,12.1085,2.94866,0.440573,0.758065,0.927735,0.178297,2.14173,1.21779,0.425256,4.37285,13.8565,0.0001,600,512,0.08,1.01652,0.0139249,0.000844152,0.00464162,0.05946,0.0603156,0.34348,0.234866,0.337661,1.01652,1.01652,1.01652,1.18696,1.18696,1.18696,0.459521,170,306,0,0.09197,0,72,0,165,207,0.23,700,51,5,0,0,5.35126,35,105.046,1240,1e-05,0.00281,117.189,6.5,0,165,170,164,177.857,0,8.27234,0,0,0,0,0,0,0,50,50,50,72.2088,0,0,0,0,0,9.59193,16.3281,0.533787,0.745836,0.422388,0.422388,0.678033,0.422388,0.745836,0.459521,0.745836,0.533787,7.53369,0.801944,0.533787,0.83571,0.226011,0.134607,0.00042777,0,0.297064,0.0745836,0.0753369,0.11372,0.231617,0.185665,0.459521,3.99205,1.49921,1.39373,1.20539,0.607216,0.454879,0.745836,1.49921,1.42577,1.28247,0,0,0,0,5.12291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023_Q1_labor_7h,0.00585,0,0,59.2998,78,9.23587,44.8214,0,0,0,0,11.3103,0.22623,0.01231,0.49721,35.2437,0,0.79247,30,0,0,145,130,560,1250,6.61973,9.16865,7.96925,0.444255,0.0153451,0.45,13.4169,5.56495,11.2828,2.44678,16.088,0.351068,1.92233,0.645893,2.21197,0,4.74962,1.73991,2.12495,1.62252,0,0.227168,0.409237,7.53314,6.19373,2.95949,0.371778,0.883847,0.3496,1.69534,8.97205,11.3611,11.9918,11.5807,17.4092,8.85206,0.266393,0.812717,6.3256,6.81526,12.7903,0.328211,1.85278,1.08557,2.26322,7.16713,1.06101,0.64965,1.80466,0.533164,14.1908,13.8023,2.46685,2.35828,0.404195,13.9671,12.223,0.851916,2.68575,2.37993,12.3811,2.80399,0,0.657411,6.6812,0.510147,0.753259,0.697054,1.51447,2.80545,2.04847,0.522011,0.50608,2.58692,1.21523,0.906726,5.47543,0.517893,0.31,15.3509,4.00921,6.96682,0.78752,15.462,1.31745,1.49763,2.64229,14.2919,0.996186,0.28473,0.500156,11.04,4.53744,0.737753,1.04983,0,0.287361,0.303637,1.73646,1.76998,10.0419,11.9496,2.93707,0.429797,0.759175,1.10702,0.120644,2.16277,1.21376,0.442798,4.49955,13.8714,0.0001,1e-05,512,0.08,4.08914,0.0560157,0.00272025,0.0186719,0.254243,0.257901,1.38172,0.944798,1.0881,4.08914,4.08914,4.08914,4.31579,4.31579,4.31579,1.84852,8.94094,306,0,396,0,72,0,165,207,405,700,51,5,0,0,7.65881,35,2e-05,1240,14.8315,0.00281,116.442,6.5,0,165,170,164,176.645,0,8.47506,0,0,0,0,0,0,0,50,50,50,72.2088,0,0,0,0,0,9.55037,16.1438,2.14727,2.60255,1.69914,1.69914,2.36595,1.69914,2.60255,1.84852,2.60255,2.14727,26.2884,2.58424,2.14727,2.69305,0.788651,0.541485,0.00182909,0,1.195,0.260255,0.262884,0.457461,0.931727,0.746876,1.84852,18.2681,5.23139,4.86335,4.20614,2.11884,1.82985,2.60255,5.23139,4.75812,4.27992,0,0,0,0,17.8761,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023_Q1_labor_8h,80,0,0,59.2998,78,8.87162,132,0,0,0,0,11.5754,703.725,0.01231,0.49721,35.2437,0,0.79247,30,0,0,145,130,560,0.01912,6.52449,9.03892,7.81913,0.44366,0.0117762,0.45,13.3546,5.2357,11.4681,2.41735,15.9075,0.333379,1.90619,0.640901,2.23489,0,4.70958,1.74915,2.20215,1.59686,0,0.227381,0.405132,7.29273,6.2541,2.88838,0.373738,0.88302,0.35633,1.68557,8.93449,11.7597,12.04,11.5601,17.3751,9.16306,0.262802,0.793019,6.30537,6.39956,12.6829,0.3306,1.85709,1.10083,2.21546,7.28501,1.06147,0.648611,1.77387,0.524737,14.0342,13.494,2.50511,2.3245,0.408138,14.1164,12.2048,0.842074,2.69587,2.35767,12.4983,2.72086,0,0.670822,6.66404,0.511809,0.759569,0.694125,1.52189,2.7765,2.03634,0.522554,0.513603,2.56071,1.20096,0.901488,5.73349,0.515355,0.31,15.8345,3.90956,7.16643,0.789168,15.2958,1.29782,1.43879,2.56631,14.3252,0.9962,0.286651,0.659431,10.9902,4.4882,0.727681,1.0438,0,0.281232,0.304282,1.72759,1.76079,10.0459,11.4182,2.95562,0.396772,0.761084,1.21525,0.162347,2.12833,1.27327,0.445006,4.59384,13.7997,0.0001,600,512,427,7.90138,0.108238,0.00487187,0.0360794,0.503085,0.510323,2.66987,1.82562,1.94875,7.90138,7.90138,7.90138,8.09638,8.09638,8.09638,3.57186,170,306,0,396,0,72,0,165,207,405,700,51,5,0,0,10.2637,35,2e-05,0.04445,27.9555,50,726.552,6.5,0,165,170,164,247.174,0,8.69001,0,0,0,0,0,0,0,50,50,50,72.2088,0,0,0,0,0,9.55616,16.0445,4.14913,4.94275,3.28322,3.28322,4.49341,3.28322,4.94275,3.57186,4.94275,4.14913,49.9268,4.62828,4.14913,4.82315,1.4978,1.0463,0.00361931,0,2.30908,0.494275,0.499268,0.883945,1.80036,1.44318,3.57186,37.033,9.93544,9.23646,7.98829,4.0241,3.53578,4.94275,9.93544,8.55172,7.69225,0,0,0,0,33.9502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023_Q1_labor_9h,0.00585,0,0,59.2998,78,8.87607,132,0,0,0,0,11.9194,845.61,0.01231,0.49721,35.2437,0,55,30,0,68.8369,145,130,560,0.01912,6.48763,8.80968,7.96886,0.444263,0.00908164,0.45,13.3525,5.06405,11.6539,2.37989,15.8148,0.315152,1.94488,0.649044,2.18915,0,4.69429,1.76499,2.21086,1.57711,0,0.230095,0.42906,7.30701,6.29525,2.85298,0.378238,0.879761,0.392769,1.67482,8.88522,12.1245,12.3421,11.413,17.3774,9.62586,0.243717,0.761147,6.18292,6.04901,12.6898,0.330707,1.86132,1.10892,2.20446,7.43087,1.05872,0.647689,1.77097,0.519702,13.944,13.4403,2.50243,2.26581,0.40977,14.4053,12.2265,0.838579,2.71526,2.34627,12.6057,2.67192,0,0.682895,6.67763,0.51059,0.75267,0.692395,1.51637,3.15972,2.03164,0.525564,0.522691,2.56042,1.21076,0.905677,5.81682,0.515836,0.31,16.3316,3.81962,7.40871,0.779963,15.2652,1.28853,1.60242,2.53243,14.113,0.966717,0.287123,0.702366,10.865,4.41926,0.711217,1.04621,0,0.273934,0.306247,1.71569,1.73047,10.1342,11.5368,3.20267,0.389224,0.763724,1.27731,0.173671,2.12721,1.31908,0.436103,4.63319,13.6307,0.0001,1e-05,512,427,11.4777,0.157228,0.00676448,0.0524094,0.738386,0.74901,3.8783,2.65192,2.70579,11.4777,11.4777,11.4777,11.525,11.525,11.525,5.18853,170,306,0,0.09197,0,72,0,165,207,405,662.691,51,5,0,0,12.9738,35,2e-05,1240,1e-05,0.00281,819,6.5,0,165,170,164,270,0,8.82223,0,0,0,0,0,0,0,50,50,50,72.2088,0,0,0,0,0,9.51555,15.9771,6.02708,6.96221,4.76926,4.76926,6.32929,4.76926,6.96221,5.18853,6.96221,6.02708,70.3254,6.42626,6.02708,6.69684,2.10976,1.51987,0.00531213,0,3.3542,0.696221,0.703254,1.28403,2.61523,2.09638,5.18853,54.9098,13.9948,13.0102,11.2521,5.66823,5.13612,6.96221,13.9948,11.9334,10.734,0,0,0,0,47.8213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
