gen_tech,gen_load_zone,gen_energy_source,period,Energy_GWh_typical_yr,VariableCost_per_yr,DispatchEmissions_tCO2_per_typical_yr,GenCapacity_MW,GenCapitalCosts,GenFixedOMCosts,LCOE_dollar_per_MWh,capacity_factor,Store_GWh_typical_yr,Discharge_GWh_typical_yr
Biogas,Antioquia,Biogas,2040,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Biogas,Antioquia,Biogas,2045,1497.9600000000003,0.0,0.0,171.0,24042505.026466314,12087648.0,24.11957130128061,1.0,0.0,0.0
Biogas,Antioquia,Biogas,2050,1497.9600000000003,0.0,0.0,171.0,24042505.026466314,12087648.0,24.11957130128061,1.0,0.0,0.0
Biogas,Caribe,Biogas,2040,3302.519999999999,0.0,0.0,377.0,53005990.61390526,26649376.0,24.11957130128062,0.9999999999999996,0.0,0.0
Biogas,Caribe,Biogas,2045,3287.8618692657137,0.0,0.0,377.0,53005990.61390526,26649376.0,24.22710253082952,0.9955615315776174,0.0,0.0
Biogas,Caribe,Biogas,2050,2542.507984369643,0.0,0.0,377.0,53005990.61390526,26649376.0,31.32944600512395,0.7698690649472653,0.0,0.0
Biogas,Nordeste,Biogas,2040,1322.7600000000004,0.0,0.0,151.0,21230516.134481948,10673888.0,24.119571301280608,1.0000000000000002,0.0,0.0
Biogas,Nordeste,Biogas,2045,1322.7600000000004,0.0,0.0,151.0,21230516.134481948,10673888.0,24.119571301280608,1.0000000000000002,0.0,0.0
Biogas,Nordeste,Biogas,2050,1322.7600000000004,0.0,0.0,151.0,21230516.134481948,10673888.0,24.119571301280608,1.0000000000000002,0.0,0.0
Biogas,Oriental,Biogas,2040,2960.88,0.0,0.0,338.0,47522612.27453575,23892544.0,24.119571301280615,0.9999999999999998,0.0,0.0
Biogas,Oriental,Biogas,2045,2960.88,0.0,0.0,338.0,47522612.27453575,23892544.0,24.119571301280615,0.9999999999999998,0.0,0.0
Biogas,Oriental,Biogas,2050,2960.88,0.0,0.0,338.0,47522612.27453575,23892544.0,24.119571301280615,0.9999999999999998,0.0,0.0
Biogas,Surocciden,Biogas,2040,2496.6,0.0,0.0,285.0,40070841.710777186,20146080.0,24.119571301280615,0.9999999999999998,0.0,0.0
Biogas,Surocciden,Biogas,2045,2496.6,0.0,0.0,285.0,40070841.710777186,20146080.0,24.119571301280615,0.9999999999999998,0.0,0.0
Biogas,Surocciden,Biogas,2050,2496.6,0.0,0.0,285.0,40070841.710777186,20146080.0,24.119571301280615,0.9999999999999998,0.0,0.0
Biomass,Surocciden,Biomass,2025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Biomass,Surocciden,Biomass,2030,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Biomass,Surocciden,Biomass,2035,876.0,0.0,0.0,100.0,14059944.45992182,7068800.0,24.11957130128062,0.9999999999999999,0.0,0.0
Biomass,Surocciden,Biomass,2040,7256.4920292000015,0.0,0.0,828.36667,116467893.72650386,58555583.16896,24.119571301280608,1.0,0.0,0.0
Biomass,Surocciden,Biomass,2045,9443.28,0.0,0.0,1078.0,151566201.2779572,76201664.0,24.119571301280615,0.9999999999999998,0.0,0.0
Biomass,Surocciden,Biomass,2050,9443.28,0.0,0.0,1078.0,151566201.2779572,76201664.0,24.119571301280615,0.9999999999999998,0.0,0.0
Eolica,Caribe,Wind,2023,214.27884512801788,0.0,0.0,32.0,5395834.247909282,882240.0,29.29861902213695,0.7644079806222097,0.0,0.0
Eolica,Caribe,Wind,2025,8464.21392624409,0.0,0.0,1271.1796,226433226.27338508,35579268.8,30.955325250108658,0.7601085373508356,0.0,0.0
Eolica,Caribe,Wind,2030,16398.840491157665,0.0,0.0,2468.1796,411513372.3276336,68580558.8,29.27609006176398,0.7584592931156076,0.0,0.0
Eolica,Caribe,Wind,2035,26576.65506018445,0.0,0.0,3996.9359999999997,622036481.5375315,101627685.8988,27.2293170753637,0.7590476136965335,0.0,0.0
Eolica,Caribe,Wind,2040,27961.962533023732,0.0,0.0,4205.0158,650690887.471514,106125746.9354,27.06593407072539,0.7590946163312884,0.0,0.0
Eolica,Caribe,Wind,2045,42097.56878245144,0.0,0.0,6331.0198,942809278.5306602,152012139.4034,26.006761188319302,0.7590654726446319,0.0,0.0
Eolica,Caribe,Wind,2050,66824.24904604071,0.0,0.0,10856.109681,1565953679.563007,249831007.360977,27.17254159748119,0.7026770322288923,0.0,0.0
Geothermal,Surocciden,Geothermal,2025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Geothermal,Surocciden,Geothermal,2030,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Geothermal,Surocciden,Geothermal,2035,1314.0,0.0,0.0,150.0,21089916.68988273,10603200.0,24.119571301280615,0.9999999999999998,0.0,0.0
Geothermal,Surocciden,Geothermal,2040,1314.0,0.0,0.0,150.0,21089916.68988273,10603200.0,24.119571301280615,0.9999999999999998,0.0,0.0
Geothermal,Surocciden,Geothermal,2045,1314.0,0.0,0.0,150.0,21089916.68988273,10603200.0,24.119571301280615,0.9999999999999998,0.0,0.0
Geothermal,Surocciden,Geothermal,2050,1314.0,0.0,0.0,150.0,21089916.68988273,10603200.0,24.119571301280615,0.9999999999999998,0.0,0.0
Hidro,Antioquia,Water,2023,32845.505063270706,45652587.613942996,0.0,5684.46,919639495.2827839,248865658.8,36.96571994730725,0.659603001757212,0.0,0.0
Hidro,Antioquia,Water,2025,32845.50507692301,45652587.6329197,0.0,5684.46,919639495.2827839,248865658.8,36.96571993252012,0.6596030020313773,0.0,0.0
Hidro,Antioquia,Water,2030,42841.733180073265,59547344.696298555,0.0,6884.46,1252603506.1745348,301401658.8,37.663100670757544,0.7103837934290629,0.0,0.0
Hidro,Antioquia,Water,2035,42515.29307852606,59093592.95514794,0.0,6884.46,1252603506.1745348,301401658.8,37.94161209121334,0.7049708994947824,0.0,0.0
Hidro,Antioquia,Water,2040,42244.690438919126,58717455.2860943,0.0,6884.46,1252603506.1745348,301401658.8,38.17574714134636,0.7004838791207959,0.0,0.0
Hidro,Antioquia,Water,2045,41307.12544279988,57414239.94148856,0.0,6884.46,1252603506.1745348,301401658.8,39.01068853477686,0.6849375664697643,0.0,0.0
Hidro,Antioquia,Water,2050,41262.69119532487,57352476.337498285,0.0,6884.46,1252603506.1745348,301401658.8,39.05120084592549,0.6842007762669311,0.0,0.0
Hidro,Caribe,Water,2023,1210.706864280518,1682882.5413499197,0.0,342.9,94389474.08762093,15012162.0,91.75178724619241,0.4030578773716654,0.0,0.0
Hidro,Caribe,Water,2025,1210.7068622860536,1682882.5385776144,0.0,342.9,94389474.08762093,15012162.0,91.7517873950504,0.40305787670768584,0.0,0.0
Hidro,Caribe,Water,2030,1210.7068634853395,1682882.5402446215,0.0,342.9,94389474.08762093,15012162.0,91.75178730554101,0.4030578771069415,0.0,0.0
Hidro,Caribe,Water,2035,1208.536493755,1679865.7263194497,0.0,342.9,94389474.08762093,15012162.0,91.91406497689043,0.40233533671138316,0.0,0.0
