GENERATION_PROJECT,PERIOD,gen_tech,gen_load_zone,gen_energy_source,BuildGen,BuildStorageEnergy,GenCapitalOutlay
AMOYA,2023,RunOfRiver,Surocciden,Water,0,0,0
AMOYA,2025,RunOfRiver,Surocciden,Water,0,0,0
AMOYA,2030,RunOfRiver,Surocciden,Water,0,0,0
AMOYA,2035,RunOfRiver,Surocciden,Water,0,0,0
AMOYA,2040,RunOfRiver,Surocciden,Water,0,0,0
AMOYA,2045,RunOfRiver,Surocciden,Water,0,0,0
AMOYA,2050,RunOfRiver,Surocciden,Water,0,0,0
BARRANQUILL3,2023,Thermal,Caribe,GASIMPOR,0,0,0
BARRANQUILL3,2025,Thermal,Caribe,GASIMPOR,0,0,0
BARRANQUILL3,2030,Thermal,Caribe,GASIMPOR,0,0,0
BARRANQUILL3,2035,Thermal,Caribe,GASIMPOR,0,0,0
BARRANQUILL3,2040,Thermal,Caribe,GASIMPOR,0,0,0
BARRANQUILL3,2045,Thermal,Caribe,GASIMPOR,0,0,0
BARRANQUILL3,2050,Thermal,Caribe,GASIMPOR,0,0,0
BARRANQUILL4,2023,Thermal,Caribe,GASIMPOR,0,0,0
BARRANQUILL4,2025,Thermal,Caribe,GASIMPOR,0,0,0
BARRANQUILL4,2030,Thermal,Caribe,GASIMPOR,0,0,0
BARRANQUILL4,2035,Thermal,Caribe,GASIMPOR,0,0,0
BARRANQUILL4,2040,Thermal,Caribe,GASIMPOR,0,0,0
BARRANQUILL4,2045,Thermal,Caribe,GASIMPOR,0,0,0
BARRANQUILL4,2050,Thermal,Caribe,GASIMPOR,0,0,0
BETANIA,2023,Hidro,Surocciden,Water,0,0,0
BETANIA,2025,Hidro,Surocciden,Water,0,0,0
BETANIA,2030,Hidro,Surocciden,Water,0,0,0
BETANIA,2035,Hidro,Surocciden,Water,0,0,0
BETANIA,2040,Hidro,Surocciden,Water,0,0,0
BETANIA,2045,Hidro,Surocciden,Water,0,0,0
BETANIA,2050,Hidro,Surocciden,Water,0,0,0
C_LLERAS_R,2023,RunOfRiver,Antioquia,Water,0,0,0
C_LLERAS_R,2025,RunOfRiver,Antioquia,Water,0,0,0
C_LLERAS_R,2030,RunOfRiver,Antioquia,Water,0,0,0
C_LLERAS_R,2035,RunOfRiver,Antioquia,Water,0,0,0
C_LLERAS_R,2040,RunOfRiver,Antioquia,Water,0,0,0
C_LLERAS_R,2045,RunOfRiver,Antioquia,Water,0,0,0
C_LLERAS_R,2050,RunOfRiver,Antioquia,Water,0,0,0
CALDERAS,2023,Hidro,Antioquia,Water,0,0,0
CALDERAS,2025,Hidro,Antioquia,Water,0,0,0
CALDERAS,2030,Hidro,Antioquia,Water,0,0,0
CALDERAS,2035,Hidro,Antioquia,Water,0,0,0
CALDERAS,2040,Hidro,Antioquia,Water,0,0,0
CALDERAS,2045,Hidro,Antioquia,Water,0,0,0
CALDERAS,2050,Hidro,Antioquia,Water,0,0,0
CALIMA,2023,Hidro,Surocciden,Water,0,0,0
