generation_project,gen_dbid,gen_tech,gen_load_zone,gen_energy_source,period,Energy_GWh_typical_yr,VariableCost_per_yr,DispatchEmissions_tCO2_per_typical_yr,GenCapacity_MW,GenCapitalCosts,GenFixedOMCosts,LCOE_dollar_per_MWh,capacity_factor,Store_GWh_typical_yr,Discharge_GWh_typical_yr
AMOYA,AMOYA,RunOfRiver,Surocciden,Water,2023,422.1673836286369,586812.6632438052,0.0,80.0,8978400.293696908,3502400.0,30.95362991953862,0.6024077962737397,,
AMOYA,AMOYA,RunOfRiver,Surocciden,Water,2025,422.1673837492227,586812.6634114196,0.0,80.0,8978400.293696908,3502400.0,30.953629911094207,0.6024077964458086,,
AMOYA,AMOYA,RunOfRiver,Surocciden,Water,2030,422.1673776036836,586812.6548691201,0.0,80.0,8978400.293696908,3502400.0,30.953630341455376,0.6024077876764891,,
AMOYA,AMOYA,RunOfRiver,Surocciden,Water,2035,422.16738350295054,586812.6630691012,0.0,80.0,8978400.293696908,3502400.0,30.95362992834021,0.6024077960943928,,
AMOYA,AMOYA,RunOfRiver,Surocciden,Water,2040,422.16734942898785,586812.6157062931,0.0,80.0,8978400.293696908,3502400.0,30.95363231447932,0.6024077474728706,,
AMOYA,AMOYA,RunOfRiver,Surocciden,Water,2045,422.16730156776,586812.5491791863,0.0,80.0,8978400.293696908,3502400.0,30.953635666116778,0.6024076791777396,,
AMOYA,AMOYA,RunOfRiver,Surocciden,Water,2050,422.1672894718414,586812.5323658595,0.0,80.0,8978400.293696908,3502400.0,30.95363651317277,0.6024076619175818,,
BARRANQUILL3,BARRANQUILL3,Thermal,Caribe,GASIMPOR,2023,3.107850558392998e-06,0.022003581953422426,0.00192672531743314,60.0,6771600.221509176,8593200.0,4943867137.375345,5.912957683396114e-09,,
BARRANQUILL3,BARRANQUILL3,Thermal,Caribe,GASIMPOR,2025,1.6107114917952843e-06,0.01140383736191061,0.0009985675153979011,60.0,6771600.221509176,8593200.0,9539138642.257746,3.064519581041256e-09,,
BARRANQUILL3,BARRANQUILL3,Thermal,Caribe,GASIMPOR,2030,1.659079031371633e-06,0.011746279542111162,0.0010285531795386788,60.0,6771600.221509176,8593200.0,9261041784.46081,3.1565430581652066e-09,,
BARRANQUILL3,BARRANQUILL3,Thermal,Caribe,GASIMPOR,2035,1.7466295525821759e-06,0.012366137232281802,0.001082830501630396,60.0,6771600.221509176,8593200.0,8796828274.86822,3.323115587104596e-09,,
BARRANQUILL3,BARRANQUILL3,Thermal,Caribe,GASIMPOR,2040,2.185344054664616e-06,0.015472235907025482,0.001354813443668764,60.0,6771600.221509176,8593200.0,7030838098.095014,4.157808323182297e-09,,
BARRANQUILL3,BARRANQUILL3,Thermal,Caribe,GASIMPOR,2045,2.4094659553386178e-06,0.01705901896379741,0.0014937587797157837,60.0,6771600.221509176,8593200.0,6376848863.344443,4.584219854145009e-09,,
BARRANQUILL3,BARRANQUILL3,Thermal,Caribe,GASIMPOR,2050,1.6833397900458187e-06,0.011918045713524394,0.0010435937412000026,60.0,6771600.221509176,8593200.0,9127569088.7156,3.2027012748208113e-09,,
BARRANQUILL4,BARRANQUILL4,Thermal,Caribe,GASIMPOR,2023,2.6501244658912756e-06,0.01876288121851023,0.0018246276555627249,60.0,6782400.22186246,8593200.0,5801840795.97722,5.042093732669853e-09,,
BARRANQUILL4,BARRANQUILL4,Thermal,Caribe,GASIMPOR,2025,1.364443808904553e-06,0.009660262167044235,0.0009394282948711617,60.0,6782400.22186246,8593200.0,11268767633.507061,2.5959737612339284e-09,,
BARRANQUILL4,BARRANQUILL4,Thermal,Caribe,GASIMPOR,2030,1.4439470448441797e-06,0.010223145077496793,0.0009941667816363048,60.0,6782400.22186246,8593200.0,10648313099.144732,2.7472356256548313e-09,,
BARRANQUILL4,BARRANQUILL4,Thermal,Caribe,GASIMPOR,2035,1.5397233623887802e-06,0.010901241405712565,0.0010601093892341946,60.0,6782400.22186246,8593200.0,9985949819.524372,2.929458452033447e-09,,
BARRANQUILL4,BARRANQUILL4,Thermal,Caribe,GASIMPOR,2040,1.922297033047361e-06,0.013609862993975316,0.0013235138099541195,60.0,6782400.22186246,8593200.0,7998555879.315819,3.6573383429363784e-09,,
BARRANQUILL4,BARRANQUILL4,Thermal,Caribe,GASIMPOR,2045,2.1316325650734593e-06,0.015091958560720091,0.0014676426635014932,60.0,6782400.22186246,8593200.0,7213063118.326188,4.055617513457875e-09,,
BARRANQUILL4,BARRANQUILL4,Thermal,Caribe,GASIMPOR,2050,1.4605624611925684e-06,0.010340782225243383,0.0010056066021308348,60.0,6782400.22186246,8593200.0,10527177468.089151,2.7788479094226943e-09,,
BETANIA,BETANIA,Hidro,Surocciden,Water,2023,1140.560984636697,1585379.7686450086,0.0,540.0,61187402.001531474,23641200.0,75.76445532870997,0.24111301045084915,,
BETANIA,BETANIA,Hidro,Surocciden,Water,2025,1140.5609847563562,1585379.768811335,0.0,540.0,61187402.001531474,23641200.0,75.76445532090716,0.2411130104761449,,
BETANIA,BETANIA,Hidro,Surocciden,Water,2030,1140.560979228706,1585379.7611279008,0.0,540.0,61187402.001531474,23641200.0,75.76445568135784,0.2411130093076073,,
BETANIA,BETANIA,Hidro,Surocciden,Water,2035,1140.5609845138194,1585379.7684742087,0.0,540.0,61187402.001531474,23641200.0,75.76445533672265,0.24111301042487301,,
BETANIA,BETANIA,Hidro,Surocciden,Water,2040,1140.560957152812,1585379.7304424085,0.0,540.0,61187402.001531474,23641200.0,75.76445712089736,0.241113004640794,,
BETANIA,BETANIA,Hidro,Surocciden,Water,2045,1140.5609187769335,1585379.6770999376,0.0,540.0,61187402.001531474,23641200.0,75.76445962333726,0.24111299652818652,,
BETANIA,BETANIA,Hidro,Surocciden,Water,2050,1140.5609225051815,1585379.682282202,0.0,540.0,61187402.001531474,23641200.0,75.76445938022317,0.24111299731633293,,
Bio_Surocciden,Bio_Surocciden,Biomass,Surocciden,Biomass,2025,4.738912420500111e-06,0.0,0.0,5.874726961961067e-09,0.0015961803457391894,0.0008024935777308437,0.5061654891729133,92.08457533478773,,
Bio_Surocciden,Bio_Surocciden,Biomass,Surocciden,Biomass,2030,7.691467980768027e-06,0.0,0.0,1.207993814063579e-06,0.24052381210236382,0.12092544547544712,46.99353341671438,0.726842678141042,,
Bio_Surocciden,Bio_Surocciden,Biomass,Surocciden,Biomass,2035,876.0000082105643,0.0,0.0,100.00000247648887,14059944.878795331,7068800.210592823,24.1195717937818,0.9999999846079017,,
Bio_Surocciden,Bio_Surocciden,Biomass,Surocciden,Biomass,2040,875.9999748805094,0.0,0.0,100.00000296290723,14059944.947185481,7068800.244976764,24.119572828805513,0.9999999416957117,,
Bio_Surocciden,Bio_Surocciden,Biomass,Surocciden,Biomass,2045,875.9999327749711,0.0,0.0,100.00000397021982,14059945.088813072,7068800.316181676,24.11957423108884,0.9999998835569055,,
Bio_Surocciden,Bio_Surocciden,Biomass,Surocciden,Biomass,2050,875.9999142128265,0.0,0.0,100.00000474926034,14059945.198345738,7068800.3712504925,24.11957493007579,0.99999985457684,,
Bio_Surocciden_UPME4,Bio_Surocciden_UPME4,Biomass,Surocciden,Biomass,2040,6428.738742308804,0.0,0.0,733.8742894019126,103182317.49555483,51876105.7692424,24.11957142453574,0.9999999948898294,,
Bio_Surocciden_UPME4,Bio_Surocciden_UPME4,Biomass,Surocciden,Biomass,2045,8567.279924630824,0.0,0.0,978.0000009848231,137506256.95650098,69132864.06961517,24.119571537756247,0.9999999901956947,,
Bio_Surocciden_UPME4,Bio_Surocciden_UPME4,Biomass,Surocciden,Biomass,2050,8567.27990511058,0.0,0.0,978.0000016411241,137506257.0487765,69132864.11600776,24.119571608897623,0.9999999872461657,,
Biogas_Antioquia_UPME4,Biogas_Antioquia_UPME4,Biogas,Antioquia,Biogas,2040,0.0001973344066406702,0.0,0.0,2.4100750076285262e-05,3.388552075150274,1.7036338213924527,25.804855743252013,0.9346911891800789,,
Biogas_Antioquia_UPME4,Biogas_Antioquia_UPME4,Biogas,Antioquia,Biogas,2045,1497.9599179971149,0.0,0.0,171.00000071293996,24042505.126705274,12087648.0503963,24.119572722219637,0.9999999410877198,,
Biogas_Antioquia_UPME4,Biogas_Antioquia_UPME4,Biogas,Antioquia,Biogas,2050,1497.9598868593914,0.0,0.0,171.00000255506333,24042505.385706797,12087648.180612318,24.11957348341901,0.9999999095283174,,
Biogas_Caribe_UPME4,Biogas_Caribe_UPME4,Biogas,Caribe,Biogas,2040,3302.519973916729,0.0,0.0,377.00000069574935,53005990.71172723,26649376.04918113,24.119571536289165,0.9999999902565205,,
Biogas_Caribe_UPME4,Biogas_Caribe_UPME4,Biogas,Caribe,Biogas,2045,3302.416177301107,0.0,0.0,377.0000014751258,53005990.82130713,26649376.10427369,24.120329676521575,0.9999685586701701,,
Biogas_Caribe_UPME4,Biogas_Caribe_UPME4,Biogas,Caribe,Biogas,2050,2641.659080795694,0.0,0.0,377.0000022737544,53005990.93359386,26649376.160727147,30.153537855584315,0.7998919203709214,,
Biogas_Nordeste_UPME4,Biogas_Nordeste_UPME4,Biogas,Nordeste,Biogas,2040,1322.7599941337116,0.0,0.0,151.00000118801722,21230516.30151651,10673888.083978562,24.119571598012822,0.9999999876974512,,
Biogas_Nordeste_UPME4,Biogas_Nordeste_UPME4,Biogas,Nordeste,Biogas,2045,1322.7599515897139,0.0,0.0,151.00000188639382,21230516.39970787,10673888.133345407,24.11957248532514,0.9999999509093898,,
Biogas_Nordeste_UPME4,Biogas_Nordeste_UPME4,Biogas,Nordeste,Biogas,2050,1322.7599084210028,0.0,0.0,151.0000025817629,21230516.497476377,10673888.182499656,24.119573383548317,0.9999999136689659,,
Biogas_Oriental_UPME4,Biogas_Oriental_UPME4,Biogas,Oriental,Biogas,2040,2960.87999301162,0.0,0.0,338.0000009598252,47522612.40948664,23892544.067848124,24.11957142670135,0.999999994800043,,
Biogas_Oriental_UPME4,Biogas_Oriental_UPME4,Biogas,Oriental,Biogas,2045,2960.8799526353905,0.0,0.0,338.00000165768245,47522612.50760498,23892544.117178258,24.1195718054083,0.9999999790988126,,
Biogas_Oriental_UPME4,Biogas_Oriental_UPME4,Biogas,Oriental,Biogas,2050,2960.879916250442,0.0,0.0,338.000002360805,47522612.60646362,23892544.166880585,24.119572151977692,0.9999999647300095,,
Biogas_Surocciden_UPME4,Biogas_Surocciden_UPME4,Biogas,Surocciden,Biogas,2040,2448.3517285204525,0.0,0.0,279.49221019849915,39296449.52371693,19756745.354511507,24.11957162458618,0.9999999865957168,,
Biogas_Surocciden_UPME4,Biogas_Surocciden_UPME4,Biogas,Surocciden,Biogas,2045,2496.599930634923,0.0,0.0,285.00000165834007,40070841.94393887,20146080.11722474,24.11957211175983,0.9999999663974461,,
Biogas_Surocciden_UPME4,Biogas_Surocciden_UPME4,Biogas,Surocciden,Biogas,2050,2496.5999120491897,0.0,0.0,285.00000242680363,40070842.05198443,20146080.171545897,24.11957235635114,0.9999999562566652,,
CALDERAS,CALDERAS,Hidro,Antioquia,Water,2023,86.71168628725013,120529.24393927766,0.0,19.9,2262033.073994486,871221.9999999999,37.524173006565,0.49741680025269114,,
CALDERAS,CALDERAS,Hidro,Antioquia,Water,2025,86.71168627312233,120529.24391964002,0.0,19.9,2262033.073994486,871221.9999999999,37.52417301245229,0.49741680017164763,,
CALDERAS,CALDERAS,Hidro,Antioquia,Water,2030,82.61558594350254,114835.6644614685,0.0,19.9,2262033.073994486,871221.9999999999,39.31571387361693,0.4739197468134194,,
CALDERAS,CALDERAS,Hidro,Antioquia,Water,2035,76.79209090514273,106741.00635814838,0.0,19.9,2262033.073994486,871221.9999999999,42.19179400069772,0.4405135890935426,,
CALDERAS,CALDERAS,Hidro,Antioquia,Water,2040,78.89255041514294,109660.64507704867,0.0,19.9,2262033.073994486,871221.9999999999,41.105474496728625,0.4525627590873484,,
CALDERAS,CALDERAS,Hidro,Antioquia,Water,2045,77.513227358459,107743.38602825801,0.0,19.9,2262033.073994486,871221.9999999999,41.81219864623602,0.4446503485375449,,
CALDERAS,CALDERAS,Hidro,Antioquia,Water,2050,67.78358039821434,94219.17675351794,0.0,19.9,2262033.073994486,871221.9999999999,47.614396167733666,0.3888367660116469,,
CALIMA,CALIMA,Hidro,Surocciden,Water,2023,737.7613043647501,1025488.2130670026,0.0,132.0,15016320.491206313,5778960.0,29.577003531056835,0.6380252044111924,,
CALIMA,CALIMA,Hidro,Surocciden,Water,2025,737.7613044849425,1025488.21323407,0.0,132.0,15016320.491206313,5778960.0,29.577003526464754,0.6380252045151362,,
CALIMA,CALIMA,Hidro,Surocciden,Water,2030,737.7612982479534,1025488.2045646551,0.0,132.0,15016320.491206313,5778960.0,29.57700376475597,0.6380251991213101,,
CALIMA,CALIMA,Hidro,Surocciden,Water,2035,737.7613042380299,1025488.2128908616,0.0,132.0,15016320.491206313,5778960.0,29.57700353589833,0.6380252043016031,,
CALIMA,CALIMA,Hidro,Surocciden,Water,2040,737.7612667655956,1025488.1608041776,0.0,132.0,15016320.491206313,5778960.0,29.577004967575057,0.6380251718949732,,
CALIMA,CALIMA,Hidro,Surocciden,Water,2045,737.7612237457499,1025488.1010065924,0.0,132.0,15016320.491206313,5778960.0,29.577006611197096,0.6380251346908725,,
CALIMA,CALIMA,Hidro,Surocciden,Water,2050,737.7612317353078,1025488.1121120777,0.0,132.0,15016320.491206313,5778960.0,29.57700630594696,0.6380251416003421,,
CANDELARIA,CANDELARIA,Thermal,Caribe,GASIMPOR,2023,7.765386916087968e-06,0.054978939365902826,0.002972527988383146,555.0,63286652.070201084,79487100.0,18385916074.49566,1.5972246731844103e-09,,
CANDELARIA,CANDELARIA,Thermal,Caribe,GASIMPOR,2025,4.37715844001258e-06,0.03099028175528907,0.0016755412335692959,555.0,63286652.070201084,79487100.0,32617908183.552303,9.00316434245049e-10,,
CANDELARIA,CANDELARIA,Thermal,Caribe,GASIMPOR,2030,3.4905718224184476e-06,0.024713248502722607,0.0013361629690472024,555.0,63286652.070201084,79487100.0,40902682814.872826,7.179587441726206e-10,,
CANDELARIA,CANDELARIA,Thermal,Caribe,GASIMPOR,2035,3.335582258655652e-06,0.02361592239128201,0.0012768342039553146,555.0,63286652.070201084,79487100.0,42803247236.169044,6.860796944867438e-10,,
CANDELARIA,CANDELARIA,Thermal,Caribe,GASIMPOR,2040,4.209772373866643e-06,0.029805188406975835,0.0016114671865371604,555.0,63286652.070201084,79487100.0,33914838955.739002,8.65887608265795e-10,,
CANDELARIA,CANDELARIA,Thermal,Caribe,GASIMPOR,2045,4.506508098962195e-06,0.031906077340652345,0.0017250552482179367,555.0,63286652.070201084,79487100.0,31681681019.27667,9.269217365918372e-10,,
