load_zone,timestamp,ZoneTotalCentralDispatch,ZoneTotalDistributedDispatch,TXPowerNet,zone_demand_mw,StorageNetCharge
Antioquia,2023_Q1_labor_0h,3875.26,0,-2781.48,1093.78,0
Antioquia,2023_Q1_labor_1h,3772.49,0,-2739.95,1032.55,0
Antioquia,2023_Q1_labor_2h,3709.66,0,-2712.39,997.272,0
Antioquia,2023_Q1_labor_3h,3663.09,0,-2690.83,972.263,0
Antioquia,2023_Q1_labor_4h,3639.67,0,-2679.42,960.252,0
Antioquia,2023_Q1_labor_5h,3667.86,0,-2692.81,975.055,0
Antioquia,2023_Q1_labor_6h,3737.02,0,-2721.84,1015.18,0
Antioquia,2023_Q1_labor_7h,3770.15,0,-2731.32,1038.83,0
Antioquia,2023_Q1_labor_8h,3869.05,0,-2767.51,1101.54,0
Antioquia,2023_Q1_labor_9h,3973.76,0,-2803.93,1169.83,0
Antioquia,2023_Q1_labor_10h,4037.14,0,-2824.78,1212.36,0
Antioquia,2023_Q1_labor_11h,4102.3,0,-2847.86,1254.44,0
Antioquia,2023_Q1_labor_12h,4157.05,0,-2869.16,1287.89,0
Antioquia,2023_Q1_labor_13h,4151.15,0,-2868.87,1282.28,0
Antioquia,2023_Q1_labor_14h,4160.35,0,-2875.27,1285.08,0
Antioquia,2023_Q1_labor_15h,4188.11,0,-2890.29,1297.82,0
Antioquia,2023_Q1_labor_16h,4188.38,0,-2893.45,1294.92,0
Antioquia,2023_Q1_labor_17h,4157.51,0,-2884.38,1273.13,0
Antioquia,2023_Q1_labor_18h,4117.84,0,-2869.41,1248.43,0
Antioquia,2023_Q1_labor_19h,4228.66,0,-2915.13,1313.53,0
Antioquia,2023_Q1_labor_20h,4254.41,0,-2926.51,1327.9,0
Antioquia,2023_Q1_labor_21h,4196.78,0,-2902.3,1294.47,0
Antioquia,2023_Q1_labor_22h,4103.87,0,-2865.71,1238.16,0
Antioquia,2023_Q1_labor_23h,3984.9,0,-2821.41,1163.49,0
Antioquia,2023_Q1_holidays_0h,3831.52,0,-2804.94,1026.58,0
Antioquia,2023_Q1_holidays_1h,3784.81,0,-2781.77,1003.05,0
Antioquia,2023_Q1_holidays_2h,3716.73,0,-2747.03,969.7,0
Antioquia,2023_Q1_holidays_3h,3659.5,0,-2717.22,942.278,0
Antioquia,2023_Q1_holidays_4h,3616.12,0,-2694.59,921.532,0
Antioquia,2023_Q1_holidays_5h,3592.12,0,-2681.77,910.347,0
Antioquia,2023_Q1_holidays_6h,3566.38,0,-2664.9,901.478,0
Antioquia,2023_Q1_holidays_7h,3491.2,0,-2617.48,873.72,0
Antioquia,2023_Q1_holidays_8h,3536.39,0,-2634.04,902.352,0
Antioquia,2023_Q1_holidays_9h,3632.9,0,-2678.74,954.16,0
Antioquia,2023_Q1_holidays_10h,3722.29,0,-2720.35,1001.94,0
Antioquia,2023_Q1_holidays_11h,3796.21,0,-2755.75,1040.45,0
Antioquia,2023_Q1_holidays_12h,3862.26,0,-2789.34,1072.92,0
Antioquia,2023_Q1_holidays_13h,3896.63,0,-2809.71,1086.92,0
Antioquia,2023_Q1_holidays_14h,3901.33,0,-2816.47,1084.86,0
Antioquia,2023_Q1_holidays_15h,3891.62,0,-2817.65,1073.97,0
Antioquia,2023_Q1_holidays_16h,3882.38,0,-2817.82,1064.56,0
Antioquia,2023_Q1_holidays_17h,3878.4,0,-2822.29,1056.11,0
Antioquia,2023_Q1_holidays_18h,3894.67,0,-2832.73,1061.94,0
Antioquia,2023_Q1_holidays_19h,4074.32,0,-2921.43,1152.89,0
Antioquia,2023_Q1_holidays_20h,4134.98,0,-2951.32,1183.66,0
Antioquia,2023_Q1_holidays_21h,4106.15,0,-2937.22,1168.93,0
Antioquia,2023_Q1_holidays_22h,4038.59,0,-2904.77,1133.82,0
Antioquia,2023_Q1_holidays_23h,3941.4,0,-2858.21,1083.19,0
Antioquia,2023_Q2_labor_0h,3676.79,0,-2591.16,1085.63,0
Antioquia,2023_Q2_labor_1h,3546.71,0,-2524.76,1021.94,0
Antioquia,2023_Q2_labor_2h,3456.94,0,-2469.19,987.747,0
Antioquia,2023_Q2_labor_3h,3389.94,0,-2426.56,963.386,0
Antioquia,2023_Q2_labor_4h,3358.35,0,-2405.99,952.367,0
Antioquia,2023_Q2_labor_5h,3415.47,0,-2443.04,972.424,0
Antioquia,2023_Q2_labor_6h,3532.71,0,-2512.17,1020.55,0
Antioquia,2023_Q2_labor_7h,3560.3,0,-2519.21,1041.08,0
Antioquia,2023_Q2_labor_8h,3685.13,0,-2582.55,1102.58,0
Antioquia,2023_Q2_labor_9h,3787.4,0,-2621.12,1166.28,0
Antioquia,2023_Q2_labor_10h,3849.67,0,-2643.16,1206.51,0
Antioquia,2023_Q2_labor_11h,3920.72,0,-2670.78,1249.94,0
Antioquia,2023_Q2_labor_12h,3976.27,0,-2693.57,1282.7,0
Antioquia,2023_Q2_labor_13h,3962.52,0,-2689.78,1272.74,0
Antioquia,2023_Q2_labor_14h,3978.77,0,-2699.48,1279.29,0
Antioquia,2023_Q2_labor_15h,4010.75,0,-2716.68,1294.07,0
Antioquia,2023_Q2_labor_16h,4016.53,0,-2723.04,1293.49,0
Antioquia,2023_Q2_labor_17h,3988.44,0,-2715.7,1272.73,0
Antioquia,2023_Q2_labor_18h,3935.51,0,-2695.74,1239.77,0
Antioquia,2023_Q2_labor_19h,4040.17,0,-2739.16,1301.01,0
Antioquia,2023_Q2_labor_20h,4087.23,0,-2759.77,1327.46,0
Antioquia,2023_Q2_labor_21h,4033.6,0,-2736.56,1297.04,0
Antioquia,2023_Q2_labor_22h,3932.78,0,-2695.37,1237.42,0
Antioquia,2023_Q2_labor_23h,3799.04,0,-2641.86,1157.18,0
Antioquia,2023_Q2_holidays_0h,3858.21,0,-2841.48,1016.73,0
Antioquia,2023_Q2_holidays_1h,3843.72,0,-2832.83,1010.89,0
Antioquia,2023_Q2_holidays_2h,3743.67,0,-2772.39,971.289,0
Antioquia,2023_Q2_holidays_3h,3664.04,0,-2723.13,940.901,0
Antioquia,2023_Q2_holidays_4h,3606.63,0,-2687.3,919.335,0
Antioquia,2023_Q2_holidays_5h,3579.91,0,-2671,908.912,0
Antioquia,2023_Q2_holidays_6h,3533.17,0,-2637.78,895.388,0
Antioquia,2023_Q2_holidays_7h,3459.67,0,-2583.4,876.277,0
Antioquia,2023_Q2_holidays_8h,3537.52,0,-2623.45,914.074,0
Antioquia,2023_Q2_holidays_9h,3648.24,0,-2685.12,963.115,0
Antioquia,2023_Q2_holidays_10h,3752.84,0,-2744.41,1008.42,0
Antioquia,2023_Q2_holidays_11h,3841.65,0,-2796.12,1045.53,0
Antioquia,2023_Q2_holidays_12h,3918.88,0,-2842.84,1076.04,0
Antioquia,2023_Q2_holidays_13h,3957.73,0,-2868.3,1089.43,0
Antioquia,2023_Q2_holidays_14h,3969.12,0,-2880.39,1088.74,0
Antioquia,2023_Q2_holidays_15h,3952.04,0,-2877.65,1074.39,0
Antioquia,2023_Q2_holidays_16h,3939.24,0,-2875.95,1063.29,0
Antioquia,2023_Q2_holidays_17h,3932.75,0,-2878.47,1054.29,0
Antioquia,2023_Q2_holidays_18h,3943.07,0,-2886.75,1056.32,0
Antioquia,2023_Q2_holidays_19h,4136.93,0,-2993.45,1143.48,0
Antioquia,2023_Q2_holidays_20h,4216.51,0,-3034.05,1182.47,0
Antioquia,2023_Q2_holidays_21h,4185.6,0,-3017.86,1167.74,0
Antioquia,2023_Q2_holidays_22h,4107.84,0,-2977.92,1129.91,0
Antioquia,2023_Q2_holidays_23h,3990.43,0,-2914.62,1075.81,0
Antioquia,2023_Q3_labor_0h,3697.01,0,-2571.66,1125.36,0
Antioquia,2023_Q3_labor_1h,3557.29,0,-2496.81,1060.48,0
Antioquia,2023_Q3_labor_2h,3463.36,0,-2439.83,1023.53,0
Antioquia,2023_Q3_labor_3h,3392.53,0,-2395.35,997.183,0
Antioquia,2023_Q3_labor_4h,3359.14,0,-2374.47,984.67,0
Antioquia,2023_Q3_labor_5h,3401.09,0,-2400.68,1000.42,0
Antioquia,2023_Q3_labor_6h,3488.18,0,-2451.19,1036.99,0
Antioquia,2023_Q3_labor_7h,3525.81,0,-2465.24,1060.56,0
Antioquia,2023_Q3_labor_8h,3662.56,0,-2534.94,1127.63,0
Antioquia,2023_Q3_labor_9h,3788.07,0,-2594.19,1193.87,0
Antioquia,2023_Q3_labor_10h,3866.4,0,-2629.92,1236.48,0
Antioquia,2023_Q3_labor_11h,3955.71,0,-2673.41,1282.3,0
Antioquia,2023_Q3_labor_12h,4027.22,0,-2710.76,1316.46,0
Antioquia,2023_Q3_labor_13h,4018.88,0,-2709.77,1309.11,0
Antioquia,2023_Q3_labor_14h,4043.24,0,-2727.19,1316.05,0
Antioquia,2023_Q3_labor_15h,4085.4,0,-2754.66,1330.74,0
Antioquia,2023_Q3_labor_16h,4090.27,0,-2762.76,1327.51,0
Antioquia,2023_Q3_labor_17h,4062.36,0,-2754.66,1307.7,0
Antioquia,2023_Q3_labor_18h,3993.09,0,-2722.12,1270.98,0
Antioquia,2023_Q3_labor_19h,4092.19,0,-2770.73,1321.46,0
Antioquia,2023_Q3_labor_20h,4168.21,0,-2808.49,1359.72,0
Antioquia,2023_Q3_labor_21h,4117.45,0,-2783.33,1334.11,0
Antioquia,2023_Q3_labor_22h,4006.71,0,-2729.18,1277.53,0
Antioquia,2023_Q3_labor_23h,3850.96,0,-2651.58,1199.38,0
Antioquia,2023_Q3_holidays_0h,3787.74,0,-2737.4,1050.34,0
Antioquia,2023_Q3_holidays_1h,3757.97,0,-2719.56,1038.41,0
Antioquia,2023_Q3_holidays_2h,3659.21,0,-2658.72,1000.49,0
Antioquia,2023_Q3_holidays_3h,3580.52,0,-2610.52,970.004,0
Antioquia,2023_Q3_holidays_4h,3521.35,0,-2574.32,947.031,0
Antioquia,2023_Q3_holidays_5h,3487.95,0,-2553.58,934.365,0
Antioquia,2023_Q3_holidays_6h,3440.45,0,-2521.26,919.195,0
Antioquia,2023_Q3_holidays_7h,3363.02,0,-2465.55,897.468,0
Antioquia,2023_Q3_holidays_8h,3436.78,0,-2501.04,935.741,0
Antioquia,2023_Q3_holidays_9h,3539.22,0,-2555.14,984.078,0
Antioquia,2023_Q3_holidays_10h,3630.56,0,-2604.97,1025.59,0
Antioquia,2023_Q3_holidays_11h,3711.16,0,-2651.49,1059.68,0
Antioquia,2023_Q3_holidays_12h,3790.03,0,-2701.8,1088.22,0
Antioquia,2023_Q3_holidays_13h,3843.39,0,-2738.44,1104.95,0
Antioquia,2023_Q3_holidays_14h,3863.11,0,-2757.09,1106.01,0
Antioquia,2023_Q3_holidays_15h,3848.94,0,-2756.44,1092.5,0
Antioquia,2023_Q3_holidays_16h,3837.21,0,-2756.69,1080.52,0
Antioquia,2023_Q3_holidays_17h,3832.66,0,-2761.16,1071.5,0
Antioquia,2023_Q3_holidays_18h,3840,0,-2767.32,1072.67,0
Antioquia,2023_Q3_holidays_19h,4042.95,0,-2891.67,1151.28,0
Antioquia,2023_Q3_holidays_20h,4174.27,0,-2971.36,1202.91,0
Antioquia,2023_Q3_holidays_21h,4146.15,0,-2954.88,1191.27,0
Antioquia,2023_Q3_holidays_22h,4067.43,0,-2907.62,1159.81,0
Antioquia,2023_Q3_holidays_23h,3933.34,0,-2825.6,1107.75,0
Antioquia,2023_Q4_labor_0h,4053.19,0,-2876.77,1176.42,0
Antioquia,2023_Q4_labor_1h,3913.68,0,-2804.15,1109.54,0
Antioquia,2023_Q4_labor_2h,3829.42,0,-2757.81,1071.61,0
Antioquia,2023_Q4_labor_3h,3765.03,0,-2719.68,1045.35,0
Antioquia,2023_Q4_labor_4h,3730.6,0,-2698.11,1032.49,0
Antioquia,2023_Q4_labor_5h,3773.55,0,-2724.24,1049.31,0
Antioquia,2023_Q4_labor_6h,3856.2,0,-2768.95,1087.25,0
Antioquia,2023_Q4_labor_7h,3895.5,0,-2783.17,1112.33,0
Antioquia,2023_Q4_labor_8h,4025.2,0,-2844.08,1181.12,0
Antioquia,2023_Q4_labor_9h,4148.68,0,-2900.47,1248.21,0
Antioquia,2023_Q4_labor_10h,4229.43,0,-2937.52,1291.9,0
Antioquia,2023_Q4_labor_11h,4323.82,0,-2985.95,1337.87,0
Antioquia,2023_Q4_labor_12h,4391.21,0,-3019.62,1371.58,0
Antioquia,2023_Q4_labor_13h,4386.8,0,-3020.9,1365.9,0
Antioquia,2023_Q4_labor_14h,4410.13,0,-3036.28,1373.85,0
Antioquia,2023_Q4_labor_15h,4448.73,0,-3059.74,1388.99,0
Antioquia,2023_Q4_labor_16h,4451.31,0,-3065.24,1386.07,0
Antioquia,2023_Q4_labor_17h,4425.99,0,-3058.26,1367.73,0
Antioquia,2023_Q4_labor_18h,4400.13,0,-3047.19,1352.94,0
Antioquia,2023_Q4_labor_19h,4522.07,0,-3102.45,1419.62,0
Antioquia,2023_Q4_labor_20h,4518.5,0,-3101.2,1417.29,0
Antioquia,2023_Q4_labor_21h,4464.27,0,-3077.07,1387.2,0
Antioquia,2023_Q4_labor_22h,4358.82,0,-3029.31,1329.51,0
Antioquia,2023_Q4_labor_23h,4210.26,0,-2959.52,1250.74,0
Antioquia,2023_Q4_holidays_0h,4186.32,0,-3092.95,1093.37,0
Antioquia,2023_Q4_holidays_1h,4134.44,0,-3063.9,1070.54,0
Antioquia,2023_Q4_holidays_2h,4027.07,0,-2994.63,1032.44,0
Antioquia,2023_Q4_holidays_3h,3917.36,0,-2916.86,1000.5,0
Antioquia,2023_Q4_holidays_4h,3820.02,0,-2847.47,972.546,0
Antioquia,2023_Q4_holidays_5h,3778.46,0,-2817.83,960.625,0
Antioquia,2023_Q4_holidays_6h,3712.97,0,-2766.99,945.987,0
Antioquia,2023_Q4_holidays_7h,3603.75,0,-2677.67,926.082,0
Antioquia,2023_Q4_holidays_8h,3699.14,0,-2735.34,963.802,0
Antioquia,2023_Q4_holidays_9h,3838.21,0,-2824.07,1014.14,0
Antioquia,2023_Q4_holidays_10h,3968.46,0,-2908.42,1060.04,0
Antioquia,2023_Q4_holidays_11h,4094.99,0,-2993.66,1101.33,0
Antioquia,2023_Q4_holidays_12h,4211.6,0,-3076.49,1135.1,0
Antioquia,2023_Q4_holidays_13h,4257.55,0,-3106.21,1151.34,0
Antioquia,2023_Q4_holidays_14h,4269.15,0,-3117.85,1151.3,0
Antioquia,2023_Q4_holidays_15h,4254.91,0,-3116.65,1138.26,0
Antioquia,2023_Q4_holidays_16h,4248.81,0,-3118.57,1130.25,0
Antioquia,2023_Q4_holidays_17h,4242.79,0,-3120.47,1122.31,0
Antioquia,2023_Q4_holidays_18h,4289.44,0,-3146.06,1143.38,0
Antioquia,2023_Q4_holidays_19h,4479.89,0,-3240.63,1239.26,0
Antioquia,2023_Q4_holidays_20h,4513.63,0,-3256.34,1257.29,0
Antioquia,2023_Q4_holidays_21h,4486.22,0,-3244.22,1241.99,0
Antioquia,2023_Q4_holidays_22h,4421.7,0,-3213.98,1207.72,0
Antioquia,2023_Q4_holidays_23h,4316.2,0,-3161.65,1154.55,0
Antioquia,2025_Q1_labor_0h,3979.12,0,-2844,1135.12,0
Antioquia,2025_Q1_labor_1h,3870.82,0,-2792.67,1078.15,0
Antioquia,2025_Q1_labor_2h,3795.94,0,-2754.12,1041.82,0
Antioquia,2025_Q1_labor_3h,3734.09,0,-2718.91,1015.18,0
Antioquia,2025_Q1_labor_4h,3700.52,0,-2698.95,1001.57,0
Antioquia,2025_Q1_labor_5h,3728,0,-2715.59,1012.41,0
Antioquia,2025_Q1_labor_6h,3777.44,0,-2731.66,1045.77,0
Antioquia,2025_Q1_labor_7h,3704.64,0,-2643.27,1061.37,0
Antioquia,2025_Q1_labor_8h,3695.93,0,-2574.69,1121.24,0
Antioquia,2025_Q1_labor_9h,3747.56,0,-2556.93,1190.63,0
Antioquia,2025_Q1_labor_10h,3767.25,0,-2530.67,1236.58,0
Antioquia,2025_Q1_labor_11h,3853.88,0,-2573.62,1280.26,0
Antioquia,2025_Q1_labor_12h,3965.91,0,-2651.54,1314.37,0
Antioquia,2025_Q1_labor_13h,4025.6,0,-2714.08,1311.52,0
Antioquia,2025_Q1_labor_14h,4134.81,0,-2821.82,1312.99,0
Antioquia,2025_Q1_labor_15h,4213.56,0,-2892.26,1321.3,0
Antioquia,2025_Q1_labor_16h,4268.84,0,-2951.94,1316.9,0
Antioquia,2025_Q1_labor_17h,4252.63,0,-2956.35,1296.28,0
Antioquia,2025_Q1_labor_18h,4221.9,0,-2946.16,1275.74,0
Antioquia,2025_Q1_labor_19h,4355.72,0,-3007.13,1348.59,0
Antioquia,2025_Q1_labor_20h,4391.47,0,-3024.66,1366.81,0
Antioquia,2025_Q1_labor_21h,4331.36,0,-2996.46,1334.9,0
Antioquia,2025_Q1_labor_22h,4232.1,0,-2952.49,1279.6,0
Antioquia,2025_Q1_labor_23h,4107.71,0,-2902.44,1205.27,0
Antioquia,2025_Q1_holidays_0h,3780.11,0,-2619.99,1160.12,0
