TRANSMISSION_LINE,PERIOD,trans_lz1,trans_lz2,trans_dbid,trans_length_km,trans_efficiency,trans_derating_factor,TxCapacityNameplate,TxCapacityNameplateAvailable,TotalAnnualCost
Antioquia-Caribe,2023,Antioquia,Caribe,Antioquia-Caribe,331.18,0.96,1,1055.0,1055.0,41959294.53723891
Antioquia-Caribe,2025,Antioquia,Caribe,Antioquia-Caribe,331.18,0.96,1,1055.0,1055.0,41959294.53723891
Antioquia-Caribe,2030,Antioquia,Caribe,Antioquia-Caribe,331.18,0.96,1,1055.0,1055.0,41959294.53723891
Antioquia-Caribe,2035,Antioquia,Caribe,Antioquia-Caribe,331.18,0.96,1,1055.0,1055.0,41959294.53723891
Antioquia-Caribe,2040,Antioquia,Caribe,Antioquia-Caribe,331.18,0.96,1,1055.0,1055.0,41959294.53723891
Antioquia-Caribe,2045,Antioquia,Caribe,Antioquia-Caribe,331.18,0.96,1,1055.0,1055.0,41959294.53723891
Antioquia-Caribe,2050,Antioquia,Caribe,Antioquia-Caribe,331.18,0.96,1,1055.0,1055.0,41959294.53723891
Antioquia-Nordeste,2023,Antioquia,Nordeste,Antioquia-Nordeste,329.95,0.96,1,845.0,845.0,33482390.560122292
Antioquia-Nordeste,2025,Antioquia,Nordeste,Antioquia-Nordeste,329.95,0.96,1,845.0,845.0,33482390.560122292
Antioquia-Nordeste,2030,Antioquia,Nordeste,Antioquia-Nordeste,329.95,0.96,1,845.0,845.0,33482390.560122292
Antioquia-Nordeste,2035,Antioquia,Nordeste,Antioquia-Nordeste,329.95,0.96,1,845.0,845.0,33482390.560122292
Antioquia-Nordeste,2040,Antioquia,Nordeste,Antioquia-Nordeste,329.95,0.96,1,857.017704,857.017704,33958581.635819264
Antioquia-Nordeste,2045,Antioquia,Nordeste,Antioquia-Nordeste,329.95,0.96,1,857.017704,857.017704,33958581.635819264
Antioquia-Nordeste,2050,Antioquia,Nordeste,Antioquia-Nordeste,329.95,0.96,1,857.017704,857.017704,33958581.635819264
Antioquia-Oriental,2023,Antioquia,Oriental,Antioquia-Oriental,568.98,0.96,1,480.0,480.0,32798188.281463567
Antioquia-Oriental,2025,Antioquia,Oriental,Antioquia-Oriental,568.98,0.96,1,480.0,480.0,32798188.281463567
Antioquia-Oriental,2030,Antioquia,Oriental,Antioquia-Oriental,568.98,0.96,1,584.17566,584.17566,39916465.179433845
Antioquia-Oriental,2035,Antioquia,Oriental,Antioquia-Oriental,568.98,0.96,1,584.17566,584.17566,39916465.179433845
Antioquia-Oriental,2040,Antioquia,Oriental,Antioquia-Oriental,568.98,0.96,1,584.17566,584.17566,39916465.179433845
Antioquia-Oriental,2045,Antioquia,Oriental,Antioquia-Oriental,568.98,0.96,1,685.05212,685.05212,46809309.196616195
Antioquia-Oriental,2050,Antioquia,Oriental,Antioquia-Oriental,568.98,0.96,1,1559.69833,1559.69833,106573498.93671729
Antioquia-Surocciden,2023,Antioquia,Surocciden,Antioquia-Surocciden,552.69,0.96,1,1420.0,1420.0,94250045.2835944
Antioquia-Surocciden,2025,Antioquia,Surocciden,Antioquia-Surocciden,552.69,0.96,1,1420.0,1420.0,94250045.2835944
Antioquia-Surocciden,2030,Antioquia,Surocciden,Antioquia-Surocciden,552.69,0.96,1,1420.0,1420.0,94250045.2835944
Antioquia-Surocciden,2035,Antioquia,Surocciden,Antioquia-Surocciden,552.69,0.96,1,1420.0,1420.0,94250045.2835944
Antioquia-Surocciden,2040,Antioquia,Surocciden,Antioquia-Surocciden,552.69,0.96,1,1420.0,1420.0,94250045.2835944
Antioquia-Surocciden,2045,Antioquia,Surocciden,Antioquia-Surocciden,552.69,0.96,1,1420.0,1420.0,94250045.2835944
Antioquia-Surocciden,2050,Antioquia,Surocciden,Antioquia-Surocciden,552.69,0.96,1,1420.0,1420.0,94250045.2835944
Caribe-Nordeste,2023,Caribe,Nordeste,Caribe-Nordeste,358.09,0.96,1,500.0,500.0,21501750.28433426
Caribe-Nordeste,2025,Caribe,Nordeste,Caribe-Nordeste,358.09,0.96,1,500.0,500.0,21501750.28433426
Caribe-Nordeste,2030,Caribe,Nordeste,Caribe-Nordeste,358.09,0.96,1,500.0,500.0,21501750.28433426
Caribe-Nordeste,2035,Caribe,Nordeste,Caribe-Nordeste,358.09,0.96,1,500.0,500.0,21501750.28433426
Caribe-Nordeste,2040,Caribe,Nordeste,Caribe-Nordeste,358.09,0.96,1,500.0,500.0,21501750.28433426
Caribe-Nordeste,2045,Caribe,Nordeste,Caribe-Nordeste,358.09,0.96,1,978.6478,978.6478,42085281.2238262
Caribe-Nordeste,2050,Caribe,Nordeste,Caribe-Nordeste,358.09,0.96,1,1768.15924,1768.15924,76037036.8828365
Nordeste-Oriental,2023,Nordeste,Oriental,Nordeste-Oriental,367.95,0.96,1,882.5,882.5,38995557.86315786
Nordeste-Oriental,2025,Nordeste,Oriental,Nordeste-Oriental,367.95,0.96,1,882.5,882.5,38995557.86315786
Nordeste-Oriental,2030,Nordeste,Oriental,Nordeste-Oriental,367.95,0.96,1,882.5,882.5,38995557.86315786
Nordeste-Oriental,2035,Nordeste,Oriental,Nordeste-Oriental,367.95,0.96,1,882.5,882.5,38995557.86315786
Nordeste-Oriental,2040,Nordeste,Oriental,Nordeste-Oriental,367.95,0.96,1,882.5,882.5,38995557.86315786
Nordeste-Oriental,2045,Nordeste,Oriental,Nordeste-Oriental,367.95,0.96,1,882.5,882.5,38995557.86315786
Nordeste-Oriental,2050,Nordeste,Oriental,Nordeste-Oriental,367.95,0.96,1,1496.47019,1496.47019,66125427.631315395
Oriental-Surocciden,2023,Oriental,Surocciden,Oriental-Surocciden,322.09,0.96,1,882.5,882.5,34135288.034092985
Oriental-Surocciden,2025,Oriental,Surocciden,Oriental-Surocciden,322.09,0.96,1,882.5,882.5,34135288.034092985
Oriental-Surocciden,2030,Oriental,Surocciden,Oriental-Surocciden,322.09,0.96,1,882.5,882.5,34135288.034092985
Oriental-Surocciden,2035,Oriental,Surocciden,Oriental-Surocciden,322.09,0.96,1,882.5,882.5,34135288.034092985
Oriental-Surocciden,2040,Oriental,Surocciden,Oriental-Surocciden,322.09,0.96,1,882.5,882.5,34135288.034092985
Oriental-Surocciden,2045,Oriental,Surocciden,Oriental-Surocciden,322.09,0.96,1,882.5,882.5,34135288.034092985
Oriental-Surocciden,2050,Oriental,Surocciden,Oriental-Surocciden,322.09,0.96,1,882.5,882.5,34135288.034092985
