load_zone,timestamp,ZoneTotalCentralDispatch,ZoneTotalDistributedDispatch,TXPowerNet,zone_demand_mw,StorageNetCharge
Antioquia,2023_Q1_labor_0h,3607.22,0,-2513.44,1093.78,0
Antioquia,2023_Q1_labor_1h,4261.75,0,-3229.2,1032.55,0
Antioquia,2023_Q1_labor_2h,3083.87,0,-2086.6,997.272,0
Antioquia,2023_Q1_labor_3h,3035.96,0,-2063.7,972.263,0
Antioquia,2023_Q1_labor_4h,3915.25,0,-2955,960.252,0
Antioquia,2023_Q1_labor_5h,2510.06,0,-1535,975.055,0
Antioquia,2023_Q1_labor_6h,3986.41,0,-2971.23,1015.18,0
Antioquia,2023_Q1_labor_7h,4324.92,0,-3286.09,1038.83,0
Antioquia,2023_Q1_labor_8h,3318.09,0,-2216.55,1101.54,0
Antioquia,2023_Q1_labor_9h,4546.93,0,-3377.1,1169.83,0
Antioquia,2023_Q1_labor_10h,4516.57,0,-3304.21,1212.36,0
Antioquia,2023_Q1_labor_11h,5054.44,0,-3800,1254.44,0
Antioquia,2023_Q1_labor_12h,3667.89,0,-2380,1287.89,0
Antioquia,2023_Q1_labor_13h,3662.28,0,-2380,1282.28,0
Antioquia,2023_Q1_labor_14h,4240.08,0,-2955,1285.08,0
Antioquia,2023_Q1_labor_15h,4515.25,0,-3217.43,1297.82,0
Antioquia,2023_Q1_labor_16h,4899.05,0,-3604.13,1294.92,0
Antioquia,2023_Q1_labor_17h,4749.18,0,-3476.05,1273.13,0
Antioquia,2023_Q1_labor_18h,4676.66,0,-3428.24,1248.43,0
Antioquia,2023_Q1_labor_19h,3693.53,0,-2380,1313.53,0
Antioquia,2023_Q1_labor_20h,4065.75,0,-2737.85,1327.9,0
Antioquia,2023_Q1_labor_21h,3674.47,0,-2380,1294.47,0
Antioquia,2023_Q1_labor_22h,4193.16,0,-2955,1238.16,0
Antioquia,2023_Q1_labor_23h,3507.69,0,-2344.2,1163.49,0
Antioquia,2023_Q1_holidays_0h,3981.58,0,-2955,1026.58,0
Antioquia,2023_Q1_holidays_1h,2538.05,0,-1535,1003.05,0
Antioquia,2023_Q1_holidays_2h,3349.7,0,-2380,969.7,0
Antioquia,2023_Q1_holidays_3h,3322.28,0,-2380,942.278,0
Antioquia,2023_Q1_holidays_4h,4484.61,0,-3563.08,921.532,0
Antioquia,2023_Q1_holidays_5h,4245.97,0,-3335.63,910.347,0
Antioquia,2023_Q1_holidays_6h,3606,0,-2704.52,901.478,0
Antioquia,2023_Q1_holidays_7h,4673.72,0,-3800,873.72,0
Antioquia,2023_Q1_holidays_8h,4202.42,0,-3300.07,902.352,0
Antioquia,2023_Q1_holidays_9h,4530.34,0,-3576.18,954.16,0
Antioquia,2023_Q1_holidays_10h,2536.94,0,-1535,1001.94,0
Antioquia,2023_Q1_holidays_11h,3420.45,0,-2380,1040.45,0
Antioquia,2023_Q1_holidays_12h,4711.94,0,-3639.02,1072.92,0
Antioquia,2023_Q1_holidays_13h,3362.97,0,-2276.05,1086.92,0
Antioquia,2023_Q1_holidays_14h,3342.78,0,-2257.92,1084.86,0
Antioquia,2023_Q1_holidays_15h,4036.28,0,-2962.31,1073.97,0
Antioquia,2023_Q1_holidays_16h,3133.54,0,-2068.98,1064.56,0
Antioquia,2023_Q1_holidays_17h,4084.62,0,-3028.51,1056.11,0
Antioquia,2023_Q1_holidays_18h,3902.7,0,-2840.76,1061.94,0
Antioquia,2023_Q1_holidays_19h,3532.89,0,-2380,1152.89,0
Antioquia,2023_Q1_holidays_20h,3563.66,0,-2380,1183.66,0
Antioquia,2023_Q1_holidays_21h,4227.86,0,-3058.93,1168.93,0
Antioquia,2023_Q1_holidays_22h,4146.27,0,-3012.45,1133.82,0
Antioquia,2023_Q1_holidays_23h,4511.31,0,-3428.12,1083.19,0
Antioquia,2023_Q2_labor_0h,4060.88,0,-2975.25,1085.63,0
Antioquia,2023_Q2_labor_1h,3263.03,0,-2241.09,1021.94,0
Antioquia,2023_Q2_labor_2h,3330.41,0,-2342.67,987.747,0
Antioquia,2023_Q2_labor_3h,2579.6,0,-1616.22,963.386,0
Antioquia,2023_Q2_labor_4h,3770.45,0,-2818.08,952.367,0
Antioquia,2023_Q2_labor_5h,4772.42,0,-3800,972.424,0
Antioquia,2023_Q2_labor_6h,3842.03,0,-2821.48,1020.55,0
Antioquia,2023_Q2_labor_7h,3883.62,0,-2842.53,1041.08,0
Antioquia,2023_Q2_labor_8h,3454.1,0,-2351.52,1102.58,0
Antioquia,2023_Q2_labor_9h,3864.91,0,-2698.63,1166.28,0
Antioquia,2023_Q2_labor_10h,3586.51,0,-2380,1206.51,0
Antioquia,2023_Q2_labor_11h,3600.55,0,-2350.61,1249.94,0
Antioquia,2023_Q2_labor_12h,4906.84,0,-3624.13,1282.7,0
Antioquia,2023_Q2_labor_13h,4366.29,0,-3093.55,1272.74,0
Antioquia,2023_Q2_labor_14h,3659.29,0,-2380,1279.29,0
Antioquia,2023_Q2_labor_15h,2894.51,0,-1600.45,1294.07,0
Antioquia,2023_Q2_labor_16h,4248.49,0,-2955,1293.49,0
Antioquia,2023_Q2_labor_17h,4036.89,0,-2764.16,1272.73,0
Antioquia,2023_Q2_labor_18h,3619.77,0,-2380,1239.77,0
Antioquia,2023_Q2_labor_19h,4599.57,0,-3298.56,1301.01,0
Antioquia,2023_Q2_labor_20h,4598.69,0,-3271.23,1327.46,0
Antioquia,2023_Q2_labor_21h,3385.37,0,-2088.33,1297.04,0
Antioquia,2023_Q2_labor_22h,3743.62,0,-2506.21,1237.42,0
Antioquia,2023_Q2_labor_23h,2873.86,0,-1716.68,1157.18,0
Antioquia,2023_Q2_holidays_0h,4510.61,0,-3493.88,1016.73,0
Antioquia,2023_Q2_holidays_1h,4163.66,0,-3152.78,1010.89,0
Antioquia,2023_Q2_holidays_2h,4352.48,0,-3381.19,971.289,0
Antioquia,2023_Q2_holidays_3h,3325.7,0,-2384.8,940.901,0
Antioquia,2023_Q2_holidays_4h,2999.04,0,-2079.71,919.335,0
Antioquia,2023_Q2_holidays_5h,3398.04,0,-2489.13,908.912,0
Antioquia,2023_Q2_holidays_6h,3009.72,0,-2114.33,895.388,0
Antioquia,2023_Q2_holidays_7h,3187.4,0,-2311.12,876.277,0
Antioquia,2023_Q2_holidays_8h,4191.1,0,-3277.02,914.074,0
Antioquia,2023_Q2_holidays_9h,3343.12,0,-2380,963.115,0
Antioquia,2023_Q2_holidays_10h,3152,0,-2143.58,1008.42,0
Antioquia,2023_Q2_holidays_11h,3395.8,0,-2350.26,1045.53,0
Antioquia,2023_Q2_holidays_12h,4250.35,0,-3174.31,1076.04,0
Antioquia,2023_Q2_holidays_13h,4041.69,0,-2952.26,1089.43,0
Antioquia,2023_Q2_holidays_14h,3468.74,0,-2380,1088.74,0
Antioquia,2023_Q2_holidays_15h,4874.39,0,-3800,1074.39,0
Antioquia,2023_Q2_holidays_16h,3907.16,0,-2843.88,1063.29,0
Antioquia,2023_Q2_holidays_17h,4477.7,0,-3423.41,1054.29,0
Antioquia,2023_Q2_holidays_18h,4645.1,0,-3588.78,1056.32,0
Antioquia,2023_Q2_holidays_19h,3190.13,0,-2046.65,1143.48,0
Antioquia,2023_Q2_holidays_20h,4859.73,0,-3677.26,1182.47,0
Antioquia,2023_Q2_holidays_21h,4122.74,0,-2955,1167.74,0
Antioquia,2023_Q2_holidays_22h,3620.89,0,-2490.97,1129.91,0
Antioquia,2023_Q2_holidays_23h,3832.13,0,-2756.32,1075.81,0
Antioquia,2023_Q3_labor_0h,2660.36,0,-1535,1125.36,0
Antioquia,2023_Q3_labor_1h,2853.84,0,-1793.36,1060.48,0
Antioquia,2023_Q3_labor_2h,2992.19,0,-1968.66,1023.53,0
Antioquia,2023_Q3_labor_3h,3025.49,0,-2028.31,997.183,0
Antioquia,2023_Q3_labor_4h,3364.67,0,-2380,984.67,0
Antioquia,2023_Q3_labor_5h,4060.29,0,-3059.88,1000.42,0
Antioquia,2023_Q3_labor_6h,4211.61,0,-3174.63,1036.99,0
Antioquia,2023_Q3_labor_7h,4072.48,0,-3011.92,1060.56,0
Antioquia,2023_Q3_labor_8h,4082.63,0,-2955,1127.63,0
Antioquia,2023_Q3_labor_9h,4051.88,0,-2858.01,1193.87,0
Antioquia,2023_Q3_labor_10h,3416.1,0,-2179.62,1236.48,0
Antioquia,2023_Q3_labor_11h,4123.19,0,-2840.88,1282.3,0
Antioquia,2023_Q3_labor_12h,4271.46,0,-2955,1316.46,0
Antioquia,2023_Q3_labor_13h,3351.39,0,-2042.28,1309.11,0
Antioquia,2023_Q3_labor_14h,3951.27,0,-2635.22,1316.05,0
Antioquia,2023_Q3_labor_15h,4285.74,0,-2955,1330.74,0
Antioquia,2023_Q3_labor_16h,4282.51,0,-2955,1327.51,0
Antioquia,2023_Q3_labor_17h,4624.92,0,-3317.22,1307.7,0
Antioquia,2023_Q3_labor_18h,4225.98,0,-2955,1270.98,0
Antioquia,2023_Q3_labor_19h,4276.46,0,-2955,1321.46,0
Antioquia,2023_Q3_labor_20h,4700.02,0,-3340.3,1359.72,0
Antioquia,2023_Q3_labor_21h,3973.96,0,-2639.84,1334.11,0
Antioquia,2023_Q3_labor_22h,3410.65,0,-2133.12,1277.53,0
Antioquia,2023_Q3_labor_23h,3444.04,0,-2244.66,1199.38,0
Antioquia,2023_Q3_holidays_0h,3764.13,0,-2713.79,1050.34,0
Antioquia,2023_Q3_holidays_1h,3274.98,0,-2236.57,1038.41,0
Antioquia,2023_Q3_holidays_2h,3898.39,0,-2897.9,1000.49,0
Antioquia,2023_Q3_holidays_3h,3242.95,0,-2272.95,970.004,0
Antioquia,2023_Q3_holidays_4h,4377.84,0,-3430.81,947.031,0
Antioquia,2023_Q3_holidays_5h,4047.94,0,-3113.58,934.365,0
Antioquia,2023_Q3_holidays_6h,3853.76,0,-2934.56,919.195,0
Antioquia,2023_Q3_holidays_7h,3410.96,0,-2513.49,897.468,0
Antioquia,2023_Q3_holidays_8h,3542.53,0,-2606.79,935.741,0
Antioquia,2023_Q3_holidays_9h,3866.04,0,-2881.96,984.078,0
Antioquia,2023_Q3_holidays_10h,4149.62,0,-3124.03,1025.59,0
Antioquia,2023_Q3_holidays_11h,3885.97,0,-2826.29,1059.68,0
Antioquia,2023_Q3_holidays_12h,3395.19,0,-2306.96,1088.22,0
Antioquia,2023_Q3_holidays_13h,3746.43,0,-2641.48,1104.95,0
Antioquia,2023_Q3_holidays_14h,3459.3,0,-2353.29,1106.01,0
Antioquia,2023_Q3_holidays_15h,3693.41,0,-2600.91,1092.5,0
Antioquia,2023_Q3_holidays_16h,4035.52,0,-2955,1080.52,0
Antioquia,2023_Q3_holidays_17h,4276.47,0,-3204.97,1071.5,0
