TRANS_BLD_YRS_1,TRANS_BLD_YRS_2,BuildTx
Antioquia-Caribe,2023,4.5882108984446773e-10
Antioquia-Caribe,2025,4.864704167593217e-10
Antioquia-Caribe,2030,6.269368354781956e-10
Antioquia-Caribe,2035,8.849663272456251e-10
Antioquia-Caribe,2040,1.4008197170720982e-09
Antioquia-Caribe,2045,2.74260655908958e-09
Antioquia-Caribe,2050,1.0408852212583106e-08
Antioquia-Nordeste,2023,5.283710195696611e-10
Antioquia-Nordeste,2025,5.985881078584136e-10
Antioquia-Nordeste,2030,9.203061484065118e-10
Antioquia-Nordeste,2035,1.649686328067947e-09
Antioquia-Nordeste,2040,2.2741630532677593e-09
Antioquia-Nordeste,2045,4.864121929658291e-09
Antioquia-Nordeste,2050,5.628916015997905e-09
Antioquia-Oriental,2023,9.171218395391758e-10
Antioquia-Oriental,2025,1.2295667066118016e-09
Antioquia-Oriental,2030,440.93992847919947
Antioquia-Oriental,2035,5.050063004858859e-09
Antioquia-Oriental,2040,2.4916947253097725e-09
Antioquia-Oriental,2045,146.2289919161735
Antioquia-Oriental,2050,297.5851299502113
Antioquia-Surocciden,2023,4.781382080642561e-10
Antioquia-Surocciden,2025,5.720205916010462e-10
Antioquia-Surocciden,2030,1.28706957887428e-09
Antioquia-Surocciden,2035,1.186084397691294e-09
Antioquia-Surocciden,2040,1.0704158443980523e-09
Antioquia-Surocciden,2045,2.891115002514425e-09
Antioquia-Surocciden,2050,1.282999972362183e-08
Caribe-Nordeste,2023,5.194207756611982e-10
Caribe-Nordeste,2025,5.99979959579571e-10
Caribe-Nordeste,2030,9.499923868252329e-10
Caribe-Nordeste,2035,1.925449922351218e-09
Caribe-Nordeste,2040,3.4172369064584227e-09
Caribe-Nordeste,2045,413.96942497916575
Caribe-Nordeste,2050,1557.192977573491
Nordeste-Oriental,2023,9.729646741626647e-10
Nordeste-Oriental,2025,1.3438541490053876e-09
Nordeste-Oriental,2030,1.1095724027293698e-08
Nordeste-Oriental,2035,2.1450987659279376e-09
Nordeste-Oriental,2040,1.7743358669850587e-09
Nordeste-Oriental,2045,5.852477794193915e-09
Nordeste-Oriental,2050,1510.4580146671137
Oriental-Surocciden,2023,4.509550227494735e-10
Oriental-Surocciden,2025,4.991803223008539e-10
Oriental-Surocciden,2030,6.950356110708856e-10
Oriental-Surocciden,2035,1.0423652574006254e-09
Oriental-Surocciden,2040,1.8021985442400711e-09
Oriental-Surocciden,2045,2.9966732457557457e-09
Oriental-Surocciden,2050,4.0757831298319825e-09
