GEN_TPS_1,GEN_TPS_2,DispatchGen
AMOYA,1,31.390622929704406
AMOYA,2,30.93847424417013
AMOYA,3,30.66722544090252
AMOYA,4,30.468887664940706
AMOYA,5,30.36877864327721
AMOYA,6,30.491810461579743
AMOYA,7,30.765619809134787
AMOYA,8,30.835261016262088
AMOYA,9,31.173496637474525
AMOYA,10,31.544529773020248
AMOYA,11,31.75729683936012
AMOYA,12,32.007034526584796
AMOYA,13,32.25258301186381
AMOYA,14,32.26564654256626
AMOYA,15,32.38175058723546
AMOYA,16,32.60408831545689
AMOYA,17,32.69286652511939
AMOYA,18,32.63606554747393
AMOYA,19,32.47658596658762
AMOYA,20,32.97496908305823
AMOYA,21,33.09548661047417
AMOYA,22,32.84461970708046
AMOYA,23,32.42512900278663
AMOYA,24,31.881731545955503
AMOYA,25,33.09294482617523
AMOYA,26,32.90175783459916
AMOYA,27,32.615827098052556
AMOYA,28,32.365880166156614
AMOYA,29,32.173407526392786
AMOYA,30,32.06200559758958
AMOYA,31,31.91998497140525
AMOYA,32,31.47621809605014
AMOYA,33,31.59765410698559
AMOYA,34,31.959819480093394
AMOYA,35,32.29657558717923
AMOYA,36,32.57351667294686
AMOYA,37,32.84824131726356
AMOYA,38,33.024326546444
AMOYA,39,33.11355922611954
AMOYA,40,33.16010672618772
AMOYA,41,33.20533199586056
AMOYA,42,33.2575140909544
AMOYA,43,33.344973372281245
AMOYA,44,34.06557962249057
AMOYA,45,34.317383985839335
AMOYA,46,34.204181241446875
AMOYA,47,33.92960843898366
AMOYA,48,33.52762175632584
AMOYA,49,40.03493464123471
AMOYA,50,39.3487718974148
AMOYA,51,38.971715069062896
AMOYA,52,38.701709982010854
AMOYA,53,38.578614691264335
AMOYA,54,38.80962198842029
AMOYA,55,39.270395062408625
AMOYA,56,39.340319715010466
AMOYA,57,39.82490867889448
AMOYA,58,40.330977136479795
AMOYA,59,40.63014459935814
AMOYA,60,41.01706615497677
AMOYA,61,41.36562954839955
AMOYA,62,41.33265838702372
AMOYA,63,41.539506613362796
AMOYA,64,41.84981043510713
AMOYA,65,41.98675203685108
AMOYA,66,41.914088046585064
AMOYA,67,41.62162967090107
AMOYA,68,42.244357676722345
AMOYA,69,42.5250094581916
AMOYA,70,42.22300245175652
AMOYA,71,41.61711721855808
AMOYA,72,40.76893926510955
AMOYA,73,44.53808707662637
AMOYA,74,44.480084944768116
AMOYA,75,44.0654131395197
AMOYA,76,43.74466734093009
AMOYA,77,43.50452601108115
AMOYA,78,43.38889648318099
AMOYA,79,43.1678704859075
AMOYA,80,42.77131191435465
AMOYA,81,43.005075190419134
AMOYA,82,43.36638215320232
AMOYA,83,43.717219479798125
AMOYA,84,44.035744412184755
AMOYA,85,44.34781346573241
AMOYA,86,44.55111011616498
AMOYA,87,44.66640067241757
AMOYA,88,44.687883939227085
AMOYA,89,44.72171413178694
AMOYA,90,44.77933441972966
AMOYA,91,44.86794467308608
AMOYA,92,45.76146780586705
AMOYA,93,46.19003453814694
AMOYA,94,46.03708638877499
AMOYA,95,45.64932075735609
AMOYA,96,45.11181073345401
AMOYA,97,56.14188268440638
AMOYA,98,55.54126463576389
AMOYA,99,55.19116164546408
AMOYA,100,54.927721665949456
AMOYA,101,54.79569365164995
AMOYA,102,54.961272858293235
AMOYA,103,55.25633241737875
AMOYA,104,55.3291466966196
AMOYA,105,55.78589579253525
AMOYA,106,56.24465709258051
AMOYA,107,56.5313725259963
AMOYA,108,56.90679031614575
AMOYA,109,57.22323718466418
AMOYA,110,57.22399212664452
