TRANS_TIMEPOINTS_1,TRANS_TIMEPOINTS_2,TRANS_TIMEPOINTS_3,DispatchTx
Antioquia,Caribe,1,1054.9999978778455
Antioquia,Caribe,2,1054.9999978760527
Antioquia,Caribe,3,1054.9999978757087
Antioquia,Caribe,4,1054.999997875145
Antioquia,Caribe,5,1054.9999978751348
Antioquia,Caribe,6,1054.9999978753215
Antioquia,Caribe,7,1054.9999978758492
Antioquia,Caribe,8,1054.9999978756919
Antioquia,Caribe,9,1054.9999978762764
Antioquia,Caribe,10,1054.9999978771998
Antioquia,Caribe,11,1054.9999978779106
Antioquia,Caribe,12,1054.9999978796832
Antioquia,Caribe,13,1054.9999978829064
Antioquia,Caribe,14,1054.9999978836381
Antioquia,Caribe,15,1054.9999978909402
Antioquia,Caribe,16,1054.9999984425817
Antioquia,Caribe,17,1054.99999844732
Antioquia,Caribe,18,1054.9999984483536
Antioquia,Caribe,19,1054.9999984434414
Antioquia,Caribe,20,1054.9999986329087
Antioquia,Caribe,21,1054.999998633349
Antioquia,Caribe,22,1054.9999986322805
Antioquia,Caribe,23,1054.9999984421381
Antioquia,Caribe,24,1054.9999978821545
Antioquia,Caribe,25,1054.9999874878008
Antioquia,Caribe,26,1054.9999874840078
Antioquia,Caribe,27,1054.9999874788793
Antioquia,Caribe,28,1054.9999874743326
Antioquia,Caribe,29,1054.99998747014
Antioquia,Caribe,30,1054.9999874675373
Antioquia,Caribe,31,1054.9999874616904
Antioquia,Caribe,32,1054.9999874318103
Antioquia,Caribe,33,1054.999987428635
Antioquia,Caribe,34,1054.9999874460043
Antioquia,Caribe,35,1054.9999874580935
Antioquia,Caribe,36,1054.999987466587
Antioquia,Caribe,37,1054.999987473432
Antioquia,Caribe,38,1054.9999874780467
Antioquia,Caribe,39,1054.999987481556
Antioquia,Caribe,40,1054.9999874847592
Antioquia,Caribe,41,1054.9999874888963
Antioquia,Caribe,42,1054.9999874923485
Antioquia,Caribe,43,1054.9999874946561
Antioquia,Caribe,44,1054.9999875359106
Antioquia,Caribe,45,1054.9999875741719
Antioquia,Caribe,46,1054.9999875530382
Antioquia,Caribe,47,1054.9999875220367
Antioquia,Caribe,48,1054.999987500438
Antioquia,Caribe,49,1008.780490756196
Antioquia,Caribe,50,1002.8550991901943
Antioquia,Caribe,51,1000.7146176474231
Antioquia,Caribe,52,999.2404640807099
Antioquia,Caribe,53,998.526476986792
Antioquia,Caribe,54,999.8040045784521
Antioquia,Caribe,55,1002.1000564308673
Antioquia,Caribe,56,1001.8565004371402
Antioquia,Caribe,57,1004.3404536398193
Antioquia,Caribe,58,1008.5602898989422
Antioquia,Caribe,59,1012.3533563113258
Antioquia,Caribe,60,1021.9723740944048
Antioquia,Caribe,61,1037.717141732348
Antioquia,Caribe,62,1038.1017249995045
Antioquia,Caribe,63,1054.853093319251
Antioquia,Caribe,64,1054.9999943741273
Antioquia,Caribe,65,1054.9999962587972
Antioquia,Caribe,66,1054.999994465418
Antioquia,Caribe,67,1054.9999943698326
Antioquia,Caribe,68,1054.999996294342
Antioquia,Caribe,69,1054.9999962990603
Antioquia,Caribe,70,1054.9999962935556
Antioquia,Caribe,71,1054.999994368062
Antioquia,Caribe,72,1026.3087755959557
Antioquia,Caribe,73,1054.9999875562487
Antioquia,Caribe,74,1054.9999875555611
Antioquia,Caribe,75,1054.9999875511485
Antioquia,Caribe,76,1054.9999875473356
Antioquia,Caribe,77,1054.9999875440458
Antioquia,Caribe,78,1054.9999875421047
Antioquia,Caribe,79,1054.999987536562
Antioquia,Caribe,80,1054.999987519292
Antioquia,Caribe,81,1054.9999875255162
Antioquia,Caribe,82,1054.99998753472
Antioquia,Caribe,83,1054.999987541364
Antioquia,Caribe,84,1054.9999875462447
Antioquia,Caribe,85,1054.9999875503863
Antioquia,Caribe,86,1054.9999875533058
Antioquia,Caribe,87,1054.9999875556332
Antioquia,Caribe,88,1054.999987556878
Antioquia,Caribe,89,1054.9999875587305
Antioquia,Caribe,90,1054.9999875604155
Antioquia,Caribe,91,1054.9999875616427
Antioquia,Caribe,92,1054.9999875887772
Antioquia,Caribe,93,1054.999987626714
Antioquia,Caribe,94,1054.9999876082436
Antioquia,Caribe,95,1054.999987581514
Antioquia,Caribe,96,1054.99998756506
Antioquia,Caribe,97,874.6653459972898
Antioquia,Caribe,98,728.8747361975554
Antioquia,Caribe,99,645.3787434513993
Antioquia,Caribe,100,585.6356390192766
Antioquia,Caribe,101,557.0705121262122
Antioquia,Caribe,102,591.3276342739608
Antioquia,Caribe,103,653.4477036932389
Antioquia,Caribe,104,666.7812734000885
Antioquia,Caribe,105,773.0187051340699
Antioquia,Caribe,106,879.4213809648824
Antioquia,Caribe,107,940.4687147177665
Antioquia,Caribe,108,1015.4589859515365
Antioquia,Caribe,109,1037.7564634692221
Antioquia,Caribe,110,1037.9890265299628
Antioquia,Caribe,111,1039.7581840861992
Antioquia,Caribe,112,1041.796447249645
Antioquia,Caribe,113,1043.8636628972758
Antioquia,Caribe,114,1043.3171502203197
Antioquia,Caribe,115,1040.7412120536578
Antioquia,Caribe,116,1049.6655736012924
Antioquia,Caribe,117,1054.999994291919
Antioquia,Caribe,118,1054.9999942344548
Antioquia,Caribe,119,1041.1251113398419
Antioquia,Caribe,120,1024.171551063894
Antioquia,Caribe,121,1054.9999875370831
Antioquia,Caribe,122,1054.999987535739
Antioquia,Caribe,123,1054.999987531501
Antioquia,Caribe,124,1054.9999875273525
Antioquia,Caribe,125,1054.9999875233596
Antioquia,Caribe,126,1054.9999875206006
Antioquia,Caribe,127,1054.9999875135836
Antioquia,Caribe,128,1054.9999874953762
Antioquia,Caribe,129,1054.9999875047895
Antioquia,Caribe,130,1054.9999875153856
Antioquia,Caribe,131,1054.9999875220021
Antioquia,Caribe,132,1054.9999875266474
Antioquia,Caribe,133,1054.9999875306703
Antioquia,Caribe,134,1054.999987533784
Antioquia,Caribe,135,1054.9999875357933
Antioquia,Caribe,136,1054.9999875367068
Antioquia,Caribe,137,1054.9999875378812
Antioquia,Caribe,138,1054.9999875389158
Antioquia,Caribe,139,1054.9999875398319
Antioquia,Caribe,140,1054.9999875517374
Antioquia,Caribe,141,1054.9999875659798
Antioquia,Caribe,142,1054.9999875620238
Antioquia,Caribe,143,1054.9999875535025
Antioquia,Caribe,144,1054.9999875440176
Antioquia,Caribe,145,821.1622414179463
Antioquia,Caribe,146,668.9928462844276
Antioquia,Caribe,147,582.7020068251401
Antioquia,Caribe,148,522.935384546642
Antioquia,Caribe,149,493.6095553111537
Antioquia,Caribe,150,532.2381281621479
Antioquia,Caribe,151,606.5909730123154
Antioquia,Caribe,152,626.6118758402768
Antioquia,Caribe,153,738.4469273577455
Antioquia,Caribe,154,848.9498324923779
Antioquia,Caribe,155,915.2228934152187
Antioquia,Caribe,156,999.3066056637203
Antioquia,Caribe,157,1039.57641810644
Antioquia,Caribe,158,1040.2303832468083
Antioquia,Caribe,159,1042.3196296201531
Antioquia,Caribe,160,1043.527989833137
Antioquia,Caribe,161,1044.1205179865194
Antioquia,Caribe,162,1043.977805030641
Antioquia,Caribe,163,1043.5854116217813
Antioquia,Caribe,164,1046.0383515435558
Antioquia,Caribe,165,1045.9921362744487
Antioquia,Caribe,166,1045.0296425077618
Antioquia,Caribe,167,1042.8237434964806
Antioquia,Caribe,168,988.1020547337258
Antioquia,Caribe,169,1054.999987420081
Antioquia,Caribe,170,1054.9999874131297
Antioquia,Caribe,171,1054.999987403114
Antioquia,Caribe,172,1054.9999873954873
Antioquia,Caribe,173,1054.9999873883564
Antioquia,Caribe,174,1054.999987385051
Antioquia,Caribe,175,1054.999987378762
Antioquia,Caribe,176,1054.9999873633578
Antioquia,Caribe,177,1054.9999873708514
Antioquia,Caribe,178,1054.9999873815723
Antioquia,Caribe,179,1054.9999873899965
Antioquia,Caribe,180,1054.999987398278
Antioquia,Caribe,181,1054.9999874070297
Antioquia,Caribe,182,1054.9999874144307
Antioquia,Caribe,183,1054.999987419841
Antioquia,Caribe,184,1054.9999874223445
Antioquia,Caribe,185,1054.9999874267658
Antioquia,Caribe,186,1054.9999874298853
Antioquia,Caribe,187,1054.9999874412454
Antioquia,Caribe,188,1054.9999875043775
Antioquia,Caribe,189,1054.9999875192411
Antioquia,Caribe,190,1054.9999875064098
Antioquia,Caribe,191,1054.9999874810064
Antioquia,Caribe,192,1054.9999874467105
Antioquia,Caribe,385,913.9196999863987
Antioquia,Caribe,386,794.326124658749
Antioquia,Caribe,387,721.4152296875493
Antioquia,Caribe,388,662.5249114585779
Antioquia,Caribe,389,636.9472463502983
Antioquia,Caribe,390,663.1898861395568
Antioquia,Caribe,391,669.0218173115784
Antioquia,Caribe,392,490.53219022134834
Antioquia,Caribe,393,348.080017356577
Antioquia,Caribe,394,272.6392672389665
Antioquia,Caribe,395,202.49314641996094
Antioquia,Caribe,396,233.9384157544158
Antioquia,Caribe,397,319.34287886632427
Antioquia,Caribe,398,410.2944838462028
Antioquia,Caribe,399,587.9685640749171
Antioquia,Caribe,400,830.5018676115917
Antioquia,Caribe,401,1046.4298878050217
Antioquia,Caribe,402,1054.9999993960298
Antioquia,Caribe,403,1054.9999993959582
Antioquia,Caribe,404,1054.9999993968809
Antioquia,Caribe,405,1054.99999939668
Antioquia,Caribe,406,1054.999999396759
Antioquia,Caribe,407,1054.9999993962979
Antioquia,Caribe,408,1045.967749877757
Antioquia,Caribe,409,941.8499923218295
Antioquia,Caribe,410,804.8936110459827
Antioquia,Caribe,411,704.5414983571027
Antioquia,Caribe,412,649.3068876211421
Antioquia,Caribe,413,603.8228069608108
Antioquia,Caribe,414,646.8462282482125
Antioquia,Caribe,415,690.8727286001035
Antioquia,Caribe,416,526.0229943314796
Antioquia,Caribe,417,407.8287633590528
Antioquia,Caribe,418,356.1988145962773
Antioquia,Caribe,419,271.8011595643259
Antioquia,Caribe,420,306.2369612338982
Antioquia,Caribe,421,417.01236336058173
Antioquia,Caribe,422,513.7298208926378
Antioquia,Caribe,423,699.3551649283156
Antioquia,Caribe,424,957.3063335347264
Antioquia,Caribe,425,1054.9999975834874
Antioquia,Caribe,426,1054.9999975879327
Antioquia,Caribe,427,1054.9999975864037
Antioquia,Caribe,428,1054.999997590765
Antioquia,Caribe,429,1054.999997591952
Antioquia,Caribe,430,1054.9999975906142
Antioquia,Caribe,431,1054.999997588296
Antioquia,Caribe,432,1054.9999975796763
Antioquia,Caribe,433,996.5204186838997
Antioquia,Caribe,434,877.0901498348343
Antioquia,Caribe,435,806.1872287426365
Antioquia,Caribe,436,749.801410117216
Antioquia,Caribe,437,718.6946102798959
Antioquia,Caribe,438,757.5253943726724
Antioquia,Caribe,439,800.2651623288956
Antioquia,Caribe,440,639.034156294533
Antioquia,Caribe,441,560.8031975636736
Antioquia,Caribe,442,489.86690375754125
Antioquia,Caribe,443,430.5227514380144
Antioquia,Caribe,444,464.22757842179624
Antioquia,Caribe,445,569.2531260279283
Antioquia,Caribe,446,657.6153389535458
Antioquia,Caribe,447,827.8309974350016
Antioquia,Caribe,448,1023.3298439481231
Antioquia,Caribe,449,1054.999999478482
Antioquia,Caribe,450,1054.9999994787565
Antioquia,Caribe,451,1054.9999994787256
Antioquia,Caribe,452,1054.9999994792454
Antioquia,Caribe,453,1054.9999994794794
Antioquia,Caribe,454,1054.9999994790828
Antioquia,Caribe,455,1054.9999994788075
Antioquia,Caribe,456,1054.9999994786194
Antioquia,Caribe,457,1042.7461587142957
Antioquia,Caribe,458,928.2875347053498
Antioquia,Caribe,459,829.1709848534591
Antioquia,Caribe,460,764.2086632076583
Antioquia,Caribe,461,743.6601843205231
Antioquia,Caribe,462,795.4472924456181
Antioquia,Caribe,463,914.3159307581578
Antioquia,Caribe,464,765.6141466365843
Antioquia,Caribe,465,670.6754274812358
Antioquia,Caribe,466,600.2670723038012
Antioquia,Caribe,467,539.1684720166845
Antioquia,Caribe,468,588.9119756584186
Antioquia,Caribe,469,696.5574203933395
Antioquia,Caribe,470,763.2724679798936
Antioquia,Caribe,471,941.8863574511886
