GEN_TP_FUELS_1,GEN_TP_FUELS_2,GEN_TP_FUELS_3,GenFuelUseRate
BARRANQUILL3,1,GASIMPOR,2.3363504948389386e-07
BARRANQUILL3,2,GASIMPOR,2.3363175767431555e-07
BARRANQUILL3,3,GASIMPOR,2.3363058147502002e-07
BARRANQUILL3,4,GASIMPOR,2.3362986791802927e-07
BARRANQUILL3,5,GASIMPOR,2.3362953993369496e-07
BARRANQUILL3,6,GASIMPOR,2.3362988428228012e-07
BARRANQUILL3,7,GASIMPOR,2.336307874765394e-07
BARRANQUILL3,8,GASIMPOR,2.336307977706163e-07
BARRANQUILL3,9,GASIMPOR,2.3363195145789565e-07
BARRANQUILL3,10,GASIMPOR,2.336340569032523e-07
BARRANQUILL3,11,GASIMPOR,2.336357895935619e-07
BARRANQUILL3,12,GASIMPOR,2.3363939526544575e-07
BARRANQUILL3,13,GASIMPOR,2.3364547694110774e-07
BARRANQUILL3,14,GASIMPOR,2.3364700267647586e-07
BARRANQUILL3,15,GASIMPOR,2.3365964649909614e-07
BARRANQUILL3,16,GASIMPOR,2.3460290771618735e-07
BARRANQUILL3,17,GASIMPOR,2.346157737798617e-07
BARRANQUILL3,18,GASIMPOR,2.3461855501023887e-07
BARRANQUILL3,19,GASIMPOR,2.3460526816599953e-07
BARRANQUILL3,20,GASIMPOR,2.35116133513748e-07
BARRANQUILL3,21,GASIMPOR,2.3511826889694044e-07
BARRANQUILL3,22,GASIMPOR,2.35113067872884e-07
BARRANQUILL3,23,GASIMPOR,2.3460227058942352e-07
BARRANQUILL3,24,GASIMPOR,2.3364389107035448e-07
BARRANQUILL3,25,GASIMPOR,1.4012931092537864e-06
BARRANQUILL3,26,GASIMPOR,1.4012785344971352e-06
BARRANQUILL3,27,GASIMPOR,1.4012582251236e-06
BARRANQUILL3,28,GASIMPOR,1.4012407938188205e-06
BARRANQUILL3,29,GASIMPOR,1.4012262108197742e-06
BARRANQUILL3,30,GASIMPOR,1.4012171999923267e-06
BARRANQUILL3,31,GASIMPOR,1.4012021564771928e-06
BARRANQUILL3,32,GASIMPOR,1.4011398085214072e-06
BARRANQUILL3,33,GASIMPOR,1.40113861324362e-06
BARRANQUILL3,34,GASIMPOR,1.4011759747495506e-06
BARRANQUILL3,35,GASIMPOR,1.4012065905165798e-06
BARRANQUILL3,36,GASIMPOR,1.4012309334679922e-06
BARRANQUILL3,37,GASIMPOR,1.4012533273499117e-06
BARRANQUILL3,38,GASIMPOR,1.4012686547459167e-06
BARRANQUILL3,39,GASIMPOR,1.401279513033119e-06
BARRANQUILL3,40,GASIMPOR,1.4012886128686296e-06
BARRANQUILL3,41,GASIMPOR,1.4013000468861203e-06
BARRANQUILL3,42,GASIMPOR,1.4013093428868893e-06
BARRANQUILL3,43,GASIMPOR,1.40131701085303e-06
BARRANQUILL3,44,GASIMPOR,1.4014287401263935e-06
BARRANQUILL3,45,GASIMPOR,1.4015134604761102e-06
BARRANQUILL3,46,GASIMPOR,1.4014680291926206e-06
BARRANQUILL3,47,GASIMPOR,1.4013952082182635e-06
BARRANQUILL3,48,GASIMPOR,1.4013354616323626e-06
BARRANQUILL3,49,GASIMPOR,2.3363650456073787e-07
BARRANQUILL3,50,GASIMPOR,2.3363282012444266e-07
BARRANQUILL3,51,GASIMPOR,2.3363158377981949e-07
BARRANQUILL3,52,GASIMPOR,2.3363084791203887e-07
BARRANQUILL3,53,GASIMPOR,2.3363053751885818e-07
BARRANQUILL3,54,GASIMPOR,2.3363104110682308e-07
BARRANQUILL3,55,GASIMPOR,2.336323403391241e-07
BARRANQUILL3,56,GASIMPOR,2.336323200683002e-07
BARRANQUILL3,57,GASIMPOR,2.336339486476244e-07
BARRANQUILL3,58,GASIMPOR,2.3363662445875016e-07
BARRANQUILL3,59,GASIMPOR,2.3363886009439252e-07
BARRANQUILL3,60,GASIMPOR,2.3364390528830333e-07
BARRANQUILL3,61,GASIMPOR,2.3365344739512548e-07
BARRANQUILL3,62,GASIMPOR,2.33653737738696e-07
BARRANQUILL3,63,GASIMPOR,2.3370916457532808e-07
BARRANQUILL3,64,GASIMPOR,2.346071657336885e-07
BARRANQUILL3,65,GASIMPOR,2.3510255940732141e-07
BARRANQUILL3,66,GASIMPOR,2.346285883185939e-07
BARRANQUILL3,67,GASIMPOR,2.3460559473910458e-07
BARRANQUILL3,68,GASIMPOR,2.3511650582079044e-07
BARRANQUILL3,69,GASIMPOR,2.3512084901243356e-07
BARRANQUILL3,70,GASIMPOR,2.3511587524184185e-07
BARRANQUILL3,71,GASIMPOR,2.3460507842802522e-07
BARRANQUILL3,72,GASIMPOR,2.3364602394462303e-07
BARRANQUILL3,73,GASIMPOR,1.4012777261940202e-06
BARRANQUILL3,74,GASIMPOR,1.401274224603851e-06
BARRANQUILL3,75,GASIMPOR,1.401250080600666e-06
BARRANQUILL3,76,GASIMPOR,1.4012303824267485e-06
BARRANQUILL3,77,GASIMPOR,1.4012146924545242e-06
BARRANQUILL3,78,GASIMPOR,1.401205743225291e-06
BARRANQUILL3,79,GASIMPOR,1.401185943498427e-06
BARRANQUILL3,80,GASIMPOR,1.4011362325825005e-06
