HYDRO_GEN_TPS_1,HYDRO_GEN_TPS_2,SpillHydro
AMOYA,1,0.0
AMOYA,2,0.0
AMOYA,3,0.0
AMOYA,4,0.0
AMOYA,5,0.0
AMOYA,6,0.0
AMOYA,7,0.0
AMOYA,8,0.0
AMOYA,9,0.0
AMOYA,10,0.0
AMOYA,11,0.0
AMOYA,12,0.0
AMOYA,13,0.0
AMOYA,14,0.0
AMOYA,15,0.0
AMOYA,16,0.0
AMOYA,17,0.0
AMOYA,18,0.0
AMOYA,19,0.0
AMOYA,20,0.0
AMOYA,21,0.0
AMOYA,22,0.0
AMOYA,23,2.9573195763473563e-08
AMOYA,24,0.0
AMOYA,25,0.0
AMOYA,26,0.0
AMOYA,27,0.0
AMOYA,28,0.0
AMOYA,29,0.0
AMOYA,30,0.0
AMOYA,31,0.0
AMOYA,32,0.0
AMOYA,33,0.0
AMOYA,34,0.0
AMOYA,35,0.0
AMOYA,36,0.0
AMOYA,37,0.0
AMOYA,38,0.0
AMOYA,39,0.0
AMOYA,40,0.0
AMOYA,41,0.0
AMOYA,42,0.0
AMOYA,43,0.0
AMOYA,44,1.7736014844367888e-07
AMOYA,45,0.0
AMOYA,46,0.0
AMOYA,47,0.0
AMOYA,48,0.0
AMOYA,49,0.0
AMOYA,50,0.0
AMOYA,51,2.9147252882798696e-08
AMOYA,52,0.0
AMOYA,53,0.0
AMOYA,54,0.0
AMOYA,55,0.0
AMOYA,56,0.0
AMOYA,57,0.0
AMOYA,58,0.0
AMOYA,59,0.0
AMOYA,60,0.0
AMOYA,61,0.0
AMOYA,62,0.0
AMOYA,63,0.0
AMOYA,64,0.0
AMOYA,65,0.0
AMOYA,66,0.0
AMOYA,67,0.0
AMOYA,68,0.0
AMOYA,69,0.0
AMOYA,70,0.0
AMOYA,71,0.0
AMOYA,72,0.0
AMOYA,73,0.0
AMOYA,74,0.0
AMOYA,75,0.0
AMOYA,76,0.0
AMOYA,77,0.0
AMOYA,78,0.0
AMOYA,79,0.0
AMOYA,80,0.0
AMOYA,81,0.0
AMOYA,82,0.0
AMOYA,83,0.0
AMOYA,84,0.0
AMOYA,85,0.0
AMOYA,86,1.7745735907906333e-07
AMOYA,87,0.0
AMOYA,88,0.0
AMOYA,89,0.0
AMOYA,90,0.0
AMOYA,91,0.0
AMOYA,92,0.0
AMOYA,93,0.0
AMOYA,94,0.0
AMOYA,95,0.0
AMOYA,96,0.0
AMOYA,97,0.0
AMOYA,98,0.0
AMOYA,99,0.0
AMOYA,100,0.0
AMOYA,101,0.0
