PERIOD,Component,Component_type,AnnualCost_NPV,AnnualCost_Real
2023,EmissionsCosts,annual,0.0,0.0
2023,FuelCostsPerTP,timepoint,1995483407.5897954,1050423446.3367969
2023,GenVariableOMCostsInTP,timepoint,498583793.70627517,262454754.01130486
2023,StorageEnergyFixedCost,annual,0.0,0.0
2023,TotalGenFixedCosts,annual,8392499612.167917,4417815919.923632
2023,TxFixedCosts,annual,564441940.4961498,297122514.84422064
2025,EmissionsCosts,annual,0.0,0.0
2025,FuelCostsPerTP,timepoint,1340027263.8548224,317930023.0317307
2025,GenVariableOMCostsInTP,timepoint,778367135.9927058,184672572.07993162
2025,StorageEnergyFixedCost,annual,0.0,0.0
2025,TotalGenFixedCosts,annual,21420057379.12758,5082045358.015061
2025,TxFixedCosts,annual,1252326744.105538,297122514.8444902
2030,EmissionsCosts,annual,0.0,0.0
2030,FuelCostsPerTP,timepoint,385022280.6303005,108493949.26408826
2030,GenVariableOMCostsInTP,timepoint,537646670.7324014,151501389.7921848
2030,StorageEnergyFixedCost,annual,0.0,0.0
2030,TotalGenFixedCosts,annual,20440156929.54075,5759753293.324273
2030,TxFixedCosts,annual,1161347838.4010704,327251745.6682698
2035,EmissionsCosts,annual,0.0,0.0
2035,FuelCostsPerTP,timepoint,296748336.46371835,99313822.53417297
2035,GenVariableOMCostsInTP,timepoint,449315422.02804214,150373992.37658682
2035,StorageEnergyFixedCost,annual,0.0,0.0
2035,TotalGenFixedCosts,annual,18476098969.0781,6183461838.422755
2035,TxFixedCosts,annual,977823717.3250687,327251745.66901207
2040,EmissionsCosts,annual,0.0,0.0
2040,FuelCostsPerTP,timepoint,242374688.1036778,96340837.44809134
2040,GenVariableOMCostsInTP,timepoint,377566012.1500743,150077659.0454638
2040,StorageEnergyFixedCost,annual,0.0,0.0
2040,TotalGenFixedCosts,annual,16652540914.923952,6619171952.048547
2040,TxFixedCosts,annual,823301331.9072787,327251745.66969424
2045,EmissionsCosts,annual,0.0,0.0
2045,FuelCostsPerTP,timepoint,262887054.5424589,124106378.6522445
2045,GenVariableOMCostsInTP,timepoint,348693347.85569906,164614681.152011
2045,StorageEnergyFixedCost,annual,0.0,0.0
2045,TotalGenFixedCosts,annual,15125214390.097876,7140464134.154191
2045,TxFixedCosts,annual,752071764.7452695,355045642.59197223
2050,EmissionsCosts,annual,0.0,0.0
2050,FuelCostsPerTP,timepoint,50570107.33670232,28354404.27908776
2050,GenVariableOMCostsInTP,timepoint,220492846.97165266,123629227.87675776
2050,StorageEnergyFixedCost,annual,0.0,0.0
2050,TotalGenFixedCosts,annual,14441366670.937124,8097201498.979395
2050,TxFixedCosts,annual,907958525.1993506,509087768.40704817
