gen_tech,gen_load_zone,gen_energy_source,period,Energy_GWh_typical_yr,VariableCost_per_yr,DispatchEmissions_tCO2_per_typical_yr,GenCapacity_MW,GenCapitalCosts,GenFixedOMCosts,LCOE_dollar_per_MWh,capacity_factor,Store_GWh_typical_yr,Discharge_GWh_typical_yr
Biogas,Antioquia,Biogas,2040,3.647857612411044e-05,0.0,0.0,4.437637212885367e-06,0.6239293274645051,0.3136876993044408,25.70322436870637,0.9383869881572581,0.0,0.0
Biogas,Antioquia,Biogas,2045,1497.9599904701697,0.0,0.0,171.00000004029442,24042505.032131687,12087648.00284833,24.11957146040978,0.9999999934024876,0.0,0.0
Biogas,Antioquia,Biogas,2050,1497.9599903362305,0.0,0.0,171.00000007025417,24042505.03634401,12087648.004966125,24.119571466792245,0.9999999931378699,0.0,0.0
Biogas,Caribe,Biogas,2040,2449.682829625305,0.0,0.0,279.6441591284666,39317813.458877794,19767486.320473045,24.119571344012854,0.9999999982283165,0.0,0.0
Biogas,Caribe,Biogas,2045,3255.27892640968,0.0,0.0,377.00000001891,53005990.61656399,26649376.00133671,24.469597972593515,0.9856954465821244,0.0,0.0
Biogas,Caribe,Biogas,2050,2676.2452437920715,0.0,0.0,377.000000061843,53005990.622600354,26649376.00437156,29.76385172911331,0.8103645832131403,0.0,0.0
Biogas,Nordeste,Biogas,2040,1322.759997669162,0.0,0.0,151.00000002488352,21230516.137980558,10673888.001758967,24.119571347756462,0.9999999980731064,0.0,0.0
Biogas,Nordeste,Biogas,2045,1322.7599930875458,0.0,0.0,151.00000005114188,21230516.14167247,10673888.003615119,24.119571435493228,0.9999999944355307,0.0,0.0
Biogas,Nordeste,Biogas,2050,1322.7599915506491,0.0,0.0,151.0000000713924,21230516.144519683,10673888.00504659,24.119571466752088,0.999999993139535,0.0,0.0
Biogas,Oriental,Biogas,2040,2960.8799977519493,0.0,0.0,338.0000000221218,47522612.277646065,23892544.001563746,24.119571321172025,0.9999999991752999,0.0,0.0
Biogas,Oriental,Biogas,2045,2960.879993574187,0.0,0.0,338.0000000454327,47522612.28092357,23892544.003211547,24.11957135686788,0.999999997695346,0.0,0.0
Biogas,Oriental,Biogas,2050,2960.879991885302,0.0,0.0,338.00000006542166,47522612.283734,23892544.004624523,24.119571372052075,0.9999999970658074,0.0,0.0
Biogas,Surocciden,Biogas,2040,2496.59999568657,0.0,0.0,284.99999996370207,40070841.70567372,20146079.997434173,24.11957133988063,0.9999999983996392,0.0,0.0
