GENERATION_PROJECT,PERIOD,gen_tech,gen_load_zone,gen_energy_source,GenCapacity,GenStorageCapacity,GenCapitalRecovery,GenFixedOMCosts
AMOYA,2023,RunOfRiver,Surocciden,Water,80,0,8.9784e+06,3.5024e+06
AMOYA,2025,RunOfRiver,Surocciden,Water,80,0,8.9784e+06,3.5024e+06
AMOYA,2030,RunOfRiver,Surocciden,Water,80,0,8.9784e+06,3.5024e+06
AMOYA,2035,RunOfRiver,Surocciden,Water,80,0,8.9784e+06,3.5024e+06
AMOYA,2040,RunOfRiver,Surocciden,Water,80,0,8.9784e+06,3.5024e+06
AMOYA,2045,RunOfRiver,Surocciden,Water,80,0,8.9784e+06,3.5024e+06
AMOYA,2050,RunOfRiver,Surocciden,Water,80,0,8.9784e+06,3.5024e+06
BARRANQUILL3,2023,Thermal,Caribe,GASIMPOR,60,0,6.7716e+06,8.5932e+06
BARRANQUILL3,2025,Thermal,Caribe,GASIMPOR,60,0,6.7716e+06,8.5932e+06
BARRANQUILL3,2030,Thermal,Caribe,GASIMPOR,60,0,6.7716e+06,8.5932e+06
BARRANQUILL3,2035,Thermal,Caribe,GASIMPOR,60,0,6.7716e+06,8.5932e+06
BARRANQUILL3,2040,Thermal,Caribe,GASIMPOR,60,0,6.7716e+06,8.5932e+06
BARRANQUILL3,2045,Thermal,Caribe,GASIMPOR,60,0,6.7716e+06,8.5932e+06
BARRANQUILL3,2050,Thermal,Caribe,GASIMPOR,60,0,6.7716e+06,8.5932e+06
BARRANQUILL4,2023,Thermal,Caribe,GASIMPOR,60,0,6.7824e+06,8.5932e+06
BARRANQUILL4,2025,Thermal,Caribe,GASIMPOR,60,0,6.7824e+06,8.5932e+06
BARRANQUILL4,2030,Thermal,Caribe,GASIMPOR,60,0,6.7824e+06,8.5932e+06
BARRANQUILL4,2035,Thermal,Caribe,GASIMPOR,60,0,6.7824e+06,8.5932e+06
BARRANQUILL4,2040,Thermal,Caribe,GASIMPOR,60,0,6.7824e+06,8.5932e+06
BARRANQUILL4,2045,Thermal,Caribe,GASIMPOR,60,0,6.7824e+06,8.5932e+06
BARRANQUILL4,2050,Thermal,Caribe,GASIMPOR,60,0,6.7824e+06,8.5932e+06
BETANIA,2023,Hidro,Surocciden,Water,540,0,6.11874e+07,2.36412e+07
BETANIA,2025,Hidro,Surocciden,Water,540,0,6.11874e+07,2.36412e+07
BETANIA,2030,Hidro,Surocciden,Water,540,0,6.11874e+07,2.36412e+07
BETANIA,2035,Hidro,Surocciden,Water,540,0,6.11874e+07,2.36412e+07
BETANIA,2040,Hidro,Surocciden,Water,540,0,6.11874e+07,2.36412e+07
BETANIA,2045,Hidro,Surocciden,Water,540,0,6.11874e+07,2.36412e+07
BETANIA,2050,Hidro,Surocciden,Water,540,0,6.11874e+07,2.36412e+07
C_LLERAS_R,2023,RunOfRiver,Antioquia,Water,78,0,8.85924e+06,3.41484e+06
C_LLERAS_R,2025,RunOfRiver,Antioquia,Water,78,0,8.85924e+06,3.41484e+06
C_LLERAS_R,2030,RunOfRiver,Antioquia,Water,78,0,8.85924e+06,3.41484e+06
C_LLERAS_R,2035,RunOfRiver,Antioquia,Water,78,0,8.85924e+06,3.41484e+06
C_LLERAS_R,2040,RunOfRiver,Antioquia,Water,78,0,8.85924e+06,3.41484e+06
C_LLERAS_R,2045,RunOfRiver,Antioquia,Water,78,0,8.85924e+06,3.41484e+06
C_LLERAS_R,2050,RunOfRiver,Antioquia,Water,78,0,8.85924e+06,3.41484e+06
CALDERAS,2023,Hidro,Antioquia,Water,19.9,0,2.26203e+06,871222
CALDERAS,2025,Hidro,Antioquia,Water,19.9,0,2.26203e+06,871222
CALDERAS,2030,Hidro,Antioquia,Water,19.9,0,2.26203e+06,871222
CALDERAS,2035,Hidro,Antioquia,Water,19.9,0,2.26203e+06,871222
CALDERAS,2040,Hidro,Antioquia,Water,19.9,0,2.26203e+06,871222
CALDERAS,2045,Hidro,Antioquia,Water,19.9,0,2.26203e+06,871222
CALDERAS,2050,Hidro,Antioquia,Water,19.9,0,2.26203e+06,871222
CALIMA,2023,Hidro,Surocciden,Water,132,0,1.50163e+07,5.77896e+06
CALIMA,2025,Hidro,Surocciden,Water,132,0,1.50163e+07,5.77896e+06
CALIMA,2030,Hidro,Surocciden,Water,132,0,1.50163e+07,5.77896e+06
CALIMA,2035,Hidro,Surocciden,Water,132,0,1.50163e+07,5.77896e+06
CALIMA,2040,Hidro,Surocciden,Water,132,0,1.50163e+07,5.77896e+06
CALIMA,2045,Hidro,Surocciden,Water,132,0,1.50163e+07,5.77896e+06
CALIMA,2050,Hidro,Surocciden,Water,132,0,1.50163e+07,5.77896e+06
CANDELARIA,2023,Thermal,Caribe,GASIMPOR,555,0,6.32867e+07,7.94871e+07
CANDELARIA,2025,Thermal,Caribe,GASIMPOR,555,0,6.32867e+07,7.94871e+07
CANDELARIA,2030,Thermal,Caribe,GASIMPOR,555,0,6.32867e+07,7.94871e+07
CANDELARIA,2035,Thermal,Caribe,GASIMPOR,555,0,6.32867e+07,7.94871e+07
CANDELARIA,2040,Thermal,Caribe,GASIMPOR,555,0,6.32867e+07,7.94871e+07
CANDELARIA,2045,Thermal,Caribe,GASIMPOR,555,0,6.32867e+07,7.94871e+07
CANDELARIA,2050,Thermal,Caribe,GASIMPOR,555,0,6.32867e+07,7.94871e+07
CARTAGENA1,2023,Thermal,Caribe,COMBUSTOLEO,52,0,5.94828e+06,7.44744e+06
CARTAGENA1,2025,Thermal,Caribe,COMBUSTOLEO,52,0,5.94828e+06,7.44744e+06
CARTAGENA1,2030,Thermal,Caribe,COMBUSTOLEO,52,0,5.94828e+06,7.44744e+06
CARTAGENA1,2035,Thermal,Caribe,COMBUSTOLEO,52,0,5.94828e+06,7.44744e+06
CARTAGENA1,2040,Thermal,Caribe,COMBUSTOLEO,52,0,5.94828e+06,7.44744e+06
CARTAGENA1,2045,Thermal,Caribe,COMBUSTOLEO,52,0,5.94828e+06,7.44744e+06
CARTAGENA1,2050,Thermal,Caribe,COMBUSTOLEO,52,0,5.94828e+06,7.44744e+06
CARTAGENA2,2023,Thermal,Caribe,COMBUSTOLEO,60,0,6.8742e+06,8.5932e+06
CARTAGENA2,2025,Thermal,Caribe,COMBUSTOLEO,60,0,6.8742e+06,8.5932e+06
CARTAGENA2,2030,Thermal,Caribe,COMBUSTOLEO,60,0,6.8742e+06,8.5932e+06
CARTAGENA2,2035,Thermal,Caribe,COMBUSTOLEO,60,0,6.8742e+06,8.5932e+06
CARTAGENA2,2040,Thermal,Caribe,COMBUSTOLEO,60,0,6.8742e+06,8.5932e+06
CARTAGENA2,2045,Thermal,Caribe,COMBUSTOLEO,60,0,6.8742e+06,8.5932e+06
CARTAGENA2,2050,Thermal,Caribe,COMBUSTOLEO,60,0,6.8742e+06,8.5932e+06
CARTAGENA3,2023,Thermal,Caribe,COMBUSTOLEO,66,0,7.5735e+06,9.45252e+06
CARTAGENA3,2025,Thermal,Caribe,COMBUSTOLEO,66,0,7.5735e+06,9.45252e+06
CARTAGENA3,2030,Thermal,Caribe,COMBUSTOLEO,66,0,7.5735e+06,9.45252e+06
CARTAGENA3,2035,Thermal,Caribe,COMBUSTOLEO,66,0,7.5735e+06,9.45252e+06
CARTAGENA3,2040,Thermal,Caribe,COMBUSTOLEO,66,0,7.5735e+06,9.45252e+06
CARTAGENA3,2045,Thermal,Caribe,COMBUSTOLEO,66,0,7.5735e+06,9.45252e+06
CARTAGENA3,2050,Thermal,Caribe,COMBUSTOLEO,66,0,7.5735e+06,9.45252e+06
CHARQUITO,2023,Hidro,Oriental,Water,19.4,0,5.38292e+06,849332
CHARQUITO,2025,Hidro,Oriental,Water,19.4,0,5.38292e+06,849332
CHARQUITO,2030,Hidro,Oriental,Water,19.4,0,5.38292e+06,849332
