generation_project,gen_dbid,gen_tech,gen_load_zone,gen_energy_source,period,Energy_GWh_typical_yr,VariableCost_per_yr,DispatchEmissions_tCO2_per_typical_yr,GenCapacity_MW,GenCapitalCosts,GenFixedOMCosts,LCOE_dollar_per_MWh,capacity_factor,Store_GWh_typical_yr,Discharge_GWh_typical_yr
AMOYA,AMOYA,RunOfRiver,Surocciden,Water,2023,387.23399574279057,538255.2540824788,0.0,80.0,8978400.293696908,3502400.0,33.620642017254426,0.5525599254320641,,
AMOYA,AMOYA,RunOfRiver,Surocciden,Water,2025,387.23399575032306,538255.254092949,0.0,80.0,8978400.293696908,3502400.0,33.62064201662748,0.5525599254428124,,
AMOYA,AMOYA,RunOfRiver,Surocciden,Water,2030,387.2339957309314,538255.2540659946,0.0,80.0,8978400.293696908,3502400.0,33.620642018241504,0.5525599254151417,,
AMOYA,AMOYA,RunOfRiver,Surocciden,Water,2035,387.2339957247314,538255.2540573766,0.0,80.0,8978400.293696908,3502400.0,33.62064201875754,0.5525599254062947,,
AMOYA,AMOYA,RunOfRiver,Surocciden,Water,2040,387.23399198604164,538255.2488605978,0.0,80.0,8978400.293696908,3502400.0,33.62064232993986,0.5525599200714064,,
AMOYA,AMOYA,RunOfRiver,Surocciden,Water,2045,387.23398904998504,538255.2447794792,0.0,80.0,8978400.293696908,3502400.0,33.62064257431663,0.5525599158818278,,
AMOYA,AMOYA,RunOfRiver,Surocciden,Water,2050,387.23398777306716,538255.2430045633,0.0,80.0,8978400.293696908,3502400.0,33.62064268059832,0.5525599140597418,,
BARRANQUILL3,BARRANQUILL3,Thermal,Caribe,GASIMPOR,2023,3.3426320409338094e-07,0.002366583484981137,0.0002072279107094691,60.0,6771600.221509176,8593200.0,45966172871.3143,6.359650001776652e-10,,
BARRANQUILL3,BARRANQUILL3,Thermal,Caribe,GASIMPOR,2025,1.6926631107904055e-07,0.0011984054824396072,0.00010493737739858884,60.0,6771600.221509176,8593200.0,90772937182.59647,3.2204397085053374e-10,,
BARRANQUILL3,BARRANQUILL3,Thermal,Caribe,GASIMPOR,2030,1.7959056418192062e-07,0.001271501194407998,0.00011133794250400765,60.0,6771600.221509176,8593200.0,85554607463.76703,3.416867659473375e-10,,
BARRANQUILL3,BARRANQUILL3,Thermal,Caribe,GASIMPOR,2035,1.9079617089161215e-07,0.001350836889912614,0.00011828490656778979,60.0,6771600.221509176,8593200.0,80529919185.79161,3.6300641341630924e-10,,
BARRANQUILL3,BARRANQUILL3,Thermal,Caribe,GASIMPOR,2040,2.317193497407437e-07,0.001640572996164465,0.0001436554072649779,60.0,6771600.221509176,8593200.0,66307799673.78843,4.408663427335305e-10,,
BARRANQUILL3,BARRANQUILL3,Thermal,Caribe,GASIMPOR,2045,2.4176554914531636e-07,0.0017117000879488399,0.00014988359178450022,60.0,6771600.221509176,8593200.0,63552479985.41621,4.599801163343157e-10,,
BARRANQUILL3,BARRANQUILL3,Thermal,Caribe,GASIMPOR,2050,1.6916136077013704e-07,0.00119766243425257,0.00010487231300329775,60.0,6771600.221509176,8593200.0,90829254108.3606,3.21844293702696e-10,,
BARRANQUILL4,BARRANQUILL4,Thermal,Caribe,GASIMPOR,2023,2.81428571011909e-07,0.0019925142827643162,0.00019376537228455386,60.0,6782400.22186246,8593200.0,54634112551.43791,5.354424867045452e-10,,
BARRANQUILL4,BARRANQUILL4,Thermal,Caribe,GASIMPOR,2025,1.4368820088316345e-07,0.0010173124622527975,9.89302459125437e-05,60.0,6782400.22186246,8593200.0,107006700121.34166,2.733793776315895e-10,,
BARRANQUILL4,BARRANQUILL4,Thermal,Caribe,GASIMPOR,2030,1.5598781942043863e-07,0.0011043937614967055,0.0001073986119930163,60.0,6782400.22186246,8593200.0,98569236239.68701,2.967804783493885e-10,,
BARRANQUILL4,BARRANQUILL4,Thermal,Caribe,GASIMPOR,2035,1.6780788959146718e-07,0.0011880798583075876,0.00011553680595421854,60.0,6782400.22186246,8593200.0,91626205779.0182,3.1926919633079744e-10,,
BARRANQUILL4,BARRANQUILL4,Thermal,Caribe,GASIMPOR,2040,2.0392957555986818e-07,0.0014438213949638668,0.00014040681792225283,60.0,6782400.22186246,8593200.0,75396617587.68494,3.879938652204493e-10,,
BARRANQUILL4,BARRANQUILL4,Thermal,Caribe,GASIMPOR,2045,2.1443365588316077e-07,0.0015181902836527781,0.00014763894445095384,60.0,6782400.22186246,8593200.0,71703297507.35774,4.0797879734239106e-10,,
BARRANQUILL4,BARRANQUILL4,Thermal,Caribe,GASIMPOR,2050,1.4700437661639368e-07,0.0010407909864440673,0.0001012134541283974,60.0,6782400.22186246,8593200.0,104592805852.47955,2.796886921925298e-10,,
BETANIA,BETANIA,Hidro,Surocciden,Water,2023,642.5858018329718,893194.2645478307,0.0,540.0,61187402.001531474,23641200.0,133.40132324984216,0.13584174738562738,,
BETANIA,BETANIA,Hidro,Surocciden,Water,2025,642.5858018404389,893194.26455821,0.0,540.0,61187402.001531474,23641200.0,133.4013232483082,0.1358417473872059,,
BETANIA,BETANIA,Hidro,Surocciden,Water,2030,642.58580182124,893194.2645315235,0.0,540.0,61187402.001531474,23641200.0,133.40132325225235,0.13584174738314728,,
BETANIA,BETANIA,Hidro,Surocciden,Water,2035,642.5858018151223,893194.2645230199,0.0,540.0,61187402.001531474,23641200.0,133.40132325350916,0.135841747381854,,
BETANIA,BETANIA,Hidro,Surocciden,Water,2040,642.5857983874861,893194.2597586056,0.0,540.0,61187402.001531474,23641200.0,133.40132395767475,0.13584174665725643,,
BETANIA,BETANIA,Hidro,Surocciden,Water,2045,642.5857957902138,893194.256148397,0.0,540.0,61187402.001531474,23641200.0,133.4013244912523,0.1358417461081967,,
