load_zone,timestamp,ZoneTotalCentralDispatch,ZoneTotalDistributedDispatch,TXPowerNet,zone_demand_mw,StorageNetCharge
Antioquia,2023_Q1_labor_0h,3806.95,0,-2713.17,1093.78,0
Antioquia,2023_Q1_labor_1h,3674.76,0,-2642.21,1032.55,0
Antioquia,2023_Q1_labor_2h,3592.41,0,-2595.13,997.272,0
Antioquia,2023_Q1_labor_3h,3531.17,0,-2558.91,972.263,0
Antioquia,2023_Q1_labor_4h,3500.43,0,-2540.18,960.252,0
Antioquia,2023_Q1_labor_5h,3537.09,0,-2562.03,975.055,0
Antioquia,2023_Q1_labor_6h,3626.82,0,-2611.64,1015.18,0
Antioquia,2023_Q1_labor_7h,3665.87,0,-2627.04,1038.83,0
Antioquia,2023_Q1_labor_8h,3788.96,0,-2687.42,1101.54,0
Antioquia,2023_Q1_labor_9h,3916.43,0,-2746.6,1169.83,0
Antioquia,2023_Q1_labor_10h,3990.66,0,-2778.29,1212.36,0
Antioquia,2023_Q1_labor_11h,4065.81,0,-2811.37,1254.44,0
Antioquia,2023_Q1_labor_12h,4127.66,0,-2839.77,1287.89,0
Antioquia,2023_Q1_labor_13h,4121.9,0,-2839.62,1282.28,0
Antioquia,2023_Q1_labor_14h,4133.56,0,-2848.48,1285.08,0
Antioquia,2023_Q1_labor_15h,4164.84,0,-2867.02,1297.82,0
Antioquia,2023_Q1_labor_16h,4166.28,0,-2871.35,1294.92,0
Antioquia,2023_Q1_labor_17h,4134.81,0,-2861.68,1273.13,0
Antioquia,2023_Q1_labor_18h,4092.68,0,-2844.25,1248.43,0
Antioquia,2023_Q1_labor_19h,4208.02,0,-2894.49,1313.53,0
Antioquia,2023_Q1_labor_20h,4233.5,0,-2905.6,1327.9,0
Antioquia,2023_Q1_labor_21h,4175.83,0,-2881.36,1294.47,0
Antioquia,2023_Q1_labor_22h,4077.61,0,-2839.45,1238.16,0
Antioquia,2023_Q1_labor_23h,3941.75,0,-2778.26,1163.49,0
Antioquia,2023_Q1_holidays_0h,3538.72,0,-2512.14,1026.58,0
Antioquia,2023_Q1_holidays_1h,3483.58,0,-2480.53,1003.05,0
Antioquia,2023_Q1_holidays_2h,3403.42,0,-2433.72,969.7,0
Antioquia,2023_Q1_holidays_3h,3336.31,0,-2394.03,942.278,0
Antioquia,2023_Q1_holidays_4h,3285.74,0,-2364.21,921.532,0
Antioquia,2023_Q1_holidays_5h,3257.6,0,-2347.25,910.347,0
Antioquia,2023_Q1_holidays_6h,3227.15,0,-2325.67,901.478,0
Antioquia,2023_Q1_holidays_7h,3138.44,0,-2264.72,873.72,0
Antioquia,2023_Q1_holidays_8h,3187.5,0,-2285.15,902.352,0
Antioquia,2023_Q1_holidays_9h,3296.15,0,-2341.99,954.16,0
Antioquia,2023_Q1_holidays_10h,3398.35,0,-2396.41,1001.94,0
Antioquia,2023_Q1_holidays_11h,3483.63,0,-2443.18,1040.45,0
Antioquia,2023_Q1_holidays_12h,3561.17,0,-2488.26,1072.92,0
Antioquia,2023_Q1_holidays_13h,3602.83,0,-2515.91,1086.92,0
Antioquia,2023_Q1_holidays_14h,3611.08,0,-2526.22,1084.86,0
Antioquia,2023_Q1_holidays_15h,3602.97,0,-2529,1073.97,0
Antioquia,2023_Q1_holidays_16h,3595.59,0,-2531.03,1064.56,0
Antioquia,2023_Q1_holidays_17h,3593.35,0,-2537.23,1056.11,0
Antioquia,2023_Q1_holidays_18h,3613.05,0,-2551.11,1061.94,0
Antioquia,2023_Q1_holidays_19h,3822.5,0,-2669.61,1152.89,0
Antioquia,2023_Q1_holidays_20h,3891.51,0,-2707.85,1183.66,0
Antioquia,2023_Q1_holidays_21h,3859.16,0,-2690.23,1168.93,0
