TRANSMISSION_LINE,PERIOD,trans_lz1,trans_lz2,trans_dbid,trans_length_km,trans_efficiency,trans_derating_factor,TxCapacityNameplate,TxCapacityNameplateAvailable,TotalAnnualCost
Antioquia-Caribe,2023,Antioquia,Caribe,Antioquia-Caribe,331.18,0.96,1,1055.0000000004588,1055.0000000004588,41959294.537257165
Antioquia-Caribe,2025,Antioquia,Caribe,Antioquia-Caribe,331.18,0.96,1,1055.0000000009452,1055.0000000009452,41959294.53727651
Antioquia-Caribe,2030,Antioquia,Caribe,Antioquia-Caribe,331.18,0.96,1,1055.0000000015723,1055.0000000015723,41959294.53730144
Antioquia-Caribe,2035,Antioquia,Caribe,Antioquia-Caribe,331.18,0.96,1,1055.0000000024572,1055.0000000024572,41959294.53733664
Antioquia-Caribe,2040,Antioquia,Caribe,Antioquia-Caribe,331.18,0.96,1,1055.000000003858,1055.000000003858,41959294.537392356
Antioquia-Caribe,2045,Antioquia,Caribe,Antioquia-Caribe,331.18,0.96,1,1055.0000000066007,1055.0000000066007,41959294.53750143
Antioquia-Caribe,2050,Antioquia,Caribe,Antioquia-Caribe,331.18,0.96,1,1055.0000000170094,1055.0000000170094,41959294.53791541
Antioquia-Nordeste,2023,Antioquia,Nordeste,Antioquia-Nordeste,329.95,0.96,1,845.0000000005284,845.0000000005284,33482390.56014323
Antioquia-Nordeste,2025,Antioquia,Nordeste,Antioquia-Nordeste,329.95,0.96,1,845.000000001127,845.000000001127,33482390.560166948
Antioquia-Nordeste,2030,Antioquia,Nordeste,Antioquia-Nordeste,329.95,0.96,1,845.0000000020473,845.0000000020473,33482390.560203414
Antioquia-Nordeste,2035,Antioquia,Nordeste,Antioquia-Nordeste,329.95,0.96,1,845.000000003697,845.000000003697,33482390.560268782
Antioquia-Nordeste,2040,Antioquia,Nordeste,Antioquia-Nordeste,329.95,0.96,1,845.0000000059711,845.0000000059711,33482390.56035889
Antioquia-Nordeste,2045,Antioquia,Nordeste,Antioquia-Nordeste,329.95,0.96,1,845.0000000108353,845.0000000108353,33482390.56055163
Antioquia-Nordeste,2050,Antioquia,Nordeste,Antioquia-Nordeste,329.95,0.96,1,845.0000000164641,845.0000000164641,33482390.56077467
Antioquia-Oriental,2023,Antioquia,Oriental,Antioquia-Oriental,568.98,0.96,1,480.0000000009171,480.0000000009171,32798188.281526234
Antioquia-Oriental,2025,Antioquia,Oriental,Antioquia-Oriental,568.98,0.96,1,480.0000000021467,480.0000000021467,32798188.28161025
Antioquia-Oriental,2030,Antioquia,Oriental,Antioquia-Oriental,568.98,0.96,1,920.9399284813462,920.9399284813462,62927419.10468497
Antioquia-Oriental,2035,Antioquia,Oriental,Antioquia-Oriental,568.98,0.96,1,920.9399284863962,920.9399284863962,62927419.10503003
Antioquia-Oriental,2040,Antioquia,Oriental,Antioquia-Oriental,568.98,0.96,1,920.939928488888,920.939928488888,62927419.1052003
Antioquia-Oriental,2045,Antioquia,Oriental,Antioquia-Oriental,568.98,0.96,1,1067.1689204050613,1067.1689204050613,72919181.62410711
Antioquia-Oriental,2050,Antioquia,Oriental,Antioquia-Oriental,568.98,0.96,1,1364.7540503552727,1364.7540503552727,93253042.29467134
Antioquia-Surocciden,2023,Antioquia,Surocciden,Antioquia-Surocciden,552.69,0.96,1,1420.0000000004782,1420.0000000004782,94250045.28362614
Antioquia-Surocciden,2025,Antioquia,Surocciden,Antioquia-Surocciden,552.69,0.96,1,1420.0000000010502,1420.0000000010502,94250045.2836641
Antioquia-Surocciden,2030,Antioquia,Surocciden,Antioquia-Surocciden,552.69,0.96,1,1420.0000000023372,1420.0000000023372,94250045.28374954
Antioquia-Surocciden,2035,Antioquia,Surocciden,Antioquia-Surocciden,552.69,0.96,1,1420.0000000035234,1420.0000000035234,94250045.28382826
Antioquia-Surocciden,2040,Antioquia,Surocciden,Antioquia-Surocciden,552.69,0.96,1,1420.0000000045936,1420.0000000045936,94250045.28389929
Antioquia-Surocciden,2045,Antioquia,Surocciden,Antioquia-Surocciden,552.69,0.96,1,1420.000000007485,1420.000000007485,94250045.2840912
Antioquia-Surocciden,2050,Antioquia,Surocciden,Antioquia-Surocciden,552.69,0.96,1,1420.000000020315,1420.000000020315,94250045.28494278
Caribe-Nordeste,2023,Caribe,Nordeste,Caribe-Nordeste,358.09,0.96,1,500.00000000051944,500.00000000051944,21501750.2843566
Caribe-Nordeste,2025,Caribe,Nordeste,Caribe-Nordeste,358.09,0.96,1,500.0000000011194,500.0000000011194,21501750.284382403
Caribe-Nordeste,2030,Caribe,Nordeste,Caribe-Nordeste,358.09,0.96,1,500.0000000020694,500.0000000020694,21501750.284423254
Caribe-Nordeste,2035,Caribe,Nordeste,Caribe-Nordeste,358.09,0.96,1,500.00000000399484,500.00000000399484,21501750.284506056
Caribe-Nordeste,2040,Caribe,Nordeste,Caribe-Nordeste,358.09,0.96,1,500.0000000074121,500.0000000074121,21501750.284653008
Caribe-Nordeste,2045,Caribe,Nordeste,Caribe-Nordeste,358.09,0.96,1,913.9694249865779,913.9694249865779,39303884.68715595
Caribe-Nordeste,2050,Caribe,Nordeste,Caribe-Nordeste,358.09,0.96,1,2471.1624025600686,2471.1624025600686,106268633.78376418
