gen_tech,gen_load_zone,gen_energy_source,period,Energy_GWh_typical_yr,VariableCost_per_yr,DispatchEmissions_tCO2_per_typical_yr,GenCapacity_MW,GenCapitalCosts,GenFixedOMCosts,LCOE_dollar_per_MWh,capacity_factor,Store_GWh_typical_yr,Discharge_GWh_typical_yr
Eolica,Caribe,Wind,2023,214.2788473043256,0.0,0.0,32.0,5395834.247909282,882240.0,29.298618724567635,0.7644079883858645,0.0,0.0
Hidro,Antioquia,Water,2023,32845.50508028525,45652587.63457155,0.0,5684.46,919639495.2827839,248865658.8,36.965719928786406,0.6596030020988978,0.0,0.0
Hidro,Caribe,Water,2023,1210.7068656543836,1682882.543259593,0.0,342.9,94389474.08762093,15012162.0,91.75178714365319,0.4030578778290405,0.0,0.0
Hidro,Nordeste,Water,2023,5022.276246993636,6980963.983321154,0.0,882.2,119845587.9203285,38622716.0,32.94308392587694,0.6498744120129362,0.0,0.0
Hidro,Oriental,Water,2023,9312.209928400322,12943971.800476443,0.0,2415.0,306395515.0226557,105728700.0,45.646327788075496,0.44018122693970907,0.0,0.0
Hidro,Surocciden,Water,2023,10870.036614106353,15109350.893607829,0.0,3066.942,380907273.1000469,134270720.76,48.78432001466175,0.40459576985843937,0.0,0.0
RunOfRiver,Antioquia,Water,2023,1399.5919234955948,1945432.7736588765,0.0,246.35,44830139.96646096,10785203.0,41.12682759440131,0.6485519282416404,0.0,0.0
RunOfRiver,Oriental,Water,2023,1044.3071716358959,1451586.968573895,0.0,185.0,21808800.713398505,8099300.0,30.029179664492577,0.6443953916055137,0.0,0.0
RunOfRiver,Surocciden,Water,2023,1423.113778241504,1978128.1517556903,0.0,350.7,49628890.623435274,15353646.0,47.05222154333444,0.46323327846638873,0.0,0.0
Thermal,Antioquia,ACPM,2023,2.775882665404077e-06,0.025815708788257914,0.0013573133537250358,433.0,54791821.79232248,62014260.0,42078897380.60491,7.318281358168235e-10,0.0,0.0
Thermal,Antioquia,CARBON,2023,56.94000210178224,477789.7086936618,0.0,6.5,1799460.058863031,930930.0,56.34316208527633,1.0000000369122275,0.0,0.0
Thermal,Antioquia,GASNACIO,2023,1.0425511184692087e-06,0.007287432318099769,0.0004534555238759454,272.0,34296481.12188921,38955840.0,70262570181.43529,4.375466351351432e-10,0.0,0.0
Thermal,Caribe,ACPM,2023,8.048383515353536e-07,0.007484996669278789,0.0005078690965858388,88.0,11127600.364000458,12603360.0,29485374704.39247,1.0440514107712659e-09,0.0,0.0
Thermal,Caribe,CARBON,2023,5918.656269279688,49664084.13020666,5612691.480167098,709.0,86803112.8394597,101542980.0,40.21354951883912,0.9529558432160039,0.0,0.0
Thermal,Caribe,COMBUSTOLEO,2023,3.683186965144576e-07,0.0034253638775844563,0.00038329730809712464,178.0,20395980.66718305,25493160.0,124590853260.70903,2.3621074888054586e-10,0.0,0.0
Thermal,Caribe,GASIMPOR,2023,9.13672114070705e-07,0.006468798567620591,0.00043750129012107893,835.0,95661453.12922928,119588700.0,235587964019.92505,1.2491074208715512e-10,0.0,0.0
Thermal,Caribe,GASNACIO,2023,1644.0547458285728,11639907.600466298,679890.8285042951,1526.0,288810279.44741637,218553720.0,315.68529476572536,0.12298655465302881,0.0,0.0
Thermal,Nordeste,CARBON,2023,5467.276156376554,45876504.84159701,5010801.299607836,686.0,137854894.50943986,98248920.0,51.57601542079772,0.9097934150020225,0.0,0.0
Thermal,Nordeste,GASNACIO,2023,2431.457630898684,17214720.02676268,1238079.8378219255,342.0,64869122.12196605,48981240.0,53.90391363730495,0.8115896388750978,0.0,0.0
Thermal,Oriental,CARBON,2023,630.455281600055,5290218.374098767,680018.5886531651,226.0,28917000.94591837,32367720.0,105.59819429389856,0.3184503584273118,0.0,0.0
Thermal,Surocciden,ACPM,2023,2.9137644355338e-06,0.027098009250464343,0.0016126197230062298,520.0,136428304.46277398,74474400.0,72381521964.46681,6.396567517417016e-10,0.0,0.0
pv_solar,Antioquia,Solar,2023,190.97871427628445,190978.71427628447,0.0,114.71000000000001,13699815.748141471,1831918.7,82.32704478087581,0.19005512240345257,0.0,0.0
pv_solar,Caribe,Solar,2023,555.6467629817918,555646.7629817917,0.0,285.45,34091294.61517726,4558636.5,70.55845636131924,0.22221052994982354,0.0,0.0
pv_solar,Nordeste,Solar,2023,46.14732061798754,46147.32061798754,0.0,23.41,2795856.391456646,373857.7,69.68685004912591,0.22503028511986803,0.0,0.0
pv_solar,Oriental,Solar,2023,267.92469073726033,267924.69073726033,0.0,143.29999999999998,17114319.559834998,2288501.0,73.41893424022767,0.21343342887742317,0.0,0.0
pv_solar,Surocciden,Solar,2023,337.5733751645819,337573.37516458187,0.0,185.29999999999998,22130379.723917834,2959241.0,75.32345845310088,0.2079642386433587,0.0,0.0
