load_zone,timestamp,ZoneTotalCentralDispatch,ZoneTotalDistributedDispatch,TXPowerNet,zone_demand_mw,StorageNetCharge
Antioquia,2023_Q1_labor_0h,3875.23,0,-2781.45,1093.78,0
Antioquia,2023_Q1_labor_1h,3773.3,0,-2740.75,1032.55,0
Antioquia,2023_Q1_labor_2h,3710.96,0,-2713.69,997.272,0
Antioquia,2023_Q1_labor_3h,3664.68,0,-2692.41,972.263,0
Antioquia,2023_Q1_labor_4h,3641.36,0,-2681.11,960.252,0
Antioquia,2023_Q1_labor_5h,3669.68,0,-2694.62,975.055,0
Antioquia,2023_Q1_labor_6h,3738.68,0,-2723.51,1015.18,0
Antioquia,2023_Q1_labor_7h,3771.84,0,-2733.01,1038.83,0
Antioquia,2023_Q1_labor_8h,3870.29,0,-2768.76,1101.54,0
Antioquia,2023_Q1_labor_9h,3974.29,0,-2804.45,1169.83,0
Antioquia,2023_Q1_labor_10h,4037.25,0,-2824.89,1212.36,0
Antioquia,2023_Q1_labor_11h,4101.91,0,-2847.47,1254.44,0
Antioquia,2023_Q1_labor_12h,4156.27,0,-2868.38,1287.89,0
Antioquia,2023_Q1_labor_13h,4150.33,0,-2868.05,1282.28,0
Antioquia,2023_Q1_labor_14h,4159.33,0,-2874.25,1285.08,0
Antioquia,2023_Q1_labor_15h,4186.94,0,-2889.12,1297.82,0
Antioquia,2023_Q1_labor_16h,4187.17,0,-2892.25,1294.92,0
Antioquia,2023_Q1_labor_17h,4156.28,0,-2883.15,1273.13,0
Antioquia,2023_Q1_labor_18h,4116.25,0,-2867.83,1248.43,0
Antioquia,2023_Q1_labor_19h,4227.91,0,-2914.39,1313.53,0
Antioquia,2023_Q1_labor_20h,4253.79,0,-2925.89,1327.9,0
Antioquia,2023_Q1_labor_21h,4195.9,0,-2901.42,1294.47,0
Antioquia,2023_Q1_labor_22h,4102.73,0,-2864.57,1238.16,0
Antioquia,2023_Q1_labor_23h,3984.07,0,-2820.58,1163.49,0
Antioquia,2023_Q1_holidays_0h,3831.4,0,-2804.82,1026.58,0
Antioquia,2023_Q1_holidays_1h,3784.56,0,-2781.52,1003.05,0
Antioquia,2023_Q1_holidays_2h,3716.34,0,-2746.64,969.7,0
Antioquia,2023_Q1_holidays_3h,3659.02,0,-2716.74,942.278,0
Antioquia,2023_Q1_holidays_4h,3615.6,0,-2694.07,921.532,0
Antioquia,2023_Q1_holidays_5h,3591.5,0,-2681.16,910.347,0
Antioquia,2023_Q1_holidays_6h,3565.73,0,-2664.25,901.478,0
Antioquia,2023_Q1_holidays_7h,3490.37,0,-2616.65,873.72,0
Antioquia,2023_Q1_holidays_8h,3535.62,0,-2633.27,902.352,0
Antioquia,2023_Q1_holidays_9h,3632.33,0,-2678.17,954.16,0
Antioquia,2023_Q1_holidays_10h,3721.88,0,-2719.93,1001.94,0
Antioquia,2023_Q1_holidays_11h,3795.92,0,-2755.47,1040.45,0
Antioquia,2023_Q1_holidays_12h,3862.13,0,-2789.21,1072.92,0
Antioquia,2023_Q1_holidays_13h,3896.62,0,-2809.69,1086.92,0
Antioquia,2023_Q1_holidays_14h,3901.35,0,-2816.48,1084.86,0
Antioquia,2023_Q1_holidays_15h,3891.63,0,-2817.66,1073.97,0
Antioquia,2023_Q1_holidays_16h,3882.37,0,-2817.82,1064.56,0
Antioquia,2023_Q1_holidays_17h,3878.45,0,-2822.34,1056.11,0
Antioquia,2023_Q1_holidays_18h,3894.59,0,-2832.65,1061.94,0
Antioquia,2023_Q1_holidays_19h,4075.62,0,-2922.73,1152.89,0
Antioquia,2023_Q1_holidays_20h,4136.77,0,-2953.1,1183.66,0
Antioquia,2023_Q1_holidays_21h,4107.69,0,-2938.76,1168.93,0
Antioquia,2023_Q1_holidays_22h,4039.62,0,-2905.8,1133.82,0
Antioquia,2023_Q1_holidays_23h,3941.8,0,-2858.61,1083.19,0
Antioquia,2023_Q2_labor_0h,3680.24,0,-2594.61,1085.63,0
Antioquia,2023_Q2_labor_1h,3539.55,0,-2517.6,1021.94,0
Antioquia,2023_Q2_labor_2h,3451.05,0,-2463.3,987.747,0
Antioquia,2023_Q2_labor_3h,3385.07,0,-2421.68,963.386,0
Antioquia,2023_Q2_labor_4h,3353.98,0,-2401.62,952.367,0
Antioquia,2023_Q2_labor_5h,3410.15,0,-2437.73,972.424,0
Antioquia,2023_Q2_labor_6h,3525.96,0,-2505.41,1020.55,0
Antioquia,2023_Q2_labor_7h,3553.27,0,-2512.19,1041.08,0
Antioquia,2023_Q2_labor_8h,3677.78,0,-2575.2,1102.58,0
Antioquia,2023_Q2_labor_9h,3790.41,0,-2624.13,1166.28,0
Antioquia,2023_Q2_labor_10h,3852.3,0,-2645.79,1206.51,0
Antioquia,2023_Q2_labor_11h,3923.06,0,-2673.12,1249.94,0
Antioquia,2023_Q2_labor_12h,3978.58,0,-2695.88,1282.7,0
Antioquia,2023_Q2_labor_13h,3964.85,0,-2692.11,1272.74,0
Antioquia,2023_Q2_labor_14h,3981.23,0,-2701.94,1279.29,0
