TIMESERIES,ts_period,ts_duration_of_tp,ts_num_tps,ts_scale_to_period
2023_Q1_labor,2023,1,24,78.21428571428572
2023_Q1_holidays,2023,1,24,13.035714285714286
2023_Q2_labor,2023,1,24,78.21428571428572
2023_Q2_holidays,2023,1,24,13.035714285714286
2023_Q3_labor,2023,1,24,78.21428571428572
2023_Q3_holidays,2023,1,24,13.035714285714286
2023_Q4_labor,2023,1,24,78.21428571428572
2023_Q4_holidays,2023,1,24,13.035714285714286
2024_Q1_labor,2024,1,24,78.21428571428572
2024_Q1_holidays,2024,1,24,13.035714285714286
2024_Q2_labor,2024,1,24,78.21428571428572
2024_Q2_holidays,2024,1,24,13.035714285714286
2024_Q3_labor,2024,1,24,78.21428571428572
2024_Q3_holidays,2024,1,24,13.035714285714286
2024_Q4_labor,2024,1,24,78.21428571428572
2024_Q4_holidays,2024,1,24,13.035714285714286
2025_Q1_labor,2025,1,24,78.21428571428572
2025_Q1_holidays,2025,1,24,13.035714285714286
2025_Q2_labor,2025,1,24,78.21428571428572
2025_Q2_holidays,2025,1,24,13.035714285714286
2025_Q3_labor,2025,1,24,78.21428571428572
2025_Q3_holidays,2025,1,24,13.035714285714286
2025_Q4_labor,2025,1,24,78.21428571428572
2025_Q4_holidays,2025,1,24,13.035714285714286
2026_Q1_labor,2026,1,24,78.21428571428572
2026_Q1_holidays,2026,1,24,13.035714285714286
2026_Q2_labor,2026,1,24,78.21428571428572
2026_Q2_holidays,2026,1,24,13.035714285714286
2026_Q3_labor,2026,1,24,78.21428571428572
2026_Q3_holidays,2026,1,24,13.035714285714286
2026_Q4_labor,2026,1,24,78.21428571428572
2026_Q4_holidays,2026,1,24,13.035714285714286
2027_Q1_labor,2027,1,24,78.21428571428572
2027_Q1_holidays,2027,1,24,13.035714285714286
2027_Q2_labor,2027,1,24,78.21428571428572
2027_Q2_holidays,2027,1,24,13.035714285714286
2027_Q3_labor,2027,1,24,78.21428571428572
2027_Q3_holidays,2027,1,24,13.035714285714286
2027_Q4_labor,2027,1,24,78.21428571428572
2027_Q4_holidays,2027,1,24,13.035714285714286
2028_Q1_labor,2028,1,24,78.21428571428572
2028_Q1_holidays,2028,1,24,13.035714285714286
2028_Q2_labor,2028,1,24,78.21428571428572
2028_Q2_holidays,2028,1,24,13.035714285714286
2028_Q3_labor,2028,1,24,78.21428571428572
2028_Q3_holidays,2028,1,24,13.035714285714286
2028_Q4_labor,2028,1,24,78.21428571428572
2028_Q4_holidays,2028,1,24,13.035714285714286
2029_Q1_labor,2029,1,24,78.21428571428572
2029_Q1_holidays,2029,1,24,13.035714285714286
2029_Q2_labor,2029,1,24,78.21428571428572
2029_Q2_holidays,2029,1,24,13.035714285714286
2029_Q3_labor,2029,1,24,78.21428571428572
2029_Q3_holidays,2029,1,24,13.035714285714286
2029_Q4_labor,2029,1,24,78.21428571428572
2029_Q4_holidays,2029,1,24,13.035714285714286
2030_Q1_labor,2030,1,24,78.21428571428572
2030_Q1_holidays,2030,1,24,13.035714285714286
2030_Q2_labor,2030,1,24,78.21428571428572
2030_Q2_holidays,2030,1,24,13.035714285714286
2030_Q3_labor,2030,1,24,78.21428571428572
2030_Q3_holidays,2030,1,24,13.035714285714286
2030_Q4_labor,2030,1,24,78.21428571428572
2030_Q4_holidays,2030,1,24,13.035714285714286
2031_Q1_labor,2031,1,24,78.21428571428572
2031_Q1_holidays,2031,1,24,13.035714285714286
2031_Q2_labor,2031,1,24,78.21428571428572
2031_Q2_holidays,2031,1,24,13.035714285714286
2031_Q3_labor,2031,1,24,78.21428571428572
2031_Q3_holidays,2031,1,24,13.035714285714286
2031_Q4_labor,2031,1,24,78.21428571428572
2031_Q4_holidays,2031,1,24,13.035714285714286
2032_Q1_labor,2032,1,24,78.21428571428572
2032_Q1_holidays,2032,1,24,13.035714285714286
2032_Q2_labor,2032,1,24,78.21428571428572
2032_Q2_holidays,2032,1,24,13.035714285714286
2032_Q3_labor,2032,1,24,78.21428571428572
2032_Q3_holidays,2032,1,24,13.035714285714286
2032_Q4_labor,2032,1,24,78.21428571428572
2032_Q4_holidays,2032,1,24,13.035714285714286
2033_Q1_labor,2033,1,24,78.21428571428572
2033_Q1_holidays,2033,1,24,13.035714285714286
2033_Q2_labor,2033,1,24,78.21428571428572
2033_Q2_holidays,2033,1,24,13.035714285714286
2033_Q3_labor,2033,1,24,78.21428571428572
2033_Q3_holidays,2033,1,24,13.035714285714286
2033_Q4_labor,2033,1,24,78.21428571428572
2033_Q4_holidays,2033,1,24,13.035714285714286
2034_Q1_labor,2034,1,24,78.21428571428572
2034_Q1_holidays,2034,1,24,13.035714285714286
2034_Q2_labor,2034,1,24,78.21428571428572
2034_Q2_holidays,2034,1,24,13.035714285714286
2034_Q3_labor,2034,1,24,78.21428571428572
2034_Q3_holidays,2034,1,24,13.035714285714286
2034_Q4_labor,2034,1,24,78.21428571428572
2034_Q4_holidays,2034,1,24,13.035714285714286
2035_Q1_labor,2035,1,24,78.21428571428572
2035_Q1_holidays,2035,1,24,13.035714285714286
2035_Q2_labor,2035,1,24,78.21428571428572
2035_Q2_holidays,2035,1,24,13.035714285714286
2035_Q3_labor,2035,1,24,78.21428571428572
2035_Q3_holidays,2035,1,24,13.035714285714286
2035_Q4_labor,2035,1,24,78.21428571428572
2035_Q4_holidays,2035,1,24,13.035714285714286
